Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
10,5600,0.045,16,25,0.19,7000,0.014,0.8,7.5,7.5,,EEUFM1A562( ),3820,100,250
16,68,3.121,5,11,0.16,2000,0.3,0.5,2.0,5.0,2.5,EEUFM1C680( ),280,200,2000
16,120,1.768,6.3,11.2,0.16,2000,0.13,0.5,2.5,5.0,2.5,EEUFM1C121( ),455,200,2000
16,330,0.643,8,11.5,0.16,3000,0.056,0.6,3.5,5.0,,EEUFM1C331( ),950,200,1000
16,470,0.452,8,15,0.16,3000,0.041,0.6,3.5,5.0,,EEUFM1C471L( ),1240,200,1000
16,470,0.452,10,12.5,0.16,4000,0.038,0.6,5.0,5.0,,EEUFM1C471( ),1290,200,500
16,680,0.312,8,20,0.16,4000,0.03,0.6,3.5,5.0,,EEUFM1C681L( ),1560,200,1000
16,680,0.312,10,16,0.16,4000,0.026,0.6,5.0,5.0,,EEUFM1C681( ),1790,200,500
16,1000,0.212,10,20,0.16,5000,0.019,0.6,5.0,5.0,,EEUFM1C102( ),2180,200,500
16,1200,0.177,10,25,0.16,5000,0.018,0.6,5.0,5.0,,EEUFM1C122L( ),2470,200,500
16,1500,0.141,12.5,20,0.16,5000,0.018,0.6,5.0,5.0,,EEUFM1C152( ),2600,200,500
16,2200,0.096,12.5,25,0.16,7000,0.015,0.6,5.0,5.0,,EEUFM1C222( ),3190,200,500
16,2700,0.079,12.5,30,0.16,7000,0.013,0.8,5.0,,,EEUFM1C272L,3630,100,
16,2700,0.079,16,20,0.16,5000,0.017,0.8,7.5,7.5,,EEUFM1C272S( ),3300,100,250
16,3300,0.064,12.5,35,0.16,7000,0.012,0.8,5.0,,,EEUFM1C332L,3750,100,
16,3900,0.054,16,25,0.16,7000,0.014,0.8,7.5,7.5,,EEUFM1C392( ),3820,100,250
25,47,3.951,5,11,0.14,2000,0.3,0.5,2.0,5.0,2.5,EEUFM1E470( ),280,200,2000
25,100,1.857,6.3,11.2,0.14,2000,0.13,0.5,2.5,5.0,2.5,EEUFM1E101( ),455,200,2000
25,220,0.844,8,11.5,0.14,3000,0.056,0.6,3.5,5.0,,EEUFM1E221( ),950,200,1000
25,330,0.563,8,15,0.14,3000,0.041,0.6,3.5,5.0,,EEUFM1E331L( ),1240,200,1000
25,330,0.563,10,12.5,0.14,4000,0.038,0.6,5.0,5.0,,EEUFM1E331( ),1290,200,500
25,470,0.395,8,20,0.14,4000,0.03,0.6,3.5,5.0,,EEUFM1E471L( ),1560,200,1000
25,470,0.395,10,16,0.14,4000,0.026,0.6,5.0,5.0,,EEUFM1E471( ),1790,200,500
25,680,0.273,10,20,0.14,5000,0.019,0.6,5.0,5.0,,EEUFM1E681( ),2180,200,500
25,820,0.226,10,25,0.14,5000,0.018,0.6,5.0,5.0,,EEUFM1E821L( ),2470,200,500
25,1000,0.186,12.5,20,0.14,5000,0.018,0.6,5.0,5.0,,EEUFM1E102( ),2600,200,500
25,1500,0.124,12.5,25,0.14,7000,0.015,0.6,5.0,5.0,,EEUFM1E152( ),3190,200,500
25,1800,0.103,12.5,30,0.14,7000,0.013,0.8,5.0,,,EEUFM1E182L,3630,100,
25,1800,0.103,16,20,0.14,5000,0.017,0.8,7.5,7.5,,EEUFM1E182S( ),3300,100,250
25,2200,0.084,12.5,35,0.14,7000,0.012,0.8,5.0,,,EEUFM1E222L,3750,100,
25,2700,0.069,16,25,0.14,7000,0.014,0.8,7.5,7.5,,EEUFM1E272( ),3820,100,250
35,33,4.823,5,11,0.12,2000,0.3,0.5,2.0,5.0,2.5,EEUFM1V330( ),280,200,2000
35,68,2.341,6.3,11.2,0.12,2000,0.13,0.5,2.5,5.0,2.5,EEUFM1V680( ),455,200,2000
35,150,1.061,8,11.5,0.12,3000,0.056,0.6,3.5,5.0,,EEUFM1V151( ),950,200,1000
35,220,0.723,8,15,0.12,3000,0.041,0.6,3.5,5.0,,EEUFM1V221L( ),1240,200,1000
35,220,0.723,10,12.5,0.12,4000,0.038,0.6,5.0,5.0,,EEUFM1V221( ),1290,200,500
35,330,0.482,8,20,0.12,4000,0.03,0.6,3.5,5.0,,EEUFM1V331L( ),1560,200,1000
35,330,0.482,10,16,0.12,4000,0.026,0.6,5.0,5.0,,EEUFM1V331( ),1790,200,500
35,470,0.339,10,20,0.12,5000,0.019,0.6,5.0,5.0,,EEUFM1V471( ),2180,200,500
35,560,0.284,10,25,0.12,5000,0.018,0.6,5.0,5.0,,EEUFM1V561L( ),2470,200,500
35,680,0.234,12.5,20,0.12,5000,0.018,0.6,5.0,5.0,,EEUFM1V681( ),2600,200,500
35,1000,0.159,12.5,25,0.12,7000,0.015,0.6,5.0,5.0,,EEUFM1V102( ),3190,200,500
35,1200,0.133,12.5,30,0.12,7000,0.013,0.8,5.0,,,EEUFM1V122L,3630,100,
35,1200,0.133,16,20,0.12,5000,0.017,0.8,7.5,7.5,,EEUFM1V122S( ),3300,100,250
35,1500,0.106,12.5,35,0.12,7000,0.012,0.8,5.0,,,EEUFM1V152L,3750,100,
35,1800,0.088,16,25,0.12,7000,0.014,0.8,7.5,7.5,,EEUFM1V182( ),3820,100,250
50,22,6.029,5,11,0.1,2000,0.34,0.5,2.0,5.0,2.5,EEUFM1H220( ),250,200,2000
50,56,2.368,6.3,11.2,0.1,2000,0.14,0.5,2.5,5.0,2.5,EEUFM1H560( ),405,200,2000
50,100,1.326,8,11.5,0.1,3000,0.061,0.6,3.5,5.0,,EEUFM1H101( ),870,200,1000
50,120,1.105,8,15,0.1,3000,0.045,0.6,3.5,5.0,,EEUFM1H121L( ),1140,200,1000
50,150,0.884,10,12.5,0.1,4000,0.042,0.6,5.0,5.0,,EEUFM1H151( ),1170,200,500
50,180,0.737,8,20,0.1,4000,0.033,0.6,3.5,5.0,,EEUFM1H181L( ),1430,200,1000
50,220,0.603,10,16,0.1,4000,0.03,0.6,5.0,5.0,,EEUFM1H221( ),1650,200,500
50,270,0.491,10,20,0.1,5000,0.023,0.6,5.0,5.0,,EEUFM1H271( ),1890,200,500
50,330,0.402,10,25,0.1,5000,0.022,0.6,5.0,5.0,,EEUFM1H331L( ),2150,200,500
50,470,0.282,12.5,20,0.1,5000,0.022,0.6,5.0,5.0,,EEUFM1H471( ),2260,200,500
50,560,0.237,12.5,25,0.1,7000,0.018,0.6,5.0,5.0,,EEUFM1H561( ),2660,200,500
50,680,0.195,12.5,30,0.1,7000,0.016,0.8,5.0,,,EEUFM1H681L,3160,100,
50,820,0.162,12.5,35,0.1,7000,0.014,0.8,5.0,,,EEUFM1H821L,3270,100,
50,820,0.162,16,20,0.1,5000,0.019,0.8,7.5,7.5,,EEUFM1H821S( ),2870,100,250
50,1000,0.133,16,25,0.1,7000,0.016,0.8,7.5,7.5,,EEUFM1H102( ),3320,100,250
