Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,V,VC,Vibration resistant,Weight (g)
10,1000,0.261,10,12.5,-40,85,0.24,0.345,2000,1.15,1.15,1.0,1.13,1.1,0.85,300,2000,UVR1A102MPD,Uni-Polar,Radial Lead,Standard,650,MP,6.3 to 100,10000.0,Normal,1.49
10,2200,0.137,10,20,-40,85,0.26,0.181,2000,1.15,1.15,1.0,1.13,1.1,0.85,660,1400,UVR1A222MPD,Uni-Polar,Radial Lead,Standard,1100,MP,6.3 to 100,22000.0,Normal,2.34
10,3300,0.103,12.5,20,-40,85,0.28,0.137,2000,1.15,1.15,1.0,1.13,1.1,0.85,990,1000,UVR1A332MHD,Uni-Polar,Radial Lead,Standard,1450,MP,6.3 to 100,33000.0,Normal,3.43
10,4700,0.081,12.5,25,-40,85,0.3,0.107,2000,1.15,1.15,1.0,1.13,1.1,0.85,1410,800,UVR1A472MHD,Uni-Polar,Radial Lead,Standard,1800,MP,6.3 to 100,47000.0,Normal,4.56
10,6800,0.068,16,25,-40,85,0.34,0.09,2000,1.15,1.15,1.0,1.13,1.1,0.85,2040,400,UVR1A682MHD,Uni-Polar,Radial Lead,Standard,2250,MP,6.3 to 100,68000.0,Normal,8.2
10,10000,0.062,16,35.5,-40,85,0.42,0.082,2000,1.15,1.15,1.0,1.13,1.1,0.85,3000,300,UVR1A103MHD,Uni-Polar,Radial Lead,Standard,2700,MP,6.3 to 100,100000.0,Normal,11.8
10,15000,0.055,18,35.5,-40,85,0.52,0.073,2000,1.15,1.15,1.0,1.13,1.1,0.85,4500,250,UVR1A153MHD,Uni-Polar,Radial Lead,Standard,3100,MP,6.3 to 100,150000.0,Normal,14.2
10,22000,0.05,20,40,-40,85,0.66,0.066,2000,1.15,1.15,1.0,1.13,1.1,0.85,6600,150,UVR1A223MRD,Uni-Polar,Radial Lead,Standard,3700,EOL,6.3 to 100,220000.0,Normal,19.6
10,22000,0.05,25,30,-40,85,0.66,0.066,2000,1.15,1.15,1.0,1.13,1.1,0.85,6600,160,UVR1A223MRD6,Uni-Polar,Radial Lead,Standard,3300,EOL,6.3 to 100,220000.0,Normal,21.5
10,33000,0.062,22,50,-40,85,0.88,0.062,2000,,,,,,,9900,250,UVR1A333MRD,Uni-Polar,Radial Lead,Standard,4500,EOL,,330000.0,Normal,27.4
10,33000,0.062,25,40,-40,85,0.88,0.062,2000,,,,,,,9900,180,UVR1A333MRD6,Uni-Polar,Radial Lead,Standard,4800,EOL,,330000.0,Normal,27.4
16,10,10.362,5,11,-40,85,0.2,26.526,2000,1.6,1.6,1.0,1.4,1.25,0.8,5,6000,UVR1C100MDD,Uni-Polar,Radial Lead,Standard,50,EOL,160 to 450,160.0,Normal,0.44
16,22,4.71,5,11,-40,85,0.2,12.057,2000,1.6,1.6,1.0,1.4,1.25,0.8,11,6000,UVR1C220MDD,Uni-Polar,Radial Lead,Standard,75,EOL,160 to 450,352.0,Normal,0.44
16,33,2.01,5,11,-40,85,0.2,8.038,2000,2.0,2.0,1.0,1.57,1.35,0.75,16,6000,UVR1C330MDD,Uni-Polar,Radial Lead,Standard,90,EOL,6.3 to 100,528.0,Normal,0.44
