Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
10,100,2.52,0.55,6.3,11,-55,105,0.19,2000,1.1,30,4000,UPM1A101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,135,EOL,Normal,0.59
10,120,2.1,0.44,6.3,11,-55,105,0.19,2000,0.88,36,4000,UPM1A121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,160,EOL,Normal,0.59
10,150,1.68,0.35,6.3,11,-55,105,0.19,2000,0.7,45,4000,UPM1A151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,185,EOL,Normal,0.59
10,180,1.4,0.29,6.3,11,-55,105,0.19,2000,0.58,54,4000,UPM1A181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,205,EOL,Normal,0.59
10,220,1.145,0.24,6.3,15,-55,105,0.19,2000,0.48,66,4000,UPM1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,270,EOL,Normal,0.72
10,270,0.933,0.2,6.3,15,-55,105,0.19,2000,0.4,81,4000,UPM1A271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,300,EOL,Normal,0.72
10,330,0.764,0.16,8,11.5,-55,105,0.19,3000,0.32,99,3000,UPM1A331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,350,MP,Normal,1.19
10,390,0.646,0.14,8,15,-55,105,0.19,3000,0.28,117,2000,UPM1A391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,430,MP,Normal,1.36
10,390,0.646,0.15,10,12.5,-55,105,0.19,5000,0.3,117,2000,UPM1A391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,490,MP,Normal,1.49
10,470,0.536,0.12,8,15,-55,105,0.19,3000,0.24,141,2000,UPM1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,475,MP,Normal,1.36
10,470,0.536,0.13,10,12.5,-55,105,0.19,5000,0.26,141,2000,UPM1A471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,535,MP,Normal,1.49
10,560,0.45,0.1,8,20,-55,105,0.19,3000,0.2,168,2000,UPM1A561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,MP,Normal,1.66
10,560,0.45,0.11,10,16,-55,105,0.19,5000,0.22,168,1800,UPM1A561MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,570,MP,Normal,1.77
10,680,0.371,0.085,8,20,-55,105,0.19,3000,0.17,204,2000,UPM1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,660,MP,Normal,1.66
10,680,0.371,0.09,10,16,-55,105,0.19,5000,0.18,204,1800,UPM1A681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,685,MP,Normal,1.77
10,820,0.307,0.07,10,20,-55,105,0.19,5000,0.14,246,1400,UPM1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,835,MP,Normal,2.34
10,820,0.307,0.08,12.5,15,-55,105,0.19,5000,0.16,246,1200,UPM1A821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,780,MP,Normal,2.96
10,1000,0.252,0.06,10,20,-55,105,0.19,5000,0.12,300,1400,UPM1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,915,MP,Normal,2.34
10,1000,0.252,0.065,12.5,15,-55,105,0.19,5000,0.13,300,1200,UPM1A102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,900,MP,Normal,2.96
10,1200,0.21,0.05,10,25,-55,105,0.19,5000,0.1,360,1200,UPM1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1120,MP,Normal,3.07
10,1200,0.21,0.06,12.5,15,-55,105,0.19,5000,0.12,360,1200,UPM1A122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,930,MP,Normal,2.96
10,1500,0.168,0.045,10,30.5,-55,105,0.19,5000,0.09,450,1000,UPM1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1300,MP,Normal,3.21
10,1500,0.168,0.05,16,15,-55,105,0.19,5000,0.1,450,700,UPM1A152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1190,MP,Normal,4.74
10,1800,0.14,0.039,12.5,20,-55,105,0.19,5000,0.078,540,1000,UPM1A182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1320,MP,Normal,3.43
10,1800,0.14,0.044,16,15,-55,105,0.19,5000,0.088,540,700,UPM1A182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,MP,Normal,4.74
10,2200,0.127,0.034,12.5,25,-55,105,0.21,5000,0.068,660,800,UPM1A222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1530,MP,Normal,4.56
10,2200,0.127,0.039,18,15,-55,105,0.21,5000,0.078,660,400,UPM1A222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1440,MP,Normal,6.31
10,2700,0.103,0.03,12.5,30.5,-55,105,0.21,5000,0.06,810,600,UPM1A272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1780,MP,Normal,6.01
10,2700,0.103,0.035,16,20,-55,105,0.21,5000,0.07,810,600,UPM1A272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1560,MP,Normal,6.6
10,3300,0.092,0.026,12.5,35.5,-55,105,0.23,5000,0.052,990,500,UPM1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,7.06
10,3300,0.092,0.031,16,20,-55,105,0.23,5000,0.062,990,600,UPM1A332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1660,MP,Normal,6.6
10,3900,0.078,0.024,12.5,40,-55,105,0.23,5000,0.048,1170,400,UPM1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,MP,Normal,7.57
10,3900,0.078,0.028,18,20,-55,105,0.23,5000,0.056,1170,400,UPM1A392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1840,MP,Normal,9.0
10,4700,0.071,0.023,16,30.5,-55,105,0.25,5000,0.046,1410,300,UPM1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2170,MP,Normal,9.6
10,4700,0.071,0.026,18,25,-55,105,0.25,5000,0.052,1410,300,UPM1A472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2110,MP,Normal,10.6
10,5600,0.064,0.021,16,35.5,-55,105,0.27,5000,0.042,1680,300,UPM1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2340,MP,Normal,11.8
10,5600,0.064,0.024,18,25,-55,105,0.27,5000,0.048,1680,300,UPM1A562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2190,MP,Normal,10.6
10,6800,0.057,0.02,16,35.5,-55,105,0.29,5000,0.04,2040,300,UPM1A682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,MP,Normal,11.8
10,6800,0.057,0.022,18,30.5,-55,105,0.29,5000,0.044,2040,300,UPM1A682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2440,MP,Normal,13.1
10,8200,0.053,0.019,16,40,-55,105,0.33,5000,0.038,2460,300,UPM1A822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2790,MP,Normal,14.1
10,8200,0.053,0.021,18,35.5,-55,105,0.33,5000,0.042,2460,250,UPM1A822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2740,MP,Normal,14.2
10,10000,0.049,0.017,18,40,-55,105,0.37,5000,0.034,3000,200,UPM1A103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2970,MP,Normal,17.7
16,47,4.515,0.8,5,11,-55,105,0.16,2000,1.6,23,6000,UPM1C470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,92,EOL,Normal,0.44
16,56,3.789,0.65,5,11,-55,105,0.16,2000,1.3,27,6000,UPM1C560MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,105,EOL,Normal,0.44
16,68,3.121,0.5,6.3,11,-55,105,0.16,2000,1.0,33,4000,UPM1C680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,135,EOL,Normal,0.59
16,82,2.588,0.42,6.3,11,-55,105,0.16,2000,0.84,39,4000,UPM1C820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,155,EOL,Normal,0.59
16,100,2.122,0.35,6.3,11,-55,105,0.16,2000,0.7,48,4000,UPM1C101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,EOL,Normal,0.59
16,120,1.768,0.29,6.3,11,-55,105,0.16,2000,0.58,58,4000,UPM1C121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,195,EOL,Normal,0.59
16,150,1.415,0.23,6.3,15,-55,105,0.16,2000,0.46,72,4000,UPM1C151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,260,EOL,Normal,0.72
16,180,1.179,0.2,6.3,15,-55,105,0.16,2000,0.4,86,4000,UPM1C181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,285,EOL,Normal,0.72
16,220,0.965,0.16,8,11.5,-55,105,0.16,3000,0.32,106,3000,UPM1C221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,335,MP,Normal,1.19
16,270,0.786,0.14,8,15,-55,105,0.16,3000,0.28,130,2000,UPM1C271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,410,MP,Normal,1.36
16,270,0.786,0.14,10,12.5,-55,105,0.16,5000,0.28,130,2000,UPM1C271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,470,MP,Normal,1.49
16,330,0.643,0.12,8,15,-55,105,0.16,3000,0.24,158,2000,UPM1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,455,MP,Normal,1.36
16,330,0.643,0.12,10,12.5,-55,105,0.16,5000,0.24,158,2000,UPM1C331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,510,MP,Normal,1.49
16,390,0.544,0.1,8,20,-55,105,0.16,3000,0.2,187,2000,UPM1C391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,570,MP,Normal,1.66
16,390,0.544,0.1,10,16,-55,105,0.16,5000,0.2,187,1800,UPM1C391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,570,MP,Normal,1.77
