Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
80,270,,,0.094,12.5,30,,,0.26,ELXV800E□□271MK30S,1270,,,,21600
80,270,,,0.11,16,20,,,0.3,ELXV800E□□271ML20S,1240,,,,21600
80,330,,,0.087,12.5,35,,,0.24,ELXV800E□□331MK35S,1450,,,,26400
80,330,,,0.081,16,25,,,0.22,ELXV800E□□331ML25S,1440,,,,26400
80,390,,,0.06,12.5,40,,,0.17,ELXV800E□□391MK40S,1610,,,,31200
80,390,,,0.085,18,20,,,0.23,ELXV800E□□391MM20S,1450,,,,31200
80,470,,,0.058,16,30,,,0.16,ELXV800E□□471ML30S,1790,,,,37600
80,470,,,0.07,18,25,,,0.19,ELXV800E□□471MM25S,1650,,,,37600
80,560,,,0.052,16,35,,,0.14,ELXV800E□□561ML35S,2000,,,,44800
80,680,,,0.041,16,40,,,0.11,ELXV800E□□681ML40S,2200,,,,54400
80,680,,,0.058,18,30,,,0.16,ELXV800E□□681MM30S,1850,,,,54400
80,820,,,0.052,18,35,,,0.14,ELXV800E□□821MM35S,1990,,,,65600
80,1000,,,0.041,18,40,,,0.11,ELXV800E□□102MM40S,2370,,,,80000
100,5.6,,,1.9,5,11.5,,,5.1,ELXV101E□□5R6MEB5D,100,80,20,55,560
100,12,,,1.1,6.3,11.5,,,3,ELXV101E□□120MFB5D,150,120,30,82.5,1200
100,18,,,0.62,6.3,15,,,1.7,ELXV101E□□180MF15D,220,176,44,121,1800
100,22,,,0.53,8,12,,,1.5,ELXV101E□□220MH12D,275,220,55,151.25,2200
100,27,,,0.47,10,12.5,,,1.3,ELXV101E□□270MJC5S,380,,,,2700
100,33,,,0.35,8,15,,,0.97,ELXV101E□□330MH15D,360,288,72,198,3300
100,33,,,0.33,10,16,,,0.9,ELXV101E□□330MJ16S,500,,,,3300
100,39,,,0.27,8,20,,,0.74,ELXV101E□□390MH20D,490,392,98,269.5,3900
100,56,,,0.26,10,20,,,0.7,ELXV101E□□560MJ20S,620,,,,5600
100,68,,,0.19,10,25,,,0.52,ELXV101E□□680MJ25S,795,,,,6800
100,100,,,0.15,10,30,,,0.41,ELXV101E□□101MJ30S,955,,,,10000
100,100,,,0.15,12.5,20,,,0.41,ELXV101E□□101MK20S,890,,,,10000
100,120,,,0.11,12.5,25,,,0.3,ELXV101E□□121MK25S,1040,,,,12000
100,180,,,0.094,12.5,30,,,0.26,ELXV101E□□181MK30S,1270,,,,18000
100,180,,,0.11,16,20,,,0.3,ELXV101E□□181ML20S,1240,,,,18000
100,220,,,0.087,12.5,35,,,0.24,ELXV101E□□221MK35S,1450,,,,22000
100,220,,,0.081,16,25,,,0.22,ELXV101E□□221ML25S,1440,,,,22000
100,270,,,0.06,12.5,40,,,0.17,ELXV101E□□271MK40S,1610,,,,27000
100,270,,,0.085,18,20,,,0.23,ELXV101E□□271MM20S,1450,,,,27000
100,330,,,0.058,16,30,,,0.16,ELXV101E□□331ML30S,1790,,,,33000
100,330,,,0.07,18,25,,,0.19,ELXV101E□□331MM25S,1650,,,,33000
100,390,,,0.052,16,35,,,0.14,ELXV101E□□391ML35S,2000,,,,39000
100,390,,,0.058,18,30,,,0.16,ELXV101E□□391MM30S,1850,,,,39000
100,470,,,0.041,16,40,,,0.11,ELXV101E□□471ML40S,2200,,,,47000
100,560,,,0.052,18,35,,,0.14,ELXV101E□□561MM35S,1990,,,,56000
100,680,,,0.041,18,40,,,0.11,ELXV101E□□681MM40S,2370,,,,68000
