Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR 20°C@120Hz,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
16,330,0.16,0.13,8,15,0.805,0.643,0.29,617,602.19,493.6,572.58,E15,5280
25,220,0.14,0.13,8,15,1.06,0.844,0.29,617,556.59,431.47,522.08,E15,5500
35,180,0.12,0.13,8,15,1.11,0.884,0.29,617,556.59,431.47,522.08,E15,6300
50,82,0.1,0.18,8,15,2.02,1.617,0.36,460,414.97,321.68,389.23,E15,4100
63,68,0.08,0.24,8,15,1.95,1.56,0.72,469,423.08,327.97,396.85,E15,4284
100,33,0.07,0.35,8,15,3.52,2.813,1.4,360,313.2,180,273.6,E15,3300
6.3,1000,0.22,0.095,8,20,0.365,0.318,0.21,800,780.8,640,742.4,E20,6300
10,680,0.19,0.095,8,20,0.464,0.371,0.21,800,780.8,640,742.4,E20,6800
16,470,0.16,0.095,8,20,0.565,0.452,0.21,800,780.8,640,742.4,E20,7520
25,330,0.14,0.095,8,20,0.704,0.563,0.21,800,780.8,640,742.4,E20,8250
35,220,0.12,0.095,8,20,0.905,0.723,0.21,800,721.68,559.44,676.92,E20,7700
50,120,0.1,0.13,8,20,1.38,1.105,0.26,670,604.41,468.53,566.92,E20,6000
63,82,0.08,0.17,8,20,1.62,1.294,0.51,682,615.23,476.92,577.08,E20,5166
100,39,0.07,0.27,8,20,2.98,2.381,1.1,490,426.3,245,372.4,E20,3900
6.3,680,0.22,0.1,10,12.5,0.537,0.429,0.23,625,610,500,580,F12,4284
10,470,0.19,0.1,10,12.5,0.671,0.536,0.23,625,610,500,580,F12,4700
16,330,0.16,0.1,10,12.5,0.805,0.643,0.23,625,610,500,580,F12,5280
25,220,0.14,0.1,10,12.5,1.06,0.844,0.23,625,563.81,437.06,528.85,F12,5500
35,150,0.12,0.1,10,12.5,1.33,1.061,0.23,625,563.81,437.06,528.85,F12,5250
50,82,0.1,0.18,10,12.5,2.02,1.617,0.36,443,399.63,309.79,374.85,F12,4100
63,56,0.08,0.23,10,12.5,2.37,1.895,0.69,448,404.14,313.29,379.08,F12,3528
100,27,0.07,0.47,10,12.5,4.3,3.439,1.9,319,277.53,159.5,242.44,F12,2700
6.3,820,0.22,0.08,10,16,0.446,0.356,0.18,825,805.2,660,765.6,F16,5166
10,560,0.19,0.08,10,16,0.563,0.45,0.18,825,805.2,660,765.6,F16,5600
16,390,0.16,0.08,10,16,0.681,0.544,0.18,825,805.2,660,765.6,F16,6240
25,270,0.14,0.08,10,16,0.861,0.688,0.18,825,744.23,576.92,698.08,F16,6750
35,180,0.12,0.08,10,16,1.11,0.884,0.18,825,744.23,576.92,698.08,F16,6300
50,100,0.1,0.15,10,16,1.66,1.326,0.3,553,498.86,386.71,467.92,F16,5000
63,68,0.08,0.17,10,16,1.95,1.56,0.51,553,498.86,386.71,467.92,F16,4284
100,33,0.07,0.32,10,16,3.52,2.813,1.3,424,368.88,212,322.24,F16,3300
6.3,1200,0.22,0.062,10,20,0.305,0.265,0.14,1010,1010,909.91,964.5,F20,7560
10,1000,0.19,0.062,10,20,0.316,0.279,0.14,1010,985.76,808,937.28,F20,10000
16,680,0.16,0.062,10,20,0.391,0.312,0.14,1010,985.76,808,937.28,F20,10880
25,470,0.14,0.062,10,20,0.495,0.395,0.14,1010,985.76,808,937.28,F20,11750
35,330,0.12,0.062,10,20,0.604,0.482,0.14,1010,985.76,808,937.28,F20,11550
50,180,0.1,0.085,10,20,0.922,0.737,0.17,676,609.82,472.73,572,F20,9000
63,120,0.08,0.12,10,20,1.11,0.884,0.36,676,609.82,472.73,572,F20,7560
100,56,0.07,0.25,10,20,2.07,1.658,1,499,450.15,348.95,422.23,F20,5600
6.3,1500,0.22,0.052,10,25,0.244,0.212,0.12,1190,1190,1072.07,1136.4,F25,9450
10,1200,0.19,0.052,10,25,0.263,0.232,0.12,1190,1190,1072.07,1136.4,F25,12000
16,820,0.16,0.052,10,25,0.324,0.259,0.12,1190,1161.44,952,1104.32,F25,13120
25,560,0.14,0.052,10,25,0.415,0.332,0.12,1190,1161.44,952,1104.32,F25,14000
35,390,0.12,0.052,10,25,0.511,0.408,0.12,1190,1161.44,952,1104.32,F25,13650
50,220,0.1,0.075,10,25,0.754,0.603,0.15,876,790.24,612.59,741.23,F25,11000
63,150,0.08,0.1,10,25,0.885,0.707,0.3,876,790.24,612.59,741.23,F25,9450
100,68,0.07,0.18,10,25,1.71,1.365,0.72,634,571.93,443.36,536.46,F25,6800
6.3,2200,0.22,0.044,10,30,0.181,0.157,0.099,1440,1440,1297.3,1375.14,F30,13860
10,1500,0.19,0.044,10,30,0.211,0.186,0.099,1440,1440,1297.3,1375.14,F30,15000
16,1200,0.16,0.044,10,30,0.222,0.199,0.099,1440,1440,1297.3,1375.14,F30,19200
25,820,0.14,0.044,10,30,0.284,0.226,0.099,1440,1405.44,1152,1336.32,F30,20500
35,560,0.12,0.044,10,30,0.356,0.284,0.099,1440,1405.44,1152,1336.32,F30,19600
50,330,0.1,0.055,10,30,0.503,0.402,0.11,1010,985.76,808,937.28,F30,16500
63,180,0.08,0.085,10,30,0.738,0.589,0.26,1020,920.14,713.29,863.08,F30,11340
100,100,0.07,0.15,10,30,1.16,0.928,0.6,739,666.65,516.78,625.31,F30,10000
6.3,1200,0.22,0.062,12.5,15,0.305,0.265,0.14,1010,1010,909.91,964.5,G15,7560
10,1000,0.19,0.062,12.5,15,0.316,0.279,0.14,1010,985.76,808,937.28,G15,10000
16,680,0.16,0.062,12.5,15,0.391,0.312,0.14,1010,985.76,808,937.28,G15,10880
25,470,0.14,0.062,12.5,15,0.495,0.395,0.14,1010,985.76,808,937.28,G15,11750
35,330,0.12,0.062,12.5,15,0.604,0.482,0.14,1010,985.76,808,937.28,G15,11550
50,180,0.1,0.095,12.5,15,0.922,0.737,0.19,745,672.06,520.98,630.38,G15,9000
63,150,0.08,0.11,12.5,15,0.885,0.707,0.33,745,672.06,520.98,630.38,G15,9450
100,68,0.07,0.2,12.5,15,1.71,1.365,0.8,613,552.99,428.67,518.69,G15,6800
6.3,2200,0.22,0.042,12.5,20,0.181,0.157,0.095,1400,1400,1261.26,1336.94,G20,13860
10,1800,0.19,0.042,12.5,20,0.176,0.155,0.095,1400,1400,1261.26,1336.94,G20,18000
16,1200,0.16,0.042,12.5,20,0.222,0.199,0.095,1400,1400,1261.26,1336.94,G20,19200
25,820,0.14,0.042,12.5,20,0.284,0.226,0.095,1400,1366.4,1120,1299.2,G20,20500
35,560,0.12,0.042,12.5,20,0.356,0.284,0.095,1400,1366.4,1120,1299.2,G20,19600
50,330,0.1,0.06,12.5,20,0.503,0.402,0.12,979,955.5,783.2,908.51,G20,16500
63,220,0.08,0.075,12.5,20,0.604,0.482,0.23,979,883.15,684.62,828.38,G20,13860
100,100,0.07,0.13,12.5,20,1.16,0.928,0.52,805,726.19,562.94,681.15,G20,10000
6.3,2700,0.22,0.034,12.5,25,0.148,0.128,0.076,1690,1690,1522.52,1613.87,G25,17010
10,2200,0.19,0.034,12.5,25,0.159,0.139,0.076,1690,1690,1522.52,1613.87,G25,22000
16,1500,0.16,0.034,12.5,25,0.177,0.159,0.076,1690,1690,1522.52,1613.87,G25,24000
25,1000,0.14,0.034,12.5,25,0.233,0.212,0.076,1690,1649.44,1352,1568.32,G25,25000
35,680,0.12,0.034,12.5,25,0.293,0.234,0.076,1690,1649.44,1352,1568.32,G25,23800
50,470,0.1,0.044,12.5,25,0.353,0.282,0.088,1180,1151.68,944,1095.04,G25,23500
63,270,0.08,0.065,12.5,25,0.492,0.393,0.2,1180,1064.48,825.17,998.46,G25,17010
100,120,0.07,0.11,12.5,25,0.968,0.774,0.44,857,773.1,599.3,725.15,G25,12000
6.3,3900,0.22,0.03,12.5,30,0.111,0.095,0.068,1950,1950,1756.76,1862.16,G30,24570
10,2700,0.19,0.03,12.5,30,0.13,0.113,0.068,1950,1950,1756.76,1862.16,G30,27000
16,2200,0.16,0.03,12.5,30,0.136,0.121,0.068,1950,1950,1756.76,1862.16,G30,35200
25,1500,0.14,0.03,12.5,30,0.155,0.141,0.068,1950,1950,1756.76,1862.16,G30,37500
35,1000,0.12,0.03,12.5,30,0.2,0.186,0.068,1950,1903.2,1560,1809.6,G30,35000
50,560,0.1,0.04,12.5,30,0.297,0.237,0.08,1310,1278.56,1048,1215.68,G30,28000
63,390,0.08,0.055,12.5,30,0.341,0.272,0.17,1310,1278.56,1048,1215.68,G30,24570
100,180,0.07,0.09,12.5,30,0.646,0.516,0.36,1120,1010.35,783.22,947.69,G30,18000
6.3,4700,0.22,0.024,12.5,35,0.099,0.085,0.054,2220,2220,2000,2120,G35,29610
10,3300,0.19,0.024,12.5,35,0.116,0.1,0.054,2220,2220,2000,2120,G35,33000
16,2700,0.16,0.024,12.5,35,0.111,0.098,0.054,2220,2220,2000,2120,G35,43200
25,1800,0.14,0.024,12.5,35,0.13,0.118,0.054,2220,2220,2000,2120,G35,45000
35,1200,0.12,0.024,12.5,35,0.166,0.155,0.054,2220,2220,2000,2120,G35,42000
50,680,0.1,0.036,12.5,35,0.244,0.195,0.072,1470,1434.72,1176,1364.16,G35,34000
63,470,0.08,0.048,12.5,35,0.283,0.226,0.14,1470,1434.72,1176,1364.16,G35,29610
100,220,0.07,0.075,12.5,35,0.528,0.422,0.3,1240,1118.6,867.13,1049.23,G35,22000
6.3,5600,0.22,0.021,12.5,40,0.089,0.076,0.047,2390,2390,2153.15,2282.34,G40,35280
10,3900,0.19,0.021,12.5,40,0.098,0.085,0.047,2390,2390,2153.15,2282.34,G40,39000
16,3300,0.16,0.021,12.5,40,0.101,0.088,0.047,2390,2390,2153.15,2282.34,G40,52800
25,2200,0.14,0.021,12.5,40,0.121,0.109,0.047,2390,2390,2153.15,2282.34,G40,55000
35,1500,0.12,0.021,12.5,40,0.133,0.124,0.047,2390,2390,2153.15,2282.34,G40,52500
50,820,0.1,0.034,12.5,40,0.203,0.162,0.068,1590,1551.84,1272,1475.52,G40,41000
63,560,0.08,0.042,12.5,40,0.237,0.189,0.13,1590,1551.84,1272,1475.52,G40,35280
100,270,0.07,0.06,12.5,40,0.431,0.344,0.24,1330,1199.79,930.07,1125.38,G40,27000
6.3,2700,0.22,0.046,16,16,0.148,0.128,0.1,1310,1310,1180.18,1250.99,J16,17010
10,1800,0.19,0.046,16,16,0.176,0.155,0.1,1310,1310,1180.18,1250.99,J16,18000
16,1500,0.16,0.046,16,16,0.177,0.159,0.1,1310,1310,1180.18,1250.99,J16,24000
25,820,0.14,0.046,16,16,0.284,0.226,0.1,1310,1278.56,1048,1215.68,J16,20500
35,560,0.12,0.046,16,16,0.356,0.284,0.1,1310,1278.56,1048,1215.68,J16,19600
50,330,0.1,0.065,16,16,0.503,0.402,0.13,982,958.43,785.6,911.3,J16,16500
63,220,0.08,0.08,16,16,0.604,0.482,0.24,982,885.86,686.71,830.92,J16,13860
100,120,0.07,0.13,16,16,0.968,0.774,0.52,706,636.88,493.71,597.38,J16,12000
6.3,4700,0.22,0.034,16,20,0.099,0.085,0.077,1660,1660,1495.5,1585.23,J20,29610
10,3300,0.19,0.034,16,20,0.116,0.1,0.077,1660,1660,1495.5,1585.23,J20,33000
16,2200,0.16,0.034,16,20,0.136,0.121,0.077,1660,1660,1495.5,1585.23,J20,35200
25,1500,0.14,0.034,16,20,0.155,0.141,0.077,1660,1660,1495.5,1585.23,J20,37500
35,1000,0.12,0.034,16,20,0.2,0.186,0.077,1660,1620.16,1328,1540.48,J20,35000
50,680,0.1,0.045,16,20,0.244,0.195,0.09,1210,1180.96,968,1122.88,J20,34000
63,390,0.08,0.057,16,20,0.341,0.272,0.17,1210,1180.96,968,1122.88,J20,24570
100,180,0.07,0.11,16,20,0.646,0.516,0.44,916,826.32,640.56,775.08,J20,18000
6.3,5600,0.22,0.028,16,25,0.089,0.076,0.063,2070,2070,1864.86,1976.76,J25,35280
10,3900,0.19,0.028,16,25,0.098,0.085,0.063,2070,2070,1864.86,1976.76,J25,39000
16,2700,0.16,0.028,16,25,0.111,0.098,0.063,2070,2070,1864.86,1976.76,J25,43200
25,1800,0.14,0.028,16,25,0.13,0.118,0.063,2070,2070,1864.86,1976.76,J25,45000
35,1200,0.12,0.028,16,25,0.166,0.155,0.063,2070,2070,1864.86,1976.76,J25,42000
50,820,0.1,0.038,16,25,0.203,0.162,0.076,1490,1454.24,1192,1382.72,J25,41000
63,470,0.08,0.052,16,25,0.283,0.226,0.16,1490,1454.24,1192,1382.72,J25,29610
100,220,0.07,0.081,16,25,0.528,0.422,0.32,1290,1163.71,902.1,1091.54,J25,22000
6.3,6800,0.22,0.025,16,31.5,0.079,0.066,0.056,2350,2350,2117.12,2244.14,J31,42840
10,5600,0.19,0.025,16,31.5,0.08,0.069,0.056,2350,2350,2117.12,2244.14,J31,56000
16,3900,0.16,0.025,16,31.5,0.086,0.075,0.056,2350,2350,2117.12,2244.14,J31,62400
25,2700,0.14,0.025,16,31.5,0.099,0.088,0.056,2350,2350,2117.12,2244.14,J31,67500
35,1800,0.12,0.025,16,31.5,0.111,0.103,0.056,2350,2350,2117.12,2244.14,J31,63000
50,1000,0.1,0.032,16,31.5,0.166,0.159,0.064,1890,1844.64,1512,1753.92,J31,50000
63,680,0.08,0.042,16,31.5,0.196,0.156,0.13,1890,1844.64,1512,1753.92,J31,42840
100,330,0.07,0.059,16,31.5,0.352,0.281,0.23,1630,1590.88,1304,1512.64,J31,33000
6.3,8200,0.22,0.022,16,35.5,0.073,0.061,0.05,2550,2550,2297.3,2435.14,J35,51660
10,6800,0.19,0.022,16,35.5,0.071,0.06,0.05,2550,2550,2297.3,2435.14,J35,68000
16,4700,0.16,0.022,16,35.5,0.078,0.068,0.05,2550,2550,2297.3,2435.14,J35,75200
25,3300,0.14,0.022,16,35.5,0.091,0.08,0.05,2550,2550,2297.3,2435.14,J35,82500
35,2200,0.12,0.022,16,35.5,0.106,0.096,0.05,2550,2550,2297.3,2435.14,J35,77000
50,1200,0.1,0.028,16,35.5,0.139,0.133,0.056,2140,2140,1927.93,2043.6,J35,60000
63,820,0.08,0.036,16,35.5,0.162,0.129,0.11,2140,2088.64,1712,1985.92,J35,51660
100,390,0.07,0.052,16,35.5,0.298,0.238,0.21,1750,1708,1400,1624,J35,39000
6.3,12000,0.22,0.018,16,40,0.059,0.051,0.041,2970,2970,2675.68,2836.22,J40,75600
10,8200,0.19,0.018,16,40,0.067,0.057,0.041,2970,2970,2675.68,2836.22,J40,82000
16,5600,0.16,0.018,16,40,0.072,0.062,0.041,2970,2970,2675.68,2836.22,J40,89600
25,3900,0.14,0.018,16,40,0.077,0.068,0.041,2970,2970,2675.68,2836.22,J40,97500
35,2700,0.12,0.018,16,40,0.087,0.079,0.041,2970,2970,2675.68,2836.22,J40,94500
50,1500,0.1,0.026,16,40,0.111,0.106,0.052,2410,2410,2171.17,2301.44,J40,75000
63,1000,0.08,0.032,16,40,0.133,0.133,0.096,2410,2352.16,1928,2236.48,J40,63000
100,470,0.07,0.045,16,40,0.248,0.198,0.18,1920,1873.92,1536,1781.76,J40,47000
6.3,3300,0.22,0.043,18,16,0.131,0.113,0.097,1460,1460,1315.32,1394.23,K16,20790
10,2200,0.19,0.043,18,16,0.159,0.139,0.097,1460,1460,1315.32,1394.23,K16,22000
16,1500,0.16,0.043,18,16,0.177,0.159,0.097,1460,1460,1315.32,1394.23,K16,24000
25,1200,0.14,0.043,18,16,0.194,0.177,0.097,1460,1460,1315.32,1394.23,K16,30000
35,680,0.12,0.043,18,16,0.293,0.234,0.097,1460,1424.96,1168,1354.88,K16,23800
50,470,0.1,0.048,18,16,0.353,0.282,0.096,1180,1151.68,944,1095.04,K16,23500
63,330,0.08,0.065,18,16,0.403,0.322,0.2,1200,1171.2,960,1113.6,K16,20790
100,150,0.07,0.12,18,16,0.775,0.619,0.48,871,785.73,609.09,737,K16,15000
6.3,5600,0.22,0.03,18,20,0.089,0.076,0.068,1850,1850,1666.67,1766.67,K20,35280
10,3900,0.19,0.03,18,20,0.098,0.085,0.068,1850,1850,1666.67,1766.67,K20,39000
16,2700,0.16,0.03,18,20,0.111,0.098,0.068,1850,1850,1666.67,1766.67,K20,43200
25,1800,0.14,0.03,18,20,0.13,0.118,0.068,1850,1850,1666.67,1766.67,K20,45000
35,1200,0.12,0.03,18,20,0.166,0.155,0.068,1850,1850,1666.67,1766.67,K20,42000
50,820,0.1,0.036,18,20,0.203,0.162,0.072,1450,1415.2,1160,1345.6,K20,41000
63,470,0.08,0.058,18,20,0.237,0.226,0.17,1460,1424.96,1168,1354.88,K20,29610
100,270,0.07,0.085,18,20,0.431,0.344,0.34,1170,1055.45,818.18,990,K20,27000
6.3,6800,0.22,0.027,18,25,0.079,0.066,0.061,2120,2120,1909.91,2024.5,K25,42840
10,4700,0.19,0.027,18,25,0.089,0.076,0.061,2120,2120,1909.91,2024.5,K25,47000
16,3900,0.16,0.027,18,25,0.086,0.075,0.061,2120,2120,1909.91,2024.5,K25,62400
25,2700,0.14,0.027,18,25,0.099,0.088,0.061,2120,2120,1909.91,2024.5,K25,67500
35,1800,0.12,0.027,18,25,0.111,0.103,0.061,2120,2120,1909.91,2024.5,K25,63000
50,1000,0.1,0.032,18,25,0.166,0.159,0.064,1720,1678.72,1376,1596.16,K25,50000
63,680,0.08,0.05,18,25,0.196,0.156,0.15,1740,1698.24,1392,1614.72,K25,42840
100,330,0.07,0.071,18,25,0.352,0.281,0.28,1500,1464,1200,1392,K25,33000
6.3,10000,0.22,0.023,18,31.5,0.064,0.056,0.052,2410,2410,2171.17,2301.44,K31,63000
10,6800,0.19,0.023,18,31.5,0.071,0.06,0.052,2410,2410,2171.17,2301.44,K31,68000
16,4700,0.16,0.023,18,31.5,0.078,0.068,0.052,2410,2410,2171.17,2301.44,K31,75200
25,3300,0.14,0.023,18,31.5,0.091,0.08,0.052,2410,2410,2171.17,2301.44,K31,82500
35,2200,0.12,0.023,18,31.5,0.106,0.096,0.052,2410,2410,2171.17,2301.44,K31,77000
50,1500,0.1,0.026,18,31.5,0.111,0.106,0.052,1970,1970,1774.77,1881.26,K31,75000
63,820,0.08,0.042,18,31.5,0.162,0.129,0.13,1990,1942.24,1592,1846.72,K31,51660
100,390,0.07,0.058,18,31.5,0.298,0.238,0.23,1630,1590.88,1304,1512.64,K31,39000
6.3,12000,0.22,0.019,18,35.5,0.059,0.051,0.043,2680,2680,2414.41,2559.28,K35,75600
10,8200,0.19,0.019,18,35.5,0.067,0.057,0.043,2680,2680,2414.41,2559.28,K35,82000
16,6800,0.16,0.019,18,35.5,0.064,0.055,0.043,2680,2680,2414.41,2559.28,K35,108800
25,3900,0.14,0.019,18,35.5,0.077,0.068,0.043,2680,2680,2414.41,2559.28,K35,97500
35,2700,0.12,0.019,18,35.5,0.087,0.079,0.043,2680,2680,2414.41,2559.28,K35,94500
50,1800,0.1,0.025,18,35.5,0.074,0.088,0.05,2310,2310,2081.08,2205.95,K35,90000
63,1000,0.08,0.035,18,35.5,0.133,0.133,0.11,2340,2283.84,1872,2171.52,K35,63000
100,560,0.07,0.054,18,35.5,0.208,0.166,0.22,1920,1873.92,1536,1781.76,K35,56000
6.3,15000,0.22,0.017,18,40,0.054,0.046,0.038,3010,3010,2711.71,2874.41,K40,94500
10,10000,0.19,0.017,18,40,0.059,0.052,0.038,3010,3010,2711.71,2874.41,K40,100000
16,8200,0.16,0.017,18,40,0.061,0.052,0.038,3010,3010,2711.71,2874.41,K40,131200
25,4700,0.14,0.017,18,40,0.071,0.062,0.038,3010,3010,2711.71,2874.41,K40,117500
35,3300,0.12,0.017,18,40,0.081,0.072,0.038,3010,3010,2711.71,2874.41,K40,115500
50,2200,0.1,0.024,18,40,0.073,0.084,0.048,2530,2530,2279.28,2416.04,K40,110000
63,1200,0.08,0.032,18,40,0.111,0.111,0.096,2560,2560,2306.31,2444.68,K40,75600
100,680,0.07,0.041,18,40,0.171,0.137,0.16,2100,2049.6,1680,1948.8,K40,68000
