Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
50,2200,0.084,16,35.5,0.14,ESMG500E□□222MLP1S,2075
50,3300,0.064,18,35.5,0.16,ESMG500E□□332MMP1S,2500
63,10,11.937,5,11,0.09,ESMG630E□□100ME11D,65
63,22,5.426,5,11,0.09,ESMG630E□□220ME11D,100
63,33,3.617,6.3,11,0.09,ESMG630E□□330MF11D,140
63,47,2.54,6.3,11,0.09,ESMG630E□□470MF11D,170
63,100,1.194,10,12.5,0.09,ESMG630E□□101MJC5S,300
63,220,0.543,10,16,0.09,ESMG630E□□221MJ16S,490
63,330,0.362,10,20,0.09,ESMG630E□□331MJ20S,710
63,470,0.254,12.5,20,0.09,ESMG630E□□471MK20S,900
63,1000,0.119,16,25,0.09,ESMG630E□□102ML25S,1300
100,1,106.103,5,11,0.08,ESMG101E□□1R0ME11D,21
100,2.2,48.229,5,11,0.08,ESMG101E□□2R2ME11D,30
100,3.3,32.153,5,11,0.08,ESMG101E□□3R3ME11D,40
100,4.7,22.575,5,11,0.08,ESMG101E□□4R7ME11D,45
100,10,10.61,6.3,11,0.08,ESMG101E□□100MF11D,75
100,22,4.823,8,11.5,0.08,ESMG101E□□220MHB5D,130
100,33,3.215,8,11.5,0.08,ESMG101E□□330MHB5D,180
100,47,2.258,10,12.5,0.08,ESMG101E□□470MJC5S,230
100,100,1.061,10,20,0.08,ESMG101E□□101MJ20S,370
100,220,0.482,12.5,25,0.08,ESMG101E□□221MK25S,620
100,330,0.322,12.5,25,0.08,ESMG101E□□331MK25S,760
100,470,0.226,16,25,0.08,ESMG101E□□471ML25S,1000
100,1000,0.106,18,40,0.08,ESMG101E□□102MM40S,1380
160,3.3,80.381,6.3,11,0.2,ESMG161E□□3R3MF11D,40
160,4.7,56.438,6.3,11,0.2,ESMG161E□□4R7MF11D,48
160,10,26.526,10,12.5,0.2,ESMG161E□□100MJC5S,94
160,22,12.057,10,20,0.2,ESMG161E□□220MJ20S,170
160,33,8.038,10,20,0.2,ESMG161E□□330MJ20S,205
160,47,5.644,12.5,20,0.2,ESMG161E□□470MK20S,270
160,100,2.653,12.5,25,0.2,ESMG161E□□101MK25S,430
160,220,1.206,16,31.5,0.2,ESMG161E□□221MLN3S,760
160,330,0.804,18,35.5,0.2,ESMG161E□□331MMP1S,995
200,3.3,80.381,6.3,11,0.2,ESMG201E□□3R3MF11D,40
200,4.7,56.438,8,11.5,0.2,ESMG201E□□4R7MHB5D,55
200,10,26.526,10,12.5,0.2,ESMG201E□□100MJC5S,94
200,22,12.057,10,20,0.2,ESMG201E□□220MJ20S,170
200,33,8.038,10,20,0.2,ESMG201E□□330MJ20S,205
200,47,5.644,12.5,20,0.2,ESMG201E□□470MK20S,270
200,100,2.653,16,25,0.2,ESMG201E□□101ML25S,475
200,220,1.206,18,35.5,0.2,ESMG201E□□221MMP1S,810
250,2.2,120.572,6.3,11,0.2,ESMG251E□□2R2MF11D,32
250,3.3,80.381,8,11.5,0.2,ESMG251E□□3R3MHB5D,46
250,4.7,56.438,8,11.5,0.2,ESMG251E□□4R7MHB5D,55
250,10,26.526,10,16,0.2,ESMG251E□□100MJ16S,105
250,22,12.057,10,20,0.2,ESMG251E□□220MJ20S,170
250,33,8.038,12.5,20,0.2,ESMG251E□□330MK20S,230
250,47,5.644,12.5,25,0.2,ESMG251E□□470MK25S,295
250,100,2.653,16,31.5,0.2,ESMG251E□□101MLN3S,515
250,220,1.206,18,40,0.2,ESMG251E□□221MM40S,825
350,1,318.31,6.3,11,0.24,ESMG351E□□1R0MF11D,22
350,2.2,144.686,8,11.5,0.24,ESMG351E□□2R2MHB5D,38
350,3.3,96.458,8,11.5,0.24,ESMG351E□□3R3MHB5D,46
350,4.7,67.726,10,12.5,0.24,ESMG351E□□4R7MJC5S,65
350,10,31.831,10,20,0.24,ESMG351E□□100MJ20S,115
350,22,14.469,12.5,20,0.24,ESMG351E□□220MK20S,185
350,33,9.646,16,25,0.24,ESMG351E□□330ML25S,275
350,47,6.773,16,25,0.24,ESMG351E□□470ML25S,325
350,100,3.183,18,31.5,0.24,ESMG351E□□101MMN3S,530
400,1,318.31,6.3,11,0.24,ESMG401E□□1R0MF11D,22
400,2.2,144.686,8,11.5,0.24,ESMG401E□□2R2MHB5D,38
400,3.3,96.458,10,12.5,0.24,ESMG401E□□3R3MJC5S,54
400,4.7,67.726,10,16,0.24,ESMG401E□□4R7MJ16S,71
400,10,31.831,10,20,0.24,ESMG401E□□100MJ20S,115
400,22,14.469,12.5,25,0.24,ESMG401E□□220MK25S,205
400,33,9.646,16,25,0.24,ESMG401E□□330ML25S,275
400,47,6.773,16,31.5,0.24,ESMG401E□□470MLN3S,350
450,2.2,144.686,10,12.5,0.24,ESMG451E□□2R2MJC5S,32
450,3.3,96.458,10,16,0.24,ESMG451E□□3R3MJ16S,44
450,4.7,67.726,10,20,0.24,ESMG451E□□4R7MJ20S,56
450,10,31.831,12.5,20,0.24,ESMG451E□□100MK20S,91
450,22,14.469,16,25,0.24,ESMG451E□□220ML25S,165
450,33,9.646,16,31.5,0.24,ESMG451E□□330MLN3S,215
450,47,6.773,16,35.5,0.24,ESMG451E□□470MLP1S,265
