Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@50Hz,Ripple Current 125°C@60Hz,Size Code,VC
16,1000,0.16,0.044,16,16,0.239,1930,1930,1451.13,1741.35,1349.55,1349.55,J16,16000
16,2200,0.16,0.032,12.5,25,0.121,2400,2400,2033.9,2277.97,1911.86,1911.86,G25,35200
16,2200,0.16,0.024,16,25,0.121,3100,3100,2627.12,2942.37,2469.49,2469.49,J25,35200
16,2200,0.16,0.029,18,20,0.121,2490,2490,2110.17,2363.39,1983.56,1983.56,K20,35200
16,3300,0.16,0.02,16,31.5,0.088,3160,3160,2677.97,2999.32,2517.29,2517.29,J31,52800
16,3300,0.16,0.022,18,25,0.088,3200,3200,2711.86,3037.29,2549.15,2549.15,K25,52800
16,4700,0.16,0.019,16,35.5,0.068,3590,3590,3042.37,3407.46,2859.83,2859.83,J35,75200
16,4700,0.16,0.018,18,31.5,0.068,3410,3410,2889.83,3236.61,2716.44,2716.44,K31,75200
25,100,0.14,0.153,8,12,1.857,501,501,325.32,426.18,276.53,276.53,E12,2500
25,220,0.14,0.153,8,12,0.844,501,501,325.32,426.18,276.53,276.53,E12,5500
25,220,0.14,0.098,10,12.5,0.844,732,732,475.32,622.68,404.03,404.03,F12,5500
25,330,0.14,0.098,10,12.5,0.563,732,732,475.32,622.68,404.03,404.03,F12,8250
25,330,0.14,0.075,10,16,0.563,953,953,618.83,810.67,526.01,526.01,F16,8250
25,470,0.14,0.075,10,16,0.395,953,953,716.54,859.85,666.38,666.38,F16,11750
25,470,0.14,0.057,10,20,0.395,1140,1140,857.14,1028.57,797.14,797.14,F20,11750
25,470,0.14,0.04,12.5,20,0.395,1820,1820,1368.42,1642.11,1272.63,1272.63,G20,11750
25,1000,0.14,0.04,12.5,20,0.212,1820,1820,1368.42,1642.11,1272.63,1272.63,G20,25000
25,1000,0.14,0.032,12.5,25,0.212,2400,2400,1804.51,2165.41,1678.2,1678.2,G25,25000
25,1000,0.14,0.044,16,16,0.212,1930,1930,1451.13,1741.35,1349.55,1349.55,J16,25000
25,1200,0.14,0.04,12.5,20,0.177,1820,1820,1542.37,1727.46,1449.83,1449.83,G20,30000
25,1800,0.14,0.032,12.5,25,0.118,2400,2400,2033.9,2277.97,1911.86,1911.86,G25,45000
25,1800,0.14,0.032,16,20,0.118,2280,2280,1932.2,2164.07,1816.27,1816.27,J20,45000
25,2200,0.14,0.029,12.5,30,0.109,2560,2560,2169.49,2429.83,2039.32,2039.32,G30,55000
25,2200,0.14,0.024,16,25,0.109,3100,3100,2627.12,2942.37,2469.49,2469.49,J25,55000
25,2200,0.14,0.029,18,20,0.109,2490,2490,2110.17,2363.39,1983.56,1983.56,K20,55000
25,2700,0.14,0.023,12.5,35,0.088,2970,2970,2516.95,2818.98,2365.93,2365.93,G35,67500
25,2700,0.14,0.024,16,25,0.088,3100,3100,2627.12,2942.37,2469.49,2469.49,J25,67500
25,2700,0.14,0.029,18,20,0.088,2490,2490,2110.17,2363.39,1983.56,1983.56,K20,67500
25,3300,0.14,0.02,12.5,40,0.08,3600,3600,3050.85,3416.95,2867.8,2867.8,G40,82500
25,3300,0.14,0.02,16,31.5,0.08,3160,3160,2677.97,2999.32,2517.29,2517.29,J31,82500
25,3900,0.14,0.019,16,35.5,0.068,3590,3590,3042.37,3407.46,2859.83,2859.83,J35,97500
25,3900,0.14,0.022,18,25,0.068,3200,3200,2711.86,3037.29,2549.15,2549.15,K25,97500
25,4700,0.14,0.017,18,35.5,0.062,4200,4200,3559.32,3986.44,3345.76,3345.76,K35,117500
25,5600,0.14,0.017,16,40,0.057,4300,4300,3644.07,4081.36,3425.42,3425.42,J40,140000
25,5600,0.14,0.017,18,35.5,0.057,4200,4200,3559.32,3986.44,3345.76,3345.76,K35,140000
25,6800,0.14,0.016,18,40,0.051,4600,4600,3898.31,4366.1,3664.41,3664.41,K40,170000
35,100,0.12,0.153,8,12,1.592,501,501,325.32,426.18,276.53,276.53,E12,3500
35,220,0.12,0.098,10,12.5,0.723,732,732,475.32,622.68,404.03,404.03,F12,7700
35,220,0.12,0.075,10,16,0.723,953,953,618.83,810.67,526.01,526.01,F16,7700
35,330,0.12,0.075,10,16,0.482,953,953,618.83,810.67,526.01,526.01,F16,11550
35,330,0.12,0.057,10,20,0.482,1140,1140,740.26,969.74,629.22,629.22,F20,11550
35,470,0.12,0.057,10,20,0.339,1140,1140,857.14,1028.57,797.14,797.14,F20,16450
35,470,0.12,0.04,12.5,20,0.339,1820,1820,1368.42,1642.11,1272.63,1272.63,G20,16450
35,470,0.12,0.044,16,16,0.339,1930,1930,1451.13,1741.35,1349.55,1349.55,J16,16450
35,1000,0.12,0.032,12.5,25,0.186,2400,2400,1804.51,2165.41,1678.2,1678.2,G25,35000
35,1000,0.12,0.024,16,25,0.186,3100,3100,2330.83,2796.99,2167.67,2167.67,J25,35000
35,1000,0.12,0.029,18,20,0.186,2490,2490,1872.18,2246.62,1741.13,1741.13,K20,35000
35,1200,0.12,0.029,12.5,30,0.155,2560,2560,2169.49,2429.83,2039.32,2039.32,G30,42000
35,1200,0.12,0.032,16,20,0.155,2280,2280,1932.2,2164.07,1816.27,1816.27,J20,42000
35,1500,0.12,0.023,12.5,35,0.124,2970,2970,2516.95,2818.98,2365.93,2365.93,G35,52500
35,1500,0.12,0.02,16,31.5,0.124,3160,3160,2677.97,2999.32,2517.29,2517.29,J31,52500
35,1500,0.12,0.022,18,25,0.124,3200,3200,2711.86,3037.29,2549.15,2549.15,K25,52500
35,1800,0.12,0.02,12.5,40,0.103,3600,3600,3050.85,3416.95,2867.8,2867.8,G40,63000
35,1800,0.12,0.024,16,25,0.103,3100,3100,2627.12,2942.37,2469.49,2469.49,J25,63000
35,1800,0.12,0.02,16,31.5,0.103,3160,3160,2677.97,2999.32,2517.29,2517.29,J31,63000
35,2200,0.12,0.019,16,35.5,0.096,3590,3590,3042.37,3407.46,2859.83,2859.83,J35,77000
35,2200,0.12,0.022,18,25,0.096,3200,3200,2711.86,3037.29,2549.15,2549.15,K25,77000
35,2700,0.12,0.019,16,35.5,0.079,3590,3590,3042.37,3407.46,2859.83,2859.83,J35,94500
35,2700,0.12,0.018,18,31.5,0.079,3410,3410,2889.83,3236.61,2716.44,2716.44,K31,94500
35,3300,0.12,0.017,16,40,0.072,4300,4300,3644.07,4081.36,3425.42,3425.42,J40,115500
35,3300,0.12,0.017,18,35.5,0.072,4200,4200,3559.32,3986.44,3345.76,3345.76,K35,115500
35,4700,0.12,0.016,18,40,0.056,4600,4600,3898.31,4366.1,3664.41,3664.41,K40,164500
50,220,0.1,0.081,10,20,0.603,960,960,623.38,816.62,529.87,529.87,F20,11000
50,470,0.1,0.057,12.5,20,0.282,1500,1500,1127.82,1353.38,1048.87,1048.87,G20,23500
50,820,0.1,0.038,12.5,30,0.162,2150,2150,1616.54,1939.85,1503.38,1503.38,G30,41000
50,1000,0.1,0.031,16,25,0.159,2620,2620,1969.92,2363.91,1832.03,1832.03,J25,50000
50,1800,0.1,0.025,18,31.5,0.088,3140,3140,2661.02,2980.34,2501.36,2501.36,K31,90000
50,2200,0.1,0.022,18,35.5,0.084,3510,3510,2974.58,3331.53,2796.1,2796.1,K35,110000
63,820,0.1,0.08,16,31.5,0.162,1910,1910,1436.09,1723.31,1335.56,1335.56,J31,51660
63,1000,0.1,0.066,16,35.5,0.159,2110,2110,1586.47,1903.76,1475.41,1475.41,J35,63000
63,1800,0.1,0.051,18,40,0.088,2470,2470,2093.22,2344.41,1967.63,1967.63,K40,113400
80,330,0.08,0.19,16,20,0.322,1200,1200,779.22,1020.78,662.34,662.34,J20,26400
80,470,0.08,0.11,16,25,0.226,1530,1530,1150.38,1380.45,1069.85,1069.85,J25,37600
80,560,0.08,0.094,18,25,0.189,1640,1640,1233.08,1479.7,1146.77,1146.77,K25,44800
80,820,0.08,0.062,18,35.5,0.129,2180,2180,1639.1,1966.92,1524.36,1524.36,K35,65600
80,1000,0.08,0.051,18,40,0.133,2470,2470,1857.14,2228.57,1727.14,1727.14,K40,80000
