Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,VC,Voltage_1
63,4.7,15.028,15.028,5,11,0.09,25.397,39,39,30,36,24,24,296.1,>1000
35,10,5.507,5.507,5,11,0.12,15.916,76.5,76.5,45,67.5,36,36,350,≤1000
35,10,9.417,9.417,5,11,0.12,15.916,58.5,58.5,45,54,36,36,350,>1000
50,10,3.674,3.674,5,11,0.1,13.263,85.5,85.5,45,72,36,36,500,≤1000
50,10,7.848,7.848,5,11,0.1,13.263,58.5,58.5,45,54,36,36,500,>1000
63,10,3.307,3.307,5,11,0.09,11.937,85.5,85.5,45,72,36,36,630,≤1000
63,10,7.063,7.063,5,11,0.09,11.937,58.5,58.5,45,54,36,36,630,>1000
16,22,6.698,6.698,5,11,0.16,9.646,60,60,50,55,40,40,352,all
25,22,2.92,2.92,5,11,0.14,8.44,93.5,93.5,55,82.5,44,44,550,≤1000
25,22,4.994,4.994,5,11,0.14,8.44,71.5,71.5,55,66,44,44,550,>1000
35,22,2.503,2.503,5,11,0.12,7.234,102,102,60,90,48,48,770,≤1000
35,22,4.281,4.281,5,11,0.12,7.234,78,78,60,72,48,48,770,>1000
50,22,1.67,1.67,5,11,0.1,6.029,133,133,70,112,56,56,1100,≤1000
50,22,3.567,3.567,5,11,0.1,6.029,91,91,70,84,56,56,1100,>1000
63,22,1.503,1.503,6.3,11,0.09,5.426,161.5,161.5,85,136,68,68,1386,≤1000
63,22,3.21,3.21,6.3,11,0.09,5.426,110.5,110.5,85,102,68,68,1386,>1000
16,33,4.466,4.466,5,11,0.16,6.431,72,72,60,66,48,48,528,all
25,33,1.947,1.947,5,11,0.14,5.627,119,119,70,105,56,56,825,≤1000
25,33,3.329,3.329,5,11,0.14,5.627,91,91,70,84,56,56,825,>1000
35,33,1.669,1.669,6.3,11,0.12,4.823,144.5,144.5,85,127.5,68,68,1155,≤1000
35,33,2.854,2.854,6.3,11,0.12,4.823,110.5,110.5,85,102,68,68,1155,>1000
50,33,1.113,1.113,6.3,11,0.1,4.019,190,190,100,160,80,80,1650,≤1000
50,33,2.378,2.378,6.3,11,0.1,4.019,130,130,100,120,80,80,1650,>1000
63,33,1.002,1.002,6.3,11,0.09,3.617,190,190,100,160,80,80,2079,≤1000
63,33,2.14,2.14,6.3,11,0.09,3.617,130,130,100,120,80,80,2079,>1000
16,47,3.135,3.135,5,11,0.16,4.515,90,90,75,82.5,60,60,752,all
25,47,1.367,1.367,5,11,0.14,3.951,144.5,144.5,85,127.5,68,68,1175,≤1000
25,47,2.338,2.338,5,11,0.14,3.951,110.5,110.5,85,102,68,68,1175,>1000
35,47,1.172,1.172,6.3,11,0.12,3.386,187,187,110,165,88,88,1645,≤1000
35,47,2.004,2.004,6.3,11,0.12,3.386,143,143,110,132,88,88,1645,>1000
50,47,0.782,0.782,6.3,11,0.1,2.822,228,228,120,192,96,96,2350,≤1000
50,47,1.67,1.67,6.3,11,0.1,2.822,156,156,120,144,96,96,2350,>1000
63,47,0.704,0.704,8,11.5,0.09,2.54,285,285,150,240,120,120,2961,≤1000
63,47,1.503,1.503,8,11.5,0.09,2.54,195,195,150,180,120,120,2961,>1000
6.3,100,2.026,2.026,5,11,0.22,2.918,102,102,85,93.5,68,68,630,all
10,100,1.75,1.75,5,11,0.19,2.52,114,114,95,104.5,76,76,1000,all
16,100,1.474,1.474,6.3,11,0.16,2.122,144,144,120,132,96,96,1600,all
25,100,0.642,0.642,6.3,11,0.14,1.857,238,238,140,210,112,112,2500,≤1000
25,100,1.099,1.099,6.3,11,0.14,1.857,182,182,140,168,112,112,2500,>1000
35,100,0.551,0.551,8,11.5,0.12,1.592,323,323,190,285,152,152,3500,≤1000
35,100,0.942,0.942,8,11.5,0.12,1.592,247,247,190,228,152,152,3500,>1000
50,100,0.367,0.367,8,11.5,0.1,1.326,399,399,210,336,168,168,5000,≤1000
50,100,0.785,0.785,8,11.5,0.1,1.326,273,273,210,252,168,168,5000,>1000
63,100,0.331,0.331,10,12.5,0.09,1.194,494,494,260,416,208,208,6300,≤1000
63,100,0.706,0.706,10,12.5,0.09,1.194,338,338,260,312,208,208,6300,>1000
6.3,220,0.921,0.921,6.3,11,0.22,1.326,180,180,150,165,120,120,1386,all
10,220,0.795,0.795,6.3,11,0.19,1.145,198,198,165,181.5,132,132,2200,all
16,220,0.67,0.67,8,11.5,0.16,0.965,264,264,220,242,176,176,3520,all
25,220,0.292,0.292,8,11.5,0.14,0.844,425,425,250,375,200,200,5500,≤1000
25,220,0.499,0.499,8,11.5,0.14,0.844,325,325,250,300,200,200,5500,>1000
35,220,0.25,0.25,10,12.5,0.12,0.723,561,561,330,495,264,264,7700,≤1000
35,220,0.428,0.428,10,12.5,0.12,0.723,429,429,330,396,264,264,7700,>1000
50,220,0.167,0.167,10,16,0.1,0.603,760,760,400,640,320,320,11000,≤1000
50,220,0.357,0.357,10,16,0.1,0.603,520,520,400,480,320,320,11000,>1000
63,220,0.15,0.15,10,20,0.09,0.543,874,874,460,736,368,368,13860,≤1000
63,220,0.321,0.321,10,20,0.09,0.543,598,598,460,552,368,368,13860,>1000
6.3,330,0.614,0.614,6.3,11,0.22,0.884,216,216,180,198,144,144,2079,all
