Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
200,330,0.2,18,35.5,-40,105,0.804,10000,2740,250,UCS2D331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3220,3220,1788.89,2862.22,1431.11,MP,66000,Normal,14.2
250,10,0.2,10,20,-40,105,26.526,8000,200,1400,UCS2E100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,350,350,194.44,311.11,155.56,MP,2500,Normal,2.34
250,22,0.2,10,20,-40,105,12.057,8000,320,1400,UCS2E220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,500,277.78,444.44,222.22,MP,5500,Normal,2.34
250,33,0.2,12.5,20,-40,105,8.038,10000,430,1000,UCS2E330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,800,800,444.44,711.11,355.56,MP,8250,Normal,3.43
250,47,0.2,12.5,20,-40,105,5.644,10000,570,1000,UCS2E470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,980,980,544.44,871.11,435.56,MP,11750,Normal,3.43
250,68,0.2,16,20,-40,105,3.901,10000,780,600,UCS2E680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1300,1300,722.22,1155.56,577.78,MP,17000,Normal,6.6
250,82,0.2,10,40,-40,105,3.235,10000,920,500,UCS2E820MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1220,1220,677.78,1084.44,542.22,LTB,20500,Normal,5.24
250,82,0.2,16,20,-40,105,3.235,10000,920,600,UCS2E820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1380,1380,766.67,1226.67,613.33,MP,20500,Normal,6.6
250,100,0.2,10,50,-40,105,2.653,10000,1100,300,UCS2E101MND9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,1360,755.56,1208.89,604.44,LTB,25000,Normal,6.45
250,100,0.2,16,25,-40,105,2.653,10000,1100,400,UCS2E101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1530,1530,850,1360,680,MP,25000,Normal,8.2
250,150,0.2,18,25,-40,105,1.768,10000,1600,300,UCS2E151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1940,1940,1077.78,1724.44,862.22,MP,37500,Normal,10.6
250,180,0.2,12.5,50,-40,105,1.474,10000,1900,400,UCS2E181MNY9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2070,2070,1150,1840,920,LTB,45000,Normal,10.4
