Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
16,3300,0.2,0.015,12.5,35.5,-40,105,0.104,5000,0.039,528,500,UHD1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,3400,2720,3236.8,2556.8,MP,52800,Normal,7.06
16,3900,0.2,0.016,16,25,-40,105,0.088,5000,0.043,624,400,UHD1C392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,3460,2768,3293.92,2601.92,MP,62400,Normal,8.2
25,47,0.14,0.3,5,11,-40,105,3.951,2000,1,12,6000,UHD1E470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,,,,,EOL,1175,Normal,0.44
25,100,0.14,0.13,6.3,11,-40,105,1.857,2000,0.41,25,4000,UHD1E101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,385.17,283.22,342.69,243.57,EOL,2500,Normal,0.59
25,220,0.14,0.072,8,11.5,-40,105,0.844,3000,0.22,55,3000,UHD1E221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,722.8,531.47,643.08,457.06,MP,5500,Normal,1.19
25,330,0.14,0.056,8,15,-40,105,0.563,3000,0.17,83,2000,UHD1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,946.29,695.8,841.92,598.39,MP,8250,Normal,1.36
25,330,0.14,0.053,10,12.5,-40,105,0.563,4000,0.16,83,2000,UHD1E331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,979.58,720.28,871.54,619.44,MP,8250,Normal,1.49
25,470,0.14,0.041,8,20,-40,105,0.395,3000,0.13,118,2000,UHD1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,1231.2,939.85,1127.82,817.67,MP,11750,Normal,1.66
25,470,0.14,0.038,10,16,-40,105,0.395,4000,0.12,118,1800,UHD1E471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1408.5,1075.19,1290.23,935.41,MP,11750,Normal,1.77
25,680,0.14,0.023,10,20,-40,105,0.273,4000,0.069,170,1400,UHD1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,1792.63,1368.42,1642.11,1190.53,MP,17000,Normal,2.34
