Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
10,100,2.52,0.94,6.3,11,-55,105,0.19,5000,30,4000,UPV1A101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,EOL,Normal,0.59
10,120,2.1,0.75,6.3,11,-55,105,0.19,5000,36,4000,UPV1A121MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,235,EOL,Normal,0.59
10,150,1.68,0.6,6.3,11,-55,105,0.19,5000,45,4000,UPV1A151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,265,EOL,Normal,0.59
10,180,1.4,0.49,6.3,11,-55,105,0.19,5000,54,4000,UPV1A181MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,290,EOL,Normal,0.59
10,220,1.145,0.41,8,11.5,-55,105,0.19,5000,66,3000,UPV1A221MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,LTB,Normal,1.19
10,270,0.933,0.34,8,11.5,-55,105,0.19,5000,81,3000,UPV1A271MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,LTB,Normal,1.19
10,330,0.764,0.27,8,11.5,-55,105,0.19,5000,99,3000,UPV1A331MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,LTB,Normal,1.19
16,47,4.515,1.4,5,11,-55,105,0.16,5000,23,6000,UPV1C470MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,Normal,0.44
16,56,3.789,1.1,5,11,-55,105,0.16,5000,27,6000,UPV1C560MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,Normal,0.44
16,68,3.121,0.85,6.3,11,-55,105,0.16,5000,33,4000,UPV1C680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,220,EOL,Normal,0.59
16,82,2.588,0.71,6.3,11,-55,105,0.16,5000,39,4000,UPV1C820MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,240,EOL,Normal,0.59
16,100,2.122,0.6,6.3,11,-55,105,0.16,5000,48,4000,UPV1C101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,265,EOL,Normal,0.59
16,120,1.768,0.49,6.3,11,-55,105,0.16,5000,58,4000,UPV1C121MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,290,EOL,Normal,0.59
16,150,1.415,0.39,8,11.5,-55,105,0.16,5000,72,3000,UPV1C151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,375,MP,Normal,1.19
16,180,1.179,0.34,8,11.5,-55,105,0.16,5000,86,3000,UPV1C181MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,MP,Normal,1.19
16,220,0.965,0.27,8,11.5,-55,105,0.16,5000,106,3000,UPV1C221MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,MP,Normal,1.19
25,33,5.627,1.4,5,11,-55,105,0.14,5000,25,6000,UPV1E330MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,Normal,0.44
25,39,4.761,1.1,5,11,-55,105,0.14,5000,29,6000,UPV1E390MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,175,EOL,Normal,0.44
25,47,3.951,0.94,6.3,11,-55,105,0.14,5000,35,4000,UPV1E470MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,EOL,Normal,0.59
25,56,3.316,0.75,6.3,11,-55,105,0.14,5000,42,4000,UPV1E560MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,235,EOL,Normal,0.59
25,68,2.731,0.61,6.3,11,-55,105,0.14,5000,51,4000,UPV1E680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,260,EOL,Normal,0.59
25,82,2.264,0.51,6.3,11,-55,105,0.14,5000,62,4000,UPV1E820MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,285,EOL,Normal,0.59
25,100,1.857,0.41,8,11.5,-55,105,0.14,5000,75,3000,UPV1E101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,MP,Normal,1.19
25,120,1.547,0.34,8,11.5,-55,105,0.14,5000,90,3000,UPV1E121MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,405,MP,Normal,1.19
25,150,1.238,0.27,8,11.5,-55,105,0.14,5000,113,3000,UPV1E151MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,MP,Normal,1.19
35,22,7.234,1.3,5,11,-55,105,0.12,5000,23,6000,UPV1V220MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,160,EOL,Normal,0.44
35,27,5.895,1,5,11,-55,105,0.12,5000,28,6000,UPV1V270MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,180,EOL,Normal,0.44
35,33,4.823,0.83,6.3,11,-55,105,0.12,5000,35,4000,UPV1V330MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,225,EOL,Normal,0.59
35,39,4.081,0.7,6.3,11,-55,105,0.12,5000,41,4000,UPV1V390MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,245,EOL,Normal,0.59
35,47,3.386,0.58,6.3,11,-55,105,0.12,5000,49,4000,UPV1V470MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,270,EOL,Normal,0.59
35,56,2.842,0.48,6.3,11,-55,105,0.12,5000,59,4000,UPV1V560MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,295,EOL,Normal,0.59
35,68,2.341,0.41,8,11.5,-55,105,0.12,5000,71,3000,UPV1V680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,370,MP,Normal,1.19
35,82,1.941,0.32,8,11.5,-55,105,0.12,5000,86,3000,UPV1V820MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,415,MP,Normal,1.19
35,100,1.592,0.27,8,11.5,-55,105,0.12,5000,105,3000,UPV1V101MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,460,MP,Normal,1.19
50,1.5,88.419,11,5,11,-55,105,0.1,5000,4,6000,UPV1H1R5MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,45,EOL,Normal,0.44
50,2.2,60.286,7,5,11,-55,105,0.1,5000,4,6000,UPV1H2R2MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,54,EOL,Normal,0.44
50,3.3,40.191,4.6,5,11,-55,105,0.1,5000,5,6000,UPV1H3R3MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,66,EOL,Normal,0.44
50,4.7,28.219,3.1,5,11,-55,105,0.1,5000,7,6000,UPV1H4R7MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,81,EOL,Normal,0.44
50,6.8,19.504,2.5,5,11,-55,105,0.1,5000,10,6000,UPV1H6R8MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,91,EOL,Normal,0.44
50,10,13.263,2,5,11,-55,105,0.1,5000,15,6000,UPV1H100MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,115,EOL,Normal,0.44
50,12,11.052,1.7,5,11,-55,105,0.1,5000,18,6000,UPV1H120MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,125,EOL,Normal,0.44
50,15,8.842,1.3,5,11,-55,105,0.1,5000,23,6000,UPV1H150MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,145,EOL,Normal,0.44
50,18,7.368,1.1,5,11,-55,105,0.1,5000,27,6000,UPV1H180MFD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,155,EOL,Normal,0.44
50,22,6.029,0.91,6.3,11,-55,105,0.1,5000,33,4000,UPV1H220MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,195,EOL,Normal,0.59
50,27,4.912,0.74,6.3,11,-55,105,0.1,5000,41,4000,UPV1H270MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,215,EOL,Normal,0.59
50,33,4.019,0.6,6.3,11,-55,105,0.1,5000,50,4000,UPV1H330MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,240,EOL,Normal,0.59
50,39,3.401,0.5,6.3,11,-55,105,0.1,5000,59,4000,UPV1H390MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,260,EOL,Normal,0.59
50,47,2.822,0.42,8,11.5,-55,105,0.1,5000,71,3000,UPV1H470MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,330,MP,Normal,1.19
50,56,2.368,0.35,8,11.5,-55,105,0.1,5000,84,3000,UPV1H560MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,360,MP,Normal,1.19
50,68,1.95,0.28,8,11.5,-55,105,0.1,5000,102,3000,UPV1H680MGD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,410,MP,Normal,1.19
