Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
50,33,4.823,5,11,-40,85,0.12,2000,50,6000,UKW1H330MDD,Uni-Polar,Radial Lead,Standard,120,EOL,Normal,0.44
50,47,3.386,6.3,11,-40,85,0.12,2000,71,4000,UKW1H470MED,Uni-Polar,Radial Lead,Standard,150,EOL,Normal,0.59
50,100,1.592,8,11.5,-40,85,0.12,2000,150,3000,UKW1H101MPD,Uni-Polar,Radial Lead,Standard,250,MP,Normal,1.19
50,220,0.723,10,12.5,-40,85,0.12,2000,330,2000,UKW1H221MPD,Uni-Polar,Radial Lead,Standard,410,MP,Normal,1.49
50,330,0.482,10,16,-40,85,0.12,2000,495,1800,UKW1H331MPD,Uni-Polar,Radial Lead,Standard,570,MP,Normal,1.77
50,470,0.339,12.5,20,-40,85,0.12,2000,705,1000,UKW1H471MHD,Uni-Polar,Radial Lead,Standard,760,MP,Normal,3.43
50,1000,0.159,12.5,25,-40,85,0.12,2000,1500,800,UKW1H102MHD,Uni-Polar,Radial Lead,Standard,1300,MP,Normal,4.56
50,2200,0.084,16,35.5,-40,85,0.14,2000,3300,300,UKW1H222MHD,Uni-Polar,Radial Lead,Standard,2090,MP,Normal,11.8
50,3300,0.064,18,35.5,-40,85,0.16,2000,4950,250,UKW1H332MHD,Uni-Polar,Radial Lead,Standard,2360,MP,Normal,14.2
50,4700,0.051,20,40,-40,85,0.18,2000,7050,150,UKW1H472MRD,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,19.6
50,6800,0.043,22,50,-40,85,0.22,2000,10200,250,UKW1H682MRD,Uni-Polar,Radial Lead,Standard,3500,EOL,Normal,27.4
50,10000,0.04,25,50,-40,85,0.3,2000,15000,140,UKW1H103MRD,Uni-Polar,Radial Lead,Standard,4000,EOL,Normal,38.8
63,10,13.263,5,11,-40,85,0.1,2000,19,6000,UKW1J100MDD,Uni-Polar,Radial Lead,Standard,70,EOL,Normal,0.44
63,22,6.029,5,11,-40,85,0.1,2000,42,6000,UKW1J220MDD,Uni-Polar,Radial Lead,Standard,100,EOL,Normal,0.44
63,33,4.019,6.3,11,-40,85,0.1,2000,62,4000,UKW1J330MED,Uni-Polar,Radial Lead,Standard,140,EOL,Normal,0.59
63,47,2.822,6.3,11,-40,85,0.1,2000,89,4000,UKW1J470MED,Uni-Polar,Radial Lead,Standard,165,EOL,Normal,0.59
63,100,1.326,10,12.5,-40,85,0.1,2000,189,2000,UKW1J101MPD,Uni-Polar,Radial Lead,Standard,300,MP,Normal,1.49
63,220,0.603,10,16,-40,85,0.1,2000,416,1800,UKW1J221MPD,Uni-Polar,Radial Lead,Standard,470,MP,Normal,1.77
63,330,0.402,10,20,-40,85,0.1,2000,624,1400,UKW1J331MPD,Uni-Polar,Radial Lead,Standard,650,MP,Normal,2.34
63,470,0.282,12.5,20,-40,85,0.1,2000,888,1000,UKW1J471MHD,Uni-Polar,Radial Lead,Standard,880,MP,Normal,3.43
63,1000,0.133,16,25,-40,85,0.1,2000,1890,400,UKW1J102MHD,Uni-Polar,Radial Lead,Standard,1300,MP,Normal,8.2
63,2200,0.072,18,35.5,-40,85,0.12,2000,4158,250,UKW1J222MHD,Uni-Polar,Radial Lead,Standard,2200,MP,Normal,14.2
63,3300,0.056,20,40,-40,85,0.14,2000,6237,150,UKW1J332MRD,Uni-Polar,Radial Lead,Standard,2700,EOL,Normal,19.6
63,4700,0.045,22,50,-40,85,0.16,2000,8883,250,UKW1J472MRD,Uni-Polar,Radial Lead,Standard,3400,EOL,Normal,27.4
