Voltage,Capacitance,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 200kHz,Frequency Coefficient 300Hz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@120Hz,Status,VC,Vibration resistant,Weight (g)
6.3,4700,0.05,18,20,-55,105,0.28,0.102,5000,1.16,1.0,1.15,1.16,1.08,0.13,888,400,UPJ0J472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1920,1720.0,MP,29610.0,Normal,9.0
6.3,5600,0.031,12.5,40,-55,105,0.3,0.095,5000,,,,,,0.078,1058,400,UPJ0J562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2270,2040.0,MP,35280.0,Normal,7.57
6.3,5600,0.047,18,20,-55,105,0.3,0.095,5000,,,,,,0.12,1058,400,UPJ0J562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1980,1780.0,MP,35280.0,Normal,9.0
6.3,6800,0.029,16,30.5,-55,105,0.32,0.086,5000,1.15,1.0,1.14,1.15,1.08,0.073,1285,300,UPJ0J682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2370,2130.0,MP,42840.0,Normal,9.6
6.3,6800,0.039,18,25,-55,105,0.32,0.086,5000,1.15,1.0,1.14,1.15,1.08,0.098,1285,300,UPJ0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2210,1980.0,MP,42840.0,Normal,10.6
6.3,8200,0.027,16,35.5,-55,105,0.36,0.084,5000,,,,,,0.068,1550,300,UPJ0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2550,2290.0,MP,51660.0,Normal,11.8
6.3,8200,0.031,18,30.5,-55,105,0.36,0.084,5000,,,,,,0.078,1550,300,UPJ0J822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2390,2150.0,MP,51660.0,Normal,13.1
6.3,10000,0.025,16,40,-55,105,0.4,0.08,5000,1.14,1.0,1.12,1.14,1.08,0.063,1890,300,UPJ0J103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2750,2470.0,MP,63000.0,Normal,14.1
6.3,10000,0.028,18,30.5,-55,105,0.4,0.08,5000,1.14,1.0,1.12,1.14,1.08,0.07,1890,300,UPJ0J103MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,2240.0,MP,63000.0,Normal,13.1
6.3,12000,0.023,18,35.5,-55,105,0.44,0.075,5000,,,,,,0.058,2268,250,UPJ0J123MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2820,2530.0,MP,75600.0,Normal,14.2
6.3,15000,0.022,18,40,-55,105,0.5,0.071,5000,1.12,1.0,1.12,1.12,1.08,0.055,2835,200,UPJ0J153MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2960,2660.0,MP,94500.0,Normal,17.7
10,68,1.3,5,11,-55,105,0.19,3.706,2000,1.54,1.0,1.43,1.54,1.15,3.3,20,6000,UPJ1A680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,155,97.0,EOL,680.0,Normal,0.44
10,82,1.1,5,11,-55,105,0.19,3.073,2000,,,,,,2.8,25,6000,UPJ1A820MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,110.0,EOL,820.0,Normal,0.44
