Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
35,1200,0.12,0.017,16,20,0.155,5000,0.8,7.5,7.5,,EEUFM1V122S( ),3300,3300,2640,3141.6,2481.6,100,250,42000
35,1500,0.12,0.012,12.5,35,0.124,7000,0.8,5,,,EEUFM1V152L,3750,3750,3000,3570,2820,100,,52500
35,1800,0.12,0.014,16,25,0.103,7000,0.8,7.5,7.5,,EEUFM1V182( ),3820,3820,3056,3636.64,2872.64,100,250,63000
50,22,0.1,0.34,5,11,6.029,2000,0.5,2,5,2.5,EEUFM1H220( ),250,225.27,137.36,186.81,112.64,200,2000,1100
50,56,0.1,0.14,6.3,11.2,2.368,2000,0.5,2.5,5,2.5,EEUFM1H560( ),405,385.17,283.22,342.69,243.57,200,2000,2800
50,100,0.1,0.061,8,11.5,1.326,3000,0.6,3.5,5,,EEUFM1H101( ),870,827.41,608.39,736.15,523.22,200,1000,5000
50,120,0.1,0.045,8,15,1.105,3000,0.6,3.5,5,,EEUFM1H121L( ),1140,1084.2,797.2,964.62,685.59,200,1000,6000
50,150,0.1,0.042,10,12.5,0.884,4000,0.6,5,5,,EEUFM1H151( ),1170,1112.73,818.18,990,703.64,200,500,7500
50,180,0.1,0.033,8,20,0.737,4000,0.6,3.5,5,,EEUFM1H181L( ),1430,1360,1000,1210,860,200,1000,9000
50,220,0.1,0.03,10,16,0.603,4000,0.6,5,5,,EEUFM1H221( ),1650,1569.23,1153.85,1396.15,992.31,200,500,11000
50,270,0.1,0.023,10,20,0.491,5000,0.6,5,5,,EEUFM1H271( ),1890,1797.48,1321.68,1599.23,1136.64,200,500,13500
50,330,0.1,0.022,10,25,0.402,5000,0.6,5,5,,EEUFM1H331L( ),2150,2044.76,1503.5,1819.23,1293.01,200,500,16500
50,470,0.1,0.022,12.5,20,0.282,5000,0.6,5,5,,EEUFM1H471( ),2260,2226.02,1699.25,2039.1,1478.35,200,500,23500
50,560,0.1,0.018,12.5,25,0.237,7000,0.6,5,5,,EEUFM1H561( ),2660,2620,2000,2400,1740,200,500,28000
50,680,0.1,0.016,12.5,30,0.195,7000,0.8,5,,,EEUFM1H681L,3160,3112.48,2375.94,2851.13,2067.07,100,,34000
50,820,0.1,0.014,12.5,35,0.162,7000,0.8,5,,,EEUFM1H821L,3270,3220.83,2458.65,2950.38,2139.02,100,,41000
50,820,0.1,0.019,16,20,0.162,5000,0.8,7.5,7.5,,EEUFM1H821S( ),2870,2826.84,2157.89,2589.47,1877.37,100,250,41000
50,1000,0.1,0.016,16,25,0.159,7000,0.8,7.5,7.5,,EEUFM1H102( ),3320,3270.08,2496.24,2995.49,2171.73,100,250,50000
