Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
25,3300,0.08,16,25,0.2,EKMQ250E□□332ML25S,1400
25,4700,0.062,16,25,0.22,EKMQ250E□□472ML25S,1570
25,6800,0.051,16,35.5,0.26,EKMQ250E□□682MLP1S,1850
25,10000,0.045,18,40,0.34,EKMQ250E□□103MM40S,2000
35,47,3.951,5,11,0.14,EKMQ350E□□470ME11D,93
35,68,2.731,6.3,11,0.14,EKMQ350E□□680MF11D,110
35,100,1.857,6.3,11,0.14,EKMQ350E□□101MF11D,150
35,220,0.844,8,11.5,0.14,EKMQ350E□□221MHB5D,270
35,330,0.563,10,12.5,0.14,EKMQ350E□□331MJC5S,350
35,470,0.395,10,16,0.14,EKMQ350E□□471MJ16S,460
35,1000,0.186,12.5,20,0.14,EKMQ350E□□102MK20S,810
35,2200,0.096,16,25,0.16,EKMQ350E□□222ML25S,1260
35,3300,0.072,16,31.5,0.18,EKMQ350E□□332MLN3S,1500
35,4700,0.056,16,35.5,0.2,EKMQ350E□□472MLP1S,1780
35,6800,0.047,18,40,0.24,EKMQ350E□□682MM40S,2000
50,1,159.155,5,11,0.12,EKMQ500E□□1R0ME11D,13
50,2.2,72.343,5,11,0.12,EKMQ500E□□2R2ME11D,20
50,3.3,48.229,5,11,0.12,EKMQ500E□□3R3ME11D,25
50,4.7,33.863,5,11,0.12,EKMQ500E□□4R7ME11D,30
50,10,15.916,5,11,0.12,EKMQ500E□□100ME11D,46
50,22,7.234,5,11,0.12,EKMQ500E□□220ME11D,68
50,33,4.823,5,11,0.12,EKMQ500E□□330ME11D,90
50,47,3.386,6.3,11,0.12,EKMQ500E□□470MF11D,115
50,68,2.341,6.3,11,0.12,EKMQ500E□□680MF11D,150
50,100,1.592,8,11.5,0.12,EKMQ500E□□101MHB5D,190
50,220,0.723,10,12.5,0.12,EKMQ500E□□221MJC5S,300
50,330,0.482,10,16,0.12,EKMQ500E□□331MJ16S,410
50,470,0.339,10,20,0.12,EKMQ500E□□471MJ20S,540
50,1000,0.159,12.5,25,0.12,EKMQ500E□□102MK25S,950
50,2200,0.084,16,31.5,0.14,EKMQ500E□□222MLN3S,1410
50,3300,0.064,18,35.5,0.16,EKMQ500E□□332MMP1S,1770
63,22,6.029,5,11,0.1,EKMQ630E□□220ME11D,71
63,33,4.019,6.3,11,0.1,EKMQ630E□□330MF11D,100
63,47,2.822,6.3,11,0.1,EKMQ630E□□470MF11D,120
63,68,1.95,8,11.5,0.1,EKMQ630E□□680MHB5D,155
63,100,1.326,8,11.5,0.1,EKMQ630E□□101MHB5D,200
63,220,0.603,10,16,0.1,EKMQ630E□□221MJ16S,335
63,330,0.402,10,20,0.1,EKMQ630E□□331MJ20S,510
63,470,0.282,12.5,20,0.1,EKMQ630E□□471MK20S,640
63,1000,0.133,16,25,0.1,EKMQ630E□□102ML25S,930
63,2200,0.072,18,35.5,0.12,EKMQ630E□□222MMP1S,1650
100,1,106.103,5,11,0.08,EKMQ101E□□1R0ME11D,15
100,2.2,48.229,5,11,0.08,EKMQ101E□□2R2ME11D,21
100,3.3,32.153,5,11,0.08,EKMQ101E□□3R3ME11D,29
100,4.7,22.575,5,11,0.08,EKMQ101E□□4R7ME11D,32
100,10,10.61,5,11,0.08,EKMQ101E□□100ME11D,50
100,22,4.823,6.3,11,0.08,EKMQ101E□□220MF11D,93
100,33,3.215,8,11.5,0.08,EKMQ101E□□330MHB5D,130
100,47,2.258,8,11.5,0.08,EKMQ101E□□470MHB5D,140
100,68,1.56,10,12.5,0.08,EKMQ101E□□680MJC5S,190
100,100,1.061,10,16,0.08,EKMQ101E□□101MJ16S,240
