Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
16,1000,0.212,0.029,8,20,0.16,0.11,1500
16,1000,0.212,0.028,10,16,0.16,0.1,1760
16,1500,0.141,0.02,10,20,0.16,0.06,1960
16,1800,0.118,0.018,10,23,0.16,0.054,2250
16,2200,0.096,0.017,12.5,20,0.16,0.043,2480
16,2700,0.079,0.015,12.5,25,0.16,0.038,2900
16,3300,0.064,0.013,12.5,30,0.16,0.033,3450
16,3300,0.064,0.015,16,20,0.16,0.038,3250
16,3900,0.054,0.012,12.5,35,0.16,0.031,3570
16,4700,0.045,0.013,16,25,0.16,0.035,3630
25,68,2.731,0.22,5,11,0.14,0.8,345
25,150,1.238,0.094,6.3,11,0.14,0.35,540
25,330,0.563,0.056,8,11.5,0.14,0.19,945
25,390,0.476,0.045,8,16,0.14,0.15,1250
25,470,0.395,0.039,10,12.5,0.14,0.14,1330
25,560,0.332,0.029,8,20,0.14,0.11,1500
25,680,0.273,0.028,10,16,0.14,0.1,1760
25,820,0.226,0.02,10,20,0.14,0.06,1960
25,1000,0.186,0.018,10,23,0.14,0.054,2250
25,1500,0.124,0.017,12.5,20,0.14,0.043,2480
25,1800,0.103,0.015,12.5,25,0.14,0.038,2900
25,2200,0.084,0.013,12.5,30,0.14,0.033,3450
25,2200,0.084,0.015,16,20,0.14,0.038,3250
25,2700,0.069,0.012,12.5,35,0.14,0.031,3570
25,3300,0.056,0.013,16,25,0.14,0.035,3630
35,47,3.386,0.22,5,11,0.12,0.8,345
35,100,1.592,0.094,6.3,11,0.12,0.35,540
35,220,0.723,0.056,8,11.5,0.12,0.19,945
35,270,0.589,0.045,8,16,0.12,0.15,1250
35,330,0.482,0.039,10,12.5,0.12,0.14,1330
35,390,0.408,0.029,8,20,0.12,0.11,1500
35,470,0.339,0.028,10,16,0.12,0.1,1760
35,560,0.284,0.02,10,20,0.12,0.06,1960
35,680,0.234,0.018,10,23,0.12,0.054,2250
35,1000,0.159,0.017,12.5,20,0.12,0.043,2480
35,1200,0.133,0.015,12.5,25,0.12,0.038,2900
35,1500,0.106,0.013,12.5,30,0.12,0.033,3450
35,1500,0.106,0.015,16,20,0.12,0.038,3250
35,1800,0.088,0.012,12.5,35,0.12,0.031,3570
35,2200,0.072,0.013,16,25,0.12,0.035,3630
50,27,4.912,0.34,5,11,0.1,1.18,238
50,56,2.368,0.14,6.3,11,0.1,0.5,385
50,100,1.326,0.074,8,11.5,0.1,0.22,724
50,120,1.105,0.061,8,16,0.1,0.18,950
50,150,0.884,0.061,10,12.5,0.1,0.18,979
50,180,0.737,0.046,8,20,0.1,0.14,1190
50,220,0.603,0.042,10,16,0.1,0.12,1370
50,270,0.491,0.03,10,20,0.1,0.09,1580
50,330,0.402,0.028,10,23,0.1,0.085,1870
50,470,0.282,0.027,12.5,20,0.1,0.068,2050
50,560,0.237,0.023,12.5,25,0.1,0.059,2410
50,680,0.195,0.021,12.5,30,0.1,0.052,2860
50,820,0.162,0.019,12.5,35,0.1,0.051,2960
50,820,0.162,0.023,16,20,0.1,0.059,2730
50,1000,0.133,0.021,16,25,0.1,0.056,3010
63,18,6.631,0.88,5,11,0.09,3.5,173
63,47,2.54,0.35,6.3,11,0.09,1.4,278
63,82,1.456,0.22,8,11.5,0.09,0.88,525
63,100,1.194,0.16,8,16,0.09,0.64,688
63,120,0.995,0.15,10,12.5,0.09,0.6,725
63,150,0.796,0.12,8,20,0.09,0.48,861
63,180,0.663,0.11,10,16,0.09,0.44,998
63,270,0.442,0.078,10,20,0.09,0.31,1200
63,270,0.442,0.082,12.5,16,0.09,0.27,1200
63,330,0.362,0.069,10,23,0.09,0.28,1410
63,390,0.306,0.06,12.5,20,0.09,0.19,1570
63,470,0.254,0.043,12.5,25,0.09,0.14,1990
63,560,0.213,0.035,12.5,30,0.09,0.13,2410
63,560,0.213,0.043,16,20,0.09,0.14,2100
63,680,0.176,0.033,12.5,35,0.09,0.11,2620
63,820,0.146,0.027,12.5,40,0.09,0.09,2940
63,820,0.146,0.032,16,25,0.09,0.096,2730
63,820,0.146,0.038,18,20,0.09,0.1,2500
63,1200,0.099,0.024,16,31.5,0.09,0.068,2990
63,1200,0.099,0.031,18,25,0.09,0.084,2800
63,1500,0.08,0.021,16,35.5,0.09,0.057,3040
63,1500,0.08,0.025,18,31.5,0.09,0.068,3300
63,1800,0.066,0.019,16,40,0.09,0.057,3570
63,1800,0.066,0.02,18,35.5,0.09,0.054,3570
63,2200,0.054,0.018,18,40,0.09,0.049,3670
80,12,8.842,1.4,5,11,0.08,5.6,163
80,33,3.215,0.57,6.3,11,0.08,2.3,267
80,56,1.895,0.36,8,11.5,0.08,1.4,462
80,68,1.56,0.25,8,16,0.08,1.0,585
80,82,1.294,0.23,10,12.5,0.08,0.96,624
80,100,1.061,0.19,8,20,0.08,0.76,735
80,120,0.884,0.17,10,16,0.08,0.72,780
80,180,0.589,0.12,10,20,0.08,0.52,1040
80,180,0.589,0.13,12.5,16,0.08,0.43,975
80,220,0.482,0.11,10,23,0.08,0.47,1170
80,270,0.393,0.085,12.5,20,0.08,0.31,1430
80,330,0.322,0.06,12.5,25,0.08,0.23,1620
80,390,0.272,0.051,12.5,30,0.08,0.21,1950
80,390,0.272,0.058,16,20,0.08,0.21,1750
80,470,0.226,0.043,12.5,35,0.08,0.17,2140
80,560,0.189,0.036,12.5,40,0.08,0.15,2340
80,560,0.189,0.044,16,25,0.08,0.16,2210
80,560,0.189,0.054,18,20,0.08,0.18,1950
80,680,0.156,0.033,16,31.5,0.08,0.12,2400
80,820,0.129,0.029,16,35.5,0.08,0.1,2600
80,820,0.129,0.038,18,25,0.08,0.13,2270
80,1000,0.106,0.027,16,40,0.08,0.09,2860
80,1000,0.106,0.031,18,31.5,0.08,0.11,2470
80,1200,0.088,0.027,18,35.5,0.08,0.084,2860
80,1500,0.071,0.026,18,40,0.08,0.076,3510
100,8.2,12.939,1.4,5,11,0.08,5.6,163
100,18,5.895,0.57,6.3,11,0.08,2.3,267
100,33,3.215,0.36,8,11.5,0.08,1.4,462
100,47,2.258,0.25,8,16,0.08,1.0,585
100,56,1.895,0.23,10,12.5,0.08,0.96,624
100,68,1.56,0.19,8,20,0.08,0.76,735
100,82,1.294,0.17,10,16,0.08,0.72,780
100,100,1.061,0.12,10,20,0.08,0.52,1040
100,100,1.061,0.13,12.5,16,0.08,0.43,975
100,120,0.884,0.11,10,23,0.08,0.47,1170
100,150,0.707,0.085,12.5,20,0.08,0.31,1430
100,220,0.482,0.06,12.5,25,0.08,0.23,1620
100,270,0.393,0.051,12.5,30,0.08,0.21,1950
100,270,0.393,0.058,16,20,0.08,0.21,1750
100,330,0.322,0.043,12.5,35,0.08,0.17,2140
100,390,0.272,0.036,12.5,40,0.08,0.15,2340
100,390,0.272,0.044,16,25,0.08,0.16,2210
100,390,0.272,0.054,18,20,0.08,0.18,1950
100,470,0.226,0.033,16,31.5,0.08,0.12,2400
100,470,0.226,0.038,18,25,0.08,0.13,2270
100,560,0.189,0.029,16,35.5,0.08,0.1,2600
100,560,0.189,0.031,18,31.5,0.08,0.11,2470
100,680,0.156,0.027,16,40,0.08,0.09,2860
100,680,0.156,0.027,18,35.5,0.08,0.084,2860
100,820,0.129,0.026,18,40,0.08,0.076,3510
