Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
160,180,1.474,12.5,30.5,-40,105,0.2,12000,1252,600,UCY2C181MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,905,MP,Normal,6.01
160,180,1.474,12.5,35.5,-40,105,0.2,12000,1252,500,UCY2C181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1050,MP,Normal,7.06
160,180,1.474,16,20,-40,105,0.2,10000,1252,600,UCY2C181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1000,MP,Normal,6.6
160,220,1.206,12.5,35.5,-40,105,0.2,12000,1508,500,UCY2C221MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1050,MP,Normal,7.06
160,220,1.206,12.5,40,-40,105,0.2,12000,1508,400,UCY2C221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1200,MP,Normal,7.57
160,220,1.206,16,25,-40,105,0.2,12000,1508,400,UCY2C221MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1185,MP,Normal,8.2
160,220,1.206,18,20,-40,105,0.2,10000,1508,400,UCY2C221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1105,MP,Normal,9.0
160,270,0.982,12.5,40,-40,105,0.2,12000,1828,400,UCY2C271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1300,MP,Normal,7.57
160,270,0.982,18,25,-40,105,0.2,12000,1828,300,UCY2C271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1235,MP,Normal,10.6
160,330,0.804,16,30.5,-40,105,0.2,12000,2212,300,UCY2C331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1510,MP,Normal,9.6
160,330,0.804,18,25,-40,105,0.2,12000,2212,300,UCY2C331MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1445,MP,Normal,10.6
160,390,0.68,16,35.5,-40,105,0.2,12000,2596,300,UCY2C391MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1510,MP,Normal,11.8
160,390,0.68,16,40,-40,105,0.2,12000,2596,300,UCY2C391MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1730,MP,Normal,14.1
160,390,0.68,18,30.5,-40,105,0.2,12000,2596,300,UCY2C391MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1695,MP,Normal,13.1
160,470,0.564,16,40,-40,105,0.2,12000,3108,300,UCY2C471MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1730,MP,Normal,14.1
160,470,0.564,18,35.5,-40,105,0.2,12000,3108,250,UCY2C471MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1920,MP,Normal,14.2
160,560,0.474,18,40,-40,105,0.2,12000,3684,200,UCY2C561MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2130,MP,Normal,17.7
160,680,0.39,18,46,-40,105,0.2,12000,4452,200,UCY2C681MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2300,MP,Normal,20.9
200,22,12.057,10,16,-40,105,0.2,10000,276,1800,UCY2D220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,225,MP,Normal,1.77
200,27,9.824,10,16,-40,105,0.2,10000,316,1800,UCY2D270MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,235,MP,Normal,1.77
200,33,8.038,10,20,-40,105,0.2,10000,364,1400,UCY2D330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,305,MP,Normal,2.34
200,39,6.801,10,20,-40,105,0.2,10000,412,1400,UCY2D390MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,325,MP,Normal,2.34
200,47,5.644,10,20,-40,105,0.2,10000,476,1400,UCY2D470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,360,MP,Normal,2.34
200,47,5.644,12.5,20,-40,105,0.2,10000,476,1000,UCY2D470MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,490,MP,Normal,3.43
200,56,4.737,10,25,-40,105,0.2,12000,548,1200,UCY2D560MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,415,MP,Normal,3.07
200,68,3.901,10,30.5,-40,105,0.2,12000,644,1000,UCY2D680MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,485,MP,Normal,3.21
200,68,3.901,12.5,20,-40,105,0.2,10000,644,1000,UCY2D680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,650,MP,Normal,3.43
200,82,3.235,12.5,20,-40,105,0.2,10000,756,1000,UCY2D820MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,645,MP,Normal,3.43
200,82,3.235,12.5,25,-40,105,0.2,12000,756,800,UCY2D820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,645,MP,Normal,4.56
200,82,3.235,16,20,-40,105,0.2,10000,756,600,UCY2D820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,690,MP,Normal,6.6
200,100,2.653,12.5,25,-40,105,0.2,12000,900,800,UCY2D101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,695,MP,Normal,4.56
200,100,2.653,16,20,-40,105,0.2,10000,900,600,UCY2D101MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,710,MP,Normal,6.6
200,120,2.21,12.5,30.5,-40,105,0.2,12000,1060,600,UCY2D121MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,810,MP,Normal,6.01
200,120,2.21,16,20,-40,105,0.2,10000,1060,600,UCY2D121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,775,MP,Normal,6.6
200,150,1.768,12.5,35.5,-40,105,0.2,12000,1300,500,UCY2D151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,965,MP,Normal,7.06
200,150,1.768,16,25,-40,105,0.2,12000,1300,400,UCY2D151MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,945,MP,Normal,8.2
200,150,1.768,18,20,-40,105,0.2,10000,1300,400,UCY2D151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,910,MP,Normal,9.0
200,180,1.474,12.5,40,-40,105,0.2,12000,1540,400,UCY2D181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1090,MP,Normal,7.57
200,180,1.474,16,25,-40,105,0.2,12000,1540,400,UCY2D181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1035,MP,Normal,8.2
200,180,1.474,18,20,-40,105,0.2,10000,1540,400,UCY2D181MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,910,MP,Normal,9.0
200,220,1.206,12.5,40,-40,105,0.2,12000,1860,400,UCY2D221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1090,MP,Normal,7.57
200,220,1.206,16,30.5,-40,105,0.2,12000,1860,300,UCY2D221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1230,MP,Normal,9.6
200,220,1.206,18,25,-40,105,0.2,12000,1860,300,UCY2D221MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1185,MP,Normal,10.6
200,270,0.982,16,35.5,-40,105,0.2,12000,2260,300,UCY2D271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,MP,Normal,11.8
200,270,0.982,18,30.5,-40,105,0.2,12000,2260,300,UCY2D271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1410,MP,Normal,13.1
200,330,0.804,16,40,-40,105,0.2,12000,2740,300,UCY2D331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1595,MP,Normal,14.1
200,330,0.804,18,30.5,-40,105,0.2,12000,2740,300,UCY2D331MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1560,MP,Normal,13.1
200,390,0.68,18,35.5,-40,105,0.2,12000,3220,250,UCY2D391MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1690,MP,Normal,14.2
200,390,0.68,18,40,-40,105,0.2,12000,3220,200,UCY2D391MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1780,MP,Normal,17.7
200,470,0.564,18,40,-40,105,0.2,12000,3860,200,UCY2D471MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1850,MP,Normal,17.7
200,470,0.564,18,46,-40,105,0.2,12000,3860,200,UCY2D471MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1900,MP,Normal,20.9
250,22,12.057,10,16,-40,105,0.2,10000,320,1800,UCY2E220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,225,MP,Normal,1.77
250,27,9.824,10,20,-40,105,0.2,10000,370,1400,UCY2E270MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,255,MP,Normal,2.34
250,33,8.038,10,20,-40,105,0.2,10000,430,1400,UCY2E330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,305,MP,Normal,2.34
250,33,8.038,12.5,20,-40,105,0.2,10000,430,1000,UCY2E330MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,400,MP,Normal,3.43
250,39,6.801,10,25,-40,105,0.2,12000,490,1200,UCY2E390MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,345,MP,Normal,3.07
250,47,5.644,10,25,-40,105,0.2,12000,570,1200,UCY2E470MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,345,MP,Normal,3.07
250,47,5.644,10,30.5,-40,105,0.2,12000,570,1000,UCY2E470MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,405,MP,Normal,3.21
250,47,5.644,12.5,20,-40,105,0.2,10000,570,1000,UCY2E470MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,490,MP,Normal,3.43
250,56,4.737,12.5,20,-40,105,0.2,10000,660,1000,UCY2E560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,515,MP,Normal,3.43
250,68,3.901,12.5,25,-40,105,0.2,12000,780,800,UCY2E680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,615,MP,Normal,4.56
