Voltage,Capacitance,ESR 20°C@120Hz,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
25,100,2.122,6.3,0.16,RE3-25V101M,199.0
25,220,0.965,8,0.16,RE3-25V221M,349.0
25,330,0.643,10,0.16,RE3-25V331M,510.0
25,470,0.452,10,0.16,RE3-25V471M,545.0
25,1000,0.212,10,0.16,RE3-25V102M,996.0
25,2200,0.109,12.5,0.18,RE3-25V222M,1660.0
25,3300,0.08,16,0.2,RE3-25V332M,2030.0
25,4700,0.062,16,0.22,RE3-25V472M,2650.0
25,6800,0.051,18,0.26,RE3-25V682M,3290.0
35,4.7,39.507,5,0.14,RE3-35V4R7M,40.0
35,10,18.568,5,0.14,RE3-35V100M,59.0
35,22,8.44,5,0.14,RE3-35V220M,87.0
35,33,5.627,5,0.14,RE3-35V330M,107.0
35,47,3.951,5,0.14,RE3-35V470M,130.0
35,100,1.857,6.3,0.14,RE3-35V101M,214.0
35,220,0.844,10,0.14,RE3-35V221M,443.0
35,330,0.563,10,0.14,RE3-35V331M,542.0
35,470,0.395,10,0.14,RE3-35V471M,664.0
35,1000,0.186,12.5,0.14,RE3-35V102M,1210.0
35,2200,0.096,16,0.16,RE3-35V222M,1950.0
35,3300,0.072,16,0.18,RE3-35V332M,2510.0
35,4700,0.056,18,0.2,RE3-35V472M,2990.0
50,0.1,1591.551,5,0.12,RE3-50VR10M,3.0
50,0.22,723.432,5,0.12,RE3-50VR22M,6.0
50,0.33,482.288,5,0.12,RE3-50VR33M,9.0
50,0.47,338.628,5,0.12,RE3-50VR47M,13.0
50,1,159.155,5,0.12,RE3-50V010M,21.0
50,2.2,72.343,5,0.12,RE3-50V2R2M,31.0
50,3.3,48.229,5,0.12,RE3-50V3R3M,38.0
50,4.7,33.863,5,0.12,RE3-50V4R7M,45.0
50,10,15.916,5,0.12,RE3-50V100M,66.0
50,22,7.234,5,0.12,RE3-50V220M,98.0
50,33,4.823,5,0.12,RE3-50V330M,126.0
50,47,3.386,6.3,0.12,RE3-50V470M,155.0
50,100,1.592,8,0.12,RE3-50V101M,260.0
50,220,0.723,10,0.12,RE3-50V221M,443.0
50,330,0.482,10,0.12,RE3-50V331M,595.0
50,470,0.339,12.5,0.12,RE3-50V471M,887.0
50,1000,0.159,12.5,0.12,RE3-50V102M,1400.0
50,2200,0.084,16,0.14,RE3-50V222M,2340.0
50,3300,0.064,18,0.16,RE3-50V332M,2810.0
63,4.7,28.219,5,0.1,RE3-63V4R7M,45.0
63,10,13.263,5,0.1,RE3-63V100M,66.0
63,22,6.029,5,0.1,RE3-63V220M,100.0
63,33,4.019,6.3,0.1,RE3-63V330M,140.0
63,47,2.822,6.3,0.1,RE3-63V470M,170.0
63,100,1.326,10,0.1,RE3-63V101M,300.0
63,220,0.603,10,0.1,RE3-63V221M,470.0
63,330,0.402,10,0.1,RE3-63V331M,710.0
63,470,0.282,12.5,0.1,RE3-63V471M,900.0
63,1000,0.133,16,0.1,RE3-63V102M,1300.0
100,0.1,1061.034,5,0.08,RE3-100VR10M,2.1
100,0.22,482.288,5,0.08,RE3-100VR22M,4.7
100,0.33,321.525,5,0.08,RE3-100VR33M,7.0
100,0.47,225.752,5,0.08,RE3-100VR47M,10.0
100,1,106.103,5,0.08,RE3-100V010M,21.0
100,2.2,48.229,5,0.08,RE3-100V2R2M,30.0
100,3.3,32.153,5,0.08,RE3-100V3R3M,40.0
100,4.7,22.575,5,0.08,RE3-100V4R7M,45.0
100,10,10.61,6.3,0.08,RE3-100V100M,75.0
100,22,4.823,6.3,0.08,RE3-100V220M,130.0
100,33,3.215,8,0.08,RE3-100V330M,180.0
100,47,2.258,10,0.08,RE3-100V470M,230.0
100,100,1.061,10,0.08,RE3-100V101M,370.0
100,220,0.482,12.5,0.08,RE3-100V221M,620.0
100,330,0.322,12.5,0.08,RE3-100V331M,760.0
100,470,0.226,16,0.08,RE3-100V471M,1000.0
100,1000,0.106,18,0.08,RE3-100V102M,1380.0
160,0.47,564.38,6.3,0.2,RE3-160VR47M,15.0
160,1,265.258,6.3,0.2,RE3-160V010M,22.0
160,2.2,120.572,6.3,0.2,RE3-160V2R2M,32.0
160,3.3,80.381,6.3,0.2,RE3-160V3R3M,40.0
160,4.7,56.438,6.3,0.2,RE3-160V4R7M,48.0
160,10,26.526,8,0.2,RE3-160V100M,81.0
160,22,12.057,10,0.2,RE3-160V220M,151.0
160,33,8.038,10,0.2,RE3-160V330M,202.0
160,47,5.644,12.5,0.2,RE3-160V470M,266.0
160,100,2.653,12.5,0.2,RE3-160V101M,422.0
160,220,1.206,16,0.2,RE3-160V221M,783.0
160,330,0.804,18,0.2,RE3-160V331M,1080.0
200,0.47,564.38,6.3,0.2,RE3-200VR47M,15.0
200,1,265.258,6.3,0.2,RE3-200V010M,22.0
200,2.2,120.572,6.3,0.2,RE3-200V2R2M,32.0
200,3.3,80.381,6.3,0.2,RE3-200V3R3M,40.0
200,4.7,56.438,8,0.2,RE3-200V4R7M,56.0
200,10,26.526,10,0.2,RE3-200V100M,94.0
200,22,12.057,10,0.2,RE3-200V220M,170.0
200,33,8.038,12.5,0.2,RE3-200V330M,223.0
200,47,5.644,12.5,0.2,RE3-200V470M,265.0
200,100,2.653,16,0.2,RE3-200V101M,483.0
200,220,1.206,18,0.2,RE3-200V221M,882.0
250,0.47,564.38,6.3,0.2,RE3-250VR47M,15.0
250,1,265.258,6.3,0.2,RE3-250V010M,22.0
250,2.2,120.572,6.3,0.2,RE3-250V2R2M,32.0
250,3.3,80.381,8,0.2,RE3-250V3R3M,48.0
250,4.7,56.438,8,0.2,RE3-250V4R7M,56.0
250,10,26.526,10,0.2,RE3-250V100M,101.0
250,22,12.057,12.5,0.2,RE3-250V220M,182.0
250,33,8.038,12.5,0.2,RE3-250V330M,243.0
250,47,5.644,12.5,0.2,RE3-250V470M,295.0
250,100,2.653,16,0.2,RE3-250V101M,528.0
315,0.47,677.256,6.3,0.24,RE3-315VR47M,15.0
