Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
35,22,9.646,5,11,-55,105,0.16,1000,23,6000,UKT1V220MDD,Uni-Polar,Radial Lead,105degC Standard,61,EOL,Normal,0.44
35,33,6.431,5,11,-55,105,0.16,1000,35,6000,UKT1V330MDD,Uni-Polar,Radial Lead,105degC Standard,75,EOL,Normal,0.44
35,47,4.515,5,11,-55,105,0.16,1000,49,6000,UKT1V470MDD,Uni-Polar,Radial Lead,105degC Standard,93,EOL,Normal,0.44
35,100,2.122,6.3,11,-55,105,0.16,1000,105,4000,UKT1V101MED,Uni-Polar,Radial Lead,105degC Standard,150,EOL,Normal,0.59
35,220,0.965,8,11.5,-55,105,0.16,1000,231,3000,UKT1V221MPD,Uni-Polar,Radial Lead,105degC Standard,260,MP,Normal,1.19
35,330,0.643,10,12.5,-55,105,0.16,1000,347,2000,UKT1V331MPD,Uni-Polar,Radial Lead,105degC Standard,350,MP,Normal,1.49
35,470,0.452,10,16,-55,105,0.16,1000,494,1800,UKT1V471MPD,Uni-Polar,Radial Lead,105degC Standard,460,MP,Normal,1.77
35,1000,0.212,12.5,25,-55,105,0.16,1000,1050,800,UKT1V102MHD,Uni-Polar,Radial Lead,105degC Standard,860,MP,Normal,4.56
35,2200,0.109,12.5,40,-55,105,0.18,1000,2310,400,UKT1V222MHD,Uni-Polar,Radial Lead,105degC Standard,1260,MP,Normal,7.57
35,3300,0.08,16,35.5,-55,105,0.2,1000,3465,300,UKT1V332MHD,Uni-Polar,Radial Lead,105degC Standard,1610,MP,Normal,11.8
35,4700,0.062,18,35.5,-55,105,0.22,1000,4935,250,UKT1V472MHD,Uni-Polar,Radial Lead,105degC Standard,1910,MP,Normal,14.2
35,6800,0.051,20,40,-55,105,0.26,1000,7140,150,UKT1V682MRD,Uni-Polar,Radial Lead,105degC Standard,2150,EOL,Normal,19.6
35,10000,0.045,22,50,-55,105,0.34,1000,10500,250,UKT1V103MRD,Uni-Polar,Radial Lead,105degC Standard,2650,EOL,Normal,27.4
50,2.2,84.4,5,11,-55,105,0.14,1000,4,6000,UKT1H2R2MDD,Uni-Polar,Radial Lead,105degC Standard,20,EOL,Normal,0.44
50,3.3,56.267,5,11,-55,105,0.14,1000,5,6000,UKT1H3R3MDD,Uni-Polar,Radial Lead,105degC Standard,25,EOL,Normal,0.44
50,4.7,39.507,5,11,-55,105,0.14,1000,7,6000,UKT1H4R7MDD,Uni-Polar,Radial Lead,105degC Standard,30,EOL,Normal,0.44
50,10,18.568,5,11,-55,105,0.14,1000,15,6000,UKT1H100MDD,Uni-Polar,Radial Lead,105degC Standard,46,EOL,Normal,0.44
50,22,8.44,5,11,-55,105,0.14,1000,33,6000,UKT1H220MDD,Uni-Polar,Radial Lead,105degC Standard,68,EOL,Normal,0.44
50,33,5.627,5,11,-55,105,0.14,1000,50,6000,UKT1H330MDD,Uni-Polar,Radial Lead,105degC Standard,90,EOL,Normal,0.44
50,47,3.951,6.3,11,-55,105,0.14,1000,71,4000,UKT1H470MED,Uni-Polar,Radial Lead,105degC Standard,115,EOL,Normal,0.59
50,100,1.857,8,11.5,-55,105,0.14,1000,150,3000,UKT1H101MPD,Uni-Polar,Radial Lead,105degC Standard,190,MP,Normal,1.19
50,220,0.844,10,12.5,-55,105,0.14,1000,330,2000,UKT1H221MPD,Uni-Polar,Radial Lead,105degC Standard,300,MP,Normal,1.49
50,330,0.563,10,16,-55,105,0.14,1000,495,1800,UKT1H331MPD,Uni-Polar,Radial Lead,105degC Standard,410,MP,Normal,1.77
50,470,0.395,12.5,20,-55,105,0.14,1000,705,1000,UKT1H471MHD,Uni-Polar,Radial Lead,105degC Standard,530,MP,Normal,3.43
50,1000,0.186,12.5,30.5,-55,105,0.14,1000,1500,600,UKT1H102MHD,Uni-Polar,Radial Lead,105degC Standard,1040,MP,Normal,6.01
50,2200,0.096,16,35.5,-55,105,0.16,1000,3300,300,UKT1H222MHD,Uni-Polar,Radial Lead,105degC Standard,1470,MP,Normal,11.8
50,3300,0.072,18,35.5,-55,105,0.18,1000,4950,250,UKT1H332MHD,Uni-Polar,Radial Lead,105degC Standard,1770,MP,Normal,14.2
50,4700,0.056,20,40,-55,105,0.2,1000,7050,150,UKT1H472MRD,Uni-Polar,Radial Lead,105degC Standard,2100,EOL,Normal,19.6
50,6800,0.047,22,50,-55,105,0.24,1000,10200,250,UKT1H682MRD,Uni-Polar,Radial Lead,105degC Standard,2500,EOL,Normal,27.4
