Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
450,68,4.876,12.5,40,0.25,1.32,0.6
450,68,4.876,14.5,30,0.25,1.276,0.58
450,68,4.876,16,25,0.25,1.254,0.57
450,68,4.876,18,20,0.25,1.188,0.54
450,82,4.044,12.5,45,0.25,1.496,0.68
450,82,4.044,12.5,50,0.25,1.54,0.7
450,82,4.044,14.5,35,0.25,1.474,0.67
450,82,4.044,16,30,0.25,1.43,0.65
450,82,4.044,18,25,0.25,1.408,0.64
450,100,3.316,14.5,40,0.25,1.52,0.76
450,100,3.316,16,35,0.25,1.5,0.75
450,120,2.763,14.5,45,0.25,1.7,0.85
450,120,2.763,14.5,50,0.25,1.78,0.89
450,120,2.763,16,40,0.25,1.72,0.86
450,120,2.763,18,30,0.25,1.6,0.8
450,150,2.21,16,45,0.25,1.96,0.98
450,150,2.21,16,50,0.25,2.04,1.02
450,150,2.21,18,35,0.25,1.84,0.92
450,150,2.21,18,40,0.25,1.96,0.98
450,180,1.842,18,45,0.25,2.22,1.11
450,220,1.507,18,50,0.25,2.46,1.23
500,18,18.421,12.5,20,0.25,0.55,0.25
500,22,15.072,12.5,25,0.25,0.638,0.29
500,22,15.072,14.5,20,0.25,0.616,0.28
500,27,12.28,16,20,0.25,0.704,0.32
500,33,10.048,12.5,30,0.25,0.792,0.36
500,33,10.048,12.5,35,0.25,0.836,0.38
500,33,10.048,14.5,25,0.25,0.814,0.37
500,39,8.502,12.5,40,0.25,0.968,0.44
500,39,8.502,12.5,45,0.25,1.1,0.5
500,39,8.502,14.5,30,0.25,0.946,0.43
500,39,8.502,16,25,0.25,0.924,0.42
500,39,8.502,18,20,0.25,0.902,0.41
500,47,7.055,12.5,50,0.25,1.232,0.56
500,47,7.055,14.5,35,0.25,1.078,0.49
500,47,7.055,16,30,0.25,1.056,0.48
500,56,5.921,14.5,40,0.25,1.21,0.55
500,56,5.921,14.5,45,0.25,1.364,0.62
500,56,5.921,16,35,0.25,1.298,0.59
500,56,5.921,18,25,0.25,1.122,0.51
500,56,5.921,18,30,0.25,1.298,0.59
500,68,4.876,14.5,50,0.25,1.518,0.69
500,68,4.876,16,40,0.25,1.364,0.62
500,82,4.044,16,45,0.25,1.562,0.71
500,82,4.044,16,50,0.25,1.738,0.79
500,82,4.044,18,35,0.25,1.496,0.68
500,82,4.044,18,40,0.25,1.694,0.77
500,100,3.316,18,45,0.25,1.72,0.86
500,120,2.763,18,50,0.25,1.82,0.91
