Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,CV,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Status,VC,Vibration resistant,Weight (g)
10,3300,0.121,0.121,0.024,16,25,,-40,125,0.24,0.121,10000,,,,,,,990,400,UBT1A332MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,EOL,33000.0,Normal,8.2
10,3300,0.121,0.121,0.024,16,25,,-40,125,0.24,0.121,10000,,,,,,,990,400,UBT1A332MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,MP,33000.0,Normal,8.2
10,4700,0.096,0.096,0.02,16,30.5,,-40,125,0.26,0.096,10000,,,,,,,1410,300,UBT1A472MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,EOL,47000.0,Normal,9.6
10,4700,0.096,0.096,0.02,16,30.5,,-40,125,0.26,0.096,10000,,,,,,,1410,300,UBT1A472MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,47000.0,Normal,9.6
16,100,2.122,2.122,0.32,8,11.5,1000 < CV,-40,125,0.16,2.122,2000,,,1.0,1.5,1.25,0.75,48,3000,UBT1C101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,EOL,1600.0,Normal,1.19
16,100,2.122,2.122,0.32,8,11.5,1000 < CV,-40,125,0.16,2.122,2000,,,1.0,1.5,1.25,0.75,48,3000,UBT1C101MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,MP,1600.0,Normal,1.19
16,220,0.965,0.965,0.15,10,12.5,1000 < CV,-40,125,0.16,0.965,5000,,,1.0,1.5,1.25,0.75,106,2000,UBT1C221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,EOL,3520.0,Normal,1.49
16,220,0.965,0.965,0.15,10,12.5,1000 < CV,-40,125,0.16,0.965,5000,,,1.0,1.5,1.25,0.75,106,2000,UBT1C221MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,3520.0,Normal,1.49
16,330,0.643,0.643,0.1,10,12.5,1000 < CV,-40,125,0.16,0.643,5000,,,1.0,1.5,1.25,0.75,158,2000,UBT1C331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,EOL,5280.0,Normal,1.49
16,330,0.643,0.643,0.1,10,12.5,1000 < CV,-40,125,0.16,0.643,5000,,,1.0,1.5,1.25,0.75,158,2000,UBT1C331MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,5280.0,Normal,1.49
