Voltage,Capacitance,ESR 20°C@100kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Size Code,VC
80,510,0.042,0.118,12.5,30,0.08,0.3,0.208,1.33,1.33,1.0,1.2,0.93,0.93,3110,2630,G30,40800
80,620,0.035,0.097,12.5,35,0.08,0.25,0.171,1.33,1.33,1.0,1.2,0.93,0.93,3760,2970,G35,49600
80,620,0.044,0.097,18,20,0.08,0.26,0.171,1.33,1.33,1.0,1.2,0.93,0.93,2350,2100,K20,49600
80,680,0.038,0.088,16,25,0.08,0.23,0.156,1.33,1.33,1.0,1.2,0.93,0.93,2940,2680,J25,54400
80,750,0.031,0.08,12.5,40,0.08,0.22,0.141,1.33,1.33,1.0,1.2,0.93,0.93,4610,3260,G40,60000
80,750,0.034,0.08,16,31.5,0.08,0.2,0.141,1.33,1.33,1.0,1.2,0.93,0.93,3860,3050,J31,60000
80,820,0.033,0.073,18,25,0.08,0.19,0.129,1.33,1.33,1.0,1.2,0.93,0.93,3080,2810,K25,65600
80,1000,0.027,0.075,16,35.5,0.08,0.15,0.133,1.33,1.33,1.0,1.2,0.93,0.93,4590,3420,J35,80000
80,1100,0.028,0.087,18,31.5,0.08,0.15,0.121,1.18,1.18,1.0,1.12,0.94,0.94,4080,3220,K31,88000
80,1300,0.025,0.073,16,40,0.08,0.14,0.102,1.18,1.18,1.0,1.12,0.94,0.94,5190,3670,J40,104000
80,1300,0.022,0.073,18,35.5,0.08,0.12,0.102,1.18,1.18,1.0,1.12,0.94,0.94,5220,3690,K35,104000
80,1600,0.021,0.06,18,40,0.08,0.11,0.083,1.18,1.18,1.0,1.12,0.94,0.94,5660,3820,K40,128000
