Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
16,15,14.147,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C150( ),145.0,200.0,2000
16,18,11.789,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C180( ),155.0,200.0,2000
16,22,9.646,5,11,0.16,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1C220( ),155.0,200.0,2000
16,33,6.431,6.3,11.2,0.16,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1C330( ),260.0,200.0,2000
16,39,5.441,6.3,11.2,0.16,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1C390( ),260.0,200.0,2000
16,47,4.515,6.3,11.2,0.16,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1C470( ),260.0,200.0,2000
16,68,3.121,8,11.5,0.16,2000.0,0.234,0.6,3.5,5.0,,EEUFC1C680( ),485.0,200.0,1000
16,82,2.588,8,11.5,0.16,2000.0,0.234,0.6,3.5,5.0,,EEUFC1C820( ),485.0,200.0,1000
16,100,2.122,10,12.5,0.16,3000.0,0.162,0.6,5.0,5.0,,EEUFC1C101( ),615.0,200.0,500
16,120,1.768,8,15,0.16,2000.0,0.155,0.6,3.5,5.0,,EEUFC1C121L( ),635.0,200.0,1000
16,150,1.415,10,16,0.16,3000.0,0.119,0.6,5.0,5.0,,EEUFC1C151( ),850.0,200.0,500
16,180,1.179,8,20,0.16,2000.0,0.12,0.6,3.5,5.0,,EEUFC1C181L( ),860.0,200.0,1000
16,220,0.965,10,20,0.16,3000.0,0.09,0.6,5.0,5.0,,EEUFC1C221( ),1030.0,200.0,500
16,270,0.786,10,25,0.16,3000.0,0.082,0.6,5.0,5.0,,EEUFC1C271( ),1200.0,200.0,500
16,330,0.643,12.5,20,0.16,5000.0,0.063,0.6,5.0,5.0,,EEUFC1C331( ),1480.0,200.0,500
16,390,0.544,12.5,25,0.16,5000.0,0.07,0.6,5.0,5.0,,EEUFC1C391( ),1720.0,200.0,500
16,470,0.452,12.5,30,0.16,5000.0,0.055,0.8,5.0,,,EEUFC1C471L,2090.0,100.0,
16,560,0.379,16,20,0.16,5000.0,0.059,0.8,7.5,7.5,,EEUFC1C561( ),1765.0,100.0,250
16,680,0.312,12.5,35,0.16,5000.0,0.047,0.8,5.0,,,EEUFC1C681L,2265.0,100.0,
16,820,0.259,16,25,0.16,5000.0,0.05,0.8,7.5,7.5,,EEUFC1C821( ),2160.0,100.0,250
16,1000,0.212,16,31.5,0.16,5000.0,0.043,0.8,7.5,,,EEUFC1C102U,2670.0,100.0,
16,1200,0.177,16,40,0.16,5000.0,0.03,0.8,7.5,,,EEUFC1C122L,2825.0,100.0,
16,1500,0.141,18,35.5,0.16,5000.0,0.03,0.8,7.5,,,EEUFC1C152,3095.0,50.0,
16,1800,0.118,18,40,0.16,5000.0,0.025,0.8,7.5,,,EEUFC1C182,3205.0,50.0,
25,5.6,33.157,5,11,0.14,1000.0,4.1,0.5,2.0,5.0,2.5,EEUFC1V5R6( ),80.0,200.0,2000
25,12,15.473,6.3,11.2,0.14,1000.0,1.8,0.5,2.5,5.0,2.5,EEUFC1V120( ),114.0,200.0,2000
25,22,8.44,8,11.5,0.14,2000.0,0.68,0.6,3.5,5.0,,EEUFC1V220( ),260.0,200.0,1000
25,33,5.627,8,15,0.14,2000.0,0.45,0.6,3.5,5.0,,EEUFC1V330L( ),340.0,200.0,1000
25,39,4.761,10,12.5,0.14,3000.0,0.53,0.6,5.0,5.0,,EEUFC1V330( ),306.0,200.0,500
25,47,3.951,10,20,0.14,3000.0,0.24,0.6,5.0,5.0,,EEUFC1V470( ),463.0,200.0,500
25,56,3.316,10,20,0.14,3000.0,0.24,0.6,5.0,5.0,,EEUFC1V560( ),463.0,200.0,500
25,68,2.731,10,25,0.14,3000.0,0.21,0.6,5.0,5.0,,EEUFC1V680L( ),599.0,200.0,500
25,100,1.857,12.5,15,0.14,5000.0,0.23,0.6,5.0,5.0,,EEUFC1V680( ),511.0,200.0,500
25,120,1.547,16,15,0.14,5000.0,0.14,0.8,7.5,7.5,,EEUFC1V121S( ),793.0,100.0,250
25,150,1.238,12.5,25,0.14,5000.0,0.11,0.6,5.0,5.0,,EEUFC1V151( ),807.0,200.0,500
25,180,1.032,18,15,0.14,5000.0,0.12,0.8,7.5,7.5,,EEUFC1V151S( ),917.0,100.0,250
25,220,0.844,12.5,35,0.14,5000.0,0.087,0.8,5.0,,,EEUFC1V221L,1040.0,100.0,
25,270,0.688,16,25,0.14,5000.0,0.089,0.8,7.5,7.5,,EEUFC1V221( ),1170.0,100.0,250
25,330,0.563,16,31.5,0.14,5000.0,0.062,0.8,7.5,,,EEUFC1V331,1520.0,100.0,
25,390,0.476,18,31.5,0.14,5000.0,0.062,0.8,7.5,,,EEUFC1V391,1600.0,50.0,
25,470,0.395,16,40,0.14,5000.0,0.047,0.8,7.5,,,EEUFC1V471,1920.0,100.0,
25,560,0.332,18,35.5,0.14,5000.0,0.041,0.8,7.5,,,EEUFC1V561,1770.0,50.0,
25,680,0.273,18,40,0.14,5000.0,0.036,0.8,7.5,,,EEUFC1V681,2300.0,50.0,
35,6.8,23.405,4,7,0.12,1000.0,2.0,0.45,1.5,5.0,2.5,EEAFC1V6R8( ),65.0,200.0,2000
35,12,13.263,5,7,0.12,1000.0,0.95,0.45,2.0,5.0,2.5,EEAFC1V120( ),120.0,200.0,2000
35,22,7.234,5,11,0.12,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC1V220( ),175.0,200.0,2000
35,27,5.895,5,11,0.12,1000.0,0.8,0.5,2.0,5.0,2.5,EEUFC1V270( ),175.0,200.0,2000
35,33,4.823,6.3,7,0.12,1000.0,0.45,0.45,2.5,5.0,2.5,EEAFC1V270( ),200.0,200.0,2000
35,47,3.386,6.3,11.2,0.12,1000.0,0.35,0.5,2.5,5.0,2.5,EEUFC1V470( ),290.0,200.0,2000
35,56,2.842,6.3,11.2,0.12,1000.0,0.35,0.5,2.5,5.0,2.5,EEUFC1V560( ),290.0,200.0,2000
35,68,2.341,6.3,11.2,0.12,1000.0,0.35,0.5,2.5,5.0,2.5,EEUFC1V680( ),290.0,200.0,2000
35,100,1.592,8,11.5,0.12,2000.0,0.117,0.6,3.5,5.0,,EEUFC1V101( ),555.0,200.0,1000
35,120,1.326,8,11.5,0.12,2000.0,0.117,0.6,3.5,5.0,,EEUFC1V121( ),555.0,200.0,1000
35,150,1.061,8,11.5,0.12,2000.0,0.117,0.6,3.5,5.0,,EEUFC1V151( ),555.0,200.0,1000
35,180,0.884,10,12.5,0.12,3000.0,0.09,0.6,5.0,5.0,,EEUFC1V181( ),755.0,200.0,500
35,220,0.723,8,15,0.12,2000.0,0.085,0.6,3.5,5.0,,EEUFC1V221L( ),730.0,200.0,1000
35,270,0.589,10,16,0.12,3000.0,0.068,0.6,5.0,5.0,,EEUFC1V271( ),1050.0,200.0,500
35,330,0.482,8,20,0.12,2000.0,0.065,0.6,3.5,5.0,,EEUFC1V331L( ),995.0,200.0,1000
35,390,0.408,10,20,0.12,3000.0,0.052,0.6,5.0,5.0,,EEUFC1V391( ),1220.0,200.0,500
35,470,0.339,12.5,15,0.12,5000.0,0.065,0.6,5.0,5.0,,EEUFC1V471( ),1205.0,200.0,500
35,560,0.284,10,25,0.12,3000.0,0.045,0.6,5.0,5.0,,EEUFC1V561( ),1440.0,200.0,500
35,680,0.234,12.5,20,0.12,5000.0,0.038,0.6,5.0,5.0,,EEUFC1V681( ),1655.0,200.0,500
35,820,0.194,16,15,0.12,5000.0,0.043,0.8,7.5,7.5,,EEUFC1V821S( ),1690.0,100.0,250
35,1000,0.159,12.5,25,0.12,5000.0,0.03,0.6,5.0,5.0,,EEUFC1V102( ),1945.0,200.0,500
35,1200,0.133,16,20,0.12,5000.0,0.029,0.8,7.5,7.5,,EEUFC1V122S( ),2205.0,100.0,250
35,1500,0.106,12.5,35,0.12,5000.0,0.022,0.8,5.0,,,EEUFC1V152L,2510.0,100.0,
35,1800,0.088,16,25,0.12,5000.0,0.022,0.8,7.5,7.5,,EEUFC1V182( ),2555.0,100.0,250
35,2200,0.072,18,25,0.12,5000.0,0.02,0.8,7.5,7.5,,EEUFC1V222S( ),2740.0,100.0,250
35,2700,0.059,16,35.5,0.12,5000.0,0.016,0.8,7.5,,,EEUFC1V272L,3150.0,100.0,
35,3300,0.048,18,35.5,0.12,5000.0,0.015,0.8,7.5,,,EEUFC1V332,3680.0,50.0,
35,3900,0.041,18,40,0.12,5000.0,0.014,0.8,7.5,,,EEUFC1V392,3735.0,50.0,
50,5.6,23.684,5,11,0.1,1000.0,4.1,0.5,2.0,5.0,2.5,EEUFC2A5R6( ),80.0,200.0,2000
50,12,11.052,6.3,11.2,0.1,1000.0,1.8,0.5,2.5,5.0,2.5,EEUFC2A120( ),114.0,200.0,2000
50,22,6.029,8,11.5,0.1,2000.0,0.68,0.6,3.5,5.0,,EEUFC2A220( ),260.0,200.0,1000
50,33,4.019,8,15,0.1,2000.0,0.45,0.6,3.5,5.0,,EEUFC2A330L( ),340.0,200.0,1000
50,39,3.401,10,12.5,0.1,3000.0,0.53,0.6,5.0,5.0,,EEUFC2A330( ),306.0,200.0,500
50,47,2.822,10,20,0.1,3000.0,0.24,0.6,5.0,5.0,,EEUFC2A470( ),463.0,200.0,500
50,56,2.368,10,20,0.1,3000.0,0.24,0.6,5.0,5.0,,EEUFC2A560( ),463.0,200.0,500
50,68,1.95,10,25,0.1,3000.0,0.21,0.6,5.0,5.0,,EEUFC2A680L( ),599.0,200.0,500
50,100,1.326,12.5,15,0.1,5000.0,0.23,0.6,5.0,5.0,,EEUFC2A680( ),511.0,200.0,500
50,120,1.105,16,15,0.1,5000.0,0.14,0.8,7.5,7.5,,EEUFC2A121S( ),793.0,100.0,250
50,150,0.884,12.5,25,0.1,5000.0,0.11,0.6,5.0,5.0,,EEUFC2A151( ),807.0,200.0,500
50,180,0.737,18,15,0.1,5000.0,0.12,0.8,7.5,7.5,,EEUFC2A151S( ),917.0,100.0,250
50,220,0.603,12.5,35,0.1,5000.0,0.087,0.8,5.0,,,EEUFC2A221L,1040.0,100.0,
50,270,0.491,16,25,0.1,5000.0,0.089,0.8,7.5,7.5,,EEUFC2A221( ),1170.0,100.0,250
50,330,0.402,16,31.5,0.1,5000.0,0.062,0.8,7.5,,,EEUFC2A331,1520.0,100.0,
50,390,0.34,18,31.5,0.1,5000.0,0.062,0.8,7.5,,,EEUFC2A391,1600.0,50.0,
50,470,0.282,16,40,0.1,5000.0,0.047,0.8,7.5,,,EEUFC2A471,1920.0,100.0,
50,560,0.237,18,35.5,0.1,5000.0,0.041,0.8,7.5,,,EEUFC2A561,1770.0,50.0,
50,680,0.195,18,40,0.1,5000.0,0.036,0.8,7.5,,,EEUFC2A681,2300.0,50.0,
63,5.6,18.947,5,11,0.08,1000.0,4.1,0.5,2.0,5.0,2.5,EEUFC2A5R6( ),80.0,200.0,2000
63,12,8.842,6.3,11.2,0.08,1000.0,1.8,0.5,2.5,5.0,2.5,EEUFC2A120( ),114.0,200.0,2000
63,22,4.823,8,11.5,0.08,2000.0,0.68,0.6,3.5,5.0,,EEUFC2A220( ),260.0,200.0,1000
63,33,3.215,8,15,0.08,2000.0,0.45,0.6,3.5,5.0,,EEUFC2A330L( ),340.0,200.0,1000
63,39,2.721,10,12.5,0.08,3000.0,0.53,0.6,5.0,5.0,,EEUFC2A330( ),306.0,200.0,500
63,47,2.258,10,20,0.08,3000.0,0.24,0.6,5.0,5.0,,EEUFC2A470( ),463.0,200.0,500
63,56,1.895,10,20,0.08,3000.0,0.24,0.6,5.0,5.0,,EEUFC2A560( ),463.0,200.0,500
63,68,1.56,10,25,0.08,3000.0,0.21,0.6,5.0,5.0,,EEUFC2A680L( ),599.0,200.0,500
63,82,1.294,12.5,15,0.08,5000.0,0.23,0.6,5.0,5.0,,EEUFC2A680( ),511.0,200.0,500
63,100,1.061,16,15,0.08,5000.0,0.14,0.8,7.5,7.5,,EEUFC2A101S( ),793.0,100.0,250
63,120,0.884,12.5,25,0.08,5000.0,0.11,0.6,5.0,5.0,,EEUFC2A121( ),807.0,200.0,500
63,150,0.707,18,15,0.08,5000.0,0.12,0.8,7.5,7.5,,EEUFC2A151S( ),917.0,100.0,250
63,180,0.589,12.5,35,0.08,5000.0,0.087,0.8,5.0,,,EEUFC2A181L,1040.0,100.0,
63,220,0.482,16,25,0.08,5000.0,0.089,0.8,7.5,7.5,,EEUFC2A221( ),1170.0,100.0,250
63,270,0.393,16,31.5,0.08,5000.0,0.062,0.8,7.5,,,EEUFC2A271,1520.0,100.0,
63,330,0.322,18,31.5,0.08,5000.0,0.062,0.8,7.5,,,EEUFC2A331,1600.0,50.0,
63,390,0.272,16,40,0.08,5000.0,0.047,0.8,7.5,,,EEUFC2A391,1920.0,100.0,
63,470,0.226,18,35.5,0.08,5000.0,0.041,0.8,7.5,,,EEUFC2A471,1770.0,50.0,
100,2.2,42.2,5,11,0.07,1000.0,1.8,0.5,2.0,5.0,2.5,EEUFC1H2R2( ),45.0,200.0,2000
100,3.3,28.133,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H3R3( ),65.0,200.0,2000
100,4.7,19.753,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H4R7( ),95.0,200.0,2000
100,10,9.284,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H100L( ),125.0,200.0,2000
100,12,7.737,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H120( ),135.0,200.0,2000
100,15,6.189,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H150( ),145.0,200.0,2000
100,18,5.158,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H180( ),155.0,200.0,2000
100,22,4.22,5,11,0.07,1000.0,1.3,0.5,2.0,5.0,2.5,EEUFC1H220( ),155.0,200.0,2000
100,33,2.813,6.3,11.2,0.07,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1H330( ),260.0,200.0,2000
100,39,2.381,6.3,11.2,0.07,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1H390( ),260.0,200.0,2000
100,47,1.975,6.3,11.2,0.07,1000.0,0.6,0.5,2.5,5.0,2.5,EEUFC1H470( ),260.0,200.0,2000
100,68,1.365,8,11.5,0.07,2000.0,0.234,0.6,3.5,5.0,,EEUFC1H680( ),485.0,200.0,1000
100,82,1.132,8,11.5,0.07,2000.0,0.234,0.6,3.5,5.0,,EEUFC1H820( ),485.0,200.0,1000
100,100,0.928,10,12.5,0.07,3000.0,0.162,0.6,5.0,5.0,,EEUFC1H101( ),615.0,200.0,500
100,120,0.774,8,15,0.07,2000.0,0.155,0.6,3.5,5.0,,EEUFC1H121L( ),635.0,200.0,1000
100,150,0.619,10,16,0.07,3000.0,0.119,0.6,5.0,5.0,,EEUFC1H151( ),850.0,200.0,500
100,180,0.516,8,20,0.07,2000.0,0.12,0.6,3.5,5.0,,EEUFC1H181L( ),860.0,200.0,1000
100,220,0.422,10,20,0.07,3000.0,0.09,0.6,5.0,5.0,,EEUFC1H221( ),1030.0,200.0,500
100,270,0.344,10,25,0.07,3000.0,0.082,0.6,5.0,5.0,,EEUFC1H271( ),1200.0,200.0,500
100,330,0.281,12.5,20,0.07,5000.0,0.063,0.6,5.0,5.0,,EEUFC1H331( ),1480.0,200.0,500
100,390,0.238,12.5,25,0.07,5000.0,0.07,0.6,5.0,5.0,,EEUFC1H391( ),1720.0,200.0,500
100,470,0.198,12.5,30,0.07,5000.0,0.055,0.8,5.0,,,EEUFC1H471L,2090.0,100.0,
100,560,0.166,16,20,0.07,5000.0,0.059,0.8,7.5,7.5,,EEUFC1H561( ),1765.0,100.0,250
100,680,0.137,12.5,35,0.07,5000.0,0.047,0.8,5.0,,,EEUFC1H681L,2265.0,100.0,
100,820,0.113,16,25,0.07,5000.0,0.05,0.8,7.5,7.5,,EEUFC1H821( ),2160.0,100.0,250
100,1000,0.093,16,31.5,0.07,5000.0,0.043,0.8,7.5,,,EEUFC1H102U,2670.0,100.0,
100,1200,0.077,16,40,0.07,5000.0,0.03,0.8,7.5,,,EEUFC1H122L,2825.0,100.0,
100,1500,0.062,18,35.5,0.07,5000.0,0.03,0.8,7.5,,,EEUFC1H152,3095.0,50.0,
100,1800,0.052,18,40,0.07,5000.0,0.025,0.8,7.5,,,EEUFC1H182,3205.0,50.0,
100,2200,0.042,18,35.5,0.07,5000.0,0.023,0.8,7.5,,,EEUFC1H222,3100.0,50.0,
