Voltage,Capacitance,ESR 20°C@120Hz,Case Size Length,Dissipation Factor,Part Number,Ripple Current 85°C@120Hz
100,0.33,321.525,5,0.08,RE3-100VR33M,10
100,0.47,225.752,5,0.08,RE3-100VR47M,10
100,1,106.103,5,0.08,RE3-100V010M,15
100,2.2,48.229,5,0.08,RE3-100V2R2M,25
100,3.3,32.153,5,0.08,RE3-100V3R3M,30
100,4.7,22.575,5,0.08,RE3-100V4R7M,35
100,10,10.61,6.3,0.08,RE2-100V100MMA,60
100,22,4.823,8,0.08,RE2-100V220MMA,110
100,33,3.215,10,0.08,RE2-100V330MMA,160
100,47,2.258,10,0.08,RE2-100V470MMA,210
100,100,1.061,12.5,0.08,RE2-100V101MMA,380
100,220,0.482,16,0.08,RE2-100V221MMA,720
100,330,0.322,16,0.08,RE2-100V331MMA,880
100,470,0.226,16,0.08,RE2-100V471MMA,1150
160,0.47,338.628,6.3,0.12,RE2-160VR47M,10
160,1,159.155,6.3,0.12,RE2-160V010M,15
160,2.2,72.343,6.3,0.12,RE2-160V2R2M,20
160,3.3,48.229,8,0.12,RE2-160V3R3M,35
160,4.7,33.863,8,0.12,RE2-160V4R7M,40
160,10,15.916,10,0.12,RE2-160V100M,70
160,22,7.234,10,0.12,RE2-160V220M,120
160,33,4.823,12.5,0.12,RE2-160V330M,180
160,47,3.386,12.5,0.12,RE2-160V470M,230
160,100,1.592,16,0.12,RE2-160V101M,400
160,220,0.723,18,0.12,RE2-160V221M,730
200,0.47,338.628,6.3,0.12,RE2-200VR47M,10
200,1,159.155,6.3,0.12,RE2-200V010M,15
200,2.2,72.343,6.3,0.12,RE2-200V2R2M,20
200,3.3,48.229,8,0.12,RE2-200V3R3M,35
200,4.7,33.863,10,0.12,RE2-200V4R7M,50
200,10,15.916,10,0.12,RE2-200V100M,75
200,22,7.234,10,0.12,RE2-200V220M,120
200,33,4.823,12.5,0.12,RE2-200V330M,190
200,47,3.386,12.5,0.12,RE2-200V470M,220
200,100,1.592,16,0.12,RE2-200V101M,430
200,220,0.723,18,0.12,RE2-200V221M,760
250,0.47,423.285,6.3,0.15,RE2-250VR47M,10
250,1,198.944,6.3,0.15,RE2-250V010M,15
250,2.2,90.429,8,0.15,RE2-250V2R2M,25
250,3.3,60.286,10,0.15,RE2-250V3R3M,35
250,4.7,42.328,10,0.15,RE2-250V4R7M,40
250,10,19.894,10,0.15,RE2-250V100M,75
250,22,9.043,12.5,0.15,RE2-250V220M,140
250,33,6.029,12.5,0.15,RE2-250V330M,170
250,47,4.233,16,0.15,RE2-250V470M,240
250,100,1.989,18,0.15,RE2-250V101M,440
350,0.47,423.285,6.3,0.15,RE2-350VR47M,10
350,1,198.944,8,0.15,RE2-350V010M,15
350,2.2,90.429,10,0.15,RE2-350V2R2M,30
350,3.3,60.286,10,0.15,RE2-350V3R3M,35
350,4.7,42.328,10,0.15,RE2-350V4R7M,45
350,10,19.894,10,0.15,RE2-350V100M,75
350,22,9.043,12.5,0.15,RE2-350V220M,140
350,33,6.029,16,0.15,RE2-350V330M,200
350,47,4.233,16,0.15,RE2-350V470M,260
400,1,265.258,8,0.2,RE2-400V010M,15
400,2.2,120.572,10,0.2,RE2-400V2R2M,20
400,3.3,80.381,10,0.2,RE2-400V3R3M,35
400,4.7,56.438,10,0.2,RE2-400V4R7M,45
400,10,26.526,12.5,0.2,RE2-400V100M,75
400,22,12.057,16,0.2,RE2-400V220M,140
400,33,8.038,16,0.2,RE2-400V330M,190
400,47,5.644,18,0.2,RE2-400V470M,260
450,1,305.047,10,0.23,RE2-450V010M,15
450,2.2,138.658,10,0.23,RE2-450V2R2M,25
450,3.3,92.439,10,0.23,RE2-450V3R3M,35
450,4.7,64.904,12.5,0.23,RE2-450V4R7M,45
450,10,30.505,12.5,0.23,RE2-450V100M,75
450,22,13.866,16,0.23,RE2-450V220M,140
450,33,9.244,18,0.23,RE2-450V330M,200
