Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
100,470,0.198,0.045,16,40,0.07,0.18,1920,J40
6.3,3300,0.088,0.043,18,16,0.22,0.097,1460,K16
10,2200,0.115,0.043,18,16,0.19,0.097,1460,K16
16,1500,0.141,0.043,18,16,0.16,0.097,1460,K16
25,1200,0.155,0.043,18,16,0.14,0.097,1460,K16
35,680,0.234,0.043,18,16,0.12,0.097,1460,K16
50,470,0.282,0.048,18,16,0.1,0.096,1180,K16
63,330,0.322,0.065,18,16,0.08,0.2,1200,K16
100,150,0.619,0.12,18,16,0.07,0.48,871,K16
6.3,5600,0.052,0.03,18,20,0.22,0.068,1850,K20
10,3900,0.065,0.03,18,20,0.19,0.068,1850,K20
16,2700,0.079,0.03,18,20,0.16,0.068,1850,K20
25,1800,0.103,0.03,18,20,0.14,0.068,1850,K20
35,1200,0.133,0.03,18,20,0.12,0.068,1850,K20
50,820,0.162,0.036,18,20,0.1,0.072,1450,K20
63,470,0.226,0.058,18,20,0.08,0.17,1460,K20
100,270,0.344,0.085,18,20,0.07,0.34,1170,K20
6.3,6800,0.043,0.027,18,25,0.22,0.061,2120,K25
10,4700,0.054,0.027,18,25,0.19,0.061,2120,K25
16,3900,0.054,0.027,18,25,0.16,0.061,2120,K25
25,2700,0.069,0.027,18,25,0.14,0.061,2120,K25
35,1800,0.088,0.027,18,25,0.12,0.061,2120,K25
50,1000,0.133,0.032,18,25,0.1,0.064,1720,K25
63,680,0.156,0.05,18,25,0.08,0.15,1740,K25
100,330,0.281,0.071,18,25,0.07,0.28,1500,K25
6.3,10000,0.029,0.023,18,31.5,0.22,0.052,2410,K31
10,6800,0.037,0.023,18,31.5,0.19,0.052,2410,K31
16,4700,0.045,0.023,18,31.5,0.16,0.052,2410,K31
25,3300,0.056,0.023,18,31.5,0.14,0.052,2410,K31
35,2200,0.072,0.023,18,31.5,0.12,0.052,2410,K31
50,1500,0.088,0.026,18,31.5,0.1,0.052,1970,K31
63,820,0.129,0.042,18,31.5,0.08,0.13,1990,K31
100,390,0.238,0.058,18,31.5,0.07,0.23,1630,K31
6.3,12000,0.024,0.019,18,35.5,0.22,0.043,2680,K35
10,8200,0.031,0.019,18,35.5,0.19,0.043,2680,K35
16,6800,0.031,0.019,18,35.5,0.16,0.043,2680,K35
25,3900,0.048,0.019,18,35.5,0.14,0.043,2680,K35
35,2700,0.059,0.019,18,35.5,0.12,0.043,2680,K35
50,1800,0.074,0.025,18,35.5,0.1,0.05,2310,K35
63,1000,0.106,0.035,18,35.5,0.08,0.11,2340,K35
100,560,0.166,0.054,18,35.5,0.07,0.22,1920,K35
6.3,15000,0.019,0.017,18,40,0.22,0.038,3010,K40
10,10000,0.025,0.017,18,40,0.19,0.038,3010,K40
16,8200,0.026,0.017,18,40,0.16,0.038,3010,K40
25,4700,0.04,0.017,18,40,0.14,0.038,3010,K40
35,3300,0.048,0.017,18,40,0.12,0.038,3010,K40
50,2200,0.06,0.024,18,40,0.1,0.048,2530,K40
63,1200,0.088,0.032,18,40,0.08,0.096,2560,K40
100,680,0.137,0.041,18,40,0.07,0.16,2100,K40
