Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
10,15000,0.52,16,31.5,0.073,2000,0.8,7.5,,,EEUHD1A153,2507,2507,2180,2398,1853,100,,150000
10,22000,0.66,18,35.5,0.066,2000,0.8,7.5,,,EEUHD1A223,2760,2760,2400,2640,2040,50,,220000
10,22000,0.66,18,35.5,0.066,2000,0.8,7.5,,,EEUHD1A223,2760,2760,2400,2640,2040,50,,220000
10,330,0.24,6.3,11.2,0.965,1000,0.5,2.5,5,2.5,EEUHD1A331( ),300,300,200,270,160,200,2000,3300
10,330,0.24,6.3,11.2,0.965,1000,0.5,2.5,5,2.5,EEUHD1A331( ),300,300,200,270,160,200,2000,3300
10,470,0.24,8,11.5,0.677,1000,0.6,3.5,5,,EEUHD1A471( ),375,375,250,337.5,200,200,1000,4700
10,470,0.24,8,11.5,0.677,1000,0.6,3.5,5,,EEUHD1A471( ),375,375,250,337.5,200,200,1000,4700
10,1000,0.24,10,12.5,0.345,2000,0.6,5,5,,EEUHD1A102( ),529,529,460,506,391,200,500,10000
10,1000,0.24,10,12.5,0.345,2000,0.6,5,5,,EEUHD1A102( ),529,529,460,506,391,200,500,10000
10,2200,0.26,10,16,0.181,2000,0.6,5,5,,EEUHD1A222( ),874,874,760,836,646,200,500,22000
10,2200,0.26,10,16,0.181,2000,0.6,5,5,,EEUHD1A222( ),874,874,760,836,646,200,500,22000
10,4700,0.3,12.5,20,0.107,2000,0.6,5,5,,EEUHD1A472( ),1449,1449,1260,1386,1071,200,500,47000
10,4700,0.3,12.5,20,0.107,2000,0.6,5,5,,EEUHD1A472( ),1449,1449,1260,1386,1071,200,500,47000
10,6800,0.34,12.5,25,0.09,2000,0.6,5,5,,EEUHD1A682( ),1805.5,1805.5,1570,1727,1334.5,200,500,68000
10,6800,0.34,12.5,25,0.09,2000,0.6,5,5,,EEUHD1A682( ),1805.5,1805.5,1570,1727,1334.5,200,500,68000
10,10000,0.42,16,25,0.082,2000,0.8,7.5,7.5,,EEUHD1A103( ),2173.5,2173.5,1890,2079,1606.5,100,250,100000
10,10000,0.42,16,25,0.082,2000,0.8,7.5,7.5,,EEUHD1A103( ),2173.5,2173.5,1890,2079,1606.5,100,250,100000
10,15000,0.52,16,31.5,0.073,2000,0.8,7.5,,,EEUHD1A153,2507,2507,2180,2398,1853,100,,150000
10,15000,0.52,16,31.5,0.073,2000,0.8,7.5,,,EEUHD1A153,2507,2507,2180,2398,1853,100,,150000
10,22000,0.66,18,35.5,0.066,2000,0.8,7.5,,,EEUHD1A223,2760,2760,2400,2640,2040,50,,220000
10,22000,0.66,18,35.5,0.066,2000,0.8,7.5,,,EEUHD1A223,2760,2760,2400,2640,2040,50,,220000
16,100,0.2,5,11,2.653,1000,0.5,2,5,2.5,EEUHD1C101( ),165,165,110,148.5,88,200,2000,1600
16,100,0.2,5,11,2.653,1000,0.5,2,5,2.5,EEUHD1C101( ),165,165,110,148.5,88,200,2000,1600
16,220,0.2,6.3,11.2,1.206,1000,0.5,2.5,5,2.5,EEUHD1C221( ),270,270,180,243,144,200,2000,3520
16,220,0.2,6.3,11.2,1.206,1000,0.5,2.5,5,2.5,EEUHD1C221( ),270,270,180,243,144,200,2000,3520
16,330,0.2,8,11.5,0.804,1000,0.6,3.5,5,,EEUHD1C331( ),390,390,260,351,208,200,1000,5280
16,330,0.2,8,11.5,0.804,1000,0.6,3.5,5,,EEUHD1C331( ),390,390,260,351,208,200,1000,5280
16,470,0.2,8,11.5,0.564,1000,0.6,3.5,5,,EEUHD1C471( ),465,465,310,418.5,248,200,1000,7520
16,470,0.2,8,11.5,0.564,1000,0.6,3.5,5,,EEUHD1C471( ),465,465,310,418.5,248,200,1000,7520
16,3300,0.24,12.5,20,0.121,2000,0.6,5,5,,EEUHD1C332( ),1345.5,1345.5,1170,1287,994.5,200,500,52800
16,3300,0.24,12.5,20,0.121,2000,0.6,5,5,,EEUHD1C332( ),1345.5,1345.5,1170,1287,994.5,200,500,52800
16,4700,0.26,12.5,25,0.096,2000,0.6,5,5,,EEUHD1C472( ),1702,1702,1480,1628,1258,200,500,75200
16,4700,0.26,12.5,25,0.096,2000,0.6,5,5,,EEUHD1C472( ),1702,1702,1480,1628,1258,200,500,75200
16,6800,0.3,16,25,0.082,2000,0.8,7.5,7.5,,EEUHD1C682( ),2047,2047,1780,1958,1513,100,250,108800
16,6800,0.3,16,25,0.082,2000,0.8,7.5,7.5,,EEUHD1C682( ),2047,2047,1780,1958,1513,100,250,108800
16,8200,0.34,16,25,0.081,2000,0.8,7.5,7.5,,EEUHD1C822( ),2047,2047,1780,1958,1513,100,250,131200
16,8200,0.34,16,25,0.081,2000,0.8,7.5,7.5,,EEUHD1C822( ),2047,2047,1780,1958,1513,100,250,131200
16,10000,0.38,16,31.5,0.077,2000,0.8,7.5,,,EEUHD1C103,2369,2369,2060,2266,1751,100,,160000
16,10000,0.38,16,31.5,0.077,2000,0.8,7.5,,,EEUHD1C103,2369,2369,2060,2266,1751,100,,160000
16,15000,0.48,18,35.5,0.069,2000,0.8,7.5,,,EEUHD1C153,2541.5,2541.5,2210,2431,1878.5,50,,240000
16,15000,0.48,18,35.5,0.069,2000,0.8,7.5,,,EEUHD1C153,2541.5,2541.5,2210,2431,1878.5,50,,240000
25,47,0.16,5,11,4.515,1000,0.5,2,5,2.5,EEUHD1E470( ),136.5,136.5,91,122.85,72.8,200,2000,1175
25,47,0.16,5,11,4.515,1000,0.5,2,5,2.5,EEUHD1E470( ),136.5,136.5,91,122.85,72.8,200,2000,1175
25,68,0.16,5,11,3.121,1000,0.5,2,5,2.5,EEUHD1E680( ),136.5,136.5,91,122.85,72.8,200,2000,1700
25,68,0.16,5,11,3.121,1000,0.5,2,5,2.5,EEUHD1E680( ),136.5,136.5,91,122.85,72.8,200,2000,1700
25,100,0.16,6.3,11.2,2.122,1000,0.5,2.5,5,2.5,EEUHD1E101( ),195,195,130,175.5,104,200,2000,2500
25,100,0.16,6.3,11.2,2.122,1000,0.5,2.5,5,2.5,EEUHD1E101( ),195,195,130,175.5,104,200,2000,2500
25,220,0.16,8,11.5,0.965,1000,0.6,3.5,5,,EEUHD1E221( ),345,345,230,310.5,184,200,1000,5500
25,220,0.16,8,11.5,0.965,1000,0.6,3.5,5,,EEUHD1E221( ),345,345,230,310.5,184,200,1000,5500
25,330,0.16,8,11.5,0.643,1000,0.6,3.5,5,,EEUHD1E331( ),465,465,310,418.5,248,200,1000,8250
25,330,0.16,8,11.5,0.643,1000,0.6,3.5,5,,EEUHD1E331( ),465,465,310,418.5,248,200,1000,8250
25,470,0.16,10,12.5,0.452,2000,0.6,5,5,,EEUHD1E471( ),570,570,380,513,304,200,500,11750
25,470,0.16,10,12.5,0.452,2000,0.6,5,5,,EEUHD1E471( ),570,570,380,513,304,200,500,11750
25,1000,0.16,10,16,0.239,2000,0.6,5,5,,EEUHD1E102( ),782,782,680,748,578,200,500,25000
25,1000,0.16,10,16,0.239,2000,0.6,5,5,,EEUHD1E102( ),782,782,680,748,578,200,500,25000
25,2200,0.18,12.5,20,0.133,2000,0.6,5,5,,EEUHD1E222( ),1253.5,1253.5,1090,1199,926.5,200,500,55000
25,2200,0.18,12.5,20,0.133,2000,0.6,5,5,,EEUHD1E222( ),1253.5,1253.5,1090,1199,926.5,200,500,55000
25,3300,0.2,12.5,25,0.104,2000,0.6,5,5,,EEUHD1E332( ),1610,1610,1400,1540,1190,200,500,82500
25,3300,0.2,12.5,25,0.104,2000,0.6,5,5,,EEUHD1E332( ),1610,1610,1400,1540,1190,200,500,82500
25,4700,0.22,16,25,0.085,2000,0.8,7.5,7.5,,EEUHD1E472( ),2012.5,2012.5,1750,1925,1487.5,100,250,117500
25,4700,0.22,16,25,0.085,2000,0.8,7.5,7.5,,EEUHD1E472( ),2012.5,2012.5,1750,1925,1487.5,100,250,117500
25,5600,0.24,16,25,0.081,2000,0.8,7.5,7.5,,EEUHD1E562( ),2012.5,2012.5,1750,1925,1487.5,100,250,140000
25,5600,0.24,16,25,0.081,2000,0.8,7.5,7.5,,EEUHD1E562( ),2012.5,2012.5,1750,1925,1487.5,100,250,140000
25,6800,0.26,16,31.5,0.074,2000,0.8,7.5,,,EEUHD1E682,2346,2346,2040,2244,1734,100,,170000
25,6800,0.26,16,31.5,0.074,2000,0.8,7.5,,,EEUHD1E682,2346,2346,2040,2244,1734,100,,170000
25,10000,0.34,18,35.5,0.072,2000,0.8,7.5,,,EEUHD1E103,2530,2530,2200,2420,1870,50,,250000
25,10000,0.34,18,35.5,0.072,2000,0.8,7.5,,,EEUHD1E103,2530,2530,2200,2420,1870,50,,250000
35,47,0.14,5,11,3.951,1000,0.5,2,5,2.5,EEUHD1V470( ),135,135,90,121.5,72,200,2000,1645
35,47,0.14,5,11,3.951,1000,0.5,2,5,2.5,EEUHD1V470( ),135,135,90,121.5,72,200,2000,1645
35,100,0.14,6.3,11.2,1.857,1000,0.5,2.5,5,2.5,EEUHD1V101( ),225,225,150,202.5,120,200,2000,3500
35,100,0.14,6.3,11.2,1.857,1000,0.5,2.5,5,2.5,EEUHD1V101( ),225,225,150,202.5,120,200,2000,3500
35,220,0.14,8,11.5,0.844,1000,0.6,3.5,5,,EEUHD1V221( ),405,405,270,364.5,216,200,1000,7700
35,220,0.14,8,11.5,0.844,1000,0.6,3.5,5,,EEUHD1V221( ),405,405,270,364.5,216,200,1000,7700
35,330,0.14,10,12.5,0.563,2000,0.6,5,5,,EEUHD1V331( ),525,525,350,472.5,280,200,500,11550
35,330,0.14,10,12.5,0.563,2000,0.6,5,5,,EEUHD1V331( ),525,525,350,472.5,280,200,500,11550
35,470,0.14,10,16,0.395,2000,0.6,5,5,,EEUHD1V471( ),690,690,460,621,368,200,500,16450
35,470,0.14,10,16,0.395,2000,0.6,5,5,,EEUHD1V471( ),690,690,460,621,368,200,500,16450
35,680,0.14,10,16,0.273,2000,0.6,5,5,,EEUHD1V681( ),,,460,,,200,500,23800
35,2200,0.16,12.5,25,0.121,2000,0.6,5,5,,EEUHD1V222( ),1449,1449,1260,1386,1071,200,500,77000
35,2200,0.16,12.5,25,0.121,2000,0.6,5,5,,EEUHD1V222( ),1449,1449,1260,1386,1071,200,500,77000
35,3300,0.18,16,25,0.096,2000,0.8,7.5,7.5,,EEUHD1V332( ),1851.5,1851.5,1610,1771,1368.5,100,250,115500
35,3300,0.18,16,25,0.096,2000,0.8,7.5,7.5,,EEUHD1V332( ),1851.5,1851.5,1610,1771,1368.5,100,250,115500
35,4700,0.2,16,31.5,0.079,2000,0.8,7.5,,,EEUHD1V472,2196.5,2196.5,1910,2101,1623.5,100,,164500
35,4700,0.2,16,31.5,0.079,2000,0.8,7.5,,,EEUHD1V472,2196.5,2196.5,1910,2101,1623.5,100,,164500
35,6800,0.24,18,35.5,0.07,2000,0.8,7.5,,,EEUHD1V682,2357.5,2357.5,2050,2255,1742.5,50,,238000
35,6800,0.24,18,35.5,0.07,2000,0.8,7.5,,,EEUHD1V682,2357.5,2357.5,2050,2255,1742.5,50,,238000
50,2.2,0.12,5,11,72.343,1000,0.5,2,5,2.5,EEUHD1H2R2( ),36,32.4,18,27.9,13.5,200,2000,110.00000000000001
50,2.2,0.12,5,11,72.343,1000,0.5,2,5,2.5,EEUHD1H2R2( ),36,32.4,18,27.9,13.5,200,2000,110.00000000000001
50,3.3,0.12,5,11,48.229,1000,0.5,2,5,2.5,EEUHD1H3R3( ),44,39.6,22,34.1,16.5,200,2000,165
50,3.3,0.12,5,11,48.229,1000,0.5,2,5,2.5,EEUHD1H3R3( ),44,39.6,22,34.1,16.5,200,2000,165
50,4.7,0.12,5,11,33.863,1000,0.5,2,5,2.5,EEUHD1H4R7( ),52,46.8,26,40.3,19.5,200,2000,235
50,4.7,0.12,5,11,33.863,1000,0.5,2,5,2.5,EEUHD1H4R7( ),52,46.8,26,40.3,19.5,200,2000,235
50,10,0.12,5,11,15.916,1000,0.5,2,5,2.5,EEUHD1H100( ),78,70.2,39,60.45,29.25,200,2000,500
50,10,0.12,5,11,15.916,1000,0.5,2,5,2.5,EEUHD1H100( ),78,70.2,39,60.45,29.25,200,2000,500
50,22,0.12,5,11,7.234,1000,0.5,2,5,2.5,EEUHD1H220( ),130,117,65,100.75,48.75,200,2000,1100
50,22,0.12,5,11,7.234,1000,0.5,2,5,2.5,EEUHD1H220( ),130,117,65,100.75,48.75,200,2000,1100
50,33,0.12,5,11,4.823,1000,0.5,2,5,2.5,EEUHD1H330( ),180,162,90,139.5,67.5,200,2000,1650
50,33,0.12,5,11,4.823,1000,0.5,2,5,2.5,EEUHD1H330( ),180,162,90,139.5,67.5,200,2000,1650
50,47,0.12,6.3,11.2,3.386,1000,0.5,2.5,5,2.5,EEUHD1H470( ),165,165,110,148.5,88,200,2000,2350
50,47,0.12,6.3,11.2,3.386,1000,0.5,2.5,5,2.5,EEUHD1H470( ),165,165,110,148.5,88,200,2000,2350
50,68,0.12,6.3,11.2,2.341,1000,0.5,2.5,5,2.5,EEUHD1H680( ),165,165,110,148.5,88,200,2000,3400
50,68,0.12,6.3,11.2,2.341,1000,0.5,2.5,5,2.5,EEUHD1H680( ),165,165,110,148.5,88,200,2000,3400
50,100,0.12,8,11.5,1.592,1000,0.6,3.5,5,,EEUHD1H101( ),270,270,180,243,144,200,1000,5000
50,100,0.12,8,11.5,1.592,1000,0.6,3.5,5,,EEUHD1H101( ),270,270,180,243,144,200,1000,5000
50,220,0.12,10,12.5,0.723,2000,0.6,5,5,,EEUHD1H221( ),450,450,300,405,240,200,500,11000
50,220,0.12,10,12.5,0.723,2000,0.6,5,5,,EEUHD1H221( ),450,450,300,405,240,200,500,11000
50,330,0.12,10,16,0.482,2000,0.6,5,5,,EEUHD1H331( ),615,615,410,553.5,328,200,500,16500
50,330,0.12,10,16,0.482,2000,0.6,5,5,,EEUHD1H331( ),615,615,410,553.5,328,200,500,16500
50,470,0.12,10,20,0.339,2000,0.6,5,5,,EEUHD1H471( ),795,795,530,715.5,424,200,500,23500
50,470,0.12,10,20,0.339,2000,0.6,5,5,,EEUHD1H471( ),795,795,530,715.5,424,200,500,23500
50,560,0.12,16,15,0.284,2000,0.8,7.5,7.5,,EEUHD1H561S( ),,,650,,,100,250,28000
50,680,0.12,16,15,0.234,2000,0.8,7.5,7.5,,EEUHD1H681S( ),,,650,,,100,250,34000
50,1000,0.12,12.5,25,0.186,2000,0.6,5,5,,EEUHD1H102( ),1092.5,1092.5,950,1045,807.5,200,500,50000
50,1000,0.12,12.5,25,0.186,2000,0.6,5,5,,EEUHD1H102( ),1092.5,1092.5,950,1045,807.5,200,500,50000
50,2200,0.14,16,31.5,0.109,2000,0.8,7.5,,,EEUHD1H222,1690.5,1690.5,1470,1617,1249.5,100,,110000
50,2200,0.14,16,31.5,0.109,2000,0.8,7.5,,,EEUHD1H222,1690.5,1690.5,1470,1617,1249.5,100,,110000
50,3300,0.16,18,35.5,0.088,2000,0.8,7.5,,,EEUHD1H332,2035.5,2035.5,1770,1947,1504.5,50,,165000
50,3300,0.16,18,35.5,0.088,2000,0.8,7.5,,,EEUHD1H332,2035.5,2035.5,1770,1947,1504.5,50,,165000
