Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,Status,VC,Vibration resistant,Weight (g)
63,1000,0.1,0.038,16,25,-40,135,0.23,0.159,2000,1890,400,UBY1J102MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2940,2781.56,1760.48,2552.69,2680,MP,63000,Normal,8.2
63,1100,0.1,0.031,12.5,40,-40,135,0.22,0.145,2000,2079,400,UBY1J112MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4610,4361.56,2760.48,4002.69,3260,MP,69300,Normal,7.57
63,1300,0.1,0.034,16,30.5,-40,135,0.2,0.122,2000,2457,300,UBY1J132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3860,3651.98,2311.38,3351.5,3050,MP,81900,Normal,9.6
63,1300,0.1,0.035,18,25,-40,135,0.19,0.122,2000,2457,300,UBY1J132MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3080,2914.01,1844.31,2674.25,2810,MP,81900,Normal,10.6
63,1700,0.1,0.027,16,35.5,-40,135,0.15,0.094,2000,3213,300,UBY1J172MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4590,4342.63,2748.5,3985.33,3420,MP,107100,Normal,11.8
63,1800,0.1,0.028,18,30.5,-40,135,0.15,0.088,2000,3402,300,UBY1J182MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4080,3860.12,2443.11,3542.51,3220,MP,113400,Normal,13.1
63,2000,0.12,0.025,16,40,-40,135,0.14,0.106,2000,3780,300,UBY1J202MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5190,4910.3,3107.78,4506.29,3670,MP,126000,Normal,14.1
63,2200,0.12,0.023,18,35.5,-40,135,0.12,0.096,2000,4158,250,UBY1J222MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5220,4984.51,3924.81,4709.77,3690,MP,138600,Normal,14.2
63,2500,0.12,0.021,18,40,-40,135,0.11,0.085,2000,4725,200,UBY1J252MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5660,5404.66,4255.64,5106.77,3820,MP,157500,Normal,17.7
80,270,0.08,0.074,12.5,20,-40,135,0.56,0.393,2000,648,1000,UBY1K271MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1640,1541.6,820,1394,1420,MP,21600,Normal,3.43
80,390,0.08,0.054,12.5,25,-40,135,0.39,0.272,2000,936,800,UBY1K391MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2520,2368.8,1260,2142,2050,MP,31200,Normal,4.56
80,470,0.08,0.053,16,20,-40,135,0.34,0.226,2000,1128,600,UBY1K471MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2140,2011.6,1070,1819,1910,MP,37600,Normal,6.6
80,510,0.08,0.042,12.5,30.5,-40,135,0.3,0.208,2000,1224,600,UBY1K511MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3110,2923.4,1555,2643.5,2630,MP,40800,Normal,6.01
80,620,0.08,0.038,12.5,35.5,-40,135,0.25,0.171,2000,1488,500,UBY1K621MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3760,3534.4,1880,3196,2970,MP,49600,Normal,7.06
80,620,0.08,0.048,18,20,-40,135,0.26,0.171,2000,1488,400,UBY1K621MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2350,2209,1175,1997.5,2100,MP,49600,Normal,9
80,680,0.08,0.038,16,25,-40,135,0.23,0.156,2000,1632,400,UBY1K681MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2940,2781.56,1760.48,2552.69,2680,MP,54400,Normal,8.2
80,750,0.08,0.031,12.5,40,-40,135,0.22,0.141,2000,1800,400,UBY1K751MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4610,4361.56,2760.48,4002.69,3260,MP,60000,Normal,7.57
80,820,0.08,0.034,16,30.5,-40,135,0.2,0.129,2000,1968,300,UBY1K821MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3860,3651.98,2311.38,3351.5,3050,MP,65600,Normal,9.6
80,820,0.08,0.035,18,25,-40,135,0.19,0.129,2000,1968,300,UBY1K821MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3080,2914.01,1844.31,2674.25,2810,MP,65600,Normal,10.6
80,1000,0.08,0.027,16,35.5,-40,135,0.15,0.133,2000,2400,300,UBY1K102MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4590,4342.63,2748.5,3985.33,3420,MP,80000,Normal,11.8
80,1100,0.08,0.028,18,30.5,-40,135,0.15,0.121,2000,2640,300,UBY1K112MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4080,3860.12,2443.11,3542.51,3220,MP,88000,Normal,13.1
80,1300,0.08,0.025,16,40,-40,135,0.14,0.102,2000,3120,300,UBY1K132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5190,4910.3,3107.78,4506.29,3670,MP,104000,Normal,14.1
