Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,3300,,0.017,16,31.5,,0.05,EKY-250E□□332MLN3S,3450,3294.36,2593.98,3112.78,82500
25,3300,,0.019,18,25,,0.049,EKY-250E□□332MM25S,3140,2998.35,2360.9,2833.08,82500
25,3900,,0.015,16,35.5,,0.044,EKY-250E□□392MLP1S,3610,3447.14,2714.29,3257.14,97500
25,3900,,0.015,18,31.5,,0.04,EKY-250E□□392MMN3S,4170,3981.88,3135.34,3762.41,97500
25,4700,,0.013,16,40,,0.038,EKY-250E□□472ML40S,4080,3976.27,3457.63,3872.54,117500
25,4700,,0.014,18,35.5,,0.038,EKY-250E□□472MMP1S,4220,4112.71,3576.27,4005.42,117500
25,5600,,0.012,18,40,,0.032,EKY-250E□□562MM40S,4280,4171.19,3627.12,4062.37,140000
35,220,,0.08,10,12.5,,0.32,EKY-350E□□221MJC5S,865,813.1,432.5,735.25,7700
35,330,,0.06,10,16,,0.24,EKY-350E□□331MJ16S,1210,1137.4,605,1028.5,11550
35,470,,0.046,10,20,,0.18,EKY-350E□□471MJ20S,1400,1316,700,1190,16450
35,470,,0.049,12.5,15,,0.16,EKY-350E□□471MK15S,1450,1363,725,1232.5,16450
35,560,,0.042,10,25,,0.17,EKY-350E□□561MJ25S,1650,1551,825,1402.5,19600
35,680,,0.031,10,30,,0.12,EKY-350E□□681MJ30S,1910,1807.07,1143.71,1658.38,23800
35,680,,0.035,12.5,20,,0.12,EKY-350E□□681MK20S,1900,1797.6,1137.72,1649.7,23800
35,680,,0.042,16,15,,0.12,EKY-350E□□681ML15S,1940,1835.45,1161.68,1684.43,23800
35,1000,,0.027,12.5,25,,0.089,EKY-350E□□102MK25S,2230,2109.82,1335.33,1936.23,35000
35,1000,,0.043,18,15,,0.11,EKY-350E□□102MM15S,2210,2090.9,1323.35,1918.86,35000
35,1200,,0.024,12.5,30,,0.078,EKY-350E□□122MK30S,2650,2507.19,1586.83,2300.9,42000
35,1200,,0.027,16,20,,0.078,EKY-350E□□122ML20S,2530,2393.65,1514.97,2196.71,42000
35,1500,,0.02,12.5,35,,0.065,EKY-350E□□152MK35S,2880,2724.79,1724.55,2500.6,52500
35,1800,,0.017,12.5,40,,0.056,EKY-350E□□182MK40S,3350,3169.46,2005.99,2908.68,63000
35,1800,,0.021,16,25,,0.06,EKY-350E□□182ML25S,2930,2772.1,1754.49,2544.01,63000
35,1800,,0.026,18,20,,0.067,EKY-350E□□182MM20S,2860,2705.87,1712.57,2483.23,63000
35,2200,,0.017,16,31.5,,0.05,EKY-350E□□222MLN3S,3450,3294.36,2593.98,3112.78,77000
35,2200,,0.019,18,25,,0.049,EKY-350E□□222MM25S,3140,2998.35,2360.9,2833.08,77000
35,2700,,0.015,16,35.5,,0.044,EKY-350E□□272MLP1S,3610,3447.14,2714.29,3257.14,94500
