Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
63,1200,,,0.037,18,20,,,EKYC630E□□122MM20S,2700,2554.49,1616.77,2344.31,75600
63,1300,,,0.021,12.5,40,,,EKYC630E□□132MK40S,3600,3405.99,2155.69,3125.75,81900
63,1500,,,0.025,16,30,,,EKYC630E□□152ML30S,3580,3387.07,2143.71,3108.38,94500
63,1600,,,0.03,18,25,,,EKYC630E□□162MM25S,3350,3169.46,2005.99,2908.68,100800
63,1800,,,0.022,16,35,,,EKYC630E□□182ML35S,3800,3595.21,2275.45,3299.4,113400
63,2000,,,0.024,18,30,,,EKYC630E□□202MM30S,3700,3500.6,2215.57,3212.57,126000
63,2400,,,0.018,16,40,,,EKYC630E□□242ML40S,4100,3915.04,3082.71,3699.25,151200
63,2400,,,0.021,18,35,,,EKYC630E□□242MM35S,4000,3819.55,3007.52,3609.02,151200
63,3300,,,0.017,18,40,,,EKYC630E□□332MM40S,4300,4106.02,3233.08,3879.7,207900
80,100,,,0.14,10,12.5,,,EKYC800E□□101MJC5S,1120,1008,448,842.24,8000
80,150,,,0.1,10,16,,,EKYC800E□□151MJ16S,1570,1413,628,1180.64,12000
80,220,,,0.065,10,20,,,EKYC800E□□221MJ20S,1940,1808.08,776,1590.8,17600
80,330,,,0.05,12.5,20,,,EKYC800E□□331MK20S,2150,2021,1075,1827.5,26400
80,470,,,0.037,12.5,25,,,EKYC800E□□471MK25S,2820,2650.8,1410,2397,37600
80,620,,,0.038,16,20,,,EKYC800E□□621ML20S,2530,2393.65,1514.97,2196.71,49600
80,680,,,0.029,12.5,30,,,EKYC800E□□681MK30S,3120,2951.86,1868.26,2708.98,54400
80,680,,,0.025,12.5,35,,,EKYC800E□□681MK35S,3300,3122.16,1976.05,2865.27,54400
80,820,,,0.037,18,20,,,EKYC800E□□821MM20S,2700,2554.49,1616.77,2344.31,65600
80,910,,,0.031,16,25,,,EKYC800E□□911ML25S,3240,3065.39,1940.12,2813.17,72800
80,1000,,,0.021,12.5,40,,,EKYC800E□□102MK40S,3600,3405.99,2155.69,3125.75,80000
80,1200,,,0.025,16,30,,,EKYC800E□□122ML30S,3580,3387.07,2143.71,3108.38,96000
80,1200,,,0.03,18,25,,,EKYC800E□□122MM25S,3350,3169.46,2005.99,2908.68,96000
80,1300,,,0.022,16,35,,,EKYC800E□□132ML35S,3800,3595.21,2275.45,3299.4,104000
80,1500,,,0.024,18,30,,,EKYC800E□□152MM30S,3700,3500.6,2215.57,3212.57,120000
80,1800,,,0.018,16,40,,,EKYC800E□□182ML40S,4100,3879.04,2455.09,3559.88,144000
80,1800,,,0.021,18,35,,,EKYC800E□□182MM35S,4000,3784.43,2395.21,3473.05,144000
80,2400,,,0.017,18,40,,,EKYC800E□□242MM40S,4300,4106.02,3233.08,3879.7,192000
100,68,,,0.14,10,12.5,,,EKYC101E□□680MJC5S,1120,1008,448,842.24,6800
100,100,,,0.1,10,16,,,EKYC101E□□101MJ16S,1570,1413,628,1180.64,10000
100,150,,,0.065,10,20,,,EKYC101E□□151MJ20S,1940,1746,776,1458.88,15000
100,220,,,0.05,12.5,20,,,EKYC101E□□221MK20S,2150,2003.8,860,1763,22000
100,330,,,0.037,12.5,25,,,EKYC101E□□331MK25S,2820,2650.8,1410,2397,33000
100,390,,,0.029,12.5,30,,,EKYC101E□□391MK30S,3120,2932.8,1560,2652,39000
100,390,,,0.038,16,20,,,EKYC101E□□391ML20S,2530,2378.2,1265,2150.5,39000
100,470,,,0.025,12.5,35,,,EKYC101E□□471MK35S,3300,3102,1650,2805,47000
100,560,,,0.021,12.5,40,,,EKYC101E□□561MK40S,3600,3384,1800,3060,56000
100,560,,,0.031,16,25,,,EKYC101E□□561ML25S,3240,3045.6,1620,2754,56000
100,560,,,0.037,18,20,,,EKYC101E□□561MM20S,2700,2538,1350,2295,56000
100,680,,,0.025,16,30,,,EKYC101E□□681ML30S,3580,3387.07,2143.71,3108.38,68000
100,820,,,0.022,16,35,,,EKYC101E□□821ML35S,3800,3595.21,2275.45,3299.4,82000
100,820,,,0.03,18,25,,,EKYC101E□□821MM25S,3350,3169.46,2005.99,2908.68,82000
100,1000,,,0.024,18,30,,,EKYC101E□□102MM30S,3700,3500.6,2215.57,3212.57,100000
100,1200,,,0.018,16,40,,,EKYC101E□□122ML40S,4100,3879.04,2455.09,3559.88,120000
100,1200,,,0.021,18,35,,,EKYC101E□□122MM35S,4000,3784.43,2395.21,3473.05,120000
100,1500,,,0.017,18,40,,,EKYC101E□□152MM40S,4300,4068.26,2574.85,3733.53,150000
