Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage
100,120,8,10,30,88.419,120,ESW127M100AH6(1),663,125
100,120,8,13,20,88.419,120,ESW127M100AL3(1),690,125
100,150,8,16,16,70.736,150,ESW157M100AM8(1),795,125
100,180,8,13,25,58.946,180,ESW187M100AL4(1),784,125
100,180,8,18,16,58.946,180,ESW187M100AN6(1),920,125
100,220,8,13,30,48.229,220,ESW227M100AL8(1),905,125
100,220,8,16,20,48.229,220,ESW227M100AM5(1),1040,125
100,270,8,13,35,39.298,270,ESW277M100AL6(1),1050,125
100,270,8,16,25,39.298,270,ESW277M100AM7(1),1250,125
100,330,8,13,40,32.153,330,ESW337M100AL7(1),1180,125
100,330,8,18,20,32.153,330,ESW337M100AN4(1),1240,125
100,390,8,16,32,27.206,390,ESW397M100AM2(1),1570,125
100,390,8,18,25,27.206,390,ESW397M100AN5(1),1490,125
100,470,8,16,36,22.575,470,ESW477M100AM3(1),1790,125
100,470,8,18,32,22.575,470,ESW477M100AN1(1),1630,125
100,560,8,16,40,18.947,560,ESW567M100AM4(1),2020,125
100,680,8,18,36,15.603,680,ESW687M100AN2(1),1790,125
100,820,8,18,40,12.939,820,ESW827M100AN3(1),2330,125
