Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
160,4.7,42.328,6.3,11.2,0.15,2000,0.5,2.5,5.0,2.5,ECA2CHG4R7( ),43,200,2000
160,10,19.894,10,12.5,0.15,2000,0.6,5.0,5.0,,ECA2CHG100( ),70,200,500
160,22,9.043,10,20,0.15,2000,0.6,5.0,5.0,,ECA2CHG220( ),130,200,500
160,33,6.029,10,20,0.15,2000,0.6,5.0,5.0,,ECA2CHG330( ),180,200,500
160,47,4.233,12.5,20,0.15,2000,0.6,5.0,5.0,,ECA2CHG470( ),220,200,500
160,100,1.989,16,25,0.15,2000,0.8,7.5,7.5,,ECA2CHG101( ),335,100,250
160,220,0.904,16,31.5,0.15,2000,0.8,7.5,,,ECA2CHG221,540,100,
160,330,0.603,18,31.5,0.15,2000,0.8,7.5,,,ECA2CHG331,705,50,
200,2.2,90.429,6.3,11.2,0.15,2000,0.5,2.5,5.0,2.5,ECA2DHG2R2( ),25,200,2000
200,3.3,60.286,6.3,11.2,0.15,2000,0.5,2.5,5.0,2.5,ECA2DHG3R3( ),36,200,2000
200,4.7,42.328,8,11.5,0.15,2000,0.6,3.5,5.0,,ECA2DHG4R7( ),50,200,1000
200,10,19.894,10,16,0.15,2000,0.6,5.0,5.0,,ECA2DHG100( ),80,200,500
200,22,9.043,10,20,0.15,2000,0.6,5.0,5.0,,ECA2DHG220( ),140,200,500
200,33,6.029,12.5,20,0.15,2000,0.6,5.0,5.0,,ECA2DHG330( ),190,200,500
200,47,4.233,12.5,20,0.15,2000,0.6,5.0,5.0,,ECA2DHG470( ),220,200,500
200,100,1.989,16,25,0.15,2000,0.8,7.5,7.5,,ECA2DHG101( ),335,100,250
200,220,0.904,18,31.5,0.15,2000,0.8,7.5,,,ECA2DHG221,575,50,
250,2.2,90.429,6.3,11.2,0.15,2000,0.5,2.5,5.0,2.5,ECA2EHG2R2( ),29,200,2000
250,3.3,60.286,8,11.5,0.15,2000,0.6,3.5,5.0,,ECA2EHG3R3,42,200,1000
250,4.7,42.328,8,11.5,0.15,2000,0.6,3.5,5.0,,ECA2EHG4R7( ),50,200,1000
250,10,19.894,10,16,0.15,2000,0.6,5.0,5.0,,ECA2EHG100( ),88,200,500
250,22,9.043,12.5,20,0.15,2000,0.6,5.0,5.0,,ECA2EHG220( ),155,200,500
250,33,6.029,12.5,20,0.15,2000,0.6,5.0,5.0,,ECA2EHG330( ),190,200,500
250,47,4.233,12.5,25,0.15,2000,0.6,5.0,5.0,,ECA2EHG470( ),230,200,500
250,100,1.989,16,31.5,0.15,2000,0.8,7.5,,,ECA2EHG101,365,100,
350,2.2,120.572,8,11.5,0.2,2000,0.6,3.5,5.0,,ECA2VHG2R2( ),31,200,1000
350,3.3,80.381,10,12.5,0.2,2000,0.6,5.0,5.0,,ECA2VHG3R3( ),38,200,500
350,4.7,56.438,10,16,0.2,2000,0.6,5.0,5.0,,ECA2VHG4R7( ),50,200,500
350,10,26.526,10,20,0.2,2000,0.6,5.0,5.0,,ECA2VHG100( ),82,200,500
350,22,12.057,12.5,20,0.2,2000,0.6,5.0,5.0,,ECA2VHG220( ),130,200,500
350,33,8.038,16,25,0.2,2000,0.8,7.5,7.5,,ECA2VHG330( ),195,100,250
350,47,5.644,16,25,0.2,2000,0.8,7.5,7.5,,ECA2VHG470( ),230,100,250
350,100,2.653,18,31.5,0.2,2000,0.8,7.5,,,ECA2VHG101,375,50,
400,2.2,144.686,8,11.5,0.24,2000,0.6,3.5,5.0,,ECA2GHG2R2( ),30,200,1000
400,3.3,96.458,10,12.5,0.24,2000,0.6,5.0,5.0,,ECA2GHG3R3( ),40,200,500
400,4.7,67.726,10,16,0.24,2000,0.6,5.0,5.0,,ECA2GHG4R7( ),50,200,500
400,10,31.831,10,20,0.24,2000,0.6,5.0,5.0,,ECA2GHG100( ),80,200,500
400,22,14.469,12.5,25,0.24,2000,0.6,5.0,5.0,,ECA2GHG220( ),145,200,500
400,33,9.646,16,25,0.24,2000,0.8,7.5,7.5,,ECA2GHG330( ),195,100,250
400,47,6.773,16,31.5,0.24,2000,0.8,7.5,,,ECA2GHG470,250,100,
450,2.2,144.686,10,12.5,0.24,2000,0.6,5.0,5.0,,ECA2WHG2R2( ),29,200,500
450,3.3,96.458,10,16,0.24,2000,0.6,5.0,5.0,,ECA2WHG3R3( ),41,200,500
450,4.7,67.726,10,20,0.24,2000,0.6,5.0,5.0,,ECA2WHG4R7( ),49,200,500
450,10,31.831,12.5,20,0.24,2000,0.6,5.0,5.0,,ECA2WHG100( ),75,200,500
450,22,14.469,16,25,0.24,2000,0.8,7.5,7.5,,ECA2WHG220( ),115,100,250
450,33,9.646,16,31.5,0.24,2000,0.8,7.5,,,ECA2WHG330,155,100,
