Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,10000,0.059,0.059,18,40,-40,85,0.39,0.078,2000,126,200,UKL0J103MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2185,2185,1900,2147,2090,1615,LTB,63000,Normal,17.7
10,47,1.058,1.058,5,11,-40,85,0.15,4.233,2000,1,6000,UKL1A470KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,220,220,110,172.7,148.5,82.5,EOL,470,Normal,0.44
10,47,1.058,1.058,5,11,-40,85,0.15,4.233,2000,1,6000,UKL1A470MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,220,220,110,172.7,148.5,82.5,EOL,470,Normal,0.44
10,68,0.731,0.731,6.3,11,-40,85,0.15,2.926,2000,1,4000,UKL1A680KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,300,300,150,235.5,202.5,112.5,EOL,680,Normal,0.59
10,68,0.731,0.731,6.3,11,-40,85,0.15,2.926,2000,1,4000,UKL1A680MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,300,300,150,235.5,202.5,112.5,EOL,680,Normal,0.59
10,100,0.884,0.884,6.3,11,-40,85,0.15,1.989,2000,2,4000,UKL1A101KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,270,270,180,241.2,221.4,144,EOL,1000,Normal,0.59
10,100,0.884,0.884,6.3,11,-40,85,0.15,1.989,2000,2,4000,UKL1A101MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,270,270,180,241.2,221.4,144,EOL,1000,Normal,0.59
10,150,0.589,0.589,8,11.5,-40,85,0.15,1.326,2000,3,3000,UKL1A151KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,375,375,250,335,307.5,200,LTB,1500,Normal,1.19
10,150,0.589,0.589,8,11.5,-40,85,0.15,1.326,2000,3,3000,UKL1A151MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,375,375,250,335,307.5,200,LTB,1500,Normal,1.19
10,220,0.402,0.402,8,11.5,-40,85,0.15,0.904,2000,4,3000,UKL1A221KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,465,465,310,415.4,381.3,248,LTB,2200,Normal,1.19
10,220,0.402,0.402,8,11.5,-40,85,0.15,0.904,2000,4,3000,UKL1A221MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,465,465,310,415.4,381.3,248,LTB,2200,Normal,1.19
10,330,0.268,0.268,10,12.5,-40,85,0.15,0.603,2000,7,2000,UKL1A331KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,600,600,400,536,492,320,LTB,3300,Normal,1.49
10,330,0.268,0.268,10,12.5,-40,85,0.15,0.603,2000,7,2000,UKL1A331MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,600,600,400,536,492,320,LTB,3300,Normal,1.49
10,470,0.213,0.213,10,16,-40,85,0.17,0.48,2000,9,1800,UKL1A471KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,795,795,530,710.2,651.9,424,LTB,4700,Normal,1.77
10,470,0.213,0.213,10,16,-40,85,0.17,0.48,2000,9,1800,UKL1A471MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,795,795,530,710.2,651.9,424,LTB,4700,Normal,1.77
10,680,0.147,0.147,10,20,-40,85,0.17,0.332,2000,14,1400,UKL1A681KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,900,900,600,804,738,480,LTB,6800,Normal,2.34
10,680,0.147,0.147,10,20,-40,85,0.17,0.332,2000,14,1400,UKL1A681MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,900,900,600,804,738,480,LTB,6800,Normal,2.34
10,1000,0.191,0.191,12.5,20,-40,85,0.17,0.252,2000,20,1000,UKL1A102KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,931.5,931.5,810,915.3,891,688.5,LTB,10000,Normal,3.43
10,1000,0.191,0.191,12.5,20,-40,85,0.17,0.252,2000,20,1000,UKL1A102MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,931.5,931.5,810,915.3,891,688.5,LTB,10000,Normal,3.43
10,1500,0.127,0.127,12.5,25,-40,85,0.17,0.168,2000,30,800,UKL1A152KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1173,1173,1020,1152.6,1122,867,LTB,15000,Normal,4.56
10,1500,0.127,0.127,12.5,25,-40,85,0.17,0.168,2000,30,800,UKL1A152MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1173,1173,1020,1152.6,1122,867,LTB,15000,Normal,4.56
10,2200,0.105,0.105,16,25,-40,85,0.19,0.139,2000,44,400,UKL1A222KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1380,1380,1200,1356,1320,1020,LTB,22000,Normal,8.2
10,2200,0.105,0.105,16,25,-40,85,0.19,0.139,2000,44,400,UKL1A222MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1380,1380,1200,1356,1320,1020,LTB,22000,Normal,8.2
10,3300,0.082,0.082,16,30.5,-40,85,0.21,0.109,2000,66,300,UKL1A332KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1633,1633,1420,1604.6,1562,1207,LTB,33000,Normal,9.6
10,3300,0.082,0.082,16,30.5,-40,85,0.21,0.109,2000,66,300,UKL1A332MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1633,1633,1420,1604.6,1562,1207,LTB,33000,Normal,9.6
10,4700,0.066,0.066,16,35.5,-40,85,0.23,0.087,2000,94,300,UKL1A472KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1897.5,1897.5,1650,1864.5,1815,1402.5,LTB,47000,Normal,11.8
10,4700,0.066,0.066,16,35.5,-40,85,0.23,0.087,2000,94,300,UKL1A472MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1897.5,1897.5,1650,1864.5,1815,1402.5,LTB,47000,Normal,11.8
10,6800,0.058,0.058,18,35.5,-40,85,0.27,0.076,2000,136,250,UKL1A682KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2173.5,2173.5,1890,2135.7,2079,1606.5,LTB,68000,Normal,14.2
10,6800,0.058,0.058,18,35.5,-40,85,0.27,0.076,2000,136,250,UKL1A682MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2173.5,2173.5,1890,2135.7,2079,1606.5,LTB,68000,Normal,14.2
16,10,3.979,3.979,5,11,-40,85,0.12,15.916,2000,0,6000,UKL1C100KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,110,110,55,86.35,74.25,41.25,EOL,160,Normal,0.44
16,10,3.979,3.979,5,11,-40,85,0.12,15.916,2000,0,6000,UKL1C100MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,110,110,55,86.35,74.25,41.25,EOL,160,Normal,0.44
16,15,2.653,2.653,5,11,-40,85,0.12,10.61,2000,0,6000,UKL1C150KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,140,140,70,109.9,94.5,52.5,EOL,240,Normal,0.44
16,15,2.653,2.653,5,11,-40,85,0.12,10.61,2000,0,6000,UKL1C150MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,140,140,70,109.9,94.5,52.5,EOL,240,Normal,0.44
16,22,1.809,1.809,5,11,-40,85,0.12,7.234,2000,1,6000,UKL1C220KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,170,170,85,133.45,114.75,63.75,EOL,352,Normal,0.44
16,22,1.809,1.809,5,11,-40,85,0.12,7.234,2000,1,6000,UKL1C220MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,170,170,85,133.45,114.75,63.75,EOL,352,Normal,0.44
16,33,1.206,1.206,5,11,-40,85,0.12,4.823,2000,1,6000,UKL1C330KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,200,200,100,157,135,75,EOL,528,Normal,0.44
16,33,1.206,1.206,5,11,-40,85,0.12,4.823,2000,1,6000,UKL1C330MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,200,200,100,157,135,75,EOL,528,Normal,0.44
16,47,0.847,0.847,6.3,11,-40,85,0.12,3.386,2000,2,4000,UKL1C470KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,280,280,140,219.8,189,105,EOL,752,Normal,0.59
16,47,0.847,0.847,6.3,11,-40,85,0.12,3.386,2000,2,4000,UKL1C470MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,280,280,140,219.8,189,105,EOL,752,Normal,0.59
16,68,0.585,0.585,6.3,11,-40,85,0.12,2.341,2000,2,4000,UKL1C680KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,320,320,160,251.2,216,120,EOL,1088,Normal,0.59
16,68,0.585,0.585,6.3,11,-40,85,0.12,2.341,2000,2,4000,UKL1C680MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,320,320,160,251.2,216,120,EOL,1088,Normal,0.59
16,100,0.707,0.707,8,11.5,-40,85,0.12,1.592,2000,3,3000,UKL1C101KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,345,345,230,308.2,282.9,184,LTB,1600,Normal,1.19
16,100,0.707,0.707,8,11.5,-40,85,0.12,1.592,2000,3,3000,UKL1C101MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,345,345,230,308.2,282.9,184,LTB,1600,Normal,1.19
16,150,0.472,0.472,8,11.5,-40,85,0.12,1.061,2000,5,3000,UKL1C151KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,420,420,280,375.2,344.4,224,LTB,2400,Normal,1.19
16,150,0.472,0.472,8,11.5,-40,85,0.12,1.061,2000,5,3000,UKL1C151MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,420,420,280,375.2,344.4,224,LTB,2400,Normal,1.19
16,220,0.322,0.322,10,12.5,-40,85,0.12,0.723,2000,7,2000,UKL1C221KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,555,555,370,495.8,455.1,296,LTB,3520,Normal,1.49
16,220,0.322,0.322,10,12.5,-40,85,0.12,0.723,2000,7,2000,UKL1C221MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,555,555,370,495.8,455.1,296,LTB,3520,Normal,1.49
16,330,0.25,0.25,10,16,-40,85,0.14,0.563,2000,11,1800,UKL1C331KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,630,630,420,562.8,516.6,336,LTB,5280,Normal,1.77
16,330,0.25,0.25,10,16,-40,85,0.14,0.563,2000,11,1800,UKL1C331MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,630,630,420,562.8,516.6,336,LTB,5280,Normal,1.77
16,470,0.176,0.176,10,20,-40,85,0.14,0.395,2000,15,1400,UKL1C471KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,825,825,550,737,676.5,440,LTB,7520,Normal,2.34
16,470,0.176,0.176,10,20,-40,85,0.14,0.395,2000,15,1400,UKL1C471MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,825,825,550,737,676.5,440,LTB,7520,Normal,2.34
16,680,0.121,0.121,12.5,20,-40,85,0.14,0.273,2000,22,1000,UKL1C681KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1095,1095,730,978.2,897.9,584,LTB,10880,Normal,3.43
16,680,0.121,0.121,12.5,20,-40,85,0.14,0.273,2000,22,1000,UKL1C681MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1095,1095,730,978.2,897.9,584,LTB,10880,Normal,3.43
16,1000,0.16,0.16,12.5,25,-40,85,0.14,0.212,2000,32,800,UKL1C102KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1046.5,1046.5,910,1028.3,1001,773.5,LTB,16000,Normal,4.56
16,1000,0.16,0.16,12.5,25,-40,85,0.14,0.212,2000,32,800,UKL1C102MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1046.5,1046.5,910,1028.3,1001,773.5,LTB,16000,Normal,4.56
16,1500,0.107,0.107,16,25,-40,85,0.14,0.141,2000,48,400,UKL1C152KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1322.5,1322.5,1150,1299.5,1265,977.5,LTB,24000,Normal,8.2
16,1500,0.107,0.107,16,25,-40,85,0.14,0.141,2000,48,400,UKL1C152MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1322.5,1322.5,1150,1299.5,1265,977.5,LTB,24000,Normal,8.2
16,2200,0.091,0.091,16,25,-40,85,0.16,0.121,2000,70,400,UKL1C222KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1495,1495,1300,1469,1430,1105,LTB,35200,Normal,8.2
16,2200,0.091,0.091,16,25,-40,85,0.16,0.121,2000,70,400,UKL1C222MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1495,1495,1300,1469,1430,1105,LTB,35200,Normal,8.2
16,3300,0.073,0.073,16,35.5,-40,85,0.18,0.096,2000,106,300,UKL1C332KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1782.5,1782.5,1550,1751.5,1705,1317.5,LTB,52800,Normal,11.8
16,3300,0.073,0.073,16,35.5,-40,85,0.18,0.096,2000,106,300,UKL1C332MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1782.5,1782.5,1550,1751.5,1705,1317.5,LTB,52800,Normal,11.8
16,4700,0.06,0.06,18,35.5,-40,85,0.2,0.079,2000,150,250,UKL1C472KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2093,2093,1820,2056.6,2002,1547,LTB,75200,Normal,14.2
16,4700,0.06,0.06,18,35.5,-40,85,0.2,0.079,2000,150,250,UKL1C472MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2093,2093,1820,2056.6,2002,1547,LTB,75200,Normal,14.2
25,4.7,,,5,11,-40,85,0.08,22.575,2000,0,6000,UKL1E4R7KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,,,45,,,,EOL,117.5,Normal,0.44
25,4.7,,,5,11,-40,85,0.08,22.575,2000,0,6000,UKL1E4R7MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,,,45,,,,EOL,117.5,Normal,0.44
25,6.8,,,5,11,-40,85,0.08,15.603,2000,0,6000,UKL1E6R8KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,,,55,,,,EOL,170,Normal,0.44
25,6.8,,,5,11,-40,85,0.08,15.603,2000,0,6000,UKL1E6R8MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,,,55,,,,EOL,170,Normal,0.44
25,10,2.653,2.653,5,11,-40,85,0.08,10.61,2000,1,6000,UKL1E100KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,140,140,70,109.9,94.5,52.5,EOL,250,Normal,0.44
25,10,2.653,2.653,5,11,-40,85,0.08,10.61,2000,1,6000,UKL1E100MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,140,140,70,109.9,94.5,52.5,EOL,250,Normal,0.44
25,15,1.768,1.768,5,11,-40,85,0.08,7.074,2000,1,6000,UKL1E150KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,170,170,85,133.45,114.75,63.75,EOL,375,Normal,0.44
25,15,1.768,1.768,5,11,-40,85,0.08,7.074,2000,1,6000,UKL1E150MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,170,170,85,133.45,114.75,63.75,EOL,375,Normal,0.44
25,22,1.206,1.206,5,11,-40,85,0.08,4.823,2000,1,6000,UKL1E220KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,200,200,100,157,135,75,EOL,550,Normal,0.44
25,22,1.206,1.206,5,11,-40,85,0.08,4.823,2000,1,6000,UKL1E220MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,200,200,100,157,135,75,EOL,550,Normal,0.44
25,33,0.804,0.804,6.3,11,-40,85,0.08,3.215,2000,2,4000,UKL1E330KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,280,280,140,219.8,189,105,EOL,825,Normal,0.59
25,33,0.804,0.804,6.3,11,-40,85,0.08,3.215,2000,2,4000,UKL1E330MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,280,280,140,219.8,189,105,EOL,825,Normal,0.59
25,47,0.564,0.564,6.3,11,-40,85,0.08,2.258,2000,2,4000,UKL1E470KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,340,340,170,266.9,229.5,127.5,EOL,1175,Normal,0.59
25,47,0.564,0.564,6.3,11,-40,85,0.08,2.258,2000,2,4000,UKL1E470MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,340,340,170,266.9,229.5,127.5,EOL,1175,Normal,0.59
25,68,0.39,0.39,8,11.5,-40,85,0.08,1.56,2000,3,3000,UKL1E680KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,460,460,230,361.1,310.5,172.5,LTB,1700,Normal,1.19
25,68,0.39,0.39,8,11.5,-40,85,0.08,1.56,2000,3,3000,UKL1E680MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,460,460,230,361.1,310.5,172.5,LTB,1700,Normal,1.19
25,100,0.472,0.472,8,11.5,-40,85,0.08,1.061,2000,5,3000,UKL1E101KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,420,420,280,375.2,344.4,224,LTB,2500,Normal,1.19
25,100,0.472,0.472,8,11.5,-40,85,0.08,1.061,2000,5,3000,UKL1E101MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,420,420,280,375.2,344.4,224,LTB,2500,Normal,1.19
25,150,0.314,0.314,10,12.5,-40,85,0.08,0.707,2000,8,2000,UKL1E151KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,555,555,370,495.8,455.1,296,LTB,3750,Normal,1.49
25,150,0.314,0.314,10,12.5,-40,85,0.08,0.707,2000,8,2000,UKL1E151MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,555,555,370,495.8,455.1,296,LTB,3750,Normal,1.49
25,220,0.322,0.322,10,16,-40,85,0.12,0.723,2000,11,1800,UKL1E221KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,600,600,400,536,492,320,LTB,5500,Normal,1.77
25,220,0.322,0.322,10,16,-40,85,0.12,0.723,2000,11,1800,UKL1E221MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,600,600,400,536,492,320,LTB,5500,Normal,1.77
25,330,0.214,0.214,10,20,-40,85,0.12,0.482,2000,17,1400,UKL1E331KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,735,735,490,656.6,602.7,392,LTB,8250,Normal,2.34
25,330,0.214,0.214,10,20,-40,85,0.12,0.482,2000,17,1400,UKL1E331MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,735,735,490,656.6,602.7,392,LTB,8250,Normal,2.34
25,470,0.151,0.151,12.5,20,-40,85,0.12,0.339,2000,24,1000,UKL1E471KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,990,990,660,884.4,811.8,528,LTB,11750,Normal,3.43
25,470,0.151,0.151,12.5,20,-40,85,0.12,0.339,2000,24,1000,UKL1E471MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,990,990,660,884.4,811.8,528,LTB,11750,Normal,3.43
25,680,0.104,0.104,12.5,25,-40,85,0.12,0.234,2000,34,800,UKL1E681KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1215,1215,810,1085.4,996.3,648,LTB,17000,Normal,4.56
25,680,0.104,0.104,12.5,25,-40,85,0.12,0.234,2000,34,800,UKL1E681MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1215,1215,810,1085.4,996.3,648,LTB,17000,Normal,4.56
25,1000,0.14,0.14,16,25,-40,85,0.12,0.186,2000,50,400,UKL1E102KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1161.5,1161.5,1010,1141.3,1111,858.5,LTB,25000,Normal,8.2
25,1000,0.14,0.14,16,25,-40,85,0.12,0.186,2000,50,400,UKL1E102MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1161.5,1161.5,1010,1141.3,1111,858.5,LTB,25000,Normal,8.2
25,1500,0.094,0.094,16,30.5,-40,85,0.12,0.124,2000,75,300,UKL1E152KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1460.5,1460.5,1270,1435.1,1397,1079.5,LTB,37500,Normal,9.6
25,1500,0.094,0.094,16,30.5,-40,85,0.12,0.124,2000,75,300,UKL1E152MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1460.5,1460.5,1270,1435.1,1397,1079.5,LTB,37500,Normal,9.6
25,2200,0.082,0.082,16,35.5,-40,85,0.14,0.109,2000,110,300,UKL1E222KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1656,1656,1440,1627.2,1584,1224,LTB,55000,Normal,11.8
25,2200,0.082,0.082,16,35.5,-40,85,0.14,0.109,2000,110,300,UKL1E222MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1656,1656,1440,1627.2,1584,1224,LTB,55000,Normal,11.8
25,3300,0.067,0.067,18,40,-40,85,0.16,0.088,2000,165,200,UKL1E332KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1978,1978,1720,1943.6,1892,1462,LTB,82500,Normal,17.7
25,3300,0.067,0.067,18,40,-40,85,0.16,0.088,2000,165,200,UKL1E332MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1978,1978,1720,1943.6,1892,1462,LTB,82500,Normal,17.7
35,15,1.768,1.768,5,11,-40,85,0.08,7.074,2000,1,6000,UKL1V150KDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,170,170,85,133.45,114.75,63.75,EOL,525,Normal,0.44
35,15,1.768,1.768,5,11,-40,85,0.08,7.074,2000,1,6000,UKL1V150MDD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,170,170,85,133.45,114.75,63.75,EOL,525,Normal,0.44
35,22,1.206,1.206,6.3,11,-40,85,0.08,4.823,2000,2,4000,UKL1V220KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,220,220,110,172.7,148.5,82.5,EOL,770,Normal,0.59
35,22,1.206,1.206,6.3,11,-40,85,0.08,4.823,2000,2,4000,UKL1V220MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,220,220,110,172.7,148.5,82.5,EOL,770,Normal,0.59
35,33,0.804,0.804,6.3,11,-40,85,0.08,3.215,2000,2,4000,UKL1V330KED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,280,280,140,219.8,189,105,EOL,1155,Normal,0.59
35,33,0.804,0.804,6.3,11,-40,85,0.08,3.215,2000,2,4000,UKL1V330MED,Uni-Polar,Radial Lead,Lo-Leakage Cur.,280,280,140,219.8,189,105,EOL,1155,Normal,0.59
35,47,0.564,0.564,8,11.5,-40,85,0.08,2.258,2000,3,3000,UKL1V470KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,380,380,190,298.3,256.5,142.5,LTB,1645,Normal,1.19
