Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
50,10,0.12,5,11,-55,105,15.916,1000,15,6000,UVY1H100MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,73.6,46,64.4,57.5,36.8,EOL,160 to 450,500,Normal,0.44
50,22,0.12,5,11,-55,105,7.234,1000,33,6000,UVY1H220MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,108.8,68,95.2,85,54.4,EOL,160 to 450,1100,Normal,0.44
50,33,0.12,5,11,-55,105,4.823,1000,50,6000,UVY1H330MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,180,90,141.3,121.5,67.5,EOL,6.3 to 100,1650,Normal,0.44
50,33,0.12,5,11,-55,105,4.823,1000,50,6000,UVY1H330MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,144,90,126,112.5,72,EOL,160 to 450,1650,Normal,0.44
50,47,0.12,6.3,11,-55,105,3.386,1000,71,4000,UVY1H470MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,230,115,180.55,155.25,86.25,EOL,6.3 to 100,2350,Normal,0.59
50,47,0.12,6.3,11,-55,105,3.386,1000,71,4000,UVY1H470MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,184,115,161,143.75,92,EOL,160 to 450,2350,Normal,0.59
50,68,0.12,6.3,11,-55,105,2.341,1000,102,4000,UVY1H680MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,300,150,235.5,202.5,112.5,EOL,6.3 to 100,3400,Normal,0.59
50,68,0.12,6.3,11,-55,105,2.341,1000,102,4000,UVY1H680MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,240,150,210,187.5,120,EOL,160 to 450,3400,Normal,0.59
50,100,0.12,8,11.5,-55,105,1.592,1000,150,3000,UVY1H101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,285,190,254.6,233.7,152,MP,6.3 to 100,5000,Normal,1.19
50,100,0.12,8,11.5,-55,105,1.592,1000,150,3000,UVY1H101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,304,190,266,237.5,152,MP,160 to 450,5000,Normal,1.19
50,220,0.12,10,12.5,-55,105,0.723,2000,330,2000,UVY1H221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,450,300,402,369,240,MP,6.3 to 100,11000,Normal,1.49
50,220,0.12,10,12.5,-55,105,0.723,2000,330,2000,UVY1H221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,480,300,420,375,240,MP,160 to 450,11000,Normal,1.49
50,330,0.12,10,16,-55,105,0.482,2000,495,1800,UVY1H331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,615,410,549.4,504.3,328,MP,6.3 to 100,16500,Normal,1.77
50,330,0.12,10,16,-55,105,0.482,2000,495,1800,UVY1H331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,471.5,410,463.3,451,369,MP,160 to 450,16500,Normal,1.77
50,470,0.12,10,20,-55,105,0.339,2000,705,1400,UVY1H471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,810,540,723.6,664.2,432,MP,6.3 to 100,23500,Normal,2.34
50,470,0.12,10,20,-55,105,0.339,2000,705,1400,UVY1H471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,621,540,610.2,594,486,MP,160 to 450,23500,Normal,2.34
50,1000,0.12,12.5,25,-55,105,0.186,2000,1500,800,UVY1H102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1092.5,950,1073.5,1045,807.5,MP,6.3 to 100,50000,Normal,4.56
