Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
10,10000,0.062,0.062,16,31.5,0.42,0.082,2000,0.8,7.5,,,ECA1AHG103,2173.5,2173.5,1890,2079,1606.5,100,,100000
10,15000,0.055,0.055,18,35.5,0.52,0.073,2000,0.8,7.5,,,ECA1AHG153,2507,2507,2180,2398,1853,50,,150000
16,100,1.179,1.179,5,11,0.2,2.653,1000,0.5,2,5,2.5,ECA1CHG101( ),165,165,110,148.5,88,200,2000,1600
16,220,0.536,0.536,6.3,11.2,0.2,1.206,1000,0.5,2.5,5,2.5,ECA1CHG221( ),270,270,180,243,144,200,2000,3520
16,330,0.357,0.357,8,11.5,0.2,0.804,1000,0.6,3.5,5,,ECA1CHG331( ),390,390,260,351,208,200,1000,5280
16,470,0.251,0.251,8,11.5,0.2,0.564,1000,0.6,3.5,5,,ECA1CHG471( ),465,465,310,418.5,248,200,1000,7520
16,1000,0.221,0.221,10,16,0.2,0.292,2000,0.6,5,5,,ECA1CHG102( ),644,644,560,616,476,200,500,16000
16,2200,0.119,0.119,12.5,20,0.22,0.157,2000,0.6,5,5,,ECA1CHG222( ),1058,1058,920,1012,782,200,500,35200
16,3300,0.091,0.091,12.5,25,0.24,0.121,2000,0.6,5,5,,ECA1CHG332( ),1345.5,1345.5,1170,1287,994.5,200,500,52800
16,4700,0.077,0.077,16,25,0.28,0.102,2000,0.8,7.5,7.5,,ECA1CHG472( ),1702,1702,1480,1628,1258,100,250,75200
16,6800,0.062,0.062,16,31.5,0.3,0.082,2000,0.8,7.5,,,ECA1CHG682,2047,2047,1780,1958,1513,100,,108800
16,10000,0.058,0.058,18,35.5,0.38,0.077,2000,0.8,7.5,,,ECA1CHG103,2369,2369,2060,2266,1751,50,,160000
25,47,2.007,2.007,5,11,0.16,4.515,1000,0.5,2,5,2.5,ECA1EHG470( ),136.5,136.5,91,122.85,72.8,200,2000,1175
25,100,0.943,0.943,5,11,0.16,2.122,1000,0.5,2,5,2.5,ECA1EHG101( ),195,195,130,175.5,104,200,2000,2500
25,220,0.429,0.429,6.3,11.2,0.16,0.965,1000,0.5,2.5,5,2.5,ECA1EHG221( ),345,345,230,310.5,184,200,2000,5500
25,330,0.286,0.286,8,11.5,0.16,0.643,1000,0.6,3.5,5,,ECA1EHG331( ),570,570,380,513,304,200,1000,8250
25,470,0.201,0.201,10,12.5,0.16,0.452,2000,0.6,5,5,,ECA1EHG471( ),1020,1020,680,918,544,200,500,11750
25,1000,0.201,0.201,12.5,20,0.18,0.265,2000,0.6,5,5,,ECA1EHG102( ),1253.5,1253.5,1090,1199,926.5,200,500,25000
25,2200,0.109,0.109,16,25,0.2,0.145,2000,0.8,7.5,,,ECA1EHG222,1610,1610,1400,1540,1190,100,,55000
25,3300,0.085,0.085,16,31.5,0.22,0.113,2000,0.8,7.5,,,ECA1EHG332,2012.5,2012.5,1750,1925,1487.5,50,,82500
35,47,1.756,1.756,5,11,0.14,3.951,1000,0.5,2,5,2.5,ECA1VHG470( ),135,135,90,121.5,72,200,2000,1645
35,100,0.825,0.825,6.3,11.2,0.14,1.857,1000,0.5,2.5,5,2.5,ECA1VHG101( ),225,225,150,202.5,120,200,2000,3500
35,220,0.375,0.375,8,11.5,0.14,0.844,1000,0.6,3.5,5,,ECA1VHG221( ),405,405,270,364.5,216,200,1000,7700
35,330,0.25,0.25,10,12.5,0.14,0.563,2000,0.6,5,5,,ECA1VHG331( ),525,525,350,472.5,280,200,500,11550
35,470,0.176,0.176,10,16,0.14,0.395,2000,0.6,5,5,,ECA1VHG471( ),690,690,460,621,368,200,500,16450
35,1000,0.16,0.16,12.5,20,0.14,0.212,2000,0.6,5,5,,ECA1VHG102( ),931.5,931.5,810,891,688.5,200,500,35000
35,2200,0.091,0.091,16,25,0.16,0.121,2000,0.8,7.5,7.5,,ECA1VHG222( ),1449,1449,1260,1386,1071,100,250,77000
35,3300,0.073,0.073,16,31.5,0.18,0.096,2000,0.8,7.5,,,ECA1VHG332,1851.5,1851.5,1610,1771,1368.5,100,,115500
35,4700,0.06,0.06,18,35.5,0.2,0.079,2000,0.8,7.5,,,ECA1VHG472,2196.5,2196.5,1910,2101,1623.5,50,,164500
50,2.2,22.328,18.086,5,11,0.12,72.343,1000,0.5,2,5,2.5,ECA1HHG2R2( ),36,32.4,18,27.9,13.5,200,2000,110.00000000000001
50,3.3,14.885,12.057,5,11,0.12,48.229,1000,0.5,2,5,2.5,ECA1HHG3R3( ),44,39.6,22,34.1,16.5,200,2000,165
50,4.7,10.451,8.466,5,11,0.12,33.863,1000,0.5,2,5,2.5,ECA1HHG4R7( ),52,46.8,26,40.3,19.5,200,2000,235
50,10,4.912,3.979,5,11,0.12,15.916,1000,0.5,2,5,2.5,ECA1HHG100( ),78,70.2,39,60.45,29.25,200,2000,500
50,22,2.233,1.809,5,11,0.12,7.234,1000,0.5,2,5,2.5,ECA1HHG220( ),130,117,65,100.75,48.75,200,2000,1100
50,33,1.489,1.206,5,11,0.12,4.823,1000,0.5,2,5,2.5,ECA1HHG330( ),180,162,90,139.5,67.5,200,2000,1650
50,47,1.505,1.505,6.3,11.2,0.12,3.386,1000,0.5,2.5,5,2.5,ECA1HHG470( ),165,165,110,148.5,88,200,2000,2350
50,100,0.707,0.707,8,11.5,0.12,1.592,1000,0.6,3.5,5,,ECA1HHG101( ),270,270,180,243,144,200,1000,5000
50,220,0.322,0.322,10,12.5,0.12,0.723,2000,0.6,5,5,,ECA1HHG221( ),450,450,300,405,240,200,500,11000
50,330,0.214,0.214,10,16,0.12,0.482,2000,0.6,5,5,,ECA1HHG331( ),615,615,410,553.5,328,200,500,16500
50,470,0.151,0.151,10,20,0.12,0.339,2000,0.6,5,5,,ECA1HHG471( ),795,795,530,715.5,424,200,500,23500
50,1000,0.14,0.14,12.5,25,0.12,0.186,2000,0.6,5,5,,ECA1HHG102( ),1092.5,1092.5,950,1045,807.5,200,500,50000
50,2200,0.082,0.082,16,31.5,0.14,0.109,2000,0.8,7.5,,,ECA1HHG222,1690.5,1690.5,1470,1617,1249.5,100,,110000
50,3300,0.067,0.067,18,35.5,0.16,0.088,2000,0.8,7.5,,,ECA1HHG332,2035.5,2035.5,1770,1947,1504.5,50,,165000
63,10,4.093,3.316,5,11,0.1,13.263,1000,0.5,2,5,2.5,ECA1JHG100( ),92,82.8,46,71.3,34.5,200,2000,630
63,22,1.861,1.507,5,11,0.1,6.029,1000,0.5,2,5,2.5,ECA1JHG220( ),142,127.8,71,110.05,53.25,200,2000,1386
63,33,1.24,1.005,6.3,11.2,0.1,4.019,1000,0.5,2.5,5,2.5,ECA1JHG330( ),200,180,100,155,75,200,2000,2079
63,47,1.254,1.254,6.3,11.2,0.1,2.822,1000,0.5,2.5,5,2.5,ECA1JHG470( ),180,180,120,162,96,200,2000,2961
63,100,0.589,0.589,10,12.5,0.1,1.326,2000,0.6,5,5,,ECA1JHG101( ),322.5,322.5,215,290.25,172,200,500,6300
63,220,0.268,0.268,10,16,0.1,0.603,2000,0.6,5,5,,ECA1JHG221( ),502.5,502.5,335,452.25,268,200,500,13860
63,330,0.179,0.179,10,20,0.1,0.402,2000,0.6,5,5,,ECA1JHG331( ),765,765,510,688.5,408,200,500,20790
63,470,0.125,0.125,12.5,20,0.1,0.282,2000,0.6,5,5,,ECA1JHG471( ),960,960,640,864,512,200,500,29610
63,1000,0.12,0.12,16,25,0.1,0.159,2000,0.8,7.5,7.5,,ECA1JHG102( ),1069.5,1069.5,930,1023,790.5,100,250,63000
63,2200,0.073,0.073,18,35.5,0.12,0.096,2000,0.8,7.5,,,ECA1JHG222,1851.5,1851.5,1610,1771,1368.5,50,,138600
100,2.2,14.885,12.057,5,11,0.08,48.229,1000,0.5,2,5,2.5,ECA2AHG2R2( ),42,37.8,21,32.55,15.75,200,2000,220.00000000000003
100,3.3,9.924,8.038,5,11,0.08,32.153,1000,0.5,2,5,2.5,ECA2AHG3R3( ),62,55.8,31,48.05,23.25,200,2000,330
100,4.7,6.968,5.644,5,11,0.08,22.575,1000,0.5,2,5,2.5,ECA2AHG4R7( ),76,68.4,38,58.9,28.5,200,2000,470
100,10,3.275,2.653,6.3,11.2,0.08,10.61,1000,0.5,2.5,5,2.5,ECA2AHG100( ),108,97.2,54,83.7,40.5,200,2000,1000
100,22,1.489,1.206,6.3,11.2,0.08,4.823,1000,0.5,2.5,5,2.5,ECA2AHG220( ),186,167.4,93,144.15,69.75,200,2000,2200
100,33,0.992,0.804,8,11.5,0.08,3.215,1000,0.6,3.5,5,,ECA2AHG330( ),260,234,130,201.5,97.5,200,1000,3300
100,47,1.003,1.003,10,12.5,0.08,2.258,2000,0.6,5,5,,ECA2AHG470( ),247.5,247.5,165,222.75,132,200,500,4700
100,100,0.472,0.472,10,20,0.08,1.061,2000,0.6,5,5,,ECA2AHG101( ),397.5,397.5,265,357.75,212,200,500,10000
100,220,0.214,0.214,12.5,25,0.08,0.482,2000,0.6,5,5,,ECA2AHG221( ),660,660,440,594,352,200,500,22000
100,330,0.143,0.143,16,25,0.08,0.322,2000,0.8,7.5,7.5,,ECA2AHG331( ),810,810,540,729,432,100,250,33000
100,470,0.1,0.1,16,25,0.08,0.226,2000,0.8,7.5,7.5,,ECA2AHG471( ),1072.5,1072.5,715,965.25,572,100,250,47000
100,1000,0.1,0.1,18,35.5,0.08,0.133,2000,0.8,7.5,,,ECA2AHG102,1132.75,1132.75,985,1083.5,837.25,50,,100000
160,2.2,40.191,40.191,6.3,11.2,0.15,90.429,2000,0.5,2.5,5,2.5,ECA2CHG2R2( ),37.5,37.5,25,33.75,20,200,2000,352
160,3.3,26.794,26.794,6.3,11.2,0.15,60.286,2000,0.5,2.5,5,2.5,ECA2CHG3R3( ),54,54,36,48.6,28.8,200,2000,528
160,4.7,18.813,18.813,6.3,11.2,0.15,42.328,2000,0.5,2.5,5,2.5,ECA2CHG4R7( ),64.5,64.5,43,58.05,34.4,200,2000,752
160,10,8.842,8.842,10,12.5,0.15,19.894,2000,0.6,5,5,,ECA2CHG100( ),105,105,70,94.5,56,200,500,1600
160,22,4.019,4.019,10,20,0.15,9.043,2000,0.6,5,5,,ECA2CHG220( ),195,195,130,175.5,104,200,500,3520
160,33,2.679,2.679,10,20,0.15,6.029,2000,0.6,5,5,,ECA2CHG330( ),270,270,180,243,144,200,500,5280
160,47,1.881,1.881,12.5,20,0.15,4.233,2000,0.6,5,5,,ECA2CHG470( ),330,330,220,297,176,200,500,7520
160,100,0.884,0.884,16,25,0.15,1.989,2000,0.8,7.5,7.5,,ECA2CHG101( ),502.5,502.5,335,452.25,268,100,250,16000
160,220,0.402,0.402,16,31.5,0.15,0.904,2000,0.8,7.5,,,ECA2CHG221,810,810,540,729,432,100,,35200
160,330,0.268,0.268,18,31.5,0.15,0.603,2000,0.8,7.5,,,ECA2CHG331,1057.5,1057.5,705,951.75,564,50,,52800
200,2.2,40.191,40.191,6.3,11.2,0.15,90.429,2000,0.5,2.5,5,2.5,ECA2DHG2R2( ),37.5,37.5,25,33.75,20,200,2000,440.00000000000006
200,3.3,26.794,26.794,6.3,11.2,0.15,60.286,2000,0.5,2.5,5,2.5,ECA2DHG3R3( ),54,54,36,48.6,28.8,200,2000,660
200,4.7,18.813,18.813,8,11.5,0.15,42.328,2000,0.6,3.5,5,,ECA2DHG4R7( ),75,75,50,67.5,40,200,1000,940
200,10,8.842,8.842,10,16,0.15,19.894,2000,0.6,5,5,,ECA2DHG100( ),120,120,80,108,64,200,500,2000
200,22,4.019,4.019,10,20,0.15,9.043,2000,0.6,5,5,,ECA2DHG220( ),210,210,140,189,112,200,500,4400
200,33,2.679,2.679,12.5,20,0.15,6.029,2000,0.6,5,5,,ECA2DHG330( ),285,285,190,256.5,152,200,500,6600
200,47,1.881,1.881,12.5,20,0.15,4.233,2000,0.6,5,5,,ECA2DHG470( ),330,330,220,297,176,200,500,9400
200,100,0.884,0.884,16,25,0.15,1.989,2000,0.8,7.5,7.5,,ECA2DHG101( ),502.5,502.5,335,452.25,268,100,250,20000
200,220,0.402,0.402,18,31.5,0.15,0.904,2000,0.8,7.5,,,ECA2DHG221,862.5,862.5,575,776.25,460,50,,44000
250,2.2,40.191,40.191,6.3,11.2,0.15,90.429,2000,0.5,2.5,5,2.5,ECA2EHG2R2( ),43.5,43.5,29,39.15,23.2,200,2000,550
250,3.3,26.794,26.794,8,11.5,0.15,60.286,2000,0.6,3.5,5,,ECA2EHG3R3,63,63,42,56.7,33.6,200,1000,825
250,4.7,18.813,18.813,8,11.5,0.15,42.328,2000,0.6,3.5,5,,ECA2EHG4R7( ),75,75,50,67.5,40,200,1000,1175
250,10,8.842,8.842,10,16,0.15,19.894,2000,0.6,5,5,,ECA2EHG100( ),132,132,88,118.8,70.4,200,500,2500
250,22,4.019,4.019,12.5,20,0.15,9.043,2000,0.6,5,5,,ECA2EHG220( ),232.5,232.5,155,209.25,124,200,500,5500
250,33,2.679,2.679,12.5,20,0.15,6.029,2000,0.6,5,5,,ECA2EHG330( ),285,285,190,256.5,152,200,500,8250
250,47,1.881,1.881,12.5,25,0.15,4.233,2000,0.6,5,5,,ECA2EHG470( ),345,345,230,310.5,184,200,500,11750
250,100,0.884,0.884,16,31.5,0.15,1.989,2000,0.8,7.5,,,ECA2EHG101,547.5,547.5,365,492.75,292,100,,25000
350,2.2,53.588,53.588,8,11.5,0.2,120.572,2000,0.6,3.5,5,,ECA2VHG2R2( ),46.5,46.5,31,41.85,24.8,200,1000,770.0000000000001
350,3.3,35.725,35.725,10,12.5,0.2,80.381,2000,0.6,5,5,,ECA2VHG3R3( ),57,57,38,51.3,30.4,200,500,1155
350,4.7,25.084,25.084,10,16,0.2,56.438,2000,0.6,5,5,,ECA2VHG4R7( ),75,75,50,67.5,40,200,500,1645
350,10,11.789,11.789,10,20,0.2,26.526,2000,0.6,5,5,,ECA2VHG100( ),123,123,82,110.7,65.6,200,500,3500
350,22,5.359,5.359,12.5,20,0.2,12.057,2000,0.6,5,5,,ECA2VHG220( ),195,195,130,175.5,104,200,500,7700
350,33,3.573,3.573,16,25,0.2,8.038,2000,0.8,7.5,7.5,,ECA2VHG330( ),292.5,292.5,195,263.25,156,100,250,11550
350,47,2.508,2.508,16,25,0.2,5.644,2000,0.8,7.5,7.5,,ECA2VHG470( ),345,345,230,310.5,184,100,250,16450
350,100,1.179,1.179,18,31.5,0.2,2.653,2000,0.8,7.5,,,ECA2VHG101,562.5,562.5,375,506.25,300,50,,35000
400,2.2,64.305,64.305,8,11.5,0.24,144.686,2000,0.6,3.5,5,,ECA2GHG2R2( ),45,45,30,40.5,24,200,1000,880.0000000000001
400,3.3,42.87,42.87,10,12.5,0.24,96.458,2000,0.6,5,5,,ECA2GHG3R3( ),60,60,40,54,32,200,500,1320
400,4.7,30.1,30.1,10,16,0.24,67.726,2000,0.6,5,5,,ECA2GHG4R7( ),75,75,50,67.5,40,200,500,1880
400,10,14.147,14.147,10,20,0.24,31.831,2000,0.6,5,5,,ECA2GHG100( ),120,120,80,108,64,200,500,4000
400,22,6.431,6.431,12.5,25,0.24,14.469,2000,0.6,5,5,,ECA2GHG220( ),217.5,217.5,145,195.75,116,200,500,8800
400,33,4.287,4.287,16,25,0.24,9.646,2000,0.8,7.5,7.5,,ECA2GHG330( ),292.5,292.5,195,263.25,156,100,250,13200
400,47,3.01,3.01,16,31.5,0.24,6.773,2000,0.8,7.5,,,ECA2GHG470,375,375,250,337.5,200,100,,18800
450,2.2,64.305,64.305,10,12.5,0.24,144.686,2000,0.6,5,5,,ECA2WHG2R2( ),43.5,43.5,29,39.15,23.2,200,500,990.0000000000001
450,3.3,42.87,42.87,10,16,0.24,96.458,2000,0.6,5,5,,ECA2WHG3R3( ),61.5,61.5,41,55.35,32.8,200,500,1485
450,4.7,30.1,30.1,10,20,0.24,67.726,2000,0.6,5,5,,ECA2WHG4R7( ),73.5,73.5,49,66.15,39.2,200,500,2115
450,10,14.147,14.147,12.5,20,0.24,31.831,2000,0.6,5,5,,ECA2WHG100( ),112.5,112.5,75,101.25,60,200,500,4500
450,22,6.431,6.431,16,25,0.24,14.469,2000,0.8,7.5,7.5,,ECA2WHG220( ),172.5,172.5,115,155.25,92,100,250,9900
450,33,4.287,4.287,16,31.5,0.24,9.646,2000,0.8,7.5,,,ECA2WHG330,232.5,232.5,155,209.25,124,100,,14850
