Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,820,0.088,0.081,0.037,10,20,0.14,0.226,0.15,1720,1647.9,1029.94,1369.82,20500
25,1000,0.083,0.076,0.037,10,20,0.14,0.212,0.15,1720,1647.9,1029.94,1369.82,25000
25,1000,0.083,0.076,0.031,10,23,0.14,0.212,0.12,1910,1829.94,1143.71,1521.14,25000
25,1000,0.083,0.076,0.04,12.5,16,0.14,0.212,0.12,1730,1657.49,1035.93,1377.78,25000
25,1200,0.069,0.063,0.042,16,16,0.14,0.177,0.11,1940,1858.68,1161.68,1545.03,30000
25,1500,0.055,0.051,0.028,12.5,20,0.14,0.141,0.089,2160,2069.46,1293.41,1720.24,37500
25,1800,0.046,0.042,0.024,12.5,25,0.14,0.118,0.065,2650,2538.92,1586.83,2110.48,45000
25,2200,0.055,0.053,0.02,12.5,30,0.14,0.109,0.065,2880,2819.58,2013.99,2436.92,55000
25,2200,0.055,0.053,0.021,16,20,0.14,0.109,0.06,2540,2486.71,1776.22,2149.23,55000
25,2700,0.045,0.043,0.017,12.5,35,0.14,0.088,0.063,3350,3279.72,2342.66,2834.62,67500
25,2700,0.045,0.043,0.021,16,20,0.14,0.088,0.06,2540,2486.71,1776.22,2149.23,67500
25,3300,0.041,0.039,0.017,16,25,0.14,0.08,0.05,3060,2995.8,2139.86,2589.23,82500
25,3300,0.041,0.039,0.026,18,20,0.14,0.08,0.06,2860,2800,2000,2420,82500
25,3900,0.035,0.033,0.017,16,31.5,0.14,0.068,0.044,3610,3534.27,2524.48,3054.62,97500
25,3900,0.035,0.033,0.019,18,25,0.14,0.068,0.045,3140,3074.13,2195.8,2656.92,97500
25,4700,0.032,0.03,0.015,16,35.5,0.14,0.062,0.038,4080,3994.41,2853.15,3452.31,117500
25,4700,0.032,0.03,0.015,18,31.5,0.14,0.062,0.038,4170,4082.52,2916.08,3528.46,117500
25,5600,0.029,0.028,0.014,18,35.5,0.14,0.057,0.032,4280,4190.21,2993.01,3621.54,140000
25,6800,0.026,0.025,0.012,18,40,0.14,0.051,0.03,4550,4454.55,3181.82,3850,170000
35,33,1.053,0.851,0.58,5,11,0.12,4.823,2.3,210,188.82,88.24,147.35,1155
35,56,0.839,0.711,0.58,5,11,0.12,2.842,2.3,210,193.2,105,153.3,1960
35,150,0.313,0.265,0.12,8,11.5,0.12,1.061,0.48,730,671.6,365,532.9,5250
35,220,0.214,0.181,0.12,8,11.5,0.12,0.723,0.48,730,671.6,365,532.9,7700
35,220,0.214,0.181,0.069,8,16,0.12,0.723,0.27,1050,966,525,766.5,7700
35,270,0.174,0.147,0.069,8,16,0.12,0.589,0.27,1050,966,525,766.5,9450
35,330,0.165,0.146,0.06,10,12.5,0.12,0.482,0.24,1210,1136.87,664.84,930.77,11550
35,390,0.14,0.123,0.042,8,20,0.12,0.408,0.17,1650,1550.27,906.59,1269.23,13650
35,470,0.116,0.102,0.046,10,16,0.12,0.339,0.18,1450,1362.36,796.7,1115.38,16450
35,470,0.116,0.102,0.037,10,20,0.12,0.339,0.15,1720,1616.04,945.05,1323.08,16450
35,560,0.097,0.086,0.037,10,20,0.12,0.284,0.15,1720,1616.04,945.05,1323.08,19600
35,680,0.08,0.071,0.031,10,23,0.12,0.234,0.12,1910,1794.56,1049.45,1469.23,23800
35,680,0.08,0.071,0.04,12.5,16,0.12,0.234,0.12,1730,1625.44,950.55,1330.77,23800
35,1000,0.073,0.067,0.028,12.5,20,0.12,0.186,0.089,2160,2069.46,1293.41,1720.24,35000
35,1000,0.073,0.067,0.042,16,16,0.12,0.186,0.11,1940,1858.68,1161.68,1545.03,35000
35,1200,0.06,0.055,0.024,12.5,25,0.12,0.155,0.065,2650,2538.92,1586.83,2110.48,42000
35,1500,0.048,0.044,0.02,12.5,30,0.12,0.124,0.065,2880,2759.28,1724.55,2293.65,52500
35,1800,0.04,0.037,0.017,12.5,35,0.12,0.103,0.063,3350,3209.58,2005.99,2667.96,63000
35,1800,0.04,0.037,0.021,16,20,0.12,0.103,0.06,2540,2433.53,1520.96,2022.87,63000
35,2200,0.049,0.047,0.017,16,25,0.12,0.096,0.05,3060,2995.8,2139.86,2589.23,77000
35,2200,0.049,0.047,0.026,18,20,0.12,0.096,0.06,2860,2800,2000,2420,77000
35,2700,0.04,0.038,0.017,16,31.5,0.12,0.079,0.044,3610,3534.27,2524.48,3054.62,94500
35,2700,0.04,0.038,0.019,18,25,0.12,0.079,0.045,3140,3074.13,2195.8,2656.92,94500
35,3300,0.037,0.035,0.015,16,35.5,0.12,0.072,0.038,4080,3994.41,2853.15,3452.31,115500
35,3300,0.037,0.035,0.015,18,31.5,0.12,0.072,0.038,4170,4082.52,2916.08,3528.46,115500
35,3900,0.031,0.03,0.014,18,35.5,0.12,0.061,0.032,4280,4190.21,2993.01,3621.54,136500
35,4700,0.029,0.028,0.012,18,40,0.12,0.056,0.03,4550,4454.55,3181.82,3850,164500
50,22,1.316,1.064,0.58,5,11,0.1,6.029,2.3,210,188.82,88.24,147.35,1100
50,56,0.7,0.592,0.22,6.3,11,0.1,2.368,0.87,340,312.8,170,248.2,2800
50,100,0.392,0.332,0.12,8,11.5,0.1,1.326,0.48,730,671.6,365,532.9,5000
50,120,0.326,0.276,0.12,8,11.5,0.1,1.105,0.48,730,671.6,365,532.9,6000
50,150,0.261,0.221,0.091,8,16,0.1,0.884,0.36,910,837.2,455,664.3,7500
50,180,0.218,0.184,0.091,8,16,0.1,0.737,0.36,910,837.2,455,664.3,9000
50,220,0.178,0.151,0.084,10,12.5,0.1,0.603,0.34,1050,966,525,766.5,11000
50,270,0.145,0.123,0.06,10,16,0.1,0.491,0.24,1220,1122.4,610,890.6,13500
50,270,0.145,0.123,0.055,10,20,0.1,0.491,0.22,1440,1324.8,720,1051.2,13500
50,330,0.137,0.121,0.055,10,20,0.1,0.402,0.22,1440,1352.97,791.21,1107.69,16500
50,470,0.097,0.085,0.043,10,23,0.1,0.282,0.17,1690,1587.86,928.57,1300,23500
50,470,0.097,0.085,0.045,12.5,16,0.1,0.282,0.15,1670,1569.07,917.58,1284.62,23500
50,560,0.081,0.072,0.034,12.5,20,0.1,0.237,0.11,1950,1832.14,1071.43,1500,28000
50,560,0.081,0.072,0.054,16,16,0.1,0.237,0.15,1830,1719.4,1005.49,1407.69,28000
50,680,0.067,0.059,0.025,12.5,25,0.1,0.195,0.083,2510,2358.3,1379.12,1930.77,34000
50,820,0.063,0.058,0.025,12.5,25,0.1,0.162,0.083,2510,2404.79,1502.99,1998.98,41000
50,820,0.063,0.058,0.024,12.5,30,0.1,0.162,0.077,2680,2567.66,1604.79,2134.37,41000
50,1000,0.062,0.057,0.021,12.5,35,0.1,0.159,0.069,2920,2797.6,1748.5,2325.51,50000
50,1000,0.062,0.057,0.025,16,20,0.1,0.159,0.075,2460,2356.89,1473.05,1959.16,50000
50,1200,0.052,0.048,0.022,16,25,0.1,0.133,0.066,2980,2855.09,1784.43,2373.29,60000
50,1200,0.052,0.048,0.03,18,20,0.1,0.133,0.07,2490,2385.63,1491.02,1983.05,60000
50,1500,0.041,0.038,0.019,16,31.5,0.1,0.106,0.057,3150,3017.96,1886.23,2508.68,75000
50,1800,0.035,0.032,0.016,16,35.5,0.1,0.088,0.048,3710,3554.49,2221.56,2954.67,90000
50,1800,0.035,0.032,0.022,18,25,0.1,0.088,0.057,3150,3017.96,1886.23,2508.68,90000
50,2200,0.043,0.041,0.018,18,31.5,0.1,0.084,0.046,3680,3602.8,2573.43,3113.85,110000
50,2700,0.035,0.034,0.014,18,35.5,0.1,0.069,0.038,3800,3720.28,2657.34,3215.38,135000
50,3300,0.033,0.031,0.013,18,40,0.1,0.064,0.033,4170,4082.52,2916.08,3528.46,165000
