Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
6.3,15000,0.019,0.014,18,31.5,0.22,0.056,EKYB6R3E□□153MMN3S,4220
6.3,18000,0.016,0.013,16,40,0.22,0.052,EKYB6R3E□□183ML40S,4220
6.3,18000,0.016,0.012,18,35.5,0.22,0.048,EKYB6R3E□□183MMP1S,4280
6.3,22000,0.013,0.011,18,40,0.22,0.044,EKYB6R3E□□223MM40S,4700
10,120,2.1,0.29,5,11,0.19,1.2,EKYB100E□□121ME11D,340
10,330,0.764,0.15,6.3,11,0.19,0.6,EKYB100E□□331MF11D,540
10,560,0.45,0.087,8,11.5,0.19,0.35,EKYB100E□□561MHB5D,840
10,820,0.307,0.069,8,15,0.19,0.28,EKYB100E□□821MH15D,1050
10,1000,0.252,0.06,8,20,0.19,0.24,EKYB100E□□102MH20D,1210
10,1000,0.252,0.064,10,12.5,0.19,0.26,EKYB100E□□102MJC5S,1050
10,1200,0.21,0.049,10,16,0.19,0.2,EKYB100E□□122MJ16S,1400
10,1800,0.14,0.037,10,20,0.19,0.15,EKYB100E□□182MJ20S,1650
10,2200,0.115,0.031,10,25,0.19,0.13,EKYB100E□□222MJ25S,1910
10,2700,0.093,0.027,10,30,0.19,0.11,EKYB100E□□272MJ30S,2230
10,2700,0.093,0.027,12.5,20,0.19,0.11,EKYB100E□□272MK20S,2230
10,3900,0.065,0.024,12.5,25,0.19,0.096,EKYB100E□□392MK25S,2530
10,4700,0.054,0.021,12.5,30,0.19,0.084,EKYB100E□□472MK30S,2860
10,4700,0.054,0.025,16,20,0.19,0.1,EKYB100E□□472ML20S,2610
10,5600,0.045,0.018,12.5,35,0.19,0.072,EKYB100E□□562MK35S,3140
10,6800,0.037,0.017,12.5,40,0.19,0.068,EKYB100E□□682MK40S,3640
10,6800,0.037,0.02,16,25,0.19,0.08,EKYB100E□□682ML25S,3140
10,6800,0.037,0.021,18,20,0.19,0.084,EKYB100E□□682MM20S,3000
10,8200,0.031,0.016,16,31.5,0.19,0.064,EKYB100E□□822MLN3S,3610
10,8200,0.031,0.017,18,25,0.19,0.068,EKYB100E□□822MM25S,3530
10,10000,0.025,0.014,16,35.5,0.19,0.056,EKYB100E□□103MLP1S,4080
10,10000,0.025,0.014,18,31.5,0.19,0.056,EKYB100E□□103MMN3S,4220
10,12000,0.021,0.013,16,40,0.19,0.052,EKYB100E□□123ML40S,4220
10,12000,0.021,0.012,18,35.5,0.19,0.048,EKYB100E□□123MMP1S,4280
10,15000,0.017,0.011,18,40,0.19,0.044,EKYB100E□□153MM40S,4700
16,120,1.768,0.29,5,11,0.16,1.2,EKYB160E□□121ME11D,340
16,270,0.786,0.15,6.3,11,0.16,0.6,EKYB160E□□271MF11D,540
16,470,0.452,0.087,8,11.5,0.16,0.35,EKYB160E□□471MHB5D,840
16,680,0.312,0.069,8,15,0.16,0.28,EKYB160E□□681MH15D,1050
16,680,0.312,0.064,10,12.5,0.16,0.26,EKYB160E□□681MJC5S,1050
16,820,0.259,0.06,8,20,0.16,0.24,EKYB160E□□821MH20D,1210
16,1000,0.212,0.049,10,16,0.16,0.2,EKYB160E□□102MJ16S,1400
16,1500,0.141,0.037,10,20,0.16,0.15,EKYB160E□□152MJ20S,1650
16,1800,0.118,0.031,10,25,0.16,0.13,EKYB160E□□182MJ25S,1910
16,2200,0.096,0.027,10,30,0.16,0.11,EKYB160E□□222MJ30S,2230
16,2200,0.096,0.027,12.5,20,0.16,0.11,EKYB160E□□222MK20S,2230
16,3300,0.064,0.024,12.5,25,0.16,0.096,EKYB160E□□332MK25S,2530
16,3900,0.054,0.021,12.5,30,0.16,0.084,EKYB160E□□392MK30S,2860
16,3900,0.054,0.025,16,20,0.16,0.1,EKYB160E□□392ML20S,2610
16,4700,0.045,0.018,12.5,35,0.16,0.072,EKYB160E□□472MK35S,3140
16,4700,0.045,0.021,18,20,0.16,0.084,EKYB160E□□472MM20S,3000
16,5600,0.038,0.017,12.5,40,0.16,0.068,EKYB160E□□562MK40S,3640
16,5600,0.038,0.02,16,25,0.16,0.08,EKYB160E□□562ML25S,3140
16,6800,0.031,0.016,16,31.5,0.16,0.064,EKYB160E□□682MLN3S,3610
16,6800,0.031,0.017,18,25,0.16,0.068,EKYB160E□□682MM25S,3530
16,8200,0.026,0.014,16,35.5,0.16,0.056,EKYB160E□□822MLP1S,4080
16,8200,0.026,0.014,18,31.5,0.16,0.056,EKYB160E□□822MMN3S,4220
16,10000,0.021,0.013,16,40,0.16,0.052,EKYB160E□□103ML40S,4220
16,10000,0.021,0.012,18,35.5,0.16,0.048,EKYB160E□□103MMP1S,4280
16,12000,0.018,0.011,18,40,0.16,0.044,EKYB160E□□123MM40S,4700
25,82,2.264,0.29,5,11,0.14,1.2,EKYB250E□□820ME11D,340
25,150,1.238,0.15,6.3,11,0.14,0.6,EKYB250E□□151MF11D,540
25,330,0.563,0.087,8,11.5,0.14,0.35,EKYB250E□□331MHB5D,840
25,390,0.476,0.069,8,15,0.14,0.28,EKYB250E□□391MH15D,1050
25,470,0.395,0.064,10,12.5,0.14,0.26,EKYB250E□□471MJC5S,1050
25,560,0.332,0.06,8,20,0.14,0.24,EKYB250E□□561MH20D,1210
25,680,0.273,0.049,10,16,0.14,0.2,EKYB250E□□681MJ16S,1400
25,1000,0.186,0.037,10,20,0.14,0.15,EKYB250E□□102MJ20S,1650
25,1200,0.155,0.031,10,25,0.14,0.13,EKYB250E□□122MJ25S,1910
25,1500,0.124,0.027,10,30,0.14,0.11,EKYB250E□□152MJ30S,2230
25,1500,0.124,0.027,12.5,20,0.14,0.11,EKYB250E□□152MK20S,2230
25,2200,0.084,0.024,12.5,25,0.14,0.096,EKYB250E□□222MK25S,2530
25,2700,0.069,0.021,12.5,30,0.14,0.084,EKYB250E□□272MK30S,2860
25,2700,0.069,0.025,16,20,0.14,0.1,EKYB250E□□272ML20S,2610
25,3300,0.056,0.018,12.5,35,0.14,0.072,EKYB250E□□332MK35S,3140
25,3300,0.056,0.021,18,20,0.14,0.084,EKYB250E□□332MM20S,3000
25,3900,0.048,0.017,12.5,40,0.14,0.068,EKYB250E□□392MK40S,3640
25,3900,0.048,0.02,16,25,0.14,0.08,EKYB250E□□392ML25S,3140
25,4700,0.04,0.016,16,31.5,0.14,0.064,EKYB250E□□472MLN3S,3610
25,4700,0.04,0.017,18,25,0.14,0.068,EKYB250E□□472MM25S,3530
25,5600,0.033,0.014,16,35.5,0.14,0.056,EKYB250E□□562MLP1S,4080
25,6800,0.027,0.013,16,40,0.14,0.052,EKYB250E□□682ML40S,4220
25,6800,0.027,0.014,18,31.5,0.14,0.056,EKYB250E□□682MMN3S,4220
25,8200,0.023,0.012,18,35.5,0.14,0.048,EKYB250E□□822MMP1S,4280
35,47,3.386,0.29,5,11,0.12,1.2,EKYB350E□□470ME11D,340
35,100,1.592,0.15,6.3,11,0.12,0.6,EKYB350E□□101MF11D,540
35,180,0.884,0.087,8,11.5,0.12,0.35,EKYB350E□□181MHB5D,840
35,270,0.589,0.069,8,15,0.12,0.28,EKYB350E□□271MH15D,1050
35,330,0.482,0.06,8,20,0.12,0.24,EKYB350E□□331MH20D,1210
35,330,0.482,0.064,10,12.5,0.12,0.26,EKYB350E□□331MJC5S,1050
35,470,0.339,0.049,10,16,0.12,0.2,EKYB350E□□471MJ16S,1400
35,680,0.234,0.037,10,20,0.12,0.15,EKYB350E□□681MJ20S,1650
35,820,0.194,0.031,10,25,0.12,0.13,EKYB350E□□821MJ25S,1910
35,1000,0.159,0.027,10,30,0.12,0.11,EKYB350E□□102MJ30S,2230
35,1000,0.159,0.027,12.5,20,0.12,0.11,EKYB350E□□102MK20S,2230
35,1500,0.106,0.024,12.5,25,0.12,0.096,EKYB350E□□152MK25S,2530
35,1800,0.088,0.021,12.5,30,0.12,0.084,EKYB350E□□182MK30S,2860
35,1800,0.088,0.025,16,20,0.12,0.1,EKYB350E□□182ML20S,2610
35,2200,0.072,0.018,12.5,35,0.12,0.072,EKYB350E□□222MK35S,3140
35,2200,0.072,0.021,18,20,0.12,0.084,EKYB350E□□222MM20S,3000
35,2700,0.059,0.017,12.5,40,0.12,0.068,EKYB350E□□272MK40S,3640
35,2700,0.059,0.02,16,25,0.12,0.08,EKYB350E□□272ML25S,3140
35,3300,0.048,0.016,16,31.5,0.12,0.064,EKYB350E□□332MLN3S,3610
35,3300,0.048,0.017,18,25,0.12,0.068,EKYB350E□□332MM25S,3530
35,3900,0.041,0.014,16,35.5,0.12,0.056,EKYB350E□□392MLP1S,4080
35,4700,0.034,0.013,16,40,0.12,0.052,EKYB350E□□472ML40S,4220
35,4700,0.034,0.014,18,31.5,0.12,0.056,EKYB350E□□472MMN3S,4220
35,5600,0.028,0.012,18,35.5,0.12,0.048,EKYB350E□□562MMP1S,4280
50,27,4.912,0.48,5,11,0.1,2.0,EKYB500E□□270ME11D,238
50,56,2.368,0.2,6.3,11,0.1,0.8,EKYB500E□□560MF11D,385
50,100,1.326,0.12,8,11.5,0.1,0.48,EKYB500E□□101MHB5D,620
50,150,0.884,0.093,8,15,0.1,0.38,EKYB500E□□151MH15D,810
50,150,0.884,0.1,10,12.5,0.1,0.4,EKYB500E□□151MJC5S,810
50,180,0.737,0.075,8,20,0.1,0.3,EKYB500E□□181MH20D,980
50,220,0.603,0.069,10,16,0.1,0.28,EKYB500E□□221MJ16S,1100
50,270,0.491,0.055,10,20,0.1,0.22,EKYB500E□□271MJ20S,1300
50,390,0.34,0.043,10,25,0.1,0.18,EKYB500E□□391MJ25S,1600
50,470,0.282,0.038,10,30,0.1,0.16,EKYB500E□□471MJ30S,1820
50,470,0.282,0.034,12.5,20,0.1,0.14,EKYB500E□□471MK20S,1820
50,680,0.195,0.03,12.5,25,0.1,0.12,EKYB500E□□681MK25S,2100
50,820,0.162,0.025,12.5,30,0.1,0.1,EKYB500E□□821MK30S,2450
50,820,0.162,0.028,16,20,0.1,0.12,EKYB500E□□821ML20S,2350
50,1000,0.133,0.021,12.5,35,0.1,0.084,EKYB500E□□102MK35S,2800
50,1000,0.133,0.025,18,20,0.1,0.1,EKYB500E□□102MM20S,2600
50,1200,0.111,0.019,12.5,40,0.1,0.076,EKYB500E□□122MK40S,3100
50,1200,0.111,0.024,16,25,0.1,0.096,EKYB500E□□122ML25S,2750
50,1500,0.088,0.019,16,31.5,0.1,0.076,EKYB500E□□152MLN3S,3150
50,1500,0.088,0.021,18,25,0.1,0.084,EKYB500E□□152MM25S,2890
50,1800,0.074,0.016,16,35.5,0.1,0.064,EKYB500E□□182MLP1S,3550
50,2200,0.06,0.014,16,40,0.1,0.056,EKYB500E□□222ML40S,3900
50,2200,0.06,0.014,18,31.5,0.1,0.056,EKYB500E□□222MMN3S,3800
50,2700,0.049,0.013,18,35.5,0.1,0.052,EKYB500E□□272MMP1S,4100
63,18,6.631,0.5,5,11,0.09,2.0,EKYB630E□□180ME11D,220
63,33,3.617,0.25,6.3,11,0.09,1.0,EKYB630E□□330MF11D,350
63,56,2.132,0.16,8,11.5,0.09,0.64,EKYB630E□□560MHB5D,530
63,82,1.456,0.12,8,15,0.09,0.48,EKYB630E□□820MH15D,700
63,120,0.995,0.085,8,20,0.09,0.34,EKYB630E□□121MH20D,880
63,120,0.995,0.11,10,12.5,0.09,0.44,EKYB630E□□121MJC5S,725
63,180,0.663,0.073,10,16,0.09,0.3,EKYB630E□□181MJ16S,1050
63,220,0.543,0.055,10,20,0.09,0.22,EKYB630E□□221MJ20S,1300
63,330,0.362,0.045,10,25,0.09,0.18,EKYB630E□□331MJ25S,1550
63,390,0.306,0.04,10,30,0.09,0.16,EKYB630E□□391MJ30S,1780
63,390,0.306,0.036,12.5,20,0.09,0.15,EKYB630E□□391MK20S,1780
63,560,0.213,0.03,12.5,25,0.09,0.12,EKYB630E□□561MK25S,2100
63,680,0.176,0.026,12.5,30,0.09,0.11,EKYB630E□□681MK30S,2415
63,680,0.176,0.028,16,20,0.09,0.12,EKYB630E□□681ML20S,2250
63,820,0.146,0.022,12.5,35,0.09,0.088,EKYB630E□□821MK35S,2700
63,820,0.146,0.028,18,20,0.09,0.12,EKYB630E□□821MM20S,2500
63,1000,0.119,0.02,12.5,40,0.09,0.08,EKYB630E□□102MK40S,3000
63,1000,0.119,0.025,16,25,0.09,0.1,EKYB630E□□102ML25S,2730
63,1200,0.099,0.02,16,31.5,0.09,0.08,EKYB630E□□122MLN3S,3000
63,1200,0.099,0.022,18,25,0.09,0.088,EKYB630E□□122MM25S,2800
63,1500,0.08,0.018,16,35.5,0.09,0.072,EKYB630E□□152MLP1S,3200
63,1500,0.08,0.018,18,31.5,0.09,0.072,EKYB630E□□152MMN3S,3300
63,1800,0.066,0.016,16,40,0.09,0.064,EKYB630E□□182ML40S,3590
63,1800,0.066,0.017,18,35.5,0.09,0.068,EKYB630E□□182MMP1S,3570
63,2200,0.054,0.016,18,40,0.09,0.064,EKYB630E□□222MM40S,3670
80,12,9.947,0.8,5,11,0.09,3.2,EKYB800E□□120ME11D,163
80,22,5.426,0.43,6.3,11,0.09,1.8,EKYB800E□□220MF11D,267
80,39,3.061,0.18,8,11.5,0.09,0.72,EKYB800E□□390MHB5D,462
80,56,2.132,0.14,8,15,0.09,0.56,EKYB800E□□560MH15D,585
80,82,1.456,0.11,8,20,0.09,0.44,EKYB800E□□820MH20D,735
80,82,1.456,0.14,10,12.5,0.09,0.56,EKYB800E□□820MJC5S,624
80,120,0.995,0.1,10,16,0.09,0.4,EKYB800E□□121MJ16S,780
80,180,0.663,0.075,10,20,0.09,0.3,EKYB800E□□181MJ20S,1040
80,220,0.543,0.06,10,25,0.09,0.24,EKYB800E□□221MJ25S,1170
80,270,0.442,0.053,10,30,0.09,0.22,EKYB800E□□271MJ30S,1350
80,270,0.442,0.048,12.5,20,0.09,0.2,EKYB800E□□271MK20S,1430
80,390,0.306,0.039,12.5,25,0.09,0.16,EKYB800E□□391MK25S,1620
80,470,0.254,0.033,12.5,30,0.09,0.14,EKYB800E□□471MK30S,1950
80,470,0.254,0.036,16,20,0.09,0.15,EKYB800E□□471ML20S,1750
80,560,0.213,0.026,12.5,35,0.09,0.11,EKYB800E□□561MK35S,2250
80,560,0.213,0.032,18,20,0.09,0.13,EKYB800E□□561MM20S,2100
80,680,0.176,0.024,12.5,40,0.09,0.096,EKYB800E□□681MK40S,2450
80,680,0.176,0.028,16,25,0.09,0.12,EKYB800E□□681ML25S,2250
80,820,0.146,0.022,16,31.5,0.09,0.088,EKYB800E□□821MLN3S,2400
80,820,0.146,0.027,18,25,0.09,0.11,EKYB800E□□821MM25S,2270
80,1000,0.119,0.02,16,35.5,0.09,0.08,EKYB800E□□102MLP1S,2600
80,1200,0.099,0.018,16,40,0.09,0.072,EKYB800E□□122ML40S,2900
80,1200,0.099,0.02,18,31.5,0.09,0.08,EKYB800E□□122MMN3S,2550
80,1500,0.08,0.018,18,35.5,0.09,0.072,EKYB800E□□152MMP1S,3050
100,6.8,15.603,0.8,5,11,0.08,3.2,EKYB101E□□6R8ME11D,163
100,15,7.074,0.43,6.3,11,0.08,1.8,EKYB101E□□150MF11D,267
100,27,3.93,0.18,8,11.5,0.08,0.72,EKYB101E□□270MHB5D,462
100,39,2.721,0.14,8,15,0.08,0.56,EKYB101E□□390MH15D,585
100,56,1.895,0.11,8,20,0.08,0.44,EKYB101E□□560MH20D,735
100,56,1.895,0.14,10,12.5,0.08,0.56,EKYB101E□□560MJC5S,624
100,82,1.294,0.1,10,16,0.08,0.4,EKYB101E□□820MJ16S,780
100,100,1.061,0.075,10,20,0.08,0.3,EKYB101E□□101MJ20S,1040
100,120,0.884,0.06,10,25,0.08,0.24,EKYB101E□□121MJ25S,1170
100,150,0.707,0.053,10,30,0.08,0.22,EKYB101E□□151MJ30S,1350
100,180,0.589,0.048,12.5,20,0.08,0.2,EKYB101E□□181MK20S,1430
100,220,0.482,0.039,12.5,25,0.08,0.16,EKYB101E□□221MK25S,1620
100,270,0.393,0.033,12.5,30,0.08,0.14,EKYB101E□□271MK30S,1950
100,270,0.393,0.036,16,20,0.08,0.15,EKYB101E□□271ML20S,1750
100,330,0.322,0.028,16,25,0.08,0.12,EKYB101E□□331ML25S,2250
100,390,0.272,0.026,12.5,35,0.08,0.11,EKYB101E□□391MK35S,2250
100,390,0.272,0.032,18,20,0.08,0.13,EKYB101E□□391MM20S,2100
100,470,0.226,0.024,12.5,40,0.08,0.096,EKYB101E□□471MK40S,2450
100,470,0.226,0.022,16,31.5,0.08,0.088,EKYB101E□□471MLN3S,2400
100,560,0.189,0.02,16,35.5,0.08,0.08,EKYB101E□□561MLP1S,2600
100,560,0.189,0.027,18,25,0.08,0.11,EKYB101E□□561MM25S,2270
100,680,0.156,0.018,16,40,0.08,0.072,EKYB101E□□681ML40S,2900
100,680,0.156,0.02,18,31.5,0.08,0.08,EKYB101E□□681MMN3S,2550
100,820,0.129,0.018,18,35.5,0.08,0.072,EKYB101E□□821MMP1S,3050
100,1000,0.106,0.017,18,40,0.08,0.068,EKYB101E□□102MM40S,3510
