Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
16,270,0.786,0.12,10,12.5,0.16,0.24,ELXY160E□□271MJC5S,625
16,330,0.643,0.13,8,15,0.16,0.26,ELXY160E□□331MH15D,555
16,470,0.452,0.095,8,20,0.16,0.19,ELXY160E□□471MH20D,740
16,470,0.452,0.084,10,16,0.16,0.17,ELXY160E□□471MJ16S,825
16,680,0.312,0.062,10,20,0.16,0.13,ELXY160E□□681MJ20S,1040
16,820,0.259,0.052,10,25,0.16,0.11,ELXY160E□□821MJ25S,1260
16,1200,0.177,0.044,10,30,0.16,0.088,ELXY160E□□122MJ30S,1440
16,1200,0.177,0.046,12.5,20,0.16,0.092,ELXY160E□□122MK20S,1340
16,1500,0.141,0.034,12.5,25,0.16,0.068,ELXY160E□□152MK25S,1690
16,2200,0.096,0.03,12.5,30,0.16,0.06,ELXY160E□□222MK30S,1950
16,2200,0.096,0.038,16,20,0.16,0.076,ELXY160E□□222ML20S,1630
16,2700,0.079,0.024,12.5,35,0.16,0.048,ELXY160E□□272MK35S,2220
16,2700,0.079,0.028,16,25,0.16,0.056,ELXY160E□□272ML25S,2070
16,3300,0.064,0.022,12.5,40,0.16,0.044,ELXY160E□□332MK40S,2390
16,3900,0.054,0.025,16,30,0.16,0.05,ELXY160E□□392ML30S,2350
16,4700,0.045,0.022,16,35,0.16,0.044,ELXY160E□□472ML35S,2550
16,5600,0.038,0.018,16,40,0.16,0.036,ELXY160E□□562ML40S,2900
25,39,4.761,0.75,5,11.5,0.14,1.5,ELXY250E□□390MEB5D,163
25,82,2.264,0.35,6.3,11.5,0.14,0.7,ELXY250E□□820MFB5D,273
25,120,1.547,0.25,6.3,15,0.14,0.5,ELXY250E□□121MF15D,390
25,150,1.238,0.17,8,12,0.14,0.34,ELXY250E□□151MH12D,445
25,180,1.032,0.12,10,12.5,0.14,0.24,ELXY250E□□181MJC5S,625
25,220,0.844,0.13,8,15,0.14,0.26,ELXY250E□□221MH15D,555
25,330,0.563,0.095,8,20,0.14,0.19,ELXY250E□□331MH20D,740
25,330,0.563,0.084,10,16,0.14,0.17,ELXY250E□□331MJ16S,825
25,470,0.395,0.062,10,20,0.14,0.13,ELXY250E□□471MJ20S,1040
25,560,0.332,0.052,10,25,0.14,0.11,ELXY250E□□561MJ25S,1260
25,820,0.226,0.044,10,30,0.14,0.088,ELXY250E□□821MJ30S,1440
25,820,0.226,0.046,12.5,20,0.14,0.092,ELXY250E□□821MK20S,1340
25,1000,0.186,0.034,12.5,25,0.14,0.068,ELXY250E□□102MK25S,1690
25,1500,0.124,0.03,12.5,30,0.14,0.06,ELXY250E□□152MK30S,1950
25,1500,0.124,0.038,16,20,0.14,0.076,ELXY250E□□152ML20S,1630
25,1800,0.103,0.024,12.5,35,0.14,0.048,ELXY250E□□182MK35S,2220
25,1800,0.103,0.028,16,25,0.14,0.056,ELXY250E□□182ML25S,2070
25,2200,0.084,0.022,12.5,40,0.14,0.044,ELXY250E□□222MK40S,2390
25,2700,0.069,0.025,16,30,0.14,0.05,ELXY250E□□272ML30S,2350
25,3300,0.056,0.022,16,35,0.14,0.044,ELXY250E□□332ML35S,2550
25,3900,0.048,0.018,16,40,0.14,0.036,ELXY250E□□392ML40S,2900
35,27,5.895,0.75,5,11.5,0.12,1.5,ELXY350E□□270MEB5D,163
35,56,2.842,0.35,6.3,11.5,0.12,0.7,ELXY350E□□560MFB5D,273
35,82,1.941,0.25,6.3,15,0.12,0.5,ELXY350E□□820MF15D,390
35,120,1.326,0.17,8,12,0.12,0.34,ELXY350E□□121MH12D,445
35,120,1.326,0.12,10,12.5,0.12,0.24,ELXY350E□□121MJC5S,625
35,180,0.884,0.13,8,15,0.12,0.26,ELXY350E□□181MH15D,555
35,220,0.723,0.095,8,20,0.12,0.19,ELXY350E□□221MH20D,740
35,220,0.723,0.084,10,16,0.12,0.17,ELXY350E□□221MJ16S,825
35,330,0.482,0.062,10,20,0.12,0.13,ELXY350E□□331MJ20S,1040
35,390,0.408,0.052,10,25,0.12,0.11,ELXY350E□□391MJ25S,1260
35,560,0.284,0.044,10,30,0.12,0.088,ELXY350E□□561MJ30S,1440
35,560,0.284,0.046,12.5,20,0.12,0.092,ELXY350E□□561MK20S,1340
35,680,0.234,0.034,12.5,25,0.12,0.068,ELXY350E□□681MK25S,1690
35,1000,0.159,0.03,12.5,30,0.12,0.06,ELXY350E□□102MK30S,1950
35,1000,0.159,0.038,16,20,0.12,0.076,ELXY350E□□102ML20S,1630
35,1200,0.133,0.024,12.5,35,0.12,0.048,ELXY350E□□122MK35S,2220
35,1200,0.133,0.028,16,25,0.12,0.056,ELXY350E□□122ML25S,2070
35,1500,0.106,0.022,12.5,40,0.12,0.044,ELXY350E□□152MK40S,2390
35,1800,0.088,0.025,16,30,0.12,0.05,ELXY350E□□182ML30S,2350
35,2200,0.072,0.022,16,35,0.12,0.044,ELXY350E□□222ML35S,2550
35,2700,0.059,0.018,16,40,0.12,0.036,ELXY350E□□272ML40S,2900
50,18,7.368,1.2,5,11.5,0.1,2.4,ELXY500E□□180MEB5D,129
50,39,3.401,0.54,6.3,11.5,0.1,1.1,ELXY500E□□390MFB5D,219
50,56,2.368,0.34,6.3,15,0.1,0.68,ELXY500E□□560MF15D,310
50,68,1.95,0.3,8,12,0.1,0.6,ELXY500E□□680MH12D,340
50,82,1.617,0.2,8,15,0.1,0.4,ELXY500E□□820MH15D,470
50,82,1.617,0.2,10,12.5,0.1,0.4,ELXY500E□□820MJC5S,480
50,120,1.105,0.14,8,20,0.1,0.28,ELXY500E□□121MH20D,610
50,120,1.105,0.13,10,16,0.1,0.26,ELXY500E□□121MJ16S,755
50,180,0.737,0.088,10,20,0.1,0.18,ELXY500E□□181MJ20S,945
50,220,0.603,0.073,10,25,0.1,0.15,ELXY500E□□221MJ25S,1150
50,330,0.402,0.054,10,30,0.1,0.11,ELXY500E□□331MJ30S,1260
50,330,0.402,0.059,12.5,20,0.1,0.12,ELXY500E□□331MK20S,1190
50,470,0.282,0.044,12.5,25,0.1,0.088,ELXY500E□□471MK25S,1490
50,560,0.237,0.039,12.5,30,0.1,0.078,ELXY500E□□561MK30S,1720
50,680,0.195,0.033,12.5,35,0.1,0.066,ELXY500E□□681MK35S,1890
50,680,0.195,0.05,16,20,0.1,0.1,ELXY500E□□681ML20S,1420
50,820,0.162,0.029,12.5,40,0.1,0.058,ELXY500E□□821MK40S,2030
50,820,0.162,0.034,16,25,0.1,0.068,ELXY500E□□821ML25S,1880
50,1000,0.133,0.03,16,30,0.1,0.06,ELXY500E□□102ML30S,2150
50,1200,0.111,0.027,16,35,0.1,0.054,ELXY500E□□122ML35S,2320
50,1500,0.088,0.024,16,40,0.1,0.048,ELXY500E□□152ML40S,2540
63,10,13.263,1.9,5,11.5,0.1,4.8,ELXY630E□□100MEB5D,103
63,18,7.368,1,6.3,11.5,0.1,2.5,ELXY630E□□180MFB5D,161
63,33,4.019,0.61,6.3,15,0.1,1.6,ELXY630E□□330MF15D,233
63,47,2.822,0.47,8,12,0.1,1.2,ELXY630E□□470MH12D,274
63,56,2.368,0.27,10,12.5,0.1,0.68,ELXY630E□□560MJC5S,418
63,68,1.95,0.34,8,15,0.1,0.85,ELXY630E□□680MH15D,360
63,68,1.95,0.21,10,16,0.1,0.53,ELXY630E□□680MJ16S,525
63,82,1.617,0.21,8,20,0.1,0.53,ELXY630E□□820MH20D,500
63,120,1.105,0.16,10,20,0.1,0.4,ELXY630E□□121MJ20S,650
63,150,0.884,0.13,10,25,0.1,0.33,ELXY630E□□151MJ25S,783
63,180,0.737,0.1,10,30,0.1,0.25,ELXY630E□□181MJ30S,960
63,220,0.603,0.11,12.5,20,0.1,0.28,ELXY630E□□221MK20S,870
63,270,0.491,0.074,12.5,25,0.1,0.19,ELXY630E□□271MK25S,1150
63,330,0.402,0.085,16,20,0.1,0.22,ELXY630E□□331ML20S,1100
63,390,0.34,0.068,12.5,30,0.1,0.17,ELXY630E□□391MK30S,1280
63,470,0.282,0.063,12.5,35,0.1,0.16,ELXY630E□□471MK35S,1390
63,470,0.282,0.055,16,25,0.1,0.14,ELXY630E□□471ML25S,1480
63,560,0.237,0.051,12.5,40,0.1,0.13,ELXY630E□□561MK40S,1530
63,680,0.195,0.046,16,30,0.1,0.12,ELXY630E□□681ML30S,1720
63,820,0.162,0.04,16,35,0.1,0.1,ELXY630E□□821ML35S,1910
63,1000,0.133,0.036,16,40,0.1,0.09,ELXY630E□□102ML40S,2070
