Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
10,1200,0.21,10,20,0.19,0.104,0.052,ELXZ100E□□122MJ20S,1220
10,1500,0.168,10,25,0.19,0.09,0.045,ELXZ100E□□152MJ25S,1440
10,1800,0.14,10,30,0.19,0.074,0.037,ELXZ100E□□182MJ30S,1690
10,2200,0.115,10,30,0.19,0.074,0.037,ELXZ100E□□222MJ30S,1690
10,2200,0.115,12.5,20,0.19,0.076,0.038,ELXZ100E□□222MK20S,1660
10,3300,0.076,12.5,25,0.19,0.06,0.03,ELXZ100E□□332MK25S,1950
10,3900,0.065,12.5,30,0.19,0.05,0.025,ELXZ100E□□392MK30S,2310
10,3900,0.065,16,20,0.19,0.058,0.029,ELXZ100E□□392ML20S,2210
10,4700,0.054,12.5,35,0.19,0.044,0.022,ELXZ100E□□472MK35S,2510
10,5600,0.045,12.5,40,0.19,0.034,0.017,ELXZ100E□□562MK40S,2870
10,5600,0.045,16,25,0.19,0.044,0.022,ELXZ100E□□562ML25S,2560
10,5600,0.045,18,20,0.19,0.056,0.028,ELXZ100E□□562MM20S,2490
10,6800,0.037,16,30,0.19,0.038,0.019,ELXZ100E□□682ML30S,3010
10,6800,0.037,18,25,0.19,0.04,0.02,ELXZ100E□□682MM25S,2740
10,8200,0.031,16,35,0.19,0.034,0.017,ELXZ100E□□822ML35S,3150
10,8200,0.031,18,30,0.19,0.036,0.018,ELXZ100E□□822MM30S,3330
10,10000,0.025,16,40,0.19,0.03,0.015,ELXZ100E□□103ML40S,3710
10,10000,0.025,18,35,0.19,0.032,0.016,ELXZ100E□□103MM35S,3680
10,12000,0.021,18,40,0.19,0.03,0.015,ELXZ100E□□123MM40S,3800
16,47,4.515,5,11.5,0.16,1.0,0.5,ELXZ160E□□470MEB5D,175
16,100,2.122,6.3,11.5,0.16,0.5,0.25,ELXZ160E□□101MFB5D,290
16,220,0.965,6.3,15,0.16,0.36,0.18,ELXZ160E□□221MF15D,400
16,330,0.643,8,12,0.16,0.24,0.12,ELXZ160E□□331MH12D,555
16,470,0.452,8,15,0.16,0.18,0.09,ELXZ160E□□471MH15D,730
16,470,0.452,10,12.5,0.16,0.18,0.09,ELXZ160E□□471MJC5S,760
16,560,0.379,8,20,0.16,0.16,0.08,ELXZ160E□□561MH20D,810
16,680,0.312,10,16,0.16,0.136,0.068,ELXZ160E□□681MJ16S,1050
16,1000,0.212,10,20,0.16,0.104,0.052,ELXZ160E□□102MJ20S,1220
16,1200,0.177,10,25,0.16,0.09,0.045,ELXZ160E□□122MJ25S,1440
16,1500,0.141,10,30,0.16,0.074,0.037,ELXZ160E□□152MJ30S,1690
16,1500,0.141,12.5,20,0.16,0.076,0.038,ELXZ160E□□152MK20S,1660
16,2200,0.096,12.5,25,0.16,0.06,0.03,ELXZ160E□□222MK25S,1950
16,2700,0.079,12.5,30,0.16,0.05,0.025,ELXZ160E□□272MK30S,2310
16,2700,0.079,16,20,0.16,0.058,0.029,ELXZ160E□□272ML20S,2210
16,3300,0.064,12.5,35,0.16,0.044,0.022,ELXZ160E□□332MK35S,2510
16,3900,0.054,12.5,40,0.16,0.034,0.017,ELXZ160E□□392MK40S,2870
16,3900,0.054,16,25,0.16,0.044,0.022,ELXZ160E□□392ML25S,2560
16,3900,0.054,18,20,0.16,0.056,0.028,ELXZ160E□□392MM20S,2490
16,4700,0.045,16,30,0.16,0.038,0.019,ELXZ160E□□472ML30S,3010
16,4700,0.045,18,25,0.16,0.04,0.02,ELXZ160E□□472MM25S,2740
16,5600,0.038,16,35,0.16,0.034,0.017,ELXZ160E□□562ML35S,3150
16,5600,0.038,18,30,0.16,0.036,0.018,ELXZ160E□□562MM30S,3330
16,6800,0.031,16,40,0.16,0.03,0.015,ELXZ160E□□682ML40S,3710
16,8200,0.026,18,35,0.16,0.032,0.016,ELXZ160E□□822MM35S,3680
16,10000,0.021,18,40,0.16,0.03,0.015,ELXZ160E□□103MM40S,3800
25,47,3.951,5,11.5,0.14,1.0,0.5,ELXZ250E□□470MEB5D,175
25,100,1.857,6.3,11.5,0.14,0.5,0.25,ELXZ250E□□101MFB5D,290
25,150,1.238,6.3,15,0.14,0.36,0.18,ELXZ250E□□151MF15D,400
25,220,0.844,8,12,0.14,0.24,0.12,ELXZ250E□□221MH12D,555
25,330,0.563,8,15,0.14,0.18,0.09,ELXZ250E□□331MH15D,730
25,330,0.563,10,12.5,0.14,0.18,0.09,ELXZ250E□□331MJC5S,760
25,390,0.476,8,20,0.14,0.16,0.08,ELXZ250E□□391MH20D,810
25,470,0.395,10,16,0.14,0.136,0.068,ELXZ250E□□471MJ16S,1050
25,680,0.273,10,20,0.14,0.104,0.052,ELXZ250E□□681MJ20S,1220
25,820,0.226,10,25,0.14,0.09,0.045,ELXZ250E□□821MJ25S,1440
25,1000,0.186,10,30,0.14,0.074,0.037,ELXZ250E□□102MJ30S,1690
25,1000,0.186,12.5,20,0.14,0.076,0.038,ELXZ250E□□102MK20S,1660
25,1500,0.124,12.5,25,0.14,0.06,0.03,ELXZ250E□□152MK25S,1950
25,1800,0.103,12.5,30,0.14,0.05,0.025,ELXZ250E□□182MK30S,2310
25,1800,0.103,16,20,0.14,0.058,0.029,ELXZ250E□□182ML20S,2210
25,2200,0.084,12.5,30,0.14,0.05,0.025,ELXZ250E□□222MK30S,2310
25,2200,0.084,12.5,35,0.14,0.044,0.022,ELXZ250E□□222MK35S,2510
25,2200,0.084,18,20,0.14,0.056,0.028,ELXZ250E□□222MM20S,2490
25,2700,0.069,12.5,40,0.14,0.034,0.017,ELXZ250E□□272MK40S,2870
25,2700,0.069,16,25,0.14,0.044,0.022,ELXZ250E□□272ML25S,2560
25,3300,0.056,16,25,0.14,0.044,0.022,ELXZ250E□□332ML25S,2560
25,3300,0.056,16,30,0.14,0.038,0.019,ELXZ250E□□332ML30S,3010
25,3300,0.056,18,20,0.14,0.056,0.028,ELXZ250E□□332MM20S,2490
25,3300,0.056,18,25,0.14,0.04,0.02,ELXZ250E□□332MM25S,2740
25,3900,0.048,16,35,0.14,0.034,0.017,ELXZ250E□□392ML35S,3150
25,3900,0.048,18,30,0.14,0.036,0.018,ELXZ250E□□392MM30S,3330
25,4700,0.04,16,40,0.14,0.03,0.015,ELXZ250E□□472ML40S,3710
25,4700,0.04,18,35,0.14,0.032,0.016,ELXZ250E□□472MM35S,3680
25,5600,0.033,18,40,0.14,0.03,0.015,ELXZ250E□□562MM40S,3800
35,33,4.823,5,11.5,0.12,1.0,0.5,ELXZ350E□□330MEB5D,175
35,56,2.842,6.3,11.5,0.12,0.5,0.25,ELXZ350E□□560MFB5D,290
35,100,1.592,6.3,15,0.12,0.36,0.18,ELXZ350E□□101MF15D,400
35,150,1.061,8,12,0.12,0.24,0.12,ELXZ350E□□151MH12D,555
35,220,0.723,8,15,0.12,0.18,0.09,ELXZ350E□□221MH15D,730
35,220,0.723,10,12.5,0.12,0.18,0.09,ELXZ350E□□221MJC5S,760
35,270,0.589,8,20,0.12,0.16,0.08,ELXZ350E□□271MH20D,810
35,330,0.482,10,16,0.12,0.136,0.068,ELXZ350E□□331MJ16S,1050
35,470,0.339,10,20,0.12,0.104,0.052,ELXZ350E□□471MJ20S,1220
35,560,0.284,10,20,0.12,0.104,0.052,ELXZ350E□□561MJ20S,1220
35,560,0.284,10,25,0.12,0.09,0.045,ELXZ350E□□561MJ25S,1440
35,680,0.234,10,30,0.12,0.074,0.037,ELXZ350E□□681MJ30S,1690
35,680,0.234,12.5,20,0.12,0.076,0.038,ELXZ350E□□681MK20S,1660
35,1000,0.159,12.5,20,0.12,0.076,0.038,ELXZ350E□□102MK20S,1660
35,1000,0.159,12.5,25,0.12,0.06,0.03,ELXZ350E□□102MK25S,1950
35,1200,0.133,12.5,30,0.12,0.05,0.025,ELXZ350E□□122MK30S,2310
35,1200,0.133,16,20,0.12,0.058,0.029,ELXZ350E□□122ML20S,2210
35,1500,0.106,12.5,35,0.12,0.044,0.022,ELXZ350E□□152MK35S,2510
35,1800,0.088,12.5,40,0.12,0.034,0.017,ELXZ350E□□182MK40S,2870
35,1800,0.088,16,25,0.12,0.044,0.022,ELXZ350E□□182ML25S,2560
35,1800,0.088,18,20,0.12,0.056,0.028,ELXZ350E□□182MM20S,2490
35,2200,0.072,16,25,0.12,0.044,0.022,ELXZ350E□□222ML25S,2560
35,2200,0.072,16,30,0.12,0.038,0.019,ELXZ350E□□222ML30S,3010
35,2200,0.072,18,20,0.12,0.056,0.028,ELXZ350E□□222MM20S,2490
35,2200,0.072,18,25,0.12,0.04,0.02,ELXZ350E□□222MM25S,2740
35,2700,0.059,16,35,0.12,0.034,0.017,ELXZ350E□□272ML35S,3150
35,2700,0.059,18,30,0.12,0.036,0.018,ELXZ350E□□272MM30S,3330
35,3300,0.048,16,40,0.12,0.03,0.015,ELXZ350E□□332ML40S,3710
35,3300,0.048,18,35,0.12,0.032,0.016,ELXZ350E□□332MM35S,3680
35,3900,0.041,18,40,0.12,0.03,0.015,ELXZ350E□□392MM40S,3800
35,4700,0.034,18,40,0.12,0.03,0.015,ELXZ350E□□472MM40S,3800
50,22,6.029,5,11.5,0.1,1.8,0.9,ELXZ500E□□220MEB5D,155
50,47,2.822,6.3,11.5,0.1,0.9,0.45,ELXZ500E□□470MFB5D,260
50,68,1.95,6.3,15,0.1,0.62,0.31,ELXZ500E□□680MF15D,360
50,100,1.326,8,12,0.1,0.44,0.22,ELXZ500E□□101MH12D,485
50,120,1.105,8,15,0.1,0.32,0.16,ELXZ500E□□121MH15D,635
50,120,1.105,10,12.5,0.1,0.32,0.16,ELXZ500E□□121MJC5S,620
50,180,0.737,8,20,0.1,0.24,0.12,ELXZ500E□□181MH20D,730
50,180,0.737,10,16,0.1,0.26,0.13,ELXZ500E□□181MJ16S,850
50,220,0.603,10,20,0.1,0.18,0.088,ELXZ500E□□221MJ20S,1050
50,330,0.402,10,25,0.1,0.15,0.073,ELXZ500E□□331MJ25S,1250
50,390,0.34,10,30,0.1,0.11,0.054,ELXZ500E□□391MJ30S,1500
50,390,0.34,12.5,20,0.1,0.12,0.059,ELXZ500E□□391MK20S,1480
50,470,0.282,12.5,20,0.1,0.12,0.059,ELXZ500E□□471MK20S,1480
50,560,0.237,12.5,25,0.1,0.088,0.044,ELXZ500E□□561MK25S,1840
50,680,0.195,12.5,30,0.1,0.078,0.039,ELXZ500E□□681MK30S,2220
50,680,0.195,16,20,0.1,0.096,0.048,ELXZ500E□□681ML20S,1840
50,820,0.162,12.5,35,0.1,0.066,0.033,ELXZ500E□□821MK35S,2290
50,820,0.162,18,20,0.1,0.084,0.042,ELXZ500E□□821MM20S,1980
50,1000,0.133,12.5,40,0.1,0.058,0.029,ELXZ500E□□102MK40S,2500
50,1000,0.133,16,25,0.1,0.068,0.034,ELXZ500E□□102ML25S,2240
50,1200,0.111,16,30,0.1,0.056,0.028,ELXZ500E□□122ML30S,2700
50,1200,0.111,18,25,0.1,0.058,0.029,ELXZ500E□□122MM25S,2610
50,1500,0.088,16,35,0.1,0.05,0.025,ELXZ500E□□152ML35S,2800
50,1800,0.074,16,40,0.1,0.042,0.021,ELXZ500E□□182ML40S,3200
50,1800,0.074,18,30,0.1,0.05,0.025,ELXZ500E□□182MM30S,3000
50,2200,0.06,18,35,0.1,0.046,0.023,ELXZ500E□□222MM35S,3100
50,2700,0.049,18,40,0.1,0.04,0.02,ELXZ500E□□272MM40S,3400
63,12,8.842,5,11.5,0.08,4.0,1.9,ELXZ630E□□120MEB5D,145
63,22,4.823,6.3,11.5,0.08,2.0,1.0,ELXZ630E□□220MFB5D,240
63,39,2.721,6.3,15,0.08,1.4,0.61,ELXZ630E□□390MF15D,330
63,68,1.56,8,12,0.08,0.75,0.34,ELXZ630E□□680MH12D,405
63,100,1.061,8,15,0.08,0.65,0.27,ELXZ630E□□101MH15D,535
63,100,1.061,10,12.5,0.08,0.51,0.255,ELXZ630E□□101MJC5S,540
63,120,0.884,10,16,0.08,0.38,0.19,ELXZ630E□□121MJ16S,600
63,150,0.707,8,20,0.08,0.52,0.21,ELXZ630E□□151MH20D,690
63,180,0.589,10,20,0.08,0.29,0.145,ELXZ630E□□181MJ20S,890
63,220,0.482,10,25,0.08,0.26,0.13,ELXZ630E□□221MJ25S,1050
63,330,0.322,10,30,0.08,0.18,0.09,ELXZ630E□□331MJ30S,1300
63,330,0.322,12.5,20,0.08,0.17,0.085,ELXZ630E□□331MK20S,1290
63,390,0.272,12.5,25,0.08,0.14,0.07,ELXZ630E□□391MK25S,1720
63,470,0.226,12.5,30,0.08,0.11,0.055,ELXZ630E□□471MK30S,2090
63,470,0.226,16,20,0.08,0.12,0.059,ELXZ630E□□471ML20S,1770
63,680,0.156,12.5,35,0.08,0.094,0.047,ELXZ630E□□681MK35S,2270
63,680,0.156,16,25,0.08,0.1,0.05,ELXZ630E□□681ML25S,2160
63,680,0.156,18,20,0.08,0.11,0.055,ELXZ630E□□681MM20S,2290
63,820,0.129,12.5,40,0.08,0.084,0.042,ELXZ630E□□821MK40S,2560
63,820,0.129,16,30,0.08,0.086,0.043,ELXZ630E□□821ML30S,2670
63,820,0.129,18,25,0.08,0.086,0.043,ELXZ630E□□821MM25S,2590
63,1000,0.106,16,30,0.08,0.086,0.043,ELXZ630E□□102ML30S,2670
63,1000,0.106,16,35,0.08,0.072,0.036,ELXZ630E□□102ML35S,2770
63,1200,0.088,16,40,0.08,0.06,0.03,ELXZ630E□□122ML40S,2850
63,1200,0.088,18,30,0.08,0.064,0.032,ELXZ630E□□122MM30S,2950
63,1500,0.071,18,35,0.08,0.06,0.03,ELXZ630E□□152MM35S,3100
63,1800,0.059,18,40,0.08,0.05,0.025,ELXZ630E□□182MM40S,3210
63,2200,0.048,18,40,0.08,0.05,0.025,ELXZ630E□□222MM40S,3210
63,3300,0.032,18,40,0.08,0.042,0.021,ELXZ630E□□332MM40S,3900
