Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
35,2200,0.055,0.021,18,20,0.12,0.096,1.33,1.27,1.0,1.2,0.084,EKYB350E□□222MM20S,3000,77000.0
35,2700,0.044,0.017,12.5,40,0.12,0.079,1.33,1.27,1.0,1.2,0.068,EKYB350E□□272MK40S,3640,94500.0
35,2700,0.044,0.02,16,25,0.12,0.079,1.33,1.27,1.0,1.2,0.08,EKYB350E□□272ML25S,3140,94500.0
35,3300,0.041,0.016,16,31.5,0.12,0.072,1.33,1.27,1.0,1.2,0.064,EKYB350E□□332MLN3S,3610,115500.0
35,3300,0.041,0.017,18,25,0.12,0.072,1.33,1.27,1.0,1.2,0.068,EKYB350E□□332MM25S,3530,115500.0
35,3900,0.035,0.014,16,35.5,0.12,0.061,1.33,1.27,1.0,1.2,0.056,EKYB350E□□392MLP1S,4080,136500.0
35,4700,0.041,0.013,16,40,0.12,0.056,1.18,1.15,1.0,1.12,0.052,EKYB350E□□472ML40S,4220,164500.0
35,4700,0.041,0.014,18,31.5,0.12,0.056,1.18,1.15,1.0,1.12,0.056,EKYB350E□□472MMN3S,4220,164500.0
35,5600,0.052,0.012,18,35.5,0.12,0.052,,,,,0.048,EKYB350E□□562MMP1S,4280,196000.0
50,27,0.786,0.48,5,11,0.1,4.912,2.5,2.25,1.0,1.88,2.0,EKYB500E□□270ME11D,238,1350.0
50,56,0.379,0.2,6.3,11,0.1,2.368,2.5,2.25,1.0,1.88,0.8,EKYB500E□□560MF11D,385,2800.0
50,100,0.212,0.12,8,11.5,0.1,1.326,2.5,2.25,1.0,1.88,0.48,EKYB500E□□101MHB5D,620,5000.0
50,150,0.141,0.093,8,15,0.1,0.884,2.5,2.25,1.0,1.88,0.38,EKYB500E□□151MH15D,810,7500.0
50,150,0.141,0.1,10,12.5,0.1,0.884,2.5,2.25,1.0,1.88,0.4,EKYB500E□□151MJC5S,810,7500.0
50,180,0.118,0.075,8,20,0.1,0.737,2.5,2.25,1.0,1.88,0.3,EKYB500E□□181MH20D,980,9000.0
50,220,0.151,0.069,10,16,0.1,0.603,2.0,1.88,1.0,1.7,0.28,EKYB500E□□221MJ16S,1100,11000.0
50,270,0.123,0.055,10,20,0.1,0.491,2.0,1.88,1.0,1.7,0.22,EKYB500E□□271MJ20S,1300,13500.0
50,390,0.085,0.043,10,25,0.1,0.34,2.0,1.88,1.0,1.7,0.18,EKYB500E□□391MJ25S,1600,19500.0
50,470,0.071,0.038,10,30,0.1,0.282,2.0,1.88,1.0,1.7,0.16,EKYB500E□□471MJ30S,1820,23500.0
50,470,0.071,0.034,12.5,20,0.1,0.282,2.0,1.88,1.0,1.7,0.14,EKYB500E□□471MK20S,1820,23500.0
50,680,0.07,0.03,12.5,25,0.1,0.195,1.67,1.58,1.0,1.45,0.12,EKYB500E□□681MK25S,2100,34000.0
50,820,0.058,0.025,12.5,30,0.1,0.162,1.67,1.58,1.0,1.45,0.1,EKYB500E□□821MK30S,2450,41000.0
50,820,0.058,0.028,16,20,0.1,0.162,1.67,1.58,1.0,1.45,0.12,EKYB500E□□821ML20S,2350,41000.0
50,1000,0.057,0.021,12.5,35,0.1,0.159,1.67,1.58,1.0,1.45,0.084,EKYB500E□□102MK35S,2800,50000.0
50,1000,0.057,0.025,18,20,0.1,0.159,1.67,1.58,1.0,1.45,0.1,EKYB500E□□102MM20S,2600,50000.0
50,1200,0.048,0.019,12.5,40,0.1,0.133,1.67,1.58,1.0,1.45,0.076,EKYB500E□□122MK40S,3100,60000.0
50,1200,0.048,0.024,16,25,0.1,0.133,1.67,1.58,1.0,1.45,0.096,EKYB500E□□122ML25S,2750,60000.0
50,1500,0.038,0.019,16,31.5,0.1,0.106,1.67,1.58,1.0,1.45,0.076,EKYB500E□□152MLN3S,3150,75000.0
50,1500,0.038,0.021,18,25,0.1,0.106,1.67,1.58,1.0,1.45,0.084,EKYB500E□□152MM25S,2890,75000.0
50,1800,0.032,0.016,16,35.5,0.1,0.088,1.67,1.58,1.0,1.45,0.064,EKYB500E□□182MLP1S,3550,90000.0
50,2200,0.048,0.014,16,40,0.1,0.084,1.33,1.27,1.0,1.2,0.056,EKYB500E□□222ML40S,3900,110000.0
50,2200,0.048,0.014,18,31.5,0.1,0.084,1.33,1.27,1.0,1.2,0.056,EKYB500E□□222MMN3S,3800,110000.0
