Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Length,CV (µF x V),Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Part Number,Ripple Current 85°C@120Hz,VC
35,22,4.994,5,>1000,0.14,8.44,1.3,1.3,1,1.2,0.8,0.8,RE3-35V220M,87.0,770.0
35,33,1.947,5,≤1000,0.14,5.627,1.7,1.7,1,1.5,0.8,0.8,RE3-35V330M,107.0,1155.0
35,33,3.329,5,>1000,0.14,5.627,1.3,1.3,1,1.2,0.8,0.8,RE3-35V330M,107.0,1155.0
35,47,1.367,5,≤1000,0.14,3.951,1.7,1.7,1,1.5,0.8,0.8,RE3-35V470M,130.0,1645.0
35,47,2.338,5,>1000,0.14,3.951,1.3,1.3,1,1.2,0.8,0.8,RE3-35V470M,130.0,1645.0
35,100,0.642,6.3,≤1000,0.14,1.857,1.7,1.7,1,1.5,0.8,0.8,RE3-35V101M,214.0,3500.0
35,100,1.099,6.3,>1000,0.14,1.857,1.3,1.3,1,1.2,0.8,0.8,RE3-35V101M,214.0,3500.0
35,220,0.292,10,≤1000,0.14,0.844,1.7,1.7,1,1.5,0.8,0.8,RE3-35V221M,443.0,7700.0
35,220,0.499,10,>1000,0.14,0.844,1.3,1.3,1,1.2,0.8,0.8,RE3-35V221M,443.0,7700.0
35,330,0.195,10,≤1000,0.14,0.563,1.7,1.7,1,1.5,0.8,0.8,RE3-35V331M,542.0,11550.0
35,330,0.333,10,>1000,0.14,0.563,1.3,1.3,1,1.2,0.8,0.8,RE3-35V331M,542.0,11550.0
35,470,0.137,10,≤1000,0.14,0.395,1.7,1.7,1,1.5,0.8,0.8,RE3-35V471M,664.0,16450.0
35,470,0.234,10,>1000,0.14,0.395,1.3,1.3,1,1.2,0.8,0.8,RE3-35V471M,664.0,16450.0
35,1000,0.073,12.5,≤1000,0.14,0.212,1.7,1.7,1,1.5,0.8,0.8,RE3-35V102M,1210.0,35000.0
35,1000,0.126,12.5,>1000,0.14,0.212,1.3,1.3,1,1.2,0.8,0.8,RE3-35V102M,1210.0,35000.0
35,2200,0.042,16,≤1000,0.16,0.121,1.7,1.7,1,1.5,0.8,0.8,RE3-35V222M,1950.0,77000.0
35,2200,0.071,16,>1000,0.16,0.121,1.3,1.3,1,1.2,0.8,0.8,RE3-35V222M,1950.0,77000.0
35,3300,0.033,16,≤1000,0.18,0.096,1.7,1.7,1,1.5,0.8,0.8,RE3-35V332M,2510.0,115500.0
35,3300,0.057,16,>1000,0.18,0.096,1.3,1.3,1,1.2,0.8,0.8,RE3-35V332M,2510.0,115500.0
35,4700,0.027,18,≤1000,0.2,0.079,1.7,1.7,1,1.5,0.8,0.8,RE3-35V472M,2990.0,164500.0
35,4700,0.047,18,>1000,0.2,0.079,1.3,1.3,1,1.2,0.8,0.8,RE3-35V472M,2990.0,164500.0
50,0.1,440.873,5,≤1000,0.12,1591.551,1.9,1.9,1,1.6,0.8,0.8,RE3-50VR10M,3.0,5.0
50,0.1,941.746,5,>1000,0.12,1591.551,1.3,1.3,1,1.2,0.8,0.8,RE3-50VR10M,3.0,5.0
50,0.22,200.397,5,≤1000,0.12,723.432,1.9,1.9,1,1.6,0.8,0.8,RE3-50VR22M,6.0,11.0
50,0.22,428.066,5,>1000,0.12,723.432,1.3,1.3,1,1.2,0.8,0.8,RE3-50VR22M,6.0,11.0
50,0.33,133.598,5,≤1000,0.12,482.288,1.9,1.9,1,1.6,0.8,0.8,RE3-50VR33M,9.0,16.5
50,0.33,285.378,5,>1000,0.12,482.288,1.3,1.3,1,1.2,0.8,0.8,RE3-50VR33M,9.0,16.5
50,0.47,93.803,5,≤1000,0.12,338.628,1.9,1.9,1,1.6,0.8,0.8,RE3-50VR47M,13.0,23.5
50,0.47,200.371,5,>1000,0.12,338.628,1.3,1.3,1,1.2,0.8,0.8,RE3-50VR47M,13.0,23.5
50,1,44.087,5,≤1000,0.12,159.155,1.9,1.9,1,1.6,0.8,0.8,RE3-50V010M,21.0,50.0
50,1,94.175,5,>1000,0.12,159.155,1.3,1.3,1,1.2,0.8,0.8,RE3-50V010M,21.0,50.0
50,2.2,20.04,5,≤1000,0.12,72.343,1.9,1.9,1,1.6,0.8,0.8,RE3-50V2R2M,31.0,110.00000000000001
50,2.2,42.807,5,>1000,0.12,72.343,1.3,1.3,1,1.2,0.8,0.8,RE3-50V2R2M,31.0,110.00000000000001
50,3.3,13.36,5,≤1000,0.12,48.229,1.9,1.9,1,1.6,0.8,0.8,RE3-50V3R3M,38.0,165.0
50,3.3,28.538,5,>1000,0.12,48.229,1.3,1.3,1,1.2,0.8,0.8,RE3-50V3R3M,38.0,165.0
50,4.7,9.38,5,≤1000,0.12,33.863,1.9,1.9,1,1.6,0.8,0.8,RE3-50V4R7M,45.0,235.0
50,4.7,20.037,5,>1000,0.12,33.863,1.3,1.3,1,1.2,0.8,0.8,RE3-50V4R7M,45.0,235.0
50,10,4.409,5,≤1000,0.12,15.916,1.9,1.9,1,1.6,0.8,0.8,RE3-50V100M,66.0,500.0
50,10,9.417,5,>1000,0.12,15.916,1.3,1.3,1,1.2,0.8,0.8,RE3-50V100M,66.0,500.0
50,22,2.004,5,≤1000,0.12,7.234,1.9,1.9,1,1.6,0.8,0.8,RE3-50V220M,98.0,1100.0
50,22,4.281,5,>1000,0.12,7.234,1.3,1.3,1,1.2,0.8,0.8,RE3-50V220M,98.0,1100.0
50,33,1.336,5,≤1000,0.12,4.823,1.9,1.9,1,1.6,0.8,0.8,RE3-50V330M,126.0,1650.0
50,33,2.854,5,>1000,0.12,4.823,1.3,1.3,1,1.2,0.8,0.8,RE3-50V330M,126.0,1650.0
50,47,0.938,6.3,≤1000,0.12,3.386,1.9,1.9,1,1.6,0.8,0.8,RE3-50V470M,155.0,2350.0
50,47,2.004,6.3,>1000,0.12,3.386,1.3,1.3,1,1.2,0.8,0.8,RE3-50V470M,155.0,2350.0
50,100,0.441,8,≤1000,0.12,1.592,1.9,1.9,1,1.6,0.8,0.8,RE3-50V101M,260.0,5000.0
50,100,0.942,8,>1000,0.12,1.592,1.3,1.3,1,1.2,0.8,0.8,RE3-50V101M,260.0,5000.0
50,220,0.2,10,≤1000,0.12,0.723,1.9,1.9,1,1.6,0.8,0.8,RE3-50V221M,443.0,11000.0
50,220,0.428,10,>1000,0.12,0.723,1.3,1.3,1,1.2,0.8,0.8,RE3-50V221M,443.0,11000.0
50,330,0.134,10,≤1000,0.12,0.482,1.9,1.9,1,1.6,0.8,0.8,RE3-50V331M,595.0,16500.0
50,330,0.285,10,>1000,0.12,0.482,1.3,1.3,1,1.2,0.8,0.8,RE3-50V331M,595.0,16500.0
50,470,0.094,12.5,≤1000,0.12,0.339,1.9,1.9,1,1.6,0.8,0.8,RE3-50V471M,887.0,23500.0
50,470,0.2,12.5,>1000,0.12,0.339,1.3,1.3,1,1.2,0.8,0.8,RE3-50V471M,887.0,23500.0
50,1000,0.051,12.5,≤1000,0.12,0.186,1.9,1.9,1,1.6,0.8,0.8,RE3-50V102M,1400.0,50000.0
50,1000,0.11,12.5,>1000,0.12,0.186,1.3,1.3,1,1.2,0.8,0.8,RE3-50V102M,1400.0,50000.0
50,2200,0.03,16,≤1000,0.14,0.109,1.9,1.9,1,1.6,0.8,0.8,RE3-50V222M,2340.0,110000.0
50,2200,0.064,16,>1000,0.14,0.109,1.3,1.3,1,1.2,0.8,0.8,RE3-50V222M,2340.0,110000.0
50,3300,0.024,18,≤1000,0.16,0.088,1.9,1.9,1,1.6,0.8,0.8,RE3-50V332M,2810.0,165000.0
50,3300,0.052,18,>1000,0.16,0.088,1.3,1.3,1,1.2,0.8,0.8,RE3-50V332M,2810.0,165000.0
63,4.7,7.817,5,≤1000,0.1,28.219,1.9,1.9,1,1.6,0.8,0.8,RE3-63V4R7M,45.0,296.1
63,4.7,16.698,5,>1000,0.1,28.219,1.3,1.3,1,1.2,0.8,0.8,RE3-63V4R7M,45.0,296.1
63,10,3.674,5,≤1000,0.1,13.263,1.9,1.9,1,1.6,0.8,0.8,RE3-63V100M,66.0,630.0
63,10,7.848,5,>1000,0.1,13.263,1.3,1.3,1,1.2,0.8,0.8,RE3-63V100M,66.0,630.0
63,22,1.67,5,≤1000,0.1,6.029,1.9,1.9,1,1.6,0.8,0.8,RE3-63V220M,100.0,1386.0
63,22,3.567,5,>1000,0.1,6.029,1.3,1.3,1,1.2,0.8,0.8,RE3-63V220M,100.0,1386.0
63,33,1.113,6.3,≤1000,0.1,4.019,1.9,1.9,1,1.6,0.8,0.8,RE3-63V330M,140.0,2079.0
63,33,2.378,6.3,>1000,0.1,4.019,1.3,1.3,1,1.2,0.8,0.8,RE3-63V330M,140.0,2079.0
63,47,0.782,6.3,≤1000,0.1,2.822,1.9,1.9,1,1.6,0.8,0.8,RE3-63V470M,170.0,2961.0
63,47,1.67,6.3,>1000,0.1,2.822,1.3,1.3,1,1.2,0.8,0.8,RE3-63V470M,170.0,2961.0
63,100,0.367,10,≤1000,0.1,1.326,1.9,1.9,1,1.6,0.8,0.8,RE3-63V101M,300.0,6300.0
63,100,0.785,10,>1000,0.1,1.326,1.3,1.3,1,1.2,0.8,0.8,RE3-63V101M,300.0,6300.0
63,220,0.167,10,≤1000,0.1,0.603,1.9,1.9,1,1.6,0.8,0.8,RE3-63V221M,470.0,13860.0
63,220,0.357,10,>1000,0.1,0.603,1.3,1.3,1,1.2,0.8,0.8,RE3-63V221M,470.0,13860.0
