Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
10,3900,0.043,0.042,0.016,12.5,20,0.19,0.085,0.041,2690,2633.57,1881.12,2276.15,39000
10,5600,0.035,0.034,0.013,12.5,25,0.19,0.069,0.033,3140,3074.13,2195.8,2656.92,56000
10,6800,0.031,0.03,0.012,12.5,30,0.19,0.06,0.03,3680,3602.8,2573.43,3113.85,68000
10,6800,0.031,0.03,0.014,16,20,0.19,0.06,0.035,3500,3426.57,2447.55,2961.54,68000
10,8200,0.029,0.028,0.01,12.5,35,0.19,0.057,0.025,3800,3720.28,2657.34,3215.38,82000
10,8200,0.029,0.028,0.011,16,25,0.19,0.057,0.028,3880,3798.6,2713.29,3283.08,82000
16,150,0.418,0.354,0.21,5,11,0.16,1.415,0.77,400,368,200,292,2400
16,330,0.22,0.194,0.092,6.3,11,0.16,0.643,0.34,620,582.53,340.66,476.92,5280
16,560,0.13,0.114,0.049,8,11.5,0.16,0.379,0.15,1060,995.93,582.42,815.38,8960
16,820,0.101,0.093,0.038,8,16,0.16,0.259,0.12,1390,1331.74,832.34,1107.01,13120
16,820,0.101,0.093,0.035,10,12.5,0.16,0.259,0.11,1470,1408.38,880.24,1170.72,13120
16,1200,0.078,0.071,0.027,8,20,0.16,0.199,0.081,1660,1590.42,994.01,1322.04,19200
16,1200,0.078,0.071,0.025,10,16,0.16,0.199,0.075,1930,1849.1,1155.69,1537.07,19200
16,1800,0.052,0.048,0.018,10,20,0.16,0.133,0.054,2130,2040.72,1275.45,1696.35,28800
16,2200,0.062,0.059,0.015,10,25,0.16,0.121,0.045,2500,2447.55,1748.25,2115.38,35200
16,2700,0.05,0.048,0.016,12.5,20,0.16,0.098,0.041,2690,2633.57,1881.12,2276.15,43200
16,3900,0.038,0.037,0.013,12.5,25,0.16,0.075,0.033,3140,3074.13,2195.8,2656.92,62400
16,3900,0.038,0.037,0.012,12.5,30,0.16,0.075,0.03,3680,3602.8,2573.43,3113.85,62400
16,4700,0.035,0.033,0.014,16,20,0.16,0.068,0.035,3500,3426.57,2447.55,2961.54,75200
16,5600,0.031,0.03,0.01,12.5,35,0.16,0.062,0.025,3800,3720.28,2657.34,3215.38,89600
16,5600,0.031,0.03,0.011,16,25,0.16,0.062,0.028,3880,3798.6,2713.29,3283.08,89600
25,82,0.669,0.566,0.21,5,11,0.14,2.264,0.77,400,368,200,292,2050
25,180,0.305,0.258,0.092,6.3,11,0.14,1.032,0.34,620,570.4,310,452.6,4500
25,330,0.192,0.17,0.049,8,11.5,0.14,0.563,0.15,1060,995.93,582.42,815.38,8250
25,470,0.135,0.119,0.038,8,16,0.14,0.395,0.12,1390,1305.99,763.74,1069.23,11750
25,560,0.113,0.1,0.035,10,12.5,0.14,0.332,0.11,1470,1381.15,807.69,1130.77,14000
25,680,0.093,0.082,0.027,8,20,0.14,0.273,0.081,1660,1559.67,912.09,1276.92,17000
25,820,0.088,0.081,0.025,10,16,0.14,0.226,0.075,1930,1849.1,1155.69,1537.07,20500
25,1200,0.069,0.063,0.018,10,20,0.14,0.177,0.054,2130,2040.72,1275.45,1696.35,30000
25,1500,0.055,0.051,0.015,10,25,0.14,0.141,0.045,2500,2395.21,1497.01,1991.02,37500
25,1800,0.046,0.042,0.016,12.5,20,0.14,0.118,0.041,2690,2577.25,1610.78,2142.34,45000
25,2200,0.055,0.053,0.013,12.5,25,0.14,0.109,0.033,3140,3074.13,2195.8,2656.92,55000
25,2700,0.045,0.043,0.012,12.5,30,0.14,0.088,0.03,3680,3602.8,2573.43,3113.85,67500
25,2700,0.045,0.043,0.014,16,20,0.14,0.088,0.035,3500,3426.57,2447.55,2961.54,67500
25,3300,0.041,0.039,0.01,12.5,35,0.14,0.08,0.025,3800,3720.28,2657.34,3215.38,82500
25,3900,0.035,0.033,0.011,16,25,0.14,0.068,0.028,3880,3798.6,2713.29,3283.08,97500
35,56,0.839,0.711,0.21,5,11,0.12,2.842,0.77,400,368,200,292,1960
35,120,0.392,0.332,0.092,6.3,11,0.12,1.326,0.34,620,570.4,310,452.6,4200
35,220,0.214,0.181,0.049,8,11.5,0.12,0.723,0.15,1060,975.2,530,773.8,7700
35,270,0.174,0.147,0.038,8,16,0.12,0.589,0.12,1390,1278.8,695,1014.7,9450
35,330,0.165,0.146,0.035,10,12.5,0.12,0.482,0.11,1470,1381.15,807.69,1130.77,11550
35,390,0.14,0.123,0.027,8,20,0.12,0.408,0.081,1660,1559.67,912.09,1276.92,13650
35,470,0.116,0.102,0.025,10,16,0.12,0.339,0.075,1930,1813.35,1060.44,1484.62,16450
35,680,0.08,0.071,0.018,10,20,0.12,0.234,0.054,2130,2001.26,1170.33,1638.46,23800
35,820,0.076,0.07,0.015,10,25,0.12,0.194,0.045,2500,2395.21,1497.01,1991.02,28700
35,1000,0.073,0.067,0.016,12.5,20,0.12,0.186,0.041,2690,2577.25,1610.78,2142.34,35000
35,1500,0.048,0.044,0.013,12.5,25,0.12,0.124,0.033,3140,3008.38,1880.24,2500.72,52500
35,1500,0.048,0.044,0.012,12.5,30,0.12,0.124,0.03,3680,3525.75,2203.59,2930.78,52500
35,1800,0.04,0.037,0.014,16,20,0.12,0.103,0.035,3500,3353.29,2095.81,2787.43,63000
35,2200,0.049,0.047,0.01,12.5,35,0.12,0.096,0.025,3800,3720.28,2657.34,3215.38,77000
35,2200,0.049,0.047,0.011,16,25,0.12,0.096,0.028,3880,3798.6,2713.29,3283.08,77000
