Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Status,Vibration resistant,Weight (g)
16,330,0.643,12.5,20,-40,85,0.16,1000,158,1000,UES1C331MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,3.43
16,470,0.452,12.5,25,-40,85,0.16,1000,226,800,UES1C471MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,4.56
16,1000,0.212,16,25,-40,85,0.16,1000,480,400,UES1C102MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,8.2
25,4.7,45.15,5,11,-40,85,0.16,1000,4,6000,UES1E4R7MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
25,10,21.221,5,11,-40,85,0.16,1000,8,6000,UES1E100MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
25,22,9.646,6.3,11,-40,85,0.16,1000,17,4000,UES1E220MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
25,33,6.431,8,11.5,-40,85,0.16,1000,25,3000,UES1E330MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.19
25,47,4.515,10,12.5,-40,85,0.16,1000,35,2000,UES1E470MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.49
25,100,2.122,10,16,-40,85,0.16,1000,75,1800,UES1E101MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.77
25,220,0.965,12.5,25,-40,85,0.16,1000,165,800,UES1E221MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,4.56
25,330,0.643,12.5,25,-40,85,0.16,1000,248,800,UES1E331MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,4.56
25,470,0.452,16,25,-40,85,0.16,1000,353,400,UES1E471MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,8.2
25,1000,0.212,16,30.5,-40,85,0.16,1000,750,300,UES1E102MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,9.6
35,4.7,39.507,5,11,-40,85,0.14,1000,5,6000,UES1V4R7MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
35,10,18.568,6.3,11,-40,85,0.14,1000,11,4000,UES1V100MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
35,22,8.44,8,11.5,-40,85,0.14,1000,23,3000,UES1V220MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.19
35,33,5.627,10,12.5,-40,85,0.14,1000,35,2000,UES1V330MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.49
35,47,3.951,10,12.5,-40,85,0.14,1000,49,2000,UES1V470MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.49
35,100,1.857,10,20,-40,85,0.14,1000,105,1400,UES1V101MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,2.34
35,220,0.844,12.5,25,-40,85,0.14,1000,231,800,UES1V221MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,4.56
35,330,0.563,16,25,-40,85,0.14,1000,347,400,UES1V331MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,8.2
35,470,0.395,16,25,-40,85,0.14,1000,494,400,UES1V471MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,8.2
50,1,159.155,5,11,-40,85,0.12,1000,3,6000,UES1H010MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
50,2.2,72.343,5,11,-40,85,0.12,1000,3,6000,UES1H2R2MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
50,3.3,48.229,5,11,-40,85,0.12,1000,5,6000,UES1H3R3MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
50,4.7,33.863,6.3,11,-40,85,0.12,1000,7,4000,UES1H4R7MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
50,10,15.916,8,11.5,-40,85,0.12,1000,15,3000,UES1H100MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.19
50,22,7.234,10,12.5,-40,85,0.12,1000,33,2000,UES1H220MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.49
50,33,4.823,10,16,-40,85,0.12,1000,50,1800,UES1H330MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.77
50,47,3.386,10,20,-40,85,0.12,1000,71,1400,UES1H470MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,2.34
50,100,1.592,12.5,25,-40,85,0.12,1000,150,800,UES1H101MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,4.56
50,220,0.723,16,25,-40,85,0.12,1000,330,400,UES1H221MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,8.2
50,330,0.482,16,30.5,-40,85,0.12,1000,495,300,UES1H331MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,9.6
