Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
250,150,1.326,18,30.5,-25,105,0.15,12000,1600,300,UCA2E151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1500,EOL,Normal,13.1
350,6.8,39.009,10,16,-25,105,0.2,10000,195,1800,UCA2V6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,220,EOL,Normal,1.77
350,10,26.526,10,20,-25,105,0.2,10000,240,1400,UCA2V100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,EOL,Normal,2.34
350,22,12.057,12.5,20,-25,105,0.2,12000,408,1000,UCA2V220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,350,EOL,Normal,3.43
350,33,8.038,16,20,-25,105,0.2,12000,562,600,UCA2V330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,6.6
350,47,5.644,16,25,-25,105,0.2,12000,758,400,UCA2V470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,EOL,Normal,8.2
350,47,5.644,18,20,-25,105,0.2,12000,758,400,UCA2V470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,750,EOL,Normal,9.0
350,68,3.901,16,30.5,-25,105,0.2,12000,1052,300,UCA2V680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1100,EOL,Normal,9.6
350,68,3.901,18,25,-25,105,0.2,12000,1052,300,UCA2V680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,875,EOL,Normal,10.6
400,6.8,39.009,10,16,-25,105,0.2,10000,209,1800,UCA2G6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,220,EOL,Normal,1.77
400,10,26.526,10,20,-25,105,0.2,10000,260,1400,UCA2G100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,EOL,Normal,2.34
400,22,12.057,12.5,20,-25,105,0.2,12000,452,1000,UCA2G220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,430,EOL,Normal,3.43
400,22,12.057,16,20,-25,105,0.2,12000,452,600,UCA2G220MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,6.6
400,33,8.038,16,25,-25,105,0.2,12000,628,400,UCA2G330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,640,EOL,Normal,8.2
400,33,8.038,18,20,-25,105,0.2,12000,628,400,UCA2G330MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,640,EOL,Normal,9.0
400,47,5.644,16,30.5,-25,105,0.2,12000,852,300,UCA2G470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,840,EOL,Normal,9.6
400,47,5.644,18,25,-25,105,0.2,12000,852,300,UCA2G470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,840,EOL,Normal,10.6
400,68,3.901,18,30.5,-25,105,0.2,12000,1188,300,UCA2G680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1000,EOL,Normal,13.1
450,6.8,39.009,10,20,-25,105,0.2,10000,222,1400,UCA2W6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,150,EOL,Normal,2.34
450,10,26.526,12.5,20,-25,105,0.2,12000,280,1000,UCA2W100MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,320,EOL,Normal,3.43
450,22,12.057,16,25,-25,105,0.2,12000,496,400,UCA2W220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,560,EOL,Normal,8.2
450,22,12.057,18,20,-25,105,0.2,12000,496,400,UCA2W220MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,560,EOL,Normal,9.0
450,33,8.038,16,30.5,-25,105,0.2,12000,694,300,UCA2W330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,EOL,Normal,9.6
450,33,8.038,18,25,-25,105,0.2,12000,694,300,UCA2W330MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,EOL,Normal,10.6
450,47,5.644,18,30.5,-25,105,0.2,12000,946,300,UCA2W470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,900,EOL,Normal,13.1
