Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
10,4700,0.071,15,12.5,35.5,-40,105,0.25,5000,39,470,500,UHD1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,MP,Normal,7.06
10,5600,0.064,16,16,25,-40,105,0.27,5000,43,560,400,UHD1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,MP,Normal,8.2
16,56,3.789,300,5,11,-40,105,0.16,2000,1000,9,6000,UHD1C560MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,EOL,Normal,0.44
16,120,1.768,130,6.3,11,-40,105,0.16,2000,410,19,4000,UHD1C121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,EOL,Normal,0.59
16,330,0.643,72,8,11.5,-40,105,0.16,3000,220,53,3000,UHD1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,MP,Normal,1.19
16,470,0.452,56,8,15,-40,105,0.16,3000,170,75,2000,UHD1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,MP,Normal,1.36
16,470,0.452,53,10,12.5,-40,105,0.16,4000,160,75,2000,UHD1C471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,MP,Normal,1.49
16,680,0.312,41,8,20,-40,105,0.16,3000,130,109,2000,UHD1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,1.66
16,680,0.312,38,10,16,-40,105,0.16,4000,120,109,1800,UHD1C681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,MP,Normal,1.77
16,1000,0.212,23,10,20,-40,105,0.16,4000,69,160,1400,UHD1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,MP,Normal,2.34
16,1200,0.177,22,10,25,-40,105,0.16,4000,66,192,1200,UHD1C122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,MP,Normal,3.07
16,1500,0.141,21,12.5,20,-40,105,0.16,5000,53,240,1000,UHD1C152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,MP,Normal,3.43
16,2200,0.109,18,12.5,25,-40,105,0.18,5000,45,352,800,UHD1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,MP,Normal,4.56
16,2700,0.088,16,12.5,30.5,-40,105,0.18,5000,41,432,600,UHD1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,MP,Normal,6.01
16,2700,0.088,18,16,20,-40,105,0.18,5000,45,432,600,UHD1C272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,MP,Normal,6.6
16,3300,0.08,15,12.5,35.5,-40,105,0.2,5000,39,528,500,UHD1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,MP,Normal,7.06
16,3900,0.068,16,16,25,-40,105,0.2,5000,43,624,400,UHD1C392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,MP,Normal,8.2
25,47,3.951,300,5,11,-40,105,0.14,2000,1000,12,6000,UHD1E470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,EOL,Normal,0.44
25,100,1.857,130,6.3,11,-40,105,0.14,2000,410,25,4000,UHD1E101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,EOL,Normal,0.59
25,220,0.844,72,8,11.5,-40,105,0.14,3000,220,55,3000,UHD1E221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,MP,Normal,1.19
25,330,0.563,56,8,15,-40,105,0.14,3000,170,83,2000,UHD1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,MP,Normal,1.36
25,330,0.563,53,10,12.5,-40,105,0.14,4000,160,83,2000,UHD1E331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,MP,Normal,1.49
25,470,0.395,41,8,20,-40,105,0.14,3000,130,118,2000,UHD1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,1.66
