Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Status,VC,Vibration resistant,Weight (g)
100,22,3.532,2.791,8,11.5,-40,105,0.15,9.043,10000,22,3000,ULD2A220MPD,Uni-Polar,Radial Lead,Minitualized Long Life,230,204.44,127.78,178.89,MP,2200,Normal,1.19
100,22,3.362,2.73,8,11.5,-40,105,0.15,9.043,10000,22,3000,ULD2A220MPD,Uni-Polar,Radial Lead,Minitualized Long Life,230,207.25,126.37,171.87,MP,2200,Normal,1.19
160,5.6,17.544,14.21,6.3,11,-40,105,0.24,56.841,12000,130,4000,ULD2C5R6MED,Uni-Polar,Radial Lead,Minitualized Long Life,52,46.8,26,41.6,EOL,896,Normal,0.59
160,6.8,16.197,12.967,6.3,11,-40,105,0.24,46.81,12000,144,4000,ULD2C6R8MED,Uni-Polar,Radial Lead,Minitualized Long Life,55,49.21,28.95,43.42,EOL,1088,Normal,0.59
160,15,7.343,5.878,8,11.5,-40,105,0.24,21.221,15000,196,3000,ULD2C150MPD,Uni-Polar,Radial Lead,Minitualized Long Life,92,82.32,48.42,72.63,MP,2400,Normal,1.19
160,22,5.652,4.466,10,12.5,-40,105,0.24,14.469,15000,241,2000,ULD2C220MPD,Uni-Polar,Radial Lead,Minitualized Long Life,121,107.56,67.22,94.11,MP,3520,Normal,1.49
160,33,3.768,2.977,10,16,-40,105,0.24,9.646,20000,311,1800,ULD2C330MPD,Uni-Polar,Radial Lead,Minitualized Long Life,158,140.44,87.78,122.89,MP,5280,Normal,1.77
200,2.2,44.656,36.172,6.3,11,-40,105,0.24,144.686,12000,84,4000,ULD2D2R2MED,Uni-Polar,Radial Lead,Minitualized Long Life,36,32.4,18,28.8,EOL,440.00000000000006,Normal,0.59
200,3.3,29.771,24.114,6.3,11,-40,105,0.24,96.458,12000,106,4000,ULD2D3R3MED,Uni-Polar,Radial Lead,Minitualized Long Life,42,37.8,21,33.6,EOL,660,Normal,0.59
200,4.7,20.903,16.931,6.3,11,-40,105,0.24,67.726,12000,134,4000,ULD2D4R7MED,Uni-Polar,Radial Lead,Minitualized Long Life,49,44.1,24.5,39.2,EOL,940,Normal,0.59
200,5.6,17.544,14.21,6.3,11,-40,105,0.24,56.841,12000,145,4000,ULD2D5R6MED,Uni-Polar,Radial Lead,Minitualized Long Life,50,45,25,40,EOL,1120,Normal,0.59
200,10,11.014,8.817,8,11.5,-40,105,0.24,31.831,15000,180,3000,ULD2D100MPD,Uni-Polar,Radial Lead,Minitualized Long Life,80,71.58,42.11,63.16,MP,2000,Normal,1.19
200,18,6.119,4.899,10,12.5,-40,105,0.24,17.684,15000,244,2000,ULD2D180MPD,Uni-Polar,Radial Lead,Minitualized Long Life,113,101.11,59.47,89.21,MP,3600,Normal,1.49
200,27,4.605,3.639,10,16,-40,105,0.24,11.789,20000,316,1800,ULD2D270MPD,Uni-Polar,Radial Lead,Minitualized Long Life,149,132.44,82.78,115.89,MP,5400,Normal,1.77
250,1.8,,,6.3,11,-40,105,0.24,176.839,12000,85,4000,ULD2E1R8MED,Uni-Polar,Radial Lead,Minitualized Long Life,33,,,,EOL,450,Normal,0.59
250,2.2,44.656,36.172,6.3,11,-40,105,0.24,144.686,12000,95,4000,ULD2E2R2MED,Uni-Polar,Radial Lead,Minitualized Long Life,36,32.4,18,28.8,EOL,550,Normal,0.59
250,3.3,29.771,24.114,6.3,11,-40,105,0.24,96.458,12000,123,4000,ULD2E3R3MED,Uni-Polar,Radial Lead,Minitualized Long Life,42,37.8,21,33.6,EOL,825,Normal,0.59
250,5.6,17.544,14.21,8,11.5,-40,105,0.24,56.841,15000,156,3000,ULD2E5R6MPD,Uni-Polar,Radial Lead,Minitualized Long Life,62,55.8,31,49.6,LTB,1400,Normal,1.19
