Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
160,220,16,30.5,-25,105,0.15,12000,1508,300,UCA2C221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,EOL,Normal,9.6
160,220,18,25,-25,105,0.15,12000,1508,300,UCA2C221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,EOL,Normal,10.6
200,10,10,16,-25,105,0.15,10000,180,1800,UCA2D100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,250,EOL,Normal,1.77
200,22,10,20,-25,105,0.15,10000,276,1400,UCA2D220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,EOL,Normal,2.34
200,33,12.5,20,-25,105,0.15,12000,364,1000,UCA2D330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,3.43
200,47,12.5,20,-25,105,0.15,12000,476,1000,UCA2D470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,780,EOL,Normal,3.43
200,68,12.5,25,-25,105,0.15,12000,644,800,UCA2D680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,950,EOL,Normal,4.56
200,68,16,20,-25,105,0.15,12000,644,600,UCA2D680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,970,EOL,Normal,6.6
200,100,16,25,-25,105,0.15,12000,900,400,UCA2D101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1280,EOL,Normal,8.2
200,100,18,20,-25,105,0.15,12000,900,400,UCA2D101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,EOL,Normal,9.0
200,150,16,30.5,-25,105,0.15,12000,1300,300,UCA2D151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,9.6
200,150,18,25,-25,105,0.15,12000,1300,300,UCA2D151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,10.6
200,220,18,30.5,-25,105,0.15,12000,1860,300,UCA2D221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1700,EOL,Normal,13.1
250,10,10,20,-25,105,0.15,10000,200,1400,UCA2E100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,300,EOL,Normal,2.34
250,22,12.5,20,-25,105,0.15,12000,320,1000,UCA2E220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,3.43
250,33,12.5,20,-25,105,0.15,12000,430,1000,UCA2E330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,630,EOL,Normal,3.43
250,47,12.5,25,-25,105,0.15,12000,570,800,UCA2E470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,720,EOL,Normal,4.56
250,47,16,20,-25,105,0.15,12000,570,600,UCA2E470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,750,EOL,Normal,6.6
250,68,16,25,-25,105,0.15,12000,780,400,UCA2E680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1000,EOL,Normal,8.2
250,68,18,20,-25,105,0.15,12000,780,400,UCA2E680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,920,EOL,Normal,9.0
250,100,16,30.5,-25,105,0.15,12000,1100,300,UCA2E101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,EOL,Normal,9.6
250,100,18,25,-25,105,0.15,12000,1100,300,UCA2E101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1345,EOL,Normal,10.6
250,150,18,30.5,-25,105,0.15,12000,1600,300,UCA2E151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1500,EOL,Normal,13.1
350,6.8,10,16,-25,105,0.2,10000,195,1800,UCA2V6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,220,EOL,Normal,1.77
350,10,10,20,-25,105,0.2,10000,240,1400,UCA2V100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,EOL,Normal,2.34
350,22,12.5,20,-25,105,0.2,12000,408,1000,UCA2V220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,350,EOL,Normal,3.43
350,33,16,20,-25,105,0.2,12000,562,600,UCA2V330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,6.6
350,47,16,25,-25,105,0.2,12000,758,400,UCA2V470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,EOL,Normal,8.2
350,47,18,20,-25,105,0.2,12000,758,400,UCA2V470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,750,EOL,Normal,9.0
350,68,16,30.5,-25,105,0.2,12000,1052,300,UCA2V680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1100,EOL,Normal,9.6
350,68,18,25,-25,105,0.2,12000,1052,300,UCA2V680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,875,EOL,Normal,10.6
400,6.8,10,16,-25,105,0.2,10000,209,1800,UCA2G6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,220,EOL,Normal,1.77
400,10,10,20,-25,105,0.2,10000,260,1400,UCA2G100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,280,EOL,Normal,2.34
400,22,12.5,20,-25,105,0.2,12000,452,1000,UCA2G220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,430,EOL,Normal,3.43
400,22,16,20,-25,105,0.2,12000,452,600,UCA2G220MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,6.6
400,33,16,25,-25,105,0.2,12000,628,400,UCA2G330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,640,EOL,Normal,8.2
400,33,18,20,-25,105,0.2,12000,628,400,UCA2G330MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,640,EOL,Normal,9.0
400,47,16,30.5,-25,105,0.2,12000,852,300,UCA2G470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,840,EOL,Normal,9.6
400,47,18,25,-25,105,0.2,12000,852,300,UCA2G470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,840,EOL,Normal,10.6
400,68,18,30.5,-25,105,0.2,12000,1188,300,UCA2G680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1000,EOL,Normal,13.1
450,6.8,10,20,-25,105,0.2,10000,222,1400,UCA2W6R8MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,150,EOL,Normal,2.34
450,10,12.5,20,-25,105,0.2,12000,280,1000,UCA2W100MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,320,EOL,Normal,3.43
450,22,16,25,-25,105,0.2,12000,496,400,UCA2W220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,560,EOL,Normal,8.2
450,22,18,20,-25,105,0.2,12000,496,400,UCA2W220MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,560,EOL,Normal,9.0
450,33,16,30.5,-25,105,0.2,12000,694,300,UCA2W330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,EOL,Normal,9.6
450,33,18,25,-25,105,0.2,12000,694,300,UCA2W330MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,700,EOL,Normal,10.6
450,47,18,30.5,-25,105,0.2,12000,946,300,UCA2W470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,900,EOL,Normal,13.1
