Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
16,33,8.038,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CM330( ),110,200,2000
16,47,5.644,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CM470( ),130,200,2000
16,100,2.653,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CM101( ),180,200,2000
16,220,1.206,6.3,11.2,0.2,0.5,2.5,5.0,2.5,ECA1CM221( ),280,200,2000
16,470,0.564,8,11.5,0.2,0.6,3.5,5.0,,ECA1CM471( ),440,200,1000
16,1000,0.265,10,16,0.2,0.6,5.0,5.0,,ECA1CM102( ),680,200,500
16,2200,0.133,12.5,20,0.22,0.6,5.0,5.0,,ECA1CM222( ),1000,200,500
16,3300,0.096,12.5,25,0.24,0.6,5.0,5.0,,ECA1CM332( ),1200,200,500
16,4700,0.073,16,25,0.26,0.8,7.5,7.5,,ECA1CM472( ),1360,100,250
16,6800,0.059,16,31.5,0.3,0.8,7.5,,,ECA1CM682,1600,100,
16,10000,0.05,18,35.5,0.38,0.8,7.5,,,ECA1CM103,1800,50,
25,100,2.122,6.3,11.2,0.16,0.5,2.5,5.0,2.5,ECA1EM101( ),180,200,2000
25,330,0.643,8,11.5,0.16,0.6,3.5,5.0,,ECA1EM331( ),390,200,1000
25,470,0.452,10,12.5,0.16,0.6,5.0,5.0,,ECA1EM471( ),480,200,500
25,1000,0.212,10,20,0.16,0.6,5.0,5.0,,ECA1EM102( ),850,200,500
25,2200,0.109,12.5,25,0.18,0.6,5.0,5.0,,ECA1EM222( ),1200,200,500
25,3300,0.08,16,25,0.2,0.8,7.5,7.5,,ECA1EM332( ),1300,100,250
25,4700,0.062,16,31.5,0.22,0.8,7.5,,,ECA1EM472,1500,100,
25,6800,0.051,18,35.5,0.26,0.8,7.5,,,ECA1EM682,1750,50,
35,10,15.916,5,11,0.12,0.5,2.0,5.0,2.5,ECA1VM100( ),60,200,2000
35,47,3.951,5,11,0.14,0.5,2.0,5.0,2.5,ECA1VM470( ),130,200,2000
35,100,1.857,6.3,11.2,0.14,0.5,2.5,5.0,2.5,ECA1VM101( ),210,200,2000
35,220,0.844,8,11.5,0.14,0.6,3.5,5.0,,ECA1VM221( ),350,200,1000
35,330,0.563,10,12.5,0.14,0.6,5.0,5.0,,ECA1VM331( ),440,200,500
35,470,0.395,10,16,0.14,0.6,5.0,5.0,,ECA1VM471( ),550,200,500
35,1000,0.186,12.5,20,0.14,0.6,5.0,5.0,,ECA1VM102( ),900,200,500
35,2200,0.096,16,25,0.16,0.8,7.5,7.5,,ECA1VM222( ),1250,100,250
35,3300,0.072,16,31.5,0.18,0.8,7.5,,,ECA1VM332,1400,100,
35,4700,0.056,18,35.5,0.2,0.8,7.5,,,ECA1VM472,1600,50,
50,2.2,72.343,5,11,0.12,0.5,2.0,5.0,2.5,ECA1HM2R2( ),20,200,2000
50,3.3,48.229,5,11,0.12,0.5,2.0,5.0,2.5,ECA1HM3R3( ),35,200,2000
50,4.7,33.863,5,11,0.12,0.5,2.0,5.0,2.5,ECA1HM4R7( ),45,200,2000
50,10,15.916,5,11,0.12,0.5,2.0,5.0,2.5,ECA1HM100( ),65,200,2000
50,22,7.234,5,11,0.12,0.5,2.0,5.0,2.5,ECA1HM220( ),100,200,2000
50,33,4.823,5,11,0.12,0.5,2.0,5.0,2.5,ECA1HM330( ),110,200,2000
50,47,3.386,6.3,11.2,0.12,0.5,2.5,5.0,2.5,ECA1HM470( ),130,200,2000
50,100,1.592,8,11.5,0.12,0.6,3.5,5.0,,ECA1HM101( ),250,200,1000
50,220,0.723,10,12.5,0.12,0.6,5.0,5.0,,ECA1HM221( ),400,200,500
50,330,0.482,10,16,0.12,0.6,5.0,5.0,,ECA1HM331( ),500,200,500
50,470,0.339,10,20,0.12,0.6,5.0,5.0,,ECA1HM471( ),650,200,500
50,1000,0.159,12.5,25,0.12,0.6,5.0,5.0,,ECA1HM102( ),1050,200,500
50,2200,0.084,16,31.5,0.14,0.8,7.5,,,ECA1HM222,1300,100,
50,3300,0.064,18,35.5,0.16,0.8,7.5,,,ECA1HM332,1500,50,
63,10,14.589,5,11,0.11,0.5,2.0,5.0,2.5,ECA1JM100( ),70,200,2000
63,22,6.631,5,11,0.11,0.5,2.0,5.0,2.5,ECA1JM220( ),105,200,2000
63,33,4.421,6.3,11.2,0.11,0.5,2.5,5.0,2.5,ECA1JM330( ),130,200,2000
63,47,3.104,6.3,11.2,0.11,0.5,2.5,5.0,2.5,ECA1JM470( ),160,200,2000
63,100,1.459,8,11.5,0.11,0.6,3.5,5.0,,ECA1JM101( ),270,200,1000
63,220,0.663,10,16,0.11,0.6,5.0,5.0,,ECA1JM221( ),450,200,500
63,330,0.442,10,20,0.11,0.6,5.0,5.0,,ECA1JM331( ),550,200,500
63,470,0.31,12.5,20,0.11,0.6,5.0,5.0,,ECA1JM471( ),750,200,500
63,1000,0.146,16,25,0.11,0.8,7.5,7.5,,ECA1JM102( ),1100,100,250
63,2200,0.078,18,35.5,0.13,0.8,7.5,,,ECA1JM222,1400,50,
