Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
10,1800,22,10,20,16.225,180,ESH188M010AH4(1),800,13
10,2200,22,10,20,13.287,220,ESH228M010AH4(1),870,13
10,2200,22,13,20,13.287,220,ESH228M010AL3(1),1010,13
10,3300,22,13,20,8.866,330,ESH338M010AL3(1),1100,13
10,3300,22,13,25,8.866,330,ESH338M010AL4(1),1220,13
10,4700,22,13,25,6.231,470,ESH478M010AL4(1),1380,13
10,4700,22,16,25,6.231,470,ESH478M010AM7(1),1410,13
10,6800,22,16,32,4.314,680,ESH688M010AM2(1),1610,13
10,6800,22,16,25,4.314,680,ESH688M010AM7(1),1700,13
10,10000,22,16,36,2.944,1000,ESH109M010AM3(1),1950,13
10,10000,22,18,36,2.944,1000,ESH109M010AN2(1),1980,13
10,15000,22,18,36,1.972,1500,ESH159M010AN2(1),2180,13
16,33,18,5,11,723.432,5.3,ESH336M016AC3(1),70,20
16,47,18,5,11,507.942,7.5,ESH476M016AC3(1),85,20
16,68,18,5,11,351.077,10.9,ESH686M016AC3(1),100,20
16,100,18,5,11,238.733,16,ESH107M016AC3(1),130,20
16,100,18,6,11,238.733,16,ESH107M016AE3(1),135,20
16,150,18,6.3,11,159.155,24,ESH157M016AE3(1),175,20
16,150,18,8,11,159.155,24,ESH157M016AG3(1),180,20
16,220,18,6.3,11,108.515,35.2,ESH227M016AE3(1),220,20
16,220,18,8,11,108.515,35.2,ESH227M016AG3(1),235,20
16,330,18,8,11,72.343,52.8,ESH337M016AG3(1),280,20
16,330,18,10,12,72.343,52.8,ESH337M016AH1(1),285,20
16,470,18,8,11,50.794,75.2,ESH477M016AG3(1),375,20
16,470,18,10,12,50.794,75.2,ESH477M016AH1(1),395,20
16,680,18,8,15,35.108,108.8,ESH687M016AG4(1),450,20
16,680,18,10,16,35.108,108.8,ESH687M016AH2(1),530,20
16,680,18,10,12.5,35.108,108.8,ESH687M016AH9(1),480,20
16,1000,18,10,15,23.9,160,ESH108M016AH2(1),640,20
16,1500,18,10,20,15.933,240,ESH158M016AH4(1),830,20
16,1500,18,13,20,15.933,240,ESH158M016AL3(1),860,20
16,2200,18,13,20,10.876,352,ESH228M016AL3(1),1050,20
16,3300,18,13,25,7.258,528,ESH338M016AL4(1),1250,20
16,3300,18,16,25,7.258,528,ESH338M016AM7(1),1350,20
16,4700,18,16,25,5.102,752,ESH478M016AM7(1),1650,20
16,6800,18,16,32,3.534,1088,ESH688M016AM2(1),1900,20
16,6800,18,18,36,3.534,1088,ESH688M016AN2(1),1790,20
16,10000,18,18,36,2.414,1600,ESH109M016AN2(1),1900,20
25,22,16,5,11,964.576,5.5,ESH226M025AC3(1),60,32
25,33,16,5,11,643.051,8.3,ESH336M025AC3(1),75,32
25,47,16,5,11,451.504,11.8,ESH476M025AC3(1),90,32
25,68,16,6.3,11,312.069,17,ESH686M025AE3(1),125,32
25,100,16,6.3,11,212.207,25,ESH107M025AE3(1),145,32
25,150,16,8,11,141.471,37.5,ESH157M025AG3(1),200,32
25,220,16,8,11,96.458,55,ESH227M025AG3(1),240,32
25,220,16,10,12,96.458,55,ESH227M025AH1(1),250,32
25,330,16,8,11,64.305,82.5,ESH337M025AG3(1),300,32
25,330,16,10,12,64.305,82.5,ESH337M025AH1(1),355,32
25,330,16,10,12.5,64.305,82.5,ESH337M025AH9(1),355,32
25,470,16,8,15,45.15,117.5,ESH477M025AG4(1),420,32
25,470,16,10,16,45.15,117.5,ESH477M025AH2(1),470,32
25,470,16,10,12.5,45.15,117.5,ESH477M025AH9(1),440,32
25,680,16,10,15,31.207,170,ESH687M025AH2(1),560,32
25,680,16,10,20,31.207,170,ESH687M025AH4(1),650,32
25,1000,16,10,20,21.247,250,ESH108M025AH4(1),740,32
25,1000,16,13,20,21.247,250,ESH108M025AL3(1),855,32
25,1500,16,13,20,14.165,375,ESH158M025AL3(1),920,32
25,1500,16,13,25,14.165,375,ESH158M025AL4(1),1020,32
25,2200,16,13,25,9.67,550,ESH228M025AL4(1),1230,32
25,2200,16,16,25,9.67,550,ESH228M025AM7(1),1230,32
25,3300,16,16,32,6.455,825,ESH338M025AM2(1),1450,32
25,3300,16,16,25,6.455,825,ESH338M025AM7(1),1500,32
25,4700,16,16,32,4.538,1175,ESH478M025AM2(1),1800,32
25,4700,16,18,36,4.538,1175,ESH478M025AN2(1),1690,32
25,6800,16,18,36,3.144,1700,ESH688M025AN2(1),2050,32
35,10,14,5,11,1856.809,3.5,ESH106M035AC3(1),44,44
35,15,14,5,11,1237.873,5.3,ESH156M035AC3(1),50,44
35,22,14,5,11,844.004,7.7,ESH226M035AC3(1),65,44
35,33,14,5,11,562.669,11.6,ESH336M035AC3(1),85,44
35,47,14,5,11,395.066,16.5,ESH476M035AC3(1),100,44
35,68,14,6.3,11,273.06,23.8,ESH686M035AE3(1),130,44
35,68,14,8,11,273.06,23.8,ESH686M035AG3(1),130,44
35,100,14,6.3,11,185.681,35,ESH107M035AE3(1),170,44
35,100,14,8,11,185.681,35,ESH107M035AG3(1),190,44
35,150,14,8,11,123.787,52.5,ESH157M035AG3(1),220,44
35,150,14,10,12,123.787,52.5,ESH157M035AH1(1),240,44
35,220,14,10,12.5,84.4,77,ESH227M035AH9(1),315,44
35,220,14,8,11,84.4,77,ESH227M035AG3(1),220,44
35,330,14,10,16,56.267,115.5,ESH337M035AH2(1),440,44
35,330,14,10,12.5,56.267,115.5,ESH337M035AH9(1),400,44
35,470,14,10,15,39.507,164.5,ESH477M035AH2(1),480,44
35,470,14,10,20,39.507,164.5,ESH477M035AH4(1),580,44
35,680,14,10,20,27.306,238,ESH687M035AH4(1),650,44
35,680,14,13,20,27.306,238,ESH687M035AL3(1),730,44
35,1000,14,13,20,18.595,350,ESH108M035AL3(1),900,44
35,1000,14,13,25,18.595,350,ESH108M035AL4(1),995,44
35,1500,14,13,25,12.396,525,ESH158M035AL4(1),1050,44
35,1500,14,16,25,12.396,525,ESH158M035AM7(1),1110,44
35,2200,14,16,32,8.464,770,ESH228M035AM2(1),1450,44
35,2200,14,16,25,8.464,770,ESH228M035AM7(1),1370,44
35,3300,14,16,36,5.651,1155,ESH338M035AM3(1),1680,44
35,3300,14,18,36,5.651,1155,ESH338M035AN2(1),1660,44
35,4700,14,18,36,3.973,1645,ESH478M035AN2(1),1920,44
50,1,12,5,11,15915.508,3,ESH105M050AC3(1),12,63
50,2.2,12,5,11,7234.322,3,ESH225M050AC3(1),18,63
50,3.3,12,5,11,4822.881,3,ESH335M050AC3(1),25,63
50,4.7,12,5,11,3386.278,3,ESH475M050AC3(1),30,63
50,6.8,12,5,11,2340.516,3.4,ESH685M050AC3(1),30,63
50,10,12,5,11,1591.551,5,ESH106M050AC3(1),50,63
50,15,12,5,11,1061.034,7.5,ESH156M050AC3(1),50,63
50,22,12,5,11,723.432,11,ESH226M050AC3(1),75,63
50,33,12,5,11,482.288,16.5,ESH336M050AC3(1),95,63
50,33,12,6,11,482.288,16.5,ESH336M050AE3(1),105,63
50,47,12,6.3,11,338.628,23.5,ESH476M050AE3(1),115,63
50,47,12,8,11,338.628,23.5,ESH476M050AG3(1),125,63
50,68,12,8,11,234.052,34,ESH686M050AG3(1),159,63
50,82,12,8,15,194.092,41,ESH826M050AG4(1),190,63
50,100,12,8,11,159.155,50,ESH107M050AG3(1),200,63
50,150,12,10,12,106.103,75,ESH157M050AH1(1),289,63
50,150,12,10,12.5,106.103,75,ESH157M050AH9(1),289,63
50,220,12,10,15,72.343,110,ESH227M050AH2(1),415,63
50,220,12,10,12.5,72.343,110,ESH227M050AH9(1),360,63
50,330,12,10,20,48.229,165,ESH337M050AH4(1),535,63
50,470,12,10,20,33.863,235,ESH477M050AH4(1),630,63
50,470,12,13,20,33.863,235,ESH477M050AL3(1),730,63
50,680,12,13,20,23.405,340,ESH687M050AL3(1),800,63
50,680,12,13,25,23.405,340,ESH687M050AL4(1),860,63
50,1000,12,13,25,15.942,500,ESH108M050AL4(1),1060,63
50,1000,12,16,25,15.942,500,ESH108M050AM7(1),1110,63
50,1500,12,16,32,10.628,750,ESH158M050AM2(1),1350,63
50,1500,12,16,25,10.628,750,ESH158M050AM7(1),1300,63
50,2200,12,16,36,7.258,1100,ESH228M050AM3(1),1600,63
50,2200,12,18,36,7.258,1100,ESH228M050AN2(1),1530,63
50,3300,12,18,36,4.847,1650,ESH338M050AN2(1),1780,63
63,1,10,5,11,13262.923,3,ESH105M063AC3(1),12,79
63,2.2,10,5,11,6028.601,3,ESH225M063AC3(1),20,79
63,3.3,10,5,11,4019.068,3,ESH335M063AC3(1),27,79
63,4.7,10,5,11,2821.899,3,ESH475M063AC3(1),34,79
63,6.8,10,5,11,1950.43,4.3,ESH685M063AC3(1),37,79
63,10,10,5,11,1326.292,6.3,ESH106M063AC3(1),55,79
63,15,10,5,11,884.195,9.5,ESH156M063AC3(1),65,79
63,22,10,6.3,11,602.86,13.9,ESH226M063AE3(1),90,79
63,33,10,6.3,11,401.907,20.8,ESH336M063AE3(1),100,79
63,33,10,8,11,401.907,20.8,ESH336M063AG3(1),110,79
63,47,10,8,11,282.19,29.6,ESH476M063AG3(1),155,79
63,68,10,10,12,195.043,42.8,ESH686M063AH1(1),198,79
63,68,10,10,12.5,195.043,42.8,ESH686M063AH9(1),198,79
63,100,10,10,12,132.629,63,ESH107M063AH1(1),260,79
63,100,10,10,12.5,132.629,63,ESH107M063AH9(1),260,79
63,150,10,10,15,88.419,94.5,ESH157M063AH2(1),330,79
63,220,10,10,20,60.286,138.6,ESH227M063AH4(1),465,79
63,330,10,13,20,40.191,207.9,ESH337M063AL3(1),650,79
63,470,10,13,20,28.219,296.1,ESH477M063AL3(1),700,79
63,470,10,13,25,28.219,296.1,ESH477M063AL4(1),800,79
63,680,10,16,25,19.504,428.4,ESH687M063AM7(1),1000,79
63,1000,10,16,32,13.289,630,ESH108M063AM2(1),1200,79
63,1500,10,16,36,8.86,945,ESH158M063AM3(1),1450,79
63,2200,10,18,36,6.053,1386,ESH228M063AN2(1),1650,79
100,1,10,5,11,13262.923,3,ESH105M100AC3(1),15,125
100,2.2,10,5,11,6028.601,3,ESH225M100AC3(1),22,125
100,3.3,10,5,11,4019.068,3.3,ESH335M100AC3(1),29,125
100,4.7,10,5,11,2821.899,4.7,ESH475M100AC3(1),37,125
100,6.8,10,5,11,1950.43,6.8,ESH685M100AC3(1),46,125
100,10,10,6.3,11,1326.292,10,ESH106M100AE3(1),65,125
100,15,10,6.3,11,884.195,15,ESH156M100AE3(1),75,125
100,15,10,8,11,884.195,15,ESH156M100AG3(1),82,125
100,22,10,8,11,602.86,22,ESH226M100AG3(1),115,125
100,33,10,8,11,401.907,33,ESH336M100AG3(1),140,125
100,33,10,10,12,401.907,33,ESH336M100AH1(1),160,125
100,47,10,10,16,282.19,47,ESH476M100AH2(1),210,125
100,47,10,10,12.5,282.19,47,ESH476M100AH9(1),185,125
100,68,10,10,15,195.043,68,ESH686M100AH2(1),240,125
100,68,10,10,20,195.043,68,ESH686M100AH4(1),241,125
100,100,10,10,20,132.629,100,ESH107M100AH4(1),305,125
100,150,10,13,20,88.419,150,ESH157M100AL3(1),370,125
100,150,10,13,25,88.419,150,ESH157M100AL4(1),414,125
100,220,10,13,25,60.286,220,ESH227M100AL4(1),520,125
100,220,10,16,26,60.286,220,ESH227M100AM1(1),590,125
100,330,10,16,25,40.191,330,ESH337M100AM7(1),720,125
100,470,10,16,32,28.219,470,ESH477M100AM2(1),875,125
100,680,10,16,36,19.504,680,ESH687M100AM3(1),1200,125
160,1,15,5,11,19894.385,14.8,ESH105M160AC3(1),17,200
160,2.2,15,6.3,11,9042.902,20.6,ESH225M160AE3(1),25,200
160,3.3,15,6.3,11,6028.601,25.8,ESH335M160AE3(1),36,200
160,4.7,15,6.3,11,4232.848,32.6,ESH475M160AE3(1),43,200
160,4.7,15,8,11,4232.848,32.6,ESH475M160AG3(1),43,200
160,6.8,15,8,11,2925.645,42.6,ESH685M160AG3(1),54,200
160,10,15,8,11,1989.438,58,ESH106M160AG3(1),70,200
160,10,15,10,12,1989.438,58,ESH106M160AH1(1),70,200
160,15,15,10,16,1326.292,82,ESH156M160AH2(1),90,200
160,15,15,10,12.5,1326.292,82,ESH156M160AH9(1),90,200
160,22,15,10,15,904.29,115.6,ESH226M160AH2(1),115,200
160,22,15,10,20,904.29,115.6,ESH226M160AH4(1),130,200
160,33,15,10,20,602.86,168.4,ESH336M160AH4(1),160,200
160,33,15,13,20,602.86,168.4,ESH336M160AL3(1),180,200
160,47,15,10,20,423.285,235.6,ESH476M160AH4(1),195,200
160,47,15,13,25,423.285,235.6,ESH476M160AL4(1),250,200
160,68,15,13,20,292.564,336.4,ESH686M160AL3(1),255,200
160,68,15,13,25,292.564,336.4,ESH686M160AL4(1),270,200
160,100,15,13,25,198.944,490,ESH107M160AL4(1),350,200
160,100,15,16,25,198.944,490,ESH107M160AM7(1),390,200
160,150,15,16,32,132.629,730,ESH157M160AM2(1),435,200
160,150,15,16,25,132.629,730,ESH157M160AM7(1),435,200
160,220,15,16,32,90.429,1066,ESH227M160AM2(1),550,200
160,220,15,16,36,90.429,1066,ESH227M160AM3(1),700,200
160,330,15,18,36,60.286,1594,ESH337M160AN2(1),800,200
160,330,15,18,40,60.286,1594,ESH337M160AN3(1),850,200
160,470,15,18,40,42.328,2266,ESH477M160AN3(1),900,200
160,470,15,22,40,42.328,2266,ESH477M160AQ4(1),980,200
200,1,15,6.3,11,19894.385,16,ESH105M200AE3(1),17,250
200,2.2,15,6.3,11,9042.902,23.2,ESH225M200AE3(1),25,250
200,3.3,15,6.3,11,6028.601,29.8,ESH335M200AE3(1),36,250
200,4.7,15,8,11,4232.848,38.2,ESH475M200AG3(1),50,250
200,4.7,15,10,12,4232.848,38.2,ESH475M200AH1(1),50,250
200,6.8,15,8,11,2925.645,50.8,ESH685M200AG3(1),60,250
200,10,15,10,16,1989.438,70,ESH106M200AH2(1),80,250
200,10,15,10,12.5,1989.438,70,ESH106M200AH9(1),80,250
200,15,15,10,15,1326.292,100,ESH156M200AH2(1),110,250
200,15,15,10,20,1326.292,100,ESH156M200AH4(1),110,250
200,22,15,10,20,904.29,142,ESH226M200AH4(1),140,250
200,33,15,13,20,602.86,208,ESH336M200AL3(1),200,250
200,47,15,13,20,423.285,292,ESH476M200AL3(1),220,250
200,68,15,13,25,292.564,418,ESH686M200AL4(1),280,250
200,68,15,16,25,292.564,418,ESH686M200AM7(1),280,250
200,100,15,16,32,198.944,610,ESH107M200AM2(1),400,250
200,100,15,16,25,198.944,610,ESH107M200AM7(1),350,250
200,150,15,16,32,132.629,910,ESH157M200AM2(1),480,250
200,150,15,16,36,132.629,910,ESH157M200AM3(1),450,250
200,220,15,16,36,90.429,1330,ESH227M200AM3(1),675,250
200,220,15,18,32,90.429,1330,ESH227M200AN1(1),685,250
200,330,15,18,36,60.286,1990,ESH337M200AN2(1),750,250
200,330,15,22,40,60.286,1990,ESH337M200AQ4(1),920,250
250,1,15,6.3,11,19894.385,17.5,ESH105M250AE3(1),17,300
250,2.2,15,6.3,11,9042.902,26.5,ESH225M250AE3(1),29,300
250,2.2,15,8,11,9042.902,26.5,ESH225M250AG3(1),29,300
250,3.3,15,8,11,6028.601,34.8,ESH335M250AG3(1),42,300
250,4.7,15,8,11,4232.848,45.3,ESH475M250AG3(1),52,300
250,4.7,15,10,12,4232.848,45.3,ESH475M250AH1(1),52,300
250,6.8,15,8,11,2925.645,61,ESH685M250AG3(1),62,300
250,10,15,10,20,1989.438,85,ESH106M250AH4(1),88,300
250,10,15,10,12.5,1989.438,85,ESH106M250AH9(1),80,300
250,15,15,10,15,1326.292,122.5,ESH156M250AH2(1),110,300
250,15,15,13,20,1326.292,122.5,ESH156M250AL3(1),120,300
250,22,15,10,20,904.29,175,ESH226M250AH4(1),140,300
250,22,15,13,20,904.29,175,ESH226M250AL3(1),155,300
250,33,15,13,20,602.86,257.5,ESH336M250AL3(1),200,300
250,33,15,13,25,602.86,257.5,ESH336M250AL4(1),200,300
250,47,15,13,25,423.285,362.5,ESH476M250AL4(1),240,300
250,47,15,16,25,423.285,362.5,ESH476M250AM7(1),270,300
250,68,15,13,25,292.564,520,ESH686M250AL4(1),290,300
250,68,15,16,32,292.564,520,ESH686M250AM2(1),300,300
250,100,15,16,25,198.944,760,ESH107M250AM7(1),380,300
250,100,15,16,36,198.944,760,ESH107M250AM3(1),440,300
250,150,15,16,32,132.629,1135,ESH157M250AM2(1),420,300
250,150,15,18,40,132.629,1135,ESH157M250AN3(1),600,300
250,220,15,18,36,90.429,1660,ESH227M250AN2(1),680,300
250,220,15,22,40,90.429,1660,ESH227M250AQ4(1),800,300
350,1,20,6.3,11,26525.846,20.5,ESH105M350AE3(1),16,400
350,2.2,20,8,11,12057.203,33.1,ESH225M350AG3(1),31,400
350,2.2,20,10,12,12057.203,33.1,ESH225M350AH1(1),35,400
350,3.3,20,8,11,8038.135,44.7,ESH335M350AG3(1),35,400
350,4.7,20,8,11,5643.797,59.4,ESH475M350AG3(1),45,400
350,4.7,20,10,20,5643.797,59.4,ESH475M350AH4(1),65,400
350,10,20,10,15,2652.585,115,ESH106M350AH2(1),80,400
350,10,20,13,20,2652.585,115,ESH106M350AL3(1),95,400
350,15,20,13,20,1768.39,167.5,ESH156M350AL3(1),140,400
350,22,20,13,20,1205.72,241,ESH226M350AL3(1),150,400
350,22,20,16,25,1205.72,241,ESH226M350AM7(1),165,400
350,33,20,13,25,803.814,356.5,ESH336M350AL4(1),200,400
350,33,20,16,32,803.814,356.5,ESH336M350AM2(1),195,400
350,47,20,16,36,564.38,503.5,ESH476M350AM3(1),210,400
350,47,20,16,25,564.38,503.5,ESH476M350AM7(1),260,400
350,47,20,18,36,564.38,503.5,ESH476M350AN2(1),240,400
350,68,20,18,36,390.086,724,ESH686M350AN2(1),320,400
350,100,20,18,32,265.258,1060,ESH107M350AN1(1),400,400
350,100,20,18,40,265.258,1060,ESH107M350AN3(1),300,400
350,150,20,22,40,176.839,1585,ESH157M350AQ4(1),480,400
400,1,20,6.3,11,26525.846,22,ESH105M400AE3(1),17,450
400,2.2,20,8,11,12057.203,36.4,ESH225M400AG3(1),31,450
400,3.3,20,8,11,8038.135,49.6,ESH335M400AG3(1),35,450
400,4.7,20,8,11,5643.797,66.4,ESH475M400AG3(1),45,450
400,4.7,20,10,15,5643.797,66.4,ESH475M400AH2(1),60,450
400,4.7,20,10,12.5,5643.797,66.4,ESH475M400AH9(1),55,450
400,6.8,20,8,15,3900.86,91.6,ESH685M400AG4(1),60,450
400,6.8,20,10,20,3900.86,91.6,ESH685M400AH4(1),67,450
400,6.8,20,10,12.5,3900.86,91.6,ESH685M400AH9(1),65,450
400,10,20,10,15,2652.585,130,ESH106M400AH2(1),80,450
400,10,20,10,20,2652.585,130,ESH106M400AH4(1),75,450
400,15,20,10,20,1768.39,190,ESH156M400AH4(1),100,450
400,15,20,13,20,1768.39,190,ESH156M400AL3(1),120,450
400,22,20,13,20,1205.72,274,ESH226M400AL3(1),140,450
400,22,20,13,25,1205.72,274,ESH226M400AL4(1),140,450
400,33,20,13,25,803.814,406,ESH336M400AL4(1),200,450
400,33,20,16,25,803.814,406,ESH336M400AM7(1),190,450
400,47,20,16,25,564.38,574,ESH476M400AM7(1),265,450
400,68,20,16,32,390.086,826,ESH686M400AM2(1),410,450
400,68,20,18,36,390.086,826,ESH686M400AN2(1),325,450
400,68,20,18,25,390.086,826,ESH686M400AN5(1),390,450
400,100,20,18,32,265.258,1210,ESH107M400AN1(1),500,450
400,100,20,18,36,265.258,1210,ESH107M400AN2(1),290,450
400,100,20,22,40,265.258,1210,ESH107M400AQ4(1),365,450
400,120,20,18,32,221.049,1450,ESH127M400AN1(1),520,450
400,120,20,18,36,221.049,1450,ESH127M400AN2(1),550,450
400,150,20,18,40,176.839,1810,ESH157M400AN3(1),620,450
400,150,20,18,36,176.839,1810,ESH157M400AN2(1),560,450
420,1,20,6.3,11,26525.846,22.6,ESH105M420AE3(1),17,470
420,2.2,20,8,11,12057.203,37.7,ESH225M420AG3(1),29,470
420,3.3,20,8,11,8038.135,51.6,ESH335M420AG3(1),34,470
420,4.7,20,10,12.5,5643.797,69.2,ESH475M420AH9(1),55,470
420,6.8,20,10,15,3900.86,95.7,ESH685M420AH2(1),68,470
420,10,20,10,20,2652.585,136,ESH106M420AH4(1),98,470
420,15,20,13,20,1768.39,199,ESH156M420AL3(1),130,470
420,22,20,13,25,1205.72,287.2,ESH226M420AL4(1),155,470
420,33,20,16,25,803.814,425.8,ESH336M420AM7(1),205,470
420,47,20,16,25,564.38,602.2,ESH476M420AM7(1),235,470
420,68,20,16,32,390.086,866.8,ESH686M420AM2(1),400,470
420,68,20,18,25,390.086,866.8,ESH686M420AN5(1),380,470
420,100,20,18,36,265.258,1270,ESH107M420AN2(1),490,470
420,120,20,18,40,221.049,1522,ESH127M420AN3(1),430,470
420,150,20,18,45,176.839,1900,ESH157M420AN7(1),570,470
450,2.2,20,8,11,12057.203,39.7,ESH225M450AG3(1),30,500
450,2.2,20,10,12,12057.203,39.7,ESH225M450AH1(1),37,500
450,2.2,20,10,12.5,12057.203,39.7,ESH225M450AH9(1),37,500
450,3.3,20,8,15,8038.135,54.6,ESH335M450AG4(1),42,500
450,3.3,20,10,16,8038.135,54.6,ESH335M450AH2(1),51,500
450,3.3,20,10,12.5,8038.135,54.6,ESH335M450AH9(1),40,500
450,4.7,20,10,12.5,5643.797,73.5,ESH475M450AH9(1),52,500
450,4.7,20,10,20,5643.797,73.5,ESH475M450AH4(1),60,500
450,6.8,20,10,15,3900.86,101.8,ESH685M450AH2(1),62,500
450,10,20,10,20,2652.585,145,ESH106M450AH4(1),85,500
450,10,20,13,25,2652.585,145,ESH106M450AL4AR,99,500
450,15,20,13,20,1768.39,212.5,ESH156M450AL3(1),120,500
450,22,20,13,25,1205.72,307,ESH226M450AL4(1),150,500
450,22,20,16,25,1205.72,307,ESH226M450AM7(1),145,500
450,33,20,16,25,803.814,455.5,ESH336M450AM7(1),210,500
450,33,20,16,32,803.814,455.5,ESH336M450AM2(1),230,500
450,47,20,16,25,564.38,644.5,ESH476M450AM7(1),260,500
450,47,20,18,40,564.38,644.5,ESH476M450AN3(1),350,500
450,68,20,18,32,390.086,928,ESH686M450AN1(1),370,500
450,68,20,18,36,390.086,928,ESH686M450AN2(1),380,500
450,100,20,18,36,265.258,1360,ESH107M450AN2(1),495,500
450,120,20,18,40,221.049,1630,ESH127M450AN3(1),565,500
450,150,20,18,45,176.839,2035,ESH157M450AN7(1),650,500
500,2.2,25,8,11,15071.504,144,ESH225M500AG3(1),25,550
500,3.3,25,8,16,10047.669,166,ESH335M500AG8(1),30,550
500,4.7,25,8,16,7054.746,194,ESH475M500AG8(1),34,550
500,4.7,25,10,12.5,7054.746,194,ESH475M500AH9(1),38,550
500,6.8,25,10,16,4876.075,236,ESH685M500AH8(1),50,550
500,8.2,25,10,20,4043.574,264,ESH825M500AH4(1),65,550
500,10,25,10,20,3315.731,300,ESH106M500AH4(1),70,550
500,10,25,13,20,3315.731,300,ESH106M500AL3(1),85,550
500,15,25,13,25,2210.487,400,ESH156M500AL4(1),100,550
500,22,25,13,25,1507.15,540,ESH226M500AL4(1),115,550
500,22,25,16,25,1507.15,540,ESH226M500AM7(1),130,550
500,33,25,18,25,1004.767,760,ESH336M500AN5(1),180,550
500,47,25,16,32,705.475,1040,ESH476M500AM2(1),180,550
500,47,25,18,30,705.475,1040,ESH476M500AN8(1),230,550
500,68,25,18,32,487.607,1460,ESH686M500AN1(1),250,550
500,68,25,18,36,487.607,1460,ESH686M500AN2(1),290,550
500,82,25,18,40,404.357,1740,ESH826M500AN3(1),335,550
