Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@300Hz,Ripple Current 125°C@50Hz,VC
50,1800,,0.025,18,25,0.11,,EGXF500E□□182MM25S,2900,2743.71,1736.53,2517.96,,,90000
50,2000,,0.020,14.5,40,0.072,,EGXF500E□□202MU40S,3560,3368.14,2131.74,3091.02,,,100000
50,2000,,0.020,16,35,0.074,,EGXF500E□□202ML35S,3470,3282.99,2077.84,3012.87,,,100000
50,2200,,0.021,18,30,0.079,,EGXF500E□□222MM30S,3330,3179.77,2503.76,3004.51,,,110000
50,2400,,0.018,16,40,0.063,,EGXF500E□□242ML40S,3800,3628.57,2857.14,3428.57,,,120000
50,2700,,0.019,18,35,0.065,,EGXF500E□□272MM35S,3590,3428.05,2699.25,3239.1,,,135000
50,3300,,0.017,18,40,0.058,,EGXF500E□□332MM40S,3850,3676.32,2894.74,3473.68,,,165000
63,390,,0.097,12.5,20,0.75,,EGXF630E□□391MK20S,1310,1231.4,655,1113.5,,,24570
63,510,,0.072,12.5,25,0.55,,EGXF630E□□511MK25S,1880,1767.2,940,1598,,,32130
63,510,,0.072,14.5,20,0.59,,EGXF630E□□511MU20S,1510,1419.4,755,1283.5,,,32130
63,620,,0.062,16,20,0.39,,EGXF630E□□621ML20S,1630,1542.16,976.05,1415.27,,,39060
63,680,,0.052,12.5,30,0.37,,EGXF630E□□681MK30S,2410,2280.12,1443.11,2092.51,,,42840
63,680,,0.054,14.5,25,0.40,,EGXF630E□□681MU25S,2130,2015.21,1275.45,1849.4,,,42840
63,820,,0.044,12.5,35,0.29,,EGXF630E□□821MK35S,2760,2611.26,1652.69,2396.41,,,51660
