Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
50,27,4.912,5,11,0.1,1.3,0.4,EKZN500E□□270ME11D,450
50,56,2.368,6.3,11,0.1,0.54,0.18,EKZN500E□□560MF11D,700
50,100,1.326,8,11.5,0.1,0.26,0.085,EKZN500E□□101MHB5D,1200
50,120,1.105,8,15,0.1,0.2,0.065,EKZN500E□□121MH15D,1600
50,150,0.884,10,12.5,0.1,0.22,0.073,EKZN500E□□151MJC5S,1280
50,180,0.737,8,20,0.1,0.16,0.049,EKZN500E□□181MH20D,1960
50,220,0.603,10,16,0.1,0.16,0.053,EKZN500E□□221MJ16S,1650
50,330,0.402,10,20,0.1,0.12,0.038,EKZN500E□□331MJ20S,2060
50,330,0.402,12.5,16,0.1,0.14,0.045,EKZN500E□□331MK16S,2160
50,390,0.34,10,25,0.1,0.1,0.032,EKZN500E□□391MJ25S,2420
50,470,0.282,12.5,20,0.1,0.1,0.032,EKZN500E□□471MK20S,2300
50,680,0.195,12.5,25,0.1,0.08,0.025,EKZN500E□□681MK25S,2800
50,820,0.162,12.5,30,0.1,0.074,0.023,EKZN500E□□821MK30S,3370
50,820,0.162,16,20,0.1,0.084,0.026,EKZN500E□□821ML20S,3070
50,1000,0.133,12.5,35,0.1,0.067,0.021,EKZN500E□□102MK35S,3810
50,1200,0.111,16,25,0.1,0.07,0.022,EKZN500E□□122ML25S,3510
50,1200,0.111,18,20,0.1,0.075,0.025,EKZN500E□□122MM20S,3120
50,1500,0.088,16,31.5,0.1,0.057,0.019,EKZN500E□□152MLN3S,4030
50,1500,0.088,18,25,0.1,0.063,0.021,EKZN500E□□152MM25S,3530
50,1800,0.074,16,35.5,0.1,0.048,0.016,EKZN500E□□182MLP1S,4220
50,2200,0.06,16,40,0.1,0.042,0.014,EKZN500E□□222ML40S,4500
50,2200,0.06,18,31.5,0.1,0.048,0.016,EKZN500E□□222MMN3S,4080
50,2700,0.049,18,35.5,0.1,0.039,0.013,EKZN500E□□272MMP1S,4270
50,3300,0.04,18,40,0.1,0.036,0.012,EKZN500E□□332MM40S,4850
63,18,6.631,5,11,0.09,2.3,0.52,EKZN630E□□180ME11D,240
63,39,3.061,6.3,11,0.09,1.1,0.24,EKZN630E□□390MF11D,420
63,68,1.755,8,11.5,0.09,0.68,0.15,EKZN630E□□680MHB5D,720
63,100,1.194,8,15,0.09,0.45,0.1,EKZN630E□□101MH15D,990
63,120,0.995,8,20,0.09,0.35,0.077,EKZN630E□□121MH20D,1200
63,120,0.995,10,12.5,0.09,0.36,0.09,EKZN630E□□121MJC5S,990
63,180,0.663,10,16,0.09,0.25,0.061,EKZN630E□□181MJ16S,1200
63,270,0.442,10,20,0.09,0.18,0.045,EKZN630E□□271MJ20S,1570
63,270,0.442,12.5,16,0.09,0.18,0.058,EKZN630E□□271MK16S,1570
63,330,0.362,10,25,0.09,0.12,0.037,EKZN630E□□331MJ25S,1990
63,390,0.306,12.5,20,0.09,0.1,0.033,EKZN630E□□391MK20S,1990
63,560,0.213,12.5,25,0.09,0.08,0.026,EKZN630E□□561MK25S,2460
63,680,0.176,12.5,30,0.09,0.075,0.024,EKZN630E□□681MK30S,2760
63,680,0.176,16,20,0.09,0.085,0.027,EKZN630E□□681ML20S,2380
63,820,0.146,12.5,35,0.09,0.068,0.022,EKZN630E□□821MK35S,3040
63,820,0.146,18,20,0.09,0.078,0.026,EKZN630E□□821MM20S,2530
63,1000,0.119,16,25,0.09,0.072,0.024,EKZN630E□□102ML25S,2890
63,1200,0.099,16,31.5,0.09,0.06,0.02,EKZN630E□□122MLN3S,3280
63,1200,0.099,18,25,0.09,0.066,0.022,EKZN630E□□122MM25S,2930
63,1500,0.08,16,35.5,0.09,0.054,0.018,EKZN630E□□152MLP1S,3440
63,1500,0.08,18,31.5,0.09,0.054,0.018,EKZN630E□□152MMN3S,3380
63,1800,0.066,16,40,0.09,0.048,0.016,EKZN630E□□182ML40S,3690
63,1800,0.066,18,35.5,0.09,0.051,0.017,EKZN630E□□182MMP1S,3550
63,2200,0.054,18,40,0.09,0.045,0.015,EKZN630E□□222MM40S,3930
80,12,9.947,5,11,0.09,3.2,0.72,EKZN800E□□120ME11D,235
80,27,4.421,6.3,11,0.09,1.5,0.34,EKZN800E□□270MF11D,390
80,47,2.54,8,11.5,0.09,0.9,0.2,EKZN800E□□470MHB5D,650
80,68,1.755,8,15,0.09,0.63,0.14,EKZN800E□□680MH15D,820
80,82,1.456,8,20,0.09,0.54,0.12,EKZN800E□□820MH20D,1090
80,82,1.456,10,12.5,0.09,0.56,0.14,EKZN800E□□820MJC5S,860
80,100,1.194,10,12.5,0.09,0.56,0.14,EKZN800E□□101MJC5S,860
80,120,0.995,10,16,0.09,0.36,0.09,EKZN800E□□121MJ16S,1150
80,150,0.796,10,16,0.09,0.36,0.09,EKZN800E□□151MJ16S,1150
80,180,0.663,10,20,0.09,0.28,0.068,EKZN800E□□181MJ20S,1570
80,180,0.663,12.5,16,0.09,0.27,0.09,EKZN800E□□181MK16S,1430
80,220,0.543,10,20,0.09,0.28,0.068,EKZN800E□□221MJ20S,1570
80,220,0.543,10,25,0.09,0.22,0.055,EKZN800E□□221MJ25S,1780
80,220,0.543,12.5,16,0.09,0.27,0.09,EKZN800E□□221MK16S,1430
80,270,0.442,10,25,0.09,0.22,0.055,EKZN800E□□271MJ25S,1780
80,270,0.442,12.5,20,0.09,0.15,0.048,EKZN800E□□271MK20S,1800
80,330,0.362,12.5,20,0.09,0.15,0.048,EKZN800E□□331MK20S,1800
80,390,0.306,12.5,25,0.09,0.12,0.038,EKZN800E□□391MK25S,2210
80,470,0.254,12.5,30,0.09,0.11,0.033,EKZN800E□□471MK30S,2520
80,470,0.254,16,20,0.09,0.12,0.036,EKZN800E□□471ML20S,2150
80,560,0.213,12.5,35,0.09,0.078,0.026,EKZN800E□□561MK35S,2860
80,680,0.176,12.5,40,0.09,0.078,0.026,EKZN800E□□681MK40S,3150
80,680,0.176,16,25,0.09,0.084,0.028,EKZN800E□□681ML25S,2620
80,680,0.176,18,20,0.09,0.096,0.032,EKZN800E□□681MM20S,2280
80,820,0.146,16,31.5,0.09,0.066,0.022,EKZN800E□□821MLN3S,2900
80,820,0.146,18,25,0.09,0.081,0.027,EKZN800E□□821MM25S,2750
80,1000,0.119,18,25,0.09,0.081,0.027,EKZN800E□□102MM25S,2750
80,1000,0.119,16,35.5,0.09,0.06,0.02,EKZN800E□□102MLP1S,3150
80,1200,0.099,16,40,0.09,0.054,0.018,EKZN800E□□122ML40S,3710
80,1200,0.099,18,31.5,0.09,0.06,0.02,EKZN800E□□122MMN3S,3150
80,1500,0.08,18,35.5,0.09,0.054,0.018,EKZN800E□□152MMP1S,3710
80,1800,0.066,18,40,0.09,0.051,0.017,EKZN800E□□182MM40S,4060
100,8.2,12.939,5,11,0.08,3.2,0.72,EKZN101E□□8R2ME11D,235
100,18,5.895,6.3,11,0.08,1.5,0.34,EKZN101E□□180MF11D,390
100,33,3.215,8,11.5,0.08,0.9,0.2,EKZN101E□□330MHB5D,650
100,47,2.258,8,15,0.08,0.63,0.14,EKZN101E□□470MH15D,820
100,56,1.895,8,20,0.08,0.54,0.12,EKZN101E□□560MH20D,1090
100,56,1.895,10,12.5,0.08,0.56,0.14,EKZN101E□□560MJC5S,860
100,82,1.294,10,16,0.08,0.36,0.09,EKZN101E□□820MJ16S,1150
100,100,1.061,10,20,0.08,0.28,0.068,EKZN101E□□101MJ20S,1570
100,120,0.884,10,20,0.08,0.28,0.068,EKZN101E□□121MJ20S,1570
100,120,0.884,12.5,16,0.08,0.27,0.09,EKZN101E□□121MK16S,1430
100,150,0.707,10,25,0.08,0.22,0.055,EKZN101E□□151MJ25S,1780
100,180,0.589,12.5,20,0.08,0.15,0.048,EKZN101E□□181MK20S,1800
100,220,0.482,12.5,25,0.08,0.12,0.038,EKZN101E□□221MK25S,2210
100,270,0.393,12.5,30,0.08,0.11,0.033,EKZN101E□□271MK30S,2520
100,270,0.393,16,20,0.08,0.12,0.036,EKZN101E□□271ML20S,2150
100,330,0.322,16,20,0.08,0.12,0.036,EKZN101E□□331ML20S,2150
100,390,0.272,12.5,35,0.08,0.078,0.026,EKZN101E□□391MK35S,2860
100,390,0.272,16,25,0.08,0.084,0.028,EKZN101E□□391ML25S,2620
100,390,0.272,18,20,0.08,0.096,0.032,EKZN101E□□391MM20S,2280
100,470,0.226,12.5,40,0.08,0.078,0.026,EKZN101E□□471MK40S,3150
100,470,0.226,16,31.5,0.08,0.066,0.022,EKZN101E□□471MLN3S,2900
100,560,0.189,16,31.5,0.08,0.066,0.022,EKZN101E□□561MLN3S,2900
100,560,0.189,16,35.5,0.08,0.06,0.02,EKZN101E□□561MLP1S,3150
100,560,0.189,18,25,0.08,0.081,0.027,EKZN101E□□561MM25S,2750
100,680,0.156,16,35.5,0.08,0.06,0.02,EKZN101E□□681MLP1S,3150
100,680,0.156,16,40,0.08,0.054,0.018,EKZN101E□□681ML40S,3710
100,680,0.156,18,31.5,0.08,0.06,0.02,EKZN101E□□681MMN3S,3150
100,820,0.129,16,40,0.08,0.054,0.018,EKZN101E□□821ML40S,3710
100,820,0.129,18,35.5,0.08,0.054,0.018,EKZN101E□□821MMP1S,3710
100,1000,0.106,18,40,0.08,0.051,0.017,EKZN101E□□102MM40S,4060
