Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -10°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,Size Code,VC
6.3,4700,0.061,0.061,0.03,12.5,25,0.22,0.06,0.085,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,29610
6.3,4700,0.061,0.061,0.038,18,16,0.22,0.076,0.085,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,29610
6.3,5600,0.054,0.054,0.025,12.5,30,0.22,0.05,0.076,2330,2330,1974.58,2211.53,2093.05,1856.1,1856.1,G30,35280
6.3,5600,0.054,0.054,0.029,16,20,0.22,0.058,0.076,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,35280
6.3,6800,0.048,0.048,0.022,12.5,35,0.22,0.044,0.066,2620,2620,2220.34,2486.78,2353.56,2087.12,2087.12,G35,42840
6.3,8200,0.044,0.044,0.017,12.5,40,0.22,0.034,0.061,3160,3160,2677.97,2999.32,2838.64,2517.29,2517.29,G40,51660
6.3,8200,0.044,0.044,0.022,16,25,0.22,0.044,0.061,2650,2650,2245.76,2515.25,2380.51,2111.02,2111.02,J25,51660
6.3,8200,0.044,0.044,0.028,18,20,0.22,0.056,0.061,2500,2500,2118.64,2372.88,2245.76,1991.53,1991.53,K20,51660
6.3,10000,0.04,0.04,0.018,16,31.5,0.22,0.036,0.056,3210,3210,2720.34,3046.78,2883.56,2557.12,2557.12,J31,63000
6.3,10000,0.04,0.04,0.02,18,25,0.22,0.04,0.056,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,63000
6.3,12000,0.037,0.037,0.02,18,25,0.22,0.04,0.051,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,75600
6.3,15000,0.033,0.033,0.015,18,35.5,0.22,0.03,0.046,3960,3960,3355.93,3758.64,3557.29,3154.58,3154.58,K35,94500
6.3,18000,0.031,0.031,0.014,18,40,0.22,0.028,0.043,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,113400
10,100,1.063,1.063,0.5,5,11.5,0.19,1,2.52,182,182,118.18,154.82,135.91,100.45,100.45,C11,1000
10,180,0.59,0.59,0.25,6.3,11.5,0.19,0.5,1.4,295,295,191.56,250.94,220.29,162.82,162.82,D11,1800
10,220,0.483,0.483,0.25,6.3,11.5,0.19,0.5,1.145,295,295,191.56,250.94,220.29,162.82,162.82,D11,2200
10,330,0.322,0.322,0.117,8,12,0.19,0.234,0.764,567,567,368.18,482.32,423.41,312.95,312.95,E12,3300
10,470,0.303,0.303,0.117,8,12,0.19,0.234,0.536,567,567,426.32,511.58,456.16,396.47,396.47,E12,4700
10,560,0.254,0.254,0.117,8,12,0.19,0.234,0.45,567,567,426.32,511.58,456.16,396.47,396.47,E12,5600
10,820,0.174,0.174,0.085,8,15,0.19,0.17,0.307,733,733,551.13,661.35,589.71,512.55,512.55,E15,8200
10,820,0.174,0.174,0.09,10,12.5,0.19,0.18,0.307,764,764,574.44,689.32,614.65,534.23,534.23,F12,8200
10,1000,0.157,0.157,0.065,8,20,0.19,0.13,0.279,996,996,748.87,898.65,801.29,696.45,696.45,E20,10000
10,1000,0.157,0.157,0.09,10,12.5,0.19,0.18,0.279,764,764,574.44,689.32,614.65,534.23,534.23,F12,10000
10,1000,0.157,0.157,0.068,10,16,0.19,0.136,0.279,1060,1060,796.99,956.39,852.78,741.2,741.2,F16,10000
10,1200,0.167,0.167,0.052,10,20,0.19,0.104,0.232,1230,1230,1042.37,1167.46,1104.92,979.83,979.83,F20,12000
10,1200,0.167,0.167,0.068,10,16,0.19,0.136,0.232,1060,1060,898.31,1006.1,952.2,844.41,844.41,F16,12000
10,1500,0.133,0.133,0.052,10,20,0.19,0.104,0.186,1230,1230,1042.37,1167.46,1104.92,979.83,979.83,F20,15000
10,1500,0.133,0.133,0.062,12.5,15,0.19,0.124,0.186,1210,1210,1025.42,1148.47,1086.95,963.9,963.9,G15,15000
10,1800,0.111,0.111,0.052,10,20,0.19,0.104,0.155,1230,1230,1042.37,1167.46,1104.92,979.83,979.83,F20,18000
10,1800,0.111,0.111,0.045,10,25,0.19,0.09,0.155,1450,1450,1228.81,1376.27,1302.54,1155.08,1155.08,F25,18000
10,2200,0.1,0.1,0.045,10,25,0.19,0.09,0.139,1450,1450,1228.81,1376.27,1302.54,1155.08,1155.08,F25,22000
10,2200,0.1,0.1,0.038,12.5,20,0.19,0.076,0.139,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,G20,22000
10,2700,0.081,0.081,0.035,10,30,0.19,0.07,0.113,1830,1830,1550.85,1736.95,1643.9,1457.8,1457.8,F30,27000
10,2700,0.081,0.081,0.038,12.5,20,0.19,0.076,0.113,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,G20,27000
10,3300,0.072,0.072,0.03,12.5,25,0.19,0.06,0.1,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,33000
10,3300,0.072,0.072,0.029,16,20,0.19,0.058,0.1,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,33000
10,3900,0.061,0.061,0.03,12.5,25,0.19,0.06,0.085,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,39000
10,3900,0.061,0.061,0.038,18,16,0.19,0.076,0.085,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,39000
10,4700,0.055,0.055,0.025,12.5,30,0.19,0.05,0.076,2330,2330,1974.58,2211.53,2093.05,1856.1,1856.1,G30,47000
10,4700,0.055,0.055,0.029,16,20,0.19,0.058,0.076,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,47000
10,5600,0.049,0.049,0.022,12.5,35,0.19,0.044,0.069,2620,2620,2220.34,2486.78,2353.56,2087.12,2087.12,G35,56000
10,5600,0.049,0.049,0.022,16,25,0.19,0.044,0.069,2650,2650,2245.76,2515.25,2380.51,2111.02,2111.02,J25,56000
10,6800,0.043,0.043,0.017,12.5,40,0.19,0.034,0.06,3160,3160,2677.97,2999.32,2838.64,2517.29,2517.29,G40,68000
10,6800,0.043,0.043,0.018,16,31.5,0.19,0.036,0.06,3210,3210,2720.34,3046.78,2883.56,2557.12,2557.12,J31,68000
10,8200,0.041,0.041,0.018,16,31.5,0.19,0.036,0.057,3210,3210,2720.34,3046.78,2883.56,2557.12,2557.12,J31,82000
10,8200,0.041,0.041,0.02,18,25,0.19,0.04,0.057,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,82000
10,10000,0.037,0.037,0.015,16,40,0.19,0.03,0.052,3880,3880,3288.14,3682.71,3485.42,3090.85,3090.85,J40,100000
10,10000,0.037,0.037,0.015,18,35.5,0.19,0.03,0.052,3960,3960,3355.93,3758.64,3557.29,3154.58,3154.58,K35,100000
10,12000,0.034,0.034,0.014,18,40,0.19,0.028,0.048,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,120000
10,15000,0.031,0.031,0.014,18,40,0.19,0.028,0.043,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,150000
16,22,0.87,0.87,0.5,5,11.5,0.16,1,9.646,182,182,54.65,145.93,91.27,36.62,36.62,C11,352
16,33,0.58,0.58,0.5,5,11.5,0.16,1,6.431,182,182,54.65,145.93,91.27,36.62,36.62,C11,528
16,47,0.407,0.407,0.5,5,11.5,0.16,1,4.515,182,182,54.65,145.93,91.27,36.62,36.62,C11,752
16,82,1.091,1.091,0.5,5,11.5,0.16,1,2.588,182,182,118.18,154.82,135.91,100.45,100.45,C11,1312
16,100,0.895,0.895,0.25,6.3,11.5,0.16,0.5,2.122,295,295,191.56,250.94,220.29,162.82,162.82,D11,1600
16,150,0.597,0.597,0.25,6.3,11.5,0.16,0.5,1.415,295,295,191.56,250.94,220.29,162.82,162.82,D11,2400
16,180,0.497,0.497,0.117,8,12,0.16,0.234,1.179,567,567,368.18,482.32,423.41,312.95,312.95,E12,2880
16,220,0.407,0.407,0.117,8,12,0.16,0.234,0.965,567,567,368.18,482.32,423.41,312.95,312.95,E12,3520
16,330,0.271,0.271,0.117,8,12,0.16,0.234,0.643,567,567,368.18,482.32,423.41,312.95,312.95,E12,5280
16,390,0.308,0.308,0.117,8,12,0.16,0.234,0.544,567,567,426.32,511.58,456.16,396.47,396.47,E12,6240
16,470,0.255,0.255,0.085,8,15,0.16,0.17,0.452,733,733,551.13,661.35,589.71,512.55,512.55,E15,7520
16,470,0.255,0.255,0.09,10,12.5,0.16,0.18,0.452,764,764,574.44,689.32,614.65,534.23,534.23,F12,7520
16,560,0.214,0.214,0.065,8,20,0.16,0.13,0.379,996,996,748.87,898.65,801.29,696.45,696.45,E20,8960
16,680,0.176,0.176,0.085,8,15,0.16,0.17,0.312,733,733,551.13,661.35,589.71,512.55,512.55,E15,10880
16,680,0.176,0.176,0.09,10,12.5,0.16,0.18,0.312,764,764,574.44,689.32,614.65,534.23,534.23,F12,10880
16,820,0.146,0.146,0.065,8,20,0.16,0.13,0.259,996,996,748.87,898.65,801.29,696.45,696.45,E20,13120
16,820,0.146,0.146,0.068,10,16,0.16,0.136,0.259,1060,1060,796.99,956.39,852.78,741.2,741.2,F16,13120
16,1000,0.135,0.135,0.068,10,16,0.16,0.136,0.239,1060,1060,796.99,956.39,852.78,741.2,741.2,F16,16000
16,1000,0.135,0.135,0.052,10,20,0.16,0.104,0.239,1230,1230,924.81,1109.77,989.55,860.08,860.08,F20,16000
16,1200,0.143,0.143,0.052,10,20,0.16,0.104,0.199,1230,1230,1042.37,1167.46,1104.92,979.83,979.83,F20,19200
16,1200,0.143,0.143,0.045,10,25,0.16,0.09,0.199,1450,1450,1228.81,1376.27,1302.54,1155.08,1155.08,F25,19200
16,1500,0.114,0.114,0.045,10,25,0.16,0.09,0.159,1450,1450,1228.81,1376.27,1302.54,1155.08,1155.08,F25,24000
16,1500,0.114,0.114,0.035,10,30,0.16,0.07,0.159,1830,1830,1550.85,1736.95,1643.9,1457.8,1457.8,F30,24000
16,1800,0.095,0.095,0.035,10,30,0.16,0.07,0.133,1830,1830,1550.85,1736.95,1643.9,1457.8,1457.8,F30,28800
16,1800,0.095,0.095,0.038,12.5,20,0.16,0.076,0.133,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,G20,28800
16,1800,0.095,0.095,0.043,16,16,0.16,0.086,0.133,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,J16,28800
16,2200,0.087,0.087,0.035,10,30,0.16,0.07,0.121,1830,1830,1550.85,1736.95,1643.9,1457.8,1457.8,F30,35200
16,2200,0.087,0.087,0.038,12.5,20,0.16,0.076,0.121,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,G20,35200
16,2200,0.087,0.087,0.043,16,16,0.16,0.086,0.121,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,J16,35200
16,2700,0.071,0.071,0.03,12.5,25,0.16,0.06,0.098,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,43200
16,2700,0.071,0.071,0.038,18,16,0.16,0.076,0.098,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,43200
16,3300,0.064,0.064,0.025,12.5,30,0.16,0.05,0.088,2330,2330,1974.58,2211.53,2093.05,1856.1,1856.1,G30,52800
16,3300,0.064,0.064,0.029,16,20,0.16,0.058,0.088,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,52800
16,3900,0.054,0.054,0.022,12.5,35,0.16,0.044,0.075,2620,2620,2220.34,2486.78,2353.56,2087.12,2087.12,G35,62400
16,3900,0.054,0.054,0.029,16,20,0.16,0.058,0.075,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,62400
16,4700,0.049,0.049,0.017,12.5,40,0.16,0.034,0.068,3160,3160,2677.97,2999.32,2838.64,2517.29,2517.29,G40,75200
16,4700,0.049,0.049,0.022,16,25,0.16,0.044,0.068,2650,2650,2245.76,2515.25,2380.51,2111.02,2111.02,J25,75200
16,4700,0.049,0.049,0.028,18,20,0.16,0.056,0.068,2500,2500,2118.64,2372.88,2245.76,1991.53,1991.53,K20,75200
16,5600,0.044,0.044,0.022,16,25,0.16,0.044,0.062,2650,2650,2245.76,2515.25,2380.51,2111.02,2111.02,J25,89600
16,5600,0.044,0.044,0.018,16,31.5,0.16,0.036,0.062,3210,3210,2720.34,3046.78,2883.56,2557.12,2557.12,J31,89600
16,6800,0.039,0.039,0.018,16,31.5,0.16,0.036,0.055,3210,3210,2720.34,3046.78,2883.56,2557.12,2557.12,J31,108800
16,6800,0.039,0.039,0.02,18,25,0.16,0.04,0.055,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,108800
16,8200,0.037,0.037,0.015,18,35.5,0.16,0.03,0.052,3960,3960,3355.93,3758.64,3557.29,3154.58,3154.58,K35,131200
16,10000,0.034,0.034,0.014,18,40,0.16,0.028,0.048,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,160000
25,10,1.674,1.674,0.5,5,11.5,0.14,1,18.568,182,182,54.65,145.93,91.27,36.62,36.62,C11,250
25,22,0.761,0.761,0.5,5,11.5,0.14,1,8.44,182,182,54.65,145.93,91.27,36.62,36.62,C11,550
25,27,0.62,0.62,0.5,5,11.5,0.14,1,6.877,182,182,54.65,145.93,91.27,36.62,36.62,C11,675
25,33,0.507,0.507,0.5,5,11.5,0.14,1,5.627,182,182,54.65,145.93,91.27,36.62,36.62,C11,825
25,47,0.356,0.356,0.5,5,11.5,0.14,1,3.951,182,182,54.65,145.93,91.27,36.62,36.62,C11,1175
25,56,0.299,0.299,0.5,5,11.5,0.14,1,3.316,182,182,54.65,145.93,91.27,36.62,36.62,C11,1400
25,82,0.955,0.955,0.25,6.3,11.5,0.14,0.5,2.264,295,295,191.56,250.94,220.29,162.82,162.82,D11,2050
25,100,0.783,0.783,0.25,6.3,11.5,0.14,0.5,1.857,295,295,191.56,250.94,220.29,162.82,162.82,D11,2500
25,150,0.522,0.522,0.117,8,12,0.14,0.234,1.238,567,567,368.18,482.32,423.41,312.95,312.95,E12,3750
25,180,0.435,0.435,0.117,8,12,0.14,0.234,1.032,567,567,368.18,482.32,423.41,312.95,312.95,E12,4500
25,220,0.356,0.356,0.117,8,12,0.14,0.234,0.844,567,567,368.18,482.32,423.41,312.95,312.95,E12,5500
25,270,0.29,0.29,0.117,8,12,0.14,0.234,0.688,567,567,368.18,482.32,423.41,312.95,312.95,E12,6750
25,330,0.237,0.237,0.117,8,12,0.14,0.234,0.563,567,567,368.18,482.32,423.41,312.95,312.95,E12,8250
25,330,0.237,0.237,0.09,10,12.5,0.14,0.18,0.563,764,764,496.1,649.9,570.52,421.69,421.69,F12,8250
25,390,0.269,0.269,0.085,8,15,0.14,0.17,0.476,733,733,551.13,661.35,589.71,512.55,512.55,E15,9750
25,470,0.223,0.223,0.085,8,15,0.14,0.17,0.395,733,733,551.13,661.35,589.71,512.55,512.55,E15,11750
25,470,0.223,0.223,0.09,10,12.5,0.14,0.18,0.395,764,764,574.44,689.32,614.65,534.23,534.23,F12,11750
25,560,0.187,0.187,0.065,8,20,0.14,0.13,0.332,996,996,748.87,898.65,801.29,696.45,696.45,E20,14000
25,560,0.187,0.187,0.068,10,16,0.14,0.136,0.332,1060,1060,796.99,956.39,852.78,741.2,741.2,F16,14000
25,680,0.154,0.154,0.068,10,16,0.14,0.136,0.273,1060,1060,796.99,956.39,852.78,741.2,741.2,F16,17000
25,680,0.154,0.154,0.052,10,20,0.14,0.104,0.273,1230,1230,924.81,1109.77,989.55,860.08,860.08,F20,17000
25,680,0.154,0.154,0.062,12.5,15,0.14,0.124,0.273,1210,1210,909.77,1091.73,973.46,846.09,846.09,G15,17000
25,820,0.128,0.128,0.052,10,20,0.14,0.104,0.226,1230,1230,924.81,1109.77,989.55,860.08,860.08,F20,20500
25,820,0.128,0.128,0.062,12.5,15,0.14,0.124,0.226,1210,1210,909.77,1091.73,973.46,846.09,846.09,G15,20500
25,1000,0.12,0.12,0.045,10,25,0.14,0.09,0.212,1450,1450,1090.23,1308.27,1166.54,1013.91,1013.91,F25,25000
25,1000,0.12,0.12,0.038,12.5,20,0.14,0.076,0.212,1700,1700,1278.2,1533.83,1367.67,1188.72,1188.72,G20,25000
25,1200,0.127,0.127,0.038,12.5,20,0.14,0.076,0.177,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,G20,30000
25,1200,0.127,0.127,0.038,18,16,0.14,0.076,0.177,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,30000
25,1500,0.102,0.102,0.035,10,30,0.14,0.07,0.141,1830,1830,1550.85,1736.95,1643.9,1457.8,1457.8,F30,37500
25,1500,0.102,0.102,0.043,16,16,0.14,0.086,0.141,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,J16,37500
25,1800,0.085,0.085,0.03,12.5,25,0.14,0.06,0.118,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,45000
25,1800,0.085,0.085,0.043,16,16,0.14,0.086,0.118,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,J16,45000
25,1800,0.085,0.085,0.038,18,16,0.14,0.076,0.118,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,45000
25,2200,0.078,0.078,0.025,12.5,30,0.14,0.05,0.109,2330,2330,1974.58,2211.53,2093.05,1856.1,1856.1,G30,55000
25,2200,0.078,0.078,0.029,16,20,0.14,0.058,0.109,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,55000
25,2200,0.078,0.078,0.038,18,16,0.14,0.076,0.109,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,55000
25,2700,0.064,0.064,0.022,12.5,35,0.14,0.044,0.088,2620,2620,2220.34,2486.78,2353.56,2087.12,2087.12,G35,67500
25,2700,0.064,0.064,0.028,18,20,0.14,0.056,0.088,2500,2500,2118.64,2372.88,2245.76,1991.53,1991.53,K20,67500
25,3300,0.058,0.058,0.017,12.5,40,0.14,0.034,0.08,3160,3160,2677.97,2999.32,2838.64,2517.29,2517.29,G40,82500
25,3300,0.058,0.058,0.022,16,25,0.14,0.044,0.08,2650,2650,2245.76,2515.25,2380.51,2111.02,2111.02,J25,82500
25,3300,0.058,0.058,0.028,18,20,0.14,0.056,0.08,2500,2500,2118.64,2372.88,2245.76,1991.53,1991.53,K20,82500
25,3900,0.049,0.049,0.02,18,25,0.14,0.04,0.068,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,97500
25,4700,0.045,0.045,0.02,18,25,0.14,0.04,0.062,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,117500
25,5600,0.041,0.041,0.015,18,35.5,0.14,0.03,0.057,3960,3960,3355.93,3758.64,3557.29,3154.58,3154.58,K35,140000
25,6800,0.036,0.036,0.015,18,35.5,0.14,0.03,0.051,3960,3960,3355.93,3758.64,3557.29,3154.58,3154.58,K35,170000
25,8200,0.035,0.035,0.014,18,40,0.14,0.028,0.049,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,205000
25,10000,0.032,0.032,0.014,18,40,0.14,0.028,0.045,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,250000
35,10,1.435,1.435,0.5,5,11.5,0.12,1,15.916,182,182,54.65,145.93,91.27,36.62,36.62,C11,350
35,22,0.652,0.652,0.5,5,11.5,0.12,1,7.234,182,182,54.65,145.93,91.27,36.62,36.62,C11,770
35,27,0.532,0.532,0.5,5,11.5,0.12,1,5.895,182,182,54.65,145.93,91.27,36.62,36.62,C11,945
35,33,0.435,0.435,0.5,5,11.5,0.12,1,4.823,182,182,54.65,145.93,91.27,36.62,36.62,C11,1155
35,47,0.305,0.305,0.25,6.3,11.5,0.12,0.5,3.386,295,295,88.59,236.53,147.94,59.35,59.35,D11,1645
35,56,0.256,0.256,0.25,6.3,11.5,0.12,0.5,2.842,295,295,88.59,236.53,147.94,59.35,59.35,D11,1960
35,82,0.818,0.818,0.25,6.3,11.5,0.12,0.5,1.941,295,295,191.56,250.94,220.29,162.82,162.82,D11,2870
35,100,0.671,0.671,0.117,8,12,0.12,0.234,1.592,567,567,368.18,482.32,423.41,312.95,312.95,E12,3500
35,150,0.447,0.447,0.117,8,12,0.12,0.234,1.061,567,567,368.18,482.32,423.41,312.95,312.95,E12,5250
35,180,0.373,0.373,0.117,8,12,0.12,0.234,0.884,567,567,368.18,482.32,423.41,312.95,312.95,E12,6300
35,220,0.305,0.305,0.085,8,15,0.12,0.17,0.723,733,733,475.97,623.53,547.37,404.58,404.58,E15,7700
35,270,0.249,0.249,0.085,8,15,0.12,0.17,0.589,733,733,475.97,623.53,547.37,404.58,404.58,E15,9450
35,330,0.203,0.203,0.065,8,20,0.12,0.13,0.482,996,996,646.75,847.25,743.77,549.74,549.74,E20,11550
35,330,0.203,0.203,0.068,10,16,0.12,0.136,0.482,1060,1060,688.31,901.69,791.56,585.06,585.06,F16,11550
35,390,0.231,0.231,0.068,10,16,0.12,0.136,0.408,1060,1060,796.99,956.39,852.78,741.2,741.2,F16,13650
35,470,0.191,0.191,0.052,10,20,0.12,0.104,0.339,1230,1230,924.81,1109.77,989.55,860.08,860.08,F20,16450
35,560,0.161,0.161,0.052,10,20,0.12,0.104,0.284,1230,1230,924.81,1109.77,989.55,860.08,860.08,F20,19600
35,560,0.161,0.161,0.062,12.5,15,0.12,0.124,0.284,1210,1210,909.77,1091.73,973.46,846.09,846.09,G15,19600
35,680,0.132,0.132,0.045,10,25,0.12,0.09,0.234,1450,1450,1090.23,1308.27,1166.54,1013.91,1013.91,F25,23800
35,820,0.11,0.11,0.038,12.5,20,0.12,0.076,0.194,1700,1700,1278.2,1533.83,1367.67,1188.72,1188.72,G20,28700
35,1000,0.105,0.105,0.035,10,30,0.12,0.07,0.186,1830,1830,1375.94,1651.13,1472.26,1279.62,1279.62,F30,35000
35,1000,0.105,0.105,0.038,12.5,20,0.12,0.076,0.186,1700,1700,1278.2,1533.83,1367.67,1188.72,1188.72,G20,35000
35,1200,0.111,0.111,0.03,12.5,25,0.12,0.06,0.155,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,42000
35,1200,0.111,0.111,0.038,18,16,0.12,0.076,0.155,2010,2010,1703.39,1907.8,1805.59,1601.19,1601.19,K16,42000
35,1500,0.089,0.089,0.025,12.5,30,0.12,0.05,0.124,2330,2330,1974.58,2211.53,2093.05,1856.1,1856.1,G30,52500
35,1500,0.089,0.089,0.029,16,20,0.12,0.058,0.124,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,52500
35,1800,0.074,0.074,0.022,12.5,35,0.12,0.044,0.103,2620,2620,2220.34,2486.78,2353.56,2087.12,2087.12,G35,63000
35,1800,0.074,0.074,0.029,16,20,0.12,0.058,0.103,2230,2230,1889.83,2116.61,2003.22,1776.44,1776.44,J20,63000
35,2200,0.069,0.069,0.017,12.5,40,0.12,0.034,0.096,3160,3160,2677.97,2999.32,2838.64,2517.29,2517.29,G40,77000
35,2200,0.069,0.069,0.022,16,25,0.12,0.044,0.096,2650,2650,2245.76,2515.25,2380.51,2111.02,2111.02,J25,77000
35,2200,0.069,0.069,0.028,18,20,0.12,0.056,0.096,2500,2500,2118.64,2372.88,2245.76,1991.53,1991.53,K20,77000
35,2700,0.056,0.056,0.018,16,31.5,0.12,0.036,0.079,3210,3210,2720.34,3046.78,2883.56,2557.12,2557.12,J31,94500
35,2700,0.056,0.056,0.02,18,25,0.12,0.04,0.079,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,94500
35,3300,0.052,0.052,0.02,18,25,0.12,0.04,0.072,3000,3000,2542.37,2847.46,2694.92,2389.83,2389.83,K25,115500
35,3900,0.044,0.044,0.016,18,31.5,0.12,0.032,0.061,3660,3660,3101.69,3473.9,3287.8,2915.59,2915.59,K31,136500
35,4700,0.041,0.041,0.015,18,35.5,0.12,0.03,0.056,3960,3960,3355.93,3758.64,3557.29,3154.58,3154.58,K35,164500
35,5600,0.037,0.037,0.014,18,40,0.12,0.028,0.052,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,196000
35,6800,0.034,0.034,0.014,18,40,0.12,0.028,0.047,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,238000
35,8200,0.033,0.033,0.014,18,40,0.12,0.028,0.045,4300,4300,3644.07,4081.36,3862.71,3425.42,3425.42,K40,287000
50,10,1.196,1.196,0.9,5,11.5,0.1,1.8,13.263,173,173,51.95,138.71,86.76,34.81,34.81,C11,500
