Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
25,10,21.221,5,11,-40,85,0.16,2000,8,6000,UVR1E100MDD,Uni-Polar,Radial Lead,Standard,55,EOL,Normal,0.44
25,22,9.646,5,11,-40,85,0.16,2000,17,6000,UVR1E220MDD,Uni-Polar,Radial Lead,Standard,80,EOL,Normal,0.44
25,33,6.431,5,11,-40,85,0.16,2000,25,6000,UVR1E330MDD,Uni-Polar,Radial Lead,Standard,95,EOL,Normal,0.44
25,47,4.515,5,11,-40,85,0.16,2000,35,6000,UVR1E470MDD,Uni-Polar,Radial Lead,Standard,115,EOL,Normal,0.44
25,100,2.122,6.3,11,-40,85,0.16,2000,75,4000,UVR1E101MED,Uni-Polar,Radial Lead,Standard,190,EOL,Normal,0.59
25,220,0.965,8,11.5,-40,85,0.16,2000,165,3000,UVR1E221MPD,Uni-Polar,Radial Lead,Standard,330,MP,Normal,1.19
25,330,0.643,10,12.5,-40,85,0.16,2000,248,2000,UVR1E331MPD,Uni-Polar,Radial Lead,Standard,440,MP,Normal,1.49
25,470,0.452,10,12.5,-40,85,0.16,2000,353,2000,UVR1E471MPD,Uni-Polar,Radial Lead,Standard,550,MP,Normal,1.49
25,1000,0.212,10,20,-40,85,0.16,2000,750,1400,UVR1E102MPD,Uni-Polar,Radial Lead,Standard,960,MP,Normal,2.34
25,2200,0.109,12.5,25,-40,85,0.18,2000,1650,800,UVR1E222MHD,Uni-Polar,Radial Lead,Standard,1550,MP,Normal,4.56
25,3300,0.08,16,25,-40,85,0.2,2000,2475,400,UVR1E332MHD,Uni-Polar,Radial Lead,Standard,1980,MP,Normal,8.2
25,4700,0.062,16,30.5,-40,85,0.22,2000,3525,300,UVR1E472MHD,Uni-Polar,Radial Lead,Standard,2450,MP,Normal,9.6
25,6800,0.051,18,35.5,-40,85,0.26,2000,5100,250,UVR1E682MHD,Uni-Polar,Radial Lead,Standard,2900,MP,Normal,14.2
25,6800,0.051,20,31,-40,85,0.26,2000,5100,200,UVR1E682MRD6,Uni-Polar,Radial Lead,Standard,2700,EOL,Normal,13.7
25,10000,0.045,20,40,-40,85,0.34,2000,7500,150,UVR1E103MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,Normal,19.6
25,10000,0.045,25,30,-40,85,0.34,2000,7500,160,UVR1E103MRD6,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,21.5
25,15000,0.039,22,50,-40,85,0.44,2000,11250,250,UVR1E153MRD,Uni-Polar,Radial Lead,Standard,3800,EOL,Normal,27.4
25,15000,0.039,25,40,-40,85,0.44,2000,11250,180,UVR1E153MRD6,Uni-Polar,Radial Lead,Standard,3600,EOL,Normal,27.4
25,22000,0.035,25,50,-40,85,0.58,2000,16500,140,UVR1E223MRD,Uni-Polar,Radial Lead,Standard,4500,EOL,Normal,38.8
35,4.7,39.507,5,11,-40,85,0.14,2000,5,6000,UVR1V4R7MDD,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.44
35,10,18.568,5,11,-40,85,0.14,2000,11,6000,UVR1V100MDD,Uni-Polar,Radial Lead,Standard,60,EOL,Normal,0.44
35,22,8.44,5,11,-40,85,0.14,2000,23,6000,UVR1V220MDD,Uni-Polar,Radial Lead,Standard,90,EOL,Normal,0.44
35,33,5.627,5,11,-40,85,0.14,2000,35,6000,UVR1V330MDD,Uni-Polar,Radial Lead,Standard,105,EOL,Normal,0.44
35,47,3.951,5,11,-40,85,0.14,2000,49,6000,UVR1V470MDD,Uni-Polar,Radial Lead,Standard,130,EOL,Normal,0.44
35,100,1.857,6.3,11,-40,85,0.14,2000,105,4000,UVR1V101MED,Uni-Polar,Radial Lead,Standard,210,EOL,Normal,0.59
35,220,0.844,10,12.5,-40,85,0.14,2000,231,2000,UVR1V221MPD,Uni-Polar,Radial Lead,Standard,385,MP,Normal,1.49
35,330,0.563,10,12.5,-40,85,0.14,2000,347,2000,UVR1V331MPD,Uni-Polar,Radial Lead,Standard,490,MP,Normal,1.49
35,470,0.395,10,16,-40,85,0.14,2000,494,1800,UVR1V471MPD,Uni-Polar,Radial Lead,Standard,650,MP,Normal,1.77
