Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
16,3900,0.042,16,20,0.16,0.075,1.33,1.27,1.0,1.2,0.063,0.021,EKZN160E□□392ML20S,3330,62400.0
16,4700,0.049,18,20,0.16,0.068,1.18,1.15,1.0,1.12,0.06,0.02,EKZN160E□□472MM20S,3450,75200.0
16,5600,0.044,16,25,0.16,0.062,1.18,1.15,1.0,1.12,0.051,0.017,EKZN160E□□562ML25S,3810,89600.0
16,6800,0.039,16,31.5,0.16,0.055,1.18,1.15,1.0,1.12,0.048,0.016,EKZN160E□□682MLN3S,4100,108800.0
16,6800,0.039,18,25,0.16,0.055,1.18,1.15,1.0,1.12,0.048,0.016,EKZN160E□□682MM25S,3880,108800.0
16,8200,0.037,16,35.5,0.16,0.052,1.18,1.15,1.0,1.12,0.042,0.014,EKZN160E□□822MLP1S,4280,131200.0
16,8200,0.037,18,31.5,0.16,0.052,1.18,1.15,1.0,1.12,0.042,0.014,EKZN160E□□822MMN3S,4190,131200.0
16,10000,0.034,16,40,0.16,0.048,1.18,1.15,1.0,1.12,0.039,0.013,EKZN160E□□103ML40S,4580,160000.0
16,10000,0.034,18,35.5,0.16,0.048,1.18,1.15,1.0,1.12,0.036,0.012,EKZN160E□□103MMP1S,4380,160000.0
16,12000,0.032,18,40,0.16,0.044,1.18,1.15,1.0,1.12,0.033,0.011,EKZN160E□□123MM40S,4960,192000.0
25,68,0.437,5,11,0.14,2.731,2.5,2.25,1.0,1.88,1.2,0.38,EKZN250E□□680ME11D,450,1700.0
25,150,0.198,6.3,11,0.14,1.238,2.5,2.25,1.0,1.88,0.51,0.17,EKZN250E□□151MF11D,700,3750.0
25,270,0.172,8,11.5,0.14,0.688,2.0,1.88,1.0,1.7,0.23,0.075,EKZN250E□□271MHB5D,1200,6750.0
25,470,0.099,8,15,0.14,0.395,2.0,1.88,1.0,1.7,0.18,0.059,EKZN250E□□471MH15D,1600,11750.0
25,470,0.099,10,12.5,0.14,0.395,2.0,1.88,1.0,1.7,0.16,0.053,EKZN250E□□471MJC5S,1700,11750.0
25,560,0.083,8,20,0.14,0.332,2.0,1.88,1.0,1.7,0.13,0.041,EKZN250E□□561MH20D,1960,14000.0
25,680,0.098,10,16,0.14,0.273,1.67,1.58,1.0,1.45,0.12,0.038,EKZN250E□□681MJ16S,2000,17000.0
25,820,0.081,10,20,0.14,0.226,1.67,1.58,1.0,1.45,0.084,0.028,EKZN250E□□821MJ20S,2500,20500.0
25,1000,0.076,12.5,16,0.14,0.212,1.67,1.58,1.0,1.45,0.11,0.035,EKZN250E□□102MK16S,2400,25000.0
25,1200,0.063,10,25,0.14,0.177,1.67,1.58,1.0,1.45,0.072,0.026,EKZN250E□□122MJ25S,2900,30000.0
25,1500,0.051,12.5,20,0.14,0.141,1.67,1.58,1.0,1.45,0.075,0.025,EKZN250E□□152MK20S,2600,37500.0
25,1800,0.042,12.5,25,0.14,0.118,1.67,1.58,1.0,1.45,0.057,0.019,EKZN250E□□182MK25S,3200,45000.0
25,2200,0.061,12.5,30,0.14,0.109,1.33,1.27,1.0,1.2,0.054,0.018,EKZN250E□□222MK30S,3660,55000.0
25,2200,0.061,16,20,0.14,0.109,1.33,1.27,1.0,1.2,0.063,0.021,EKZN250E□□222ML20S,3330,55000.0
25,2700,0.05,12.5,35,0.14,0.088,1.33,1.27,1.0,1.2,0.048,0.016,EKZN250E□□272MK35S,4120,67500.0
25,3300,0.045,16,25,0.14,0.08,1.33,1.27,1.0,1.2,0.051,0.017,EKZN250E□□332ML25S,3810,82500.0
25,3300,0.045,18,20,0.14,0.08,1.33,1.27,1.0,1.2,0.06,0.02,EKZN250E□□332MM20S,3450,82500.0
25,4700,0.045,16,31.5,0.14,0.062,1.18,1.15,1.0,1.12,0.048,0.016,EKZN250E□□472MLN3S,4100,117500.0
25,4700,0.045,18,25,0.14,0.062,1.18,1.15,1.0,1.12,0.048,0.016,EKZN250E□□472MM25S,3880,117500.0
25,5600,0.041,16,35.5,0.14,0.057,1.18,1.15,1.0,1.12,0.042,0.014,EKZN250E□□562MLP1S,4280,140000.0
25,5600,0.041,18,31.5,0.14,0.057,1.18,1.15,1.0,1.12,0.042,0.014,EKZN250E□□562MMN3S,4190,140000.0
25,6800,0.036,16,40,0.14,0.051,1.18,1.15,1.0,1.12,0.039,0.013,EKZN250E□□682ML40S,4580,170000.0
25,6800,0.036,18,35.5,0.14,0.051,1.18,1.15,1.0,1.12,0.036,0.012,EKZN250E□□682MMP1S,4380,170000.0
25,8200,0.035,18,40,0.14,0.049,1.18,1.15,1.0,1.12,0.033,0.011,EKZN250E□□822MM40S,4960,205000.0
35,47,0.542,5,11,0.12,3.386,2.5,2.25,1.0,1.88,1.2,0.38,EKZN350E□□470ME11D,450,1645.0
35,100,0.255,6.3,11,0.12,1.592,2.5,2.25,1.0,1.88,0.51,0.17,EKZN350E□□101MF11D,700,3500.0
35,180,0.141,8,11.5,0.12,0.884,2.5,2.25,1.0,1.88,0.23,0.075,EKZN350E□□181MHB5D,1200,6300.0
35,220,0.181,8,15,0.12,0.723,2.0,1.88,1.0,1.7,0.18,0.059,EKZN350E□□221MH15D,1600,7700.0
35,270,0.147,10,12.5,0.12,0.589,2.0,1.88,1.0,1.7,0.16,0.053,EKZN350E□□271MJC5S,1700,9450.0
35,330,0.121,8,20,0.12,0.482,2.0,1.88,1.0,1.7,0.13,0.041,EKZN350E□□331MH20D,1960,11550.0
35,390,0.102,10,16,0.12,0.408,2.0,1.88,1.0,1.7,0.12,0.038,EKZN350E□□391MJ16S,2000,13650.0
35,470,0.085,10,20,0.12,0.339,2.0,1.88,1.0,1.7,0.084,0.028,EKZN350E□□471MJ20S,2500,16450.0
35,560,0.071,12.5,16,0.12,0.284,2.0,1.88,1.0,1.7,0.11,0.035,EKZN350E□□561MK16S,2400,19600.0
35,680,0.084,10,25,0.12,0.234,1.67,1.58,1.0,1.45,0.072,0.026,EKZN350E□□681MJ25S,2900,23800.0
35,820,0.07,12.5,20,0.12,0.194,1.67,1.58,1.0,1.45,0.075,0.025,EKZN350E□□821MK20S,2600,28700.0
35,1200,0.055,12.5,25,0.12,0.155,1.67,1.58,1.0,1.45,0.057,0.019,EKZN350E□□122MK25S,3200,42000.0
35,1500,0.044,12.5,30,0.12,0.124,1.67,1.58,1.0,1.45,0.054,0.018,EKZN350E□□152MK30S,3660,52500.0
35,1500,0.044,16,20,0.12,0.124,1.67,1.58,1.0,1.45,0.063,0.021,EKZN350E□□152ML20S,3330,52500.0
35,1800,0.037,12.5,35,0.12,0.103,1.67,1.58,1.0,1.45,0.048,0.016,EKZN350E□□182MK35S,4120,63000.0
35,1800,0.037,16,25,0.12,0.103,1.67,1.58,1.0,1.45,0.051,0.017,EKZN350E□□182ML25S,3810,63000.0
