Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
16,100,1.989,1.989,0.23,5,11,-40,105,0.15,1.989,5000,,,,,0.76,16,6000,UHV1C101MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,1600.0,Normal,0.44
16,150,0.262,0.212,0.1,6.3,11,-40,105,0.15,1.326,5000,2.5,2.25,1.0,1.88,0.33,24,4000,UHV1C151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,2400.0,Normal,0.59
16,220,0.256,0.226,0.1,6.3,11,-40,105,0.15,0.904,5000,2.0,1.88,1.0,1.7,0.33,35,4000,UHV1C221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,3520.0,Normal,0.59
16,330,0.171,0.151,0.059,8,11.5,-40,105,0.15,0.603,6000,2.0,1.88,1.0,1.7,0.181,53,3000,UHV1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,830,MP,5280.0,Normal,1.19
16,470,0.12,0.106,0.059,8,11.5,-40,105,0.15,0.423,6000,2.0,1.88,1.0,1.7,0.181,75,3000,UHV1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,7520.0,Normal,1.19
16,680,0.117,0.105,0.046,8,15,-40,105,0.15,0.293,6000,1.67,1.58,1.0,1.45,0.143,109,2000,UHV1C681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,10880.0,Normal,1.36
16,680,0.117,0.105,0.043,10,12.5,-40,105,0.15,0.293,6000,1.67,1.58,1.0,1.45,0.133,109,2000,UHV1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,10880.0,Normal,1.49
16,820,0.097,0.087,0.03,10,16,-40,105,0.15,0.243,6000,1.67,1.58,1.0,1.45,0.095,131,1800,UHV1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1650,MP,13120.0,Normal,1.77
16,1000,0.09,0.081,0.031,8,20,-40,105,0.15,0.225,6000,1.67,1.58,1.0,1.45,0.105,160,2000,UHV1C102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,16000.0,Normal,1.66
16,1000,0.09,0.081,0.03,10,16,-40,105,0.15,0.225,6000,1.67,1.58,1.0,1.45,0.095,160,1800,UHV1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,16000.0,Normal,1.77
16,1200,0.075,0.067,0.019,10,20,-40,105,0.15,0.188,6000,1.67,1.58,1.0,1.45,0.057,192,1400,UHV1C122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1930,MP,19200.0,Normal,2.34
16,1500,0.06,0.054,0.019,10,20,-40,105,0.15,0.15,6000,1.67,1.58,1.0,1.45,0.057,240,1400,UHV1C152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,24000.0,Normal,2.34
16,1800,0.05,0.045,0.017,10,25,-40,105,0.15,0.125,6000,1.67,1.58,1.0,1.45,0.051,288,1200,UHV1C182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,28800.0,Normal,3.07
16,2200,0.078,0.072,0.016,12.5,20,-40,105,0.17,0.127,6000,1.33,1.27,1.0,1.2,0.041,352,1000,UHV1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,35200.0,Normal,3.43
