Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
350,220,1.206,18,40,0.2,2.7,1.2
350,270,0.982,18,50,0.2,2.8,1.4
400,12,22.105,10,16,0.2,0.4,0.16
400,18,14.737,10,20,0.2,0.55,0.22
400,18,14.737,16,16,0.2,0.575,0.23
400,22,12.057,10,25,0.2,0.6,0.24
400,27,9.824,10,25,0.2,0.725,0.29
400,27,9.824,12.5,20,0.2,0.75,0.3
400,27,9.824,12.5,25,0.2,0.85,0.34
400,33,8.038,10,35,0.2,0.85,0.34
400,33,8.038,12.5,25,0.2,0.875,0.35
400,33,8.038,12.5,30,0.2,1.0,0.4
400,33,8.038,14.5,20,0.2,0.875,0.35
400,39,6.801,10,40,0.2,0.975,0.39
400,39,6.801,14.5,25,0.2,1.088,0.435
400,39,6.801,16,20,0.2,1.0,0.4
400,47,5.644,10,45,0.2,1.1,0.44
400,47,5.644,12.5,30,0.2,1.1,0.44
400,47,5.644,12.5,35,0.2,1.263,0.505
400,47,5.644,14.5,25,0.2,1.125,0.45
400,47,5.644,16,25,0.2,1.1,0.44
400,56,4.737,12.5,35,0.2,1.275,0.51
400,56,4.737,12.5,40,0.2,1.425,0.57
400,56,4.737,14.5,30,0.2,1.4,0.56
400,56,4.737,16,25,0.2,1.275,0.51
400,56,4.737,18,20,0.2,1.2,0.48
400,68,3.901,12.5,45,0.2,1.5,0.6
400,68,3.901,12.5,50,0.2,1.675,0.67
400,68,3.901,14.5,35,0.2,1.6,0.64
400,68,3.901,16,30,0.2,1.4,0.56
400,68,3.901,18,25,0.2,1.538,0.615
400,82,3.235,12.5,50,0.2,1.725,0.69
400,82,3.235,14.5,40,0.2,1.7,0.68
400,82,3.235,14.5,45,0.2,1.875,0.75
400,82,3.235,16,30,0.2,1.6,0.64
400,82,3.235,16,35,0.2,1.725,0.69
400,82,3.235,18,25,0.2,1.6,0.64
400,82,3.235,18,30,0.2,1.825,0.73
400,100,2.653,14.5,45,0.2,1.778,0.79
400,100,2.653,14.5,50,0.2,1.901,0.845
400,100,2.653,16,35,0.2,1.643,0.73
400,100,2.653,16,40,0.2,1.8,0.8
400,100,2.653,18,30,0.2,1.755,0.78
400,100,2.653,18,35,0.2,1.879,0.835
400,120,2.21,16,40,0.2,1.89,0.84
400,120,2.21,16,45,0.2,2.07,0.92
400,120,2.21,18,35,0.2,1.913,0.85
400,120,2.21,18,40,0.2,2.093,0.93
400,150,1.768,16,50,0.2,2.115,0.94
400,150,1.768,18,40,0.2,2.25,1.0
400,150,1.768,18,45,0.2,2.385,1.06
400,180,1.474,18,45,0.2,2.475,1.1
420,15,22.105,10,20,0.25,0.475,0.19
420,18,18.421,10,25,0.25,0.575,0.23
420,22,15.072,10,25,0.25,0.625,0.25
420,27,12.28,10,30,0.25,0.725,0.29
420,27,12.28,12.5,20,0.25,0.75,0.3
420,27,12.28,12.5,25,0.25,0.85,0.34
420,33,10.048,10,35,0.25,0.85,0.34
420,33,10.048,12.5,25,0.25,0.875,0.35
420,33,10.048,12.5,30,0.25,1.0,0.4
420,33,10.048,14.5,20,0.25,0.875,0.35
420,39,8.502,10,40,0.25,0.975,0.39
420,39,8.502,14.5,25,0.25,1.088,0.435
420,39,8.502,16,20,0.25,1.0,0.4
420,47,7.055,10,45,0.25,1.1,0.44
420,47,7.055,12.5,30,0.25,1.1,0.44
420,47,7.055,12.5,35,0.25,1.263,0.505
