Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
160,220,0.536,,20,25,-40,85,0.2,1.206,2000,1508,250,URS2C221MRD,Uni-Polar,Radial Lead,Lo-Profile,1155,770,1031.8,947.1,616,EOL,35200,Normal,11.5
200,33,,,16,15,-40,85,0.2,8.038,2000,364,700,URS2D330MHD,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,6600,Normal,4.74
200,47,1.411,,16,20,-40,85,0.2,5.644,2000,476,600,URS2D470MHD6,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,9400,Normal,6.6
200,47,1.411,,18,15,-40,85,0.2,5.644,2000,476,400,URS2D470MHD,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,9400,Normal,6.31
200,68,,,18,20,-40,85,0.2,3.901,2000,644,400,URS2D680MHD,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,LTB,13600,Normal,9
200,68,,,20,15,-40,85,0.2,3.901,2000,644,300,URS2D680MRD6,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,EOL,13600,Normal,7.32
200,100,1.179,,18,25,-40,85,0.2,2.653,2000,900,300,URS2D101MHD,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,LTB,20000,Normal,10.6
200,100,1.179,,20,20,-40,85,0.2,2.653,2000,900,250,URS2D101MRD6,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,EOL,20000,Normal,9.81
200,150,0.786,,18,25,-40,85,0.2,1.768,2000,1300,300,URS2D151MHD,Uni-Polar,Radial Lead,Lo-Profile,1065,710,951.4,873.3,568,LTB,30000,Normal,10.6
250,22,,,16,15,-40,85,0.2,12.057,2000,320,700,URS2E220MHD,Uni-Polar,Radial Lead,Lo-Profile,,280,,,,LTB,5500,Normal,4.74
250,33,,,16,20,-40,85,0.2,8.038,2000,430,600,URS2E330MHD6,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,8250,Normal,6.6
250,33,,,18,15,-40,85,0.2,8.038,2000,430,400,URS2E330MHD,Uni-Polar,Radial Lead,Lo-Profile,,350,,,,LTB,8250,Normal,6.31
250,47,1.411,,18,20,-40,85,0.2,5.644,2000,570,400,URS2E470MHD,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,LTB,11750,Normal,9
250,47,1.411,,20,15,-40,85,0.2,5.644,2000,570,300,URS2E470MRD6,Uni-Polar,Radial Lead,Lo-Profile,840,420,659.4,567,315,EOL,11750,Normal,7.32
250,68,,,18,20,-40,85,0.2,3.901,2000,780,400,URS2E680MHD,Uni-Polar,Radial Lead,Lo-Profile,,490,,,,LTB,17000,Normal,9
250,100,1.179,,18,25,-40,85,0.2,2.653,2000,1100,300,URS2E101MHD,Uni-Polar,Radial Lead,Lo-Profile,885,590,790.6,725.7,472,LTB,25000,Normal,10.6
400,10,,,16,15,-40,85,0.25,33.157,2000,260,700,URS2G100MHD,Uni-Polar,Radial Lead,Lo-Profile,,140,,,,LTB,4000,Normal,4.74
400,22,,,16,20,-40,85,0.25,15.072,2000,452,600,URS2G220MHD6,Uni-Polar,Radial Lead,Lo-Profile,,280,,,,LTB,8800,Normal,6.6
400,22,,,18,15,-40,85,0.25,15.072,2000,452,400,URS2G220MHD,Uni-Polar,Radial Lead,Lo-Profile,,280,,,,LTB,8800,Normal,6.31
