Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,5600,0.3,0.029,16,20,-55,105,0.095,8000,0.058,1058,600,UPW0J562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2210,2210,1872.88,2097.63,1985.25,1760.51,MP,35280,Normal,6.6
6.3,6800,0.32,0.022,16,25,-55,105,0.086,8000,0.044,1285,400,UPW0J682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2560,2560,2169.49,2429.83,2299.66,2039.32,MP,42840,Normal,8.2
6.3,6800,0.32,0.028,18,20,-55,105,0.086,8000,0.056,1285,400,UPW0J682MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2490,2490,2110.17,2363.39,2236.78,1983.56,MP,42840,Normal,9
6.3,8200,0.36,0.018,16,30.5,-55,105,0.084,8000,0.036,1550,300,UPW0J822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3010,3010,2550.85,2856.95,2703.9,2397.8,MP,51660,Normal,9.6
6.3,10000,0.4,0.016,16,30.5,-55,105,0.08,8000,0.032,1890,300,UPW0J103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3150,3150,2669.49,2989.83,2829.66,2509.32,MP,63000,Normal,9.6
6.3,10000,0.4,0.02,18,25,-55,105,0.08,8000,0.04,1890,300,UPW0J103MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2740,2740,2322.03,2600.68,2461.36,2182.71,MP,63000,Normal,10.6
6.3,12000,0.44,0.016,18,30.5,-55,105,0.075,8000,0.032,2268,300,UPW0J123MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3635,3635,3080.51,3450.17,3265.34,2895.68,MP,75600,Normal,13.1
6.3,15000,0.5,0.015,18,35.5,-55,105,0.071,8000,0.03,2835,250,UPW0J153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3680,3680,3118.64,3492.88,3305.76,2931.53,MP,94500,Normal,14.2
10,22,0.19,0.6,5,11,-55,105,11.454,2000,1.2,7,6000,UPW1A220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,220,Normal,0.44
10,33,0.19,0.6,5,11,-55,105,7.636,2000,1.2,10,6000,UPW1A330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,330,Normal,0.44
10,47,0.19,0.6,5,11,-55,105,5.362,2000,1.2,14,6000,UPW1A470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,470,Normal,0.44
10,82,0.19,0.6,5,11,-55,105,3.073,2000,1.2,25,6000,UPW1A820MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,116.88,153.12,134.42,99.35,EOL,820,Normal,0.44
10,100,0.19,0.6,5,11,-55,105,2.52,2000,1.2,30,6000,UPW1A101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,116.88,153.12,134.42,99.35,EOL,1000,Normal,0.44
10,150,0.19,0.25,6.3,11,-55,105,1.68,2000,0.5,45,4000,UPW1A151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,1500,Normal,0.59
10,180,0.19,0.25,6.3,11,-55,105,1.4,2000,0.5,54,4000,UPW1A181MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,1800,Normal,0.59
10,220,0.19,0.25,6.3,11,-55,105,1.145,2000,0.5,66,4000,UPW1A221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,2200,Normal,0.59
10,220,0.19,0.23,6.3,15,-55,105,1.145,2000,0.46,66,4000,UPW1A221MED6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,430,430,279.22,365.78,321.1,237.34,EOL,2200,Normal,0.72
10,330,0.19,0.117,8,11.5,-55,105,0.764,3000,0.234,99,3000,UPW1A331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,555,360.39,472.11,414.45,306.33,MP,3300,Normal,1.19
10,470,0.19,0.117,8,11.5,-55,105,0.536,3000,0.234,141,3000,UPW1A471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,555,417.29,500.75,446.5,388.08,MP,4700,Normal,1.19
10,680,0.19,0.085,8,15,-55,105,0.371,3000,0.17,204,2000,UPW1A681MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,730,730,548.87,658.65,587.29,510.45,MP,6800,Normal,1.36
10,680,0.19,0.09,10,12.5,-55,105,0.371,5000,0.18,204,2000,UPW1A681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,760,760,571.43,685.71,611.43,531.43,MP,6800,Normal,1.49
10,1000,0.19,0.065,8,20,-55,105,0.279,3000,0.13,300,2000,UPW1A102MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,995,995,748.12,897.74,800.49,695.75,MP,10000,Normal,1.66
10,1000,0.19,0.068,10,16,-55,105,0.279,5000,0.136,300,1800,UPW1A102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1050,1050,789.47,947.37,844.74,734.21,MP,10000,Normal,1.77
10,1200,0.19,0.052,10,20,-55,105,0.232,5000,0.104,360,1400,UPW1A122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,1033.9,1157.97,1095.93,971.86,MP,12000,Normal,2.34
10,1500,0.19,0.052,10,20,-55,105,0.186,5000,0.104,450,1400,UPW1A152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,1033.9,1157.97,1095.93,971.86,MP,15000,Normal,2.34
10,1500,0.19,0.045,10,25,-55,105,0.186,5000,0.09,450,1200,UPW1A152MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1440,1440,1220.34,1366.78,1293.56,1147.12,MP,15000,Normal,3.07
10,2200,0.21,0.035,10,30.5,-55,105,0.151,5000,0.07,660,1000,UPW1A222MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1815,1815,1538.14,1722.71,1630.42,1445.85,MP,22000,Normal,3.21
10,2200,0.21,0.038,12.5,20,-55,105,0.151,7000,0.076,660,1000,UPW1A222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1655,1655,1402.54,1570.85,1486.69,1318.39,MP,22000,Normal,3.43
10,2700,0.21,0.03,12.5,25,-55,105,0.123,7000,0.06,810,800,UPW1A272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1945,1945,1648.31,1846.1,1747.2,1549.41,MP,27000,Normal,4.56
10,3300,0.23,0.03,12.5,25,-55,105,0.117,7000,0.06,990,800,UPW1A332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1950,1950,1652.54,1850.85,1751.69,1553.39,MP,33000,Normal,4.56
10,3300,0.23,0.025,12.5,30.5,-55,105,0.117,7000,0.05,990,600,UPW1A332MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2310,2310,1957.63,2192.54,2075.08,1840.17,MP,33000,Normal,6.01
10,3900,0.23,0.022,12.5,35.5,-55,105,0.099,7000,0.044,1170,500,UPW1A392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2510,2510,2127.12,2382.37,2254.75,1999.49,MP,39000,Normal,7.06
10,3900,0.23,0.029,16,20,-55,105,0.099,8000,0.058,1170,600,UPW1A392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2210,2210,1872.88,2097.63,1985.25,1760.51,MP,39000,Normal,6.6
10,4700,0.25,0.022,16,25,-55,105,0.093,8000,0.044,1410,400,UPW1A472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2555,2555,2165.25,2425.08,2295.17,2035.34,MP,47000,Normal,8.2
10,5600,0.27,0.022,16,25,-55,105,0.088,8000,0.044,1680,400,UPW1A562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2560,2560,2169.49,2429.83,2299.66,2039.32,MP,56000,Normal,8.2
10,5600,0.27,0.028,18,20,-55,105,0.088,8000,0.056,1680,400,UPW1A562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2490,2490,2110.17,2363.39,2236.78,1983.56,MP,56000,Normal,9
10,6800,0.29,0.018,16,30.5,-55,105,0.08,8000,0.036,2040,300,UPW1A682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3010,3010,2550.85,2856.95,2703.9,2397.8,MP,68000,Normal,9.6
10,6800,0.29,0.02,18,25,-55,105,0.08,8000,0.04,2040,300,UPW1A682MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2740,2740,2322.03,2600.68,2461.36,2182.71,MP,68000,Normal,10.6
10,8200,0.33,0.016,16,35.5,-55,105,0.079,8000,0.032,2460,300,UPW1A822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3150,3150,2669.49,2989.83,2829.66,2509.32,MP,82000,Normal,11.8
10,8200,0.33,0.016,18,30.5,-55,105,0.079,8000,0.032,2460,300,UPW1A822MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3635,3635,3080.51,3450.17,3265.34,2895.68,MP,82000,Normal,13.1
10,10000,0.37,0.015,18,35.5,-55,105,0.076,8000,0.03,3000,250,UPW1A103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3680,3680,3118.64,3492.88,3305.76,2931.53,MP,100000,Normal,14.2
10,15000,0.47,0.014,18,40,-55,105,0.068,8000,0.028,4500,200,UPW1A153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3800,3800,3220.34,3606.78,3413.56,3027.12,MP,150000,Normal,17.7
16,10,0.16,0.6,5,11,-55,105,21.221,2000,1.2,5,6000,UPW1C100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,,,,,,EOL,160,Normal,0.44
16,22,0.16,0.6,5,11,-55,105,9.646,2000,1.2,11,6000,UPW1C220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,352,Normal,0.44
16,33,0.16,0.6,5,11,-55,105,6.431,2000,1.2,16,6000,UPW1C330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,528,Normal,0.44
16,47,0.16,0.6,5,11,-55,105,4.515,2000,1.2,23,6000,UPW1C470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,752,Normal,0.44
16,56,0.16,0.6,5,11,-55,105,3.789,2000,1.2,27,6000,UPW1C560MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,,,,,,EOL,896,Normal,0.44
16,100,0.16,0.25,6.3,11,-55,105,2.122,2000,0.5,48,4000,UPW1C101MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,1600,Normal,0.59
16,120,0.16,0.25,6.3,11,-55,105,1.768,2000,0.5,58,4000,UPW1C121MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,1920,Normal,0.59
16,150,0.16,0.25,6.3,11,-55,105,1.415,2000,0.5,72,4000,UPW1C151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,290,290,188.31,246.69,216.56,160.06,EOL,2400,Normal,0.59
