Rated voltage (V),Capacitance (μF),Case size øD,Case size L,Ripple current (mA rms),tan δ,Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Straight leads,Taping
16.0,3300.0,12.5,25.0,1200,0.24,0.6,5.0,5.0,—,ECA1CM332( ),200,500
16.0,4700.0,16.0,25.0,1360,0.26,0.8,7.5,7.5,—,ECA1CM472( ),100,250
16.0,6800.0,16.0,31.5,1600,0.3,0.8,7.5,—,—,ECA1CM682,100,—
16.0,10000.0,18.0,35.5,1800,0.38,0.8,7.5,—,—,ECA1CM103,50,—
25.0,100.0,6.3,11.2,180,0.16,0.5,2.5,5.0,2.5,ECA1EM101( ),200,2000
25.0,330.0,8.0,11.5,390,0.16,0.6,3.5,5.0,—,ECA1EM331( ),200,1000
25.0,470.0,10.0,12.5,480,0.16,0.6,5.0,5.0,—,ECA1EM471( ),200,500
25.0,1000.0,10.0,20.0,850,0.16,0.6,5.0,5.0,—,ECA1EM102( ),200,500
25.0,2200.0,12.5,25.0,1200,0.18,0.6,5.0,5.0,—,ECA1EM222( ),200,500
25.0,3300.0,16.0,25.0,1300,0.2,0.8,7.5,7.5,—,ECA1EM332( ),100,250
25.0,4700.0,16.0,31.5,1500,0.22,0.8,7.5,—,—,ECA1EM472,100,—
25.0,6800.0,18.0,35.5,1750,0.26,0.8,7.5,—,—,ECA1EM682,50,—
35.0,10.0,5.0,11.0,60,0.12,0.5,2.0,5.0,2.5,ECA1VM100( ),200,2000
35.0,47.0,5.0,11.0,130,0.14,0.5,2.0,5.0,2.5,ECA1VM470( ),200,2000
35.0,100.0,6.3,11.2,210,0.14,0.5,2.5,5.0,2.5,ECA1VM101( ),200,2000
35.0,220.0,8.0,11.5,350,0.14,0.6,3.5,5.0,—,ECA1VM221( ),200,1000
35.0,330.0,10.0,12.5,440,0.14,0.6,5.0,5.0,—,ECA1VM331( ),200,500
35.0,470.0,10.0,16.0,550,0.14,0.6,5.0,5.0,—,ECA1VM471( ),200,500
35.0,1000.0,12.5,20.0,900,0.14,0.6,5.0,5.0,—,ECA1VM102( ),200,500
35.0,2200.0,16.0,25.0,1250,0.16,0.8,7.5,7.5,—,ECA1VM222( ),100,250
35.0,3300.0,16.0,31.5,1400,0.18,0.8,7.5,—,—,ECA1VM332,100,—
35.0,4700.0,18.0,35.5,1600,0.2,0.8,7.5,—,—,ECA1VM472,50,—
50.0,2.2,5.0,11.0,20,0.12,0.5,2.0,5.0,2.5,ECA1HM2R2( ),200,2000
50.0,3.3,5.0,11.0,35,0.12,0.5,2.0,5.0,2.5,ECA1HM3R3( ),200,2000
50.0,4.7,5.0,11.0,45,0.12,0.5,2.0,5.0,2.5,ECA1HM4R7( ),200,2000
50.0,10.0,5.0,11.0,65,0.12,0.5,2.0,5.0,2.5,ECA1HM100( ),200,2000
50.0,22.0,5.0,11.0,100,0.12,0.5,2.0,5.0,2.5,ECA1HM220( ),200,2000
50.0,33.0,5.0,11.0,110,0.12,0.5,2.0,5.0,2.5,ECA1HM330( ),200,2000
50.0,47.0,6.3,11.2,130,0.12,0.5,2.5,5.0,2.5,ECA1HM470( ),200,2000
50.0,100.0,8.0,11.5,250,0.12,0.6,3.5,5.0,—,ECA1HM101( ),200,1000
50.0,220.0,10.0,12.5,400,0.12,0.6,5.0,5.0,—,ECA1HM221( ),200,500
50.0,330.0,10.0,16.0,500,0.12,0.6,5.0,5.0,—,ECA1HM331( ),200,500
50.0,470.0,10.0,20.0,650,0.12,0.6,5.0,5.0,—,ECA1HM471( ),200,500
50.0,1000.0,12.5,25.0,1050,0.12,0.6,5.0,5.0,—,ECA1HM102( ),200,500
50.0,2200.0,16.0,31.5,1300,0.14,0.8,7.5,—,—,ECA1HM222,100,—
50.0,3300.0,18.0,35.5,1500,0.16,0.8,7.5,—,—,ECA1HM332,50,—
63.0,10.0,5.0,11.0,70,0.11,0.5,2.0,5.0,2.5,ECA1JM100( ),200,2000
63.0,22.0,5.0,11.0,105,0.11,0.5,2.0,5.0,2.5,ECA1JM220( ),200,2000
63.0,33.0,6.3,11.2,130,0.11,0.5,2.5,5.0,2.5,ECA1JM330( ),200,2000
63.0,47.0,6.3,11.2,160,0.11,0.5,2.5,5.0,2.5,ECA1JM470( ),200,2000
63.0,100.0,8.0,11.5,270,0.11,0.6,3.5,5.0,—,ECA1JM101( ),200,1000
63.0,220.0,10.0,16.0,450,0.11,0.6,5.0,5.0,—,ECA1JM221( ),200,500
63.0,330.0,10.0,20.0,550,0.11,0.6,5.0,5.0,—,ECA1JM331( ),200,500
63.0,470.0,12.5,20.0,750,0.11,0.6,5.0,5.0,—,ECA1JM471( ),200,500
63.0,1000.0,16.0,25.0,1100,0.11,0.8,7.5,7.5,—,ECA1JM102( ),100,250
63.0,2200.0,18.0,35.5,1400,0.13,0.8,7.5,—,—,ECA1JM222,50,—
