Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current 105C@100kHz (mA rms),Impedance (Ω) 20C@100kHz,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
25.0,680.0,12.5,30.0,3160,0.016,10000,0.8,5.0,—,—,EEUFR1E681L,100,—
25.0,820.0,12.5,35.0,3270,0.014,10000,0.8,5.0,—,—,EEUFR1E821L,100,—
25.0,820.0,16.0,20.0,2870,0.019,10000,0.8,7.5,7.5,—,EEUFR1E821S( ),100,250
25.0,1000.0,16.0,25.0,3320,0.016,10000,0.8,7.5,7.5,—,EEUFR1E102( ),100,250
35.0,18.0,5.0,11.0,175,0.51,5000,0.5,2.0,5.0,2.5,EEUFR1H180( ),200,2000
35.0,47.0,6.3,11.2,284,0.21,5000,0.5,2.5,5.0,2.5,EEUFR1H470( ),200,2000
35.0,82.0,8.0,11.5,566,0.092,6000,0.6,3.5,5.0,—,EEUFR1H820( ),200,1000
35.0,100.0,8.0,15.0,741,0.068,8000,0.6,3.5,5.0,—,EEUFR1H101L( ),200,1000
35.0,100.0,10.0,12.5,761,0.063,6000,0.6,5.0,5.0,—,EEUFR1H101( ),200,500
35.0,120.0,8.0,20.0,930,0.05,9000,0.6,3.5,5.0,—,EEUFR1H121L( ),200,1000
35.0,120.0,10.0,16.0,1073,0.045,8000,0.6,5.0,5.0,—,EEUFR1H121( ),200,500
35.0,150.0,8.0,20.0,930,0.05,9000,0.6,3.5,5.0,—,EEUFR1H151L( ),200,1000
35.0,150.0,10.0,16.0,1073,0.045,8000,0.6,5.0,5.0,—,EEUFR1H151( ),200,500
35.0,180.0,10.0,20.0,1229,0.035,10000,0.6,5.0,5.0,—,EEUFR1H181( ),200,500
35.0,220.0,10.0,25.0,1500,0.033,10000,0.6,5.0,5.0,—,EEUFR1H221L( ),200,500
35.0,270.0,10.0,20.0,1229,0.035,10000,0.6,5.0,5.0,—,EEUFR1H271U( ),200,500
35.0,270.0,10.0,25.0,1500,0.033,10000,0.6,5.0,5.0,—,EEUFR1H271L( ),200,500
35.0,330.0,12.5,20.0,1582,0.033,10000,0.6,5.0,5.0,—,EEUFR1H271( ),200,500
35.0,330.0,12.5,20.0,1582,0.033,10000,0.6,5.0,5.0,—,EEUFR1H331( ),200,500
35.0,390.0,12.5,25.0,1995,0.027,10000,0.6,5.0,5.0,—,EEUFR1H391( ),200,500
35.0,470.0,12.5,25.0,1995,0.027,10000,0.6,5.0,5.0,—,EEUFR1H471( ),200,500
35.0,560.0,12.5,30.0,2528,0.024,10000,0.8,5.0,—,—,EEUFR1H561L,100,—
35.0,560.0,16.0,20.0,2153,0.029,10000,0.8,7.5,7.5,—,EEUFR1H561S( ),100,250
35.0,680.0,12.5,35.0,2780,0.021,10000,0.8,5.0,—,—,EEUFR1H681L,100,—
35.0,820.0,16.0,25.0,2988,0.024,10000,0.8,7.5,7.5,—,EEUFR1H821( ),100,250
50.0,33.0,5.0,11.0,280,0.3,5000,0.5,2.0,5.0,2.5,EEUFR1V330( ),200,2000
50.0,68.0,6.3,11.2,455,0.13,5000,0.5,2.5,5.0,2.5,EEUFR1V680( ),200,2000
50.0,100.0,8.0,11.5,950,0.056,6000,0.6,3.5,5.0,—,EEUFR1V101( ),200,1000
50.0,180.0,8.0,11.5,950,0.056,6000,0.6,3.5,5.0,—,EEUFR1V181( ),200,1000
50.0,220.0,8.0,11.5,950,0.056,6000,0.6,3.5,5.0,—,EEUFR1V221( ),200,1000
50.0,270.0,8.0,15.0,1240,0.041,8000,0.6,3.5,5.0,—,EEUFR1V271L( ),200,1000
