Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms) 105C @120Hz,tan δ,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
25,1000.0,10.0,16.0,680,0.16,2000,0.6,5.0,5.0,—,EEUHD1E102( ),200,500
25,2200.0,12.5,20.0,1090,0.18,2000,0.6,5.0,5.0,—,EEUHD1E222( ),200,500
25,3300.0,12.5,25.0,1400,0.2,2000,0.6,5.0,5.0,—,EEUHD1E332( ),200,500
25,4700.0,16.0,25.0,1750,0.22,2000,0.8,7.5,7.5,—,EEUHD1E472( ),100,250
25,5600.0,16.0,25.0,1750,0.24,2000,0.8,7.5,7.5,—,EEUHD1E562( ),100,250
25,6800.0,16.0,31.5,2040,0.26,2000,0.8,7.5,—,—,EEUHD1E682,100,—
25,10000.0,18.0,35.5,2200,0.34,2000,0.8,7.5,—,—,EEUHD1E103,50,—
35,47.0,5.0,11.0,90,0.14,1000,0.5,2.0,5.0,2.5,EEUHD1V470( ),200,2000
35,100.0,6.3,11.2,150,0.14,1000,0.5,2.5,5.0,2.5,EEUHD1V101( ),200,2000
35,220.0,8.0,11.5,270,0.14,1000,0.6,3.5,5.0,—,EEUHD1V221( ),200,1000
35,330.0,10.0,12.5,350,0.14,2000,0.6,5.0,5.0,—,EEUHD1V331( ),200,500
35,470.0,10.0,16.0,460,0.14,2000,0.6,5.0,5.0,—,EEUHD1V471( ),200,500
35,680.0,10.0,16.0,460,0.14,2000,0.6,5.0,5.0,—,EEUHD1V681( ),200,500
35,2200.0,12.5,25.0,1260,0.16,2000,0.6,5.0,5.0,—,EEUHD1V222( ),200,500
35,3300.0,16.0,25.0,1610,0.18,2000,0.8,7.5,7.5,—,EEUHD1V332( ),100,250
35,4700.0,16.0,31.5,1910,0.2,2000,0.8,7.5,—,—,EEUHD1V472,100,—
35,6800.0,18.0,35.5,2050,0.24,2000,0.8,7.5,—,—,EEUHD1V682,50,—
50,2.2,5.0,11.0,18,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H2R2( ),200,2000
50,3.3,5.0,11.0,22,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H3R3( ),200,2000
50,4.7,5.0,11.0,26,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H4R7( ),200,2000
50,10.0,5.0,11.0,39,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H100( ),200,2000
50,22.0,5.0,11.0,65,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H220( ),200,2000
50,33.0,5.0,11.0,90,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H330( ),200,2000
50,47.0,6.3,11.2,110,0.12,1000,0.5,2.5,5.0,2.5,EEUHD1H470( ),200,2000
50,68.0,6.3,11.2,110,0.12,1000,0.5,2.5,5.0,2.5,EEUHD1H680( ),200,2000
50,100.0,8.0,11.5,180,0.12,1000,0.6,3.5,5.0,—,EEUHD1H101( ),200,1000
50,220.0,10.0,12.5,300,0.12,2000,0.6,5.0,5.0,—,EEUHD1H221( ),200,500
50,330.0,10.0,16.0,410,0.12,2000,0.6,5.0,5.0,—,EEUHD1H331( ),200,500
50,470.0,10.0,20.0,530,0.12,2000,0.6,5.0,5.0,—,EEUHD1H471( ),200,500
50,560.0,16.0,15.0,650,0.12,2000,0.8,7.5,7.5,—,EEUHD1H561S( ),100,250
50,680.0,16.0,15.0,650,0.12,2000,0.8,7.5,7.5,—,EEUHD1H681S( ),100,250
50,1000.0,12.5,25.0,950,0.12,2000,0.6,5.0,5.0,—,EEUHD1H102( ),200,500
50,2200.0,16.0,31.5,1470,0.14,2000,0.8,7.5,—,—,EEUHD1H222,100,—
50,3300.0,18.0,35.5,1770,0.16,2000,0.8,7.5,—,—,EEUHD1H332,50,—
