Rated voltage (V),Capacitance (±20%) (μF),Case size øD,Case size L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω)  20°C@100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Part No.,Min Packaging Q'ty Straight leads,Min Packaging Q'ty Taping
10.0,2200,12.5,20.0,1890,0.029,5000,0.6,5.0,5.0,EEUFK1A222(),200,500
10.0,2200,16.0,15.0,1800,0.038,5000,0.8,7.5,7.5,EEUFK1A222S(),100,250
10.0,2700,12.5,25.0,2280,0.022,5000,0.6,5.0,5.0,EEUFK1A272(),200,500
10.0,3300,18.0,15.0,2060,0.036,5000,0.8,7.5,7.5,EEUFK1A272S(),100,250
10.0,3300,12.5,30.0,2720,0.018,5000,0.8,5.0,-,EEUFK1A332L,100,-
10.0,3900,12.5,35.0,2940,0.016,5000,0.8,5.0,-,EEUFK1A392L,100,-
10.0,3900,16.0,20.0,2330,0.026,5000,0.8,7.5,7.5,EEUFK1A392S(),100,250
10.0,4700,12.5,40.0,3010,0.014,5000,0.8,5.0,-,EEUFK1A472L,100,-
10.0,4700,18.0,20.0,2640,0.025,5000,0.8,7.5,7.5,EEUFK1A472S(),100,250
10.0,5600,16.0,25.0,2760,0.019,5000,0.8,7.5,7.5,EEUFK1A562(),100,250
10.0,6800,18.0,25.0,2850,0.018,5000,0.8,7.5,7.5,EEUFK1A682S(),100,250
16.0,270,8.0,11.5,630,0.09,3000,0.6,3.5,5.0,EEUFK1C271(),200,1000
16.0,390,8.0,15.0,860,0.062,3000,0.6,3.5,5.0,EEUFK1C391L(),200,1000
16.0,470,10.0,12.5,900,0.063,4000,0.6,5.0,5.0,EEUFK1C471(),200,500
16.0,560,8.0,20.0,1220,0.044,3000,0.6,3.5,5.0,EEUFK1C561L(),200,1000
16.0,820,10.0,16.0,1240,0.049,4000,0.6,5.0,5.0,EEUFK1C561(),200,500
16.0,1000,10.0,20.0,1490,0.035,4000,0.6,5.0,5.0,EEUFK1C821(),200,500
16.0,1200,12.5,15.0,1400,0.048,5000,0.6,5.0,5.0,EEUFK1C821S(),200,500
16.0,1500,10.0,25.0,1680,0.033,4000,0.6,5.0,5.0,EEUFK1C102L(),200,500
16.0,1800,12.5,20.0,1890,0.029,5000,0.6,5.0,5.0,EEUFK1C122(),200,500
16.0,2200,10.0,30.0,2140,0.025,4000,0.6,5.0,-,EEUFK1C152L,100,-
16.0,2200,16.0,15.0,1800,0.038,5000,0.8,7.5,7.5,EEUFK1C152S(),100,250
16.0,2700,12.5,25.0,2280,0.022,5000,0.6,5.0,5.0,EEUFK1C182(),200,500
16.0,3300,18.0,15.0,2060,0.036,5000,0.8,7.5,7.5,EEUFK1C182S(),100,250
16.0,3900,12.5,30.0,2720,0.018,5000,0.8,5.0,-,EEUFK1C222L,100,-
16.0,4700,12.5,35.0,2940,0.016,5000,0.8,5.0,-,EEUFK1C272L,100,-
16.0,4700,16.0,20.0,2330,0.026,5000,0.8,7.5,7.5,EEUFK1C272S(),100,250
16.0,5600,12.5,40.0,3010,0.014,5000,0.8,5.0,-,EEUFK1C332L,100,-
16.0,6800,18.0,20.0,2640,0.025,5000,0.8,7.5,7.5,EEUFK1C332S(),100,250
16.0,8200,18.0,25.0,2850,0.018,5000,0.8,7.5,7.5,EEUFK1C472S(),100,250
25.0,180,8.0,11.5,630,0.09,3000,0.6,3.5,5.0,EEUFK1E181(),200,1000
25.0,270,8.0,15.0,860,0.062,3000,0.6,3.5,5.0,EEUFK1E271L(),200,1000
25.0,390,10.0,12.5,900,0.063,4000,0.6,5.0,5.0,EEUFK1E271(),200,500
25.0,560,8.0,20.0,1220,0.044,3000,0.6,3.5,5.0,EEUFK1E391L(),200,1000
25.0,680,10.0,16.0,1240,0.049,4000,0.6,5.0,5.0,EEUFK1E391(),200,500
25.0,820,10.0,20.0,1490,0.035,4000,0.6,5.0,5.0,EEUFK1E561(),200,500
25.0,1000,12.5,15.0,1400,0.048,5000,0.6,5.0,5.0,EEUFK1E561S(),200,500
25.0,1200,10.0,25.0,1680,0.033,4000,0.6,5.0,5.0,EEUFK1E681L(),200,500
25.0,1500,12.5,20.0,1890,0.029,5000,0.6,5.0,5.0,EEUFK1E821(),200,500
25.0,1800,10.0,30.0,2140,0.025,4000,0.6,5.0,-,EEUFK1E102L,100,-
25.0,2200,16.0,15.0,1800,0.038,5000,0.8,7.5,7.5,EEUFK1E102S(),100,250
25.0,2700,12.5,25.0,2280,0.022,5000,0.6,5.0,5.0,EEUFK1E122(),200,500
25.0,3300,18.0,15.0,2060,0.036,5000,0.8,7.5,7.5,EEUFK1E122S(),100,250
25.0,3900,12.5,30.0,2720,0.018,5000,0.8,5.0,-,EEUFK1E152L,100,-
25.0,4700,16.0,20.0,2330,0.026,5000,0.8,7.5,7.5,EEUFK1E152S(),100,250
25.0,5600,12.5,35.0,2940,0.016,5000,0.8,5.0,-,EEUFK1E182L,100,-
25.0,6800,12.5,40.0,3010,0.014,5000,0.8,5.0,-,EEUFK1E222L,100,-
25.0,8200,18.0,20.0,2640,0.025,5000,0.8,7.5,7.5,EEUFK1E222S(),100,250
35.0,180,8.0,11.5,630,0.09,3000,0.6,3.5,5.0,EEUFK1V181(),200,1000
35.0,270,8.0,15.0,860,0.062,3000,0.6,3.5,5.0,EEUFK1V271L(),200,1000
35.0,390,10.0,12.5,900,0.063,4000,0.6,5.0,5.0,EEUFK1V271(),200,500
35.0,560,8.0,20.0,1220,0.044,3000,0.6,3.5,5.0,EEUFK1V391L(),200,1000
35.0,680,10.0,16.0,1240,0.049,4000,0.6,5.0,5.0,EEUFK1V391(),200,500
35.0,820,10.0,20.0,1490,0.035,4000,0.6,5.0,5.0,EEUFK1V561(),200,500
35.0,1000,12.5,15.0,1400,0.048,5000,0.6,5.0,5.0,EEUFK1V561S(),200,500
35.0,1200,10.0,25.0,1680,0.033,4000,0.6,5.0,5.0,EEUFK1V681L(),200,500
35.0,1500,12.5,20.0,1890,0.029,5000,0.6,5.0,5.0,EEUFK1V821(),200,500
35.0,1800,10.0,30.0,2140,0.025,4000,0.6,5.0,-,EEUFK1V102L,100,-
35.0,2200,16.0,15.0,1800,0.038,5000,0.8,7.5,7.5,EEUFK1V102S(),100,250
35.0,2700,12.5,25.0,2280,0.022,5000,0.6,5.0,5.0,EEUFK1V122(),200,500
35.0,3300,18.0,15.0,2060,0.036,5000,0.8,7.5,7.5,EEUFK1V122S(),100,250
35.0,3900,12.5,30.0,2720,0.018,5000,0.8,5.0,-,EEUFK1V152L,100,-
35.0,4700,12.5,35.0,2940,0.016,5000,0.8,5.0,-,EEUFK1V182L,100,-
35.0,5600,16.0,20.0,2330,0.026,5000,0.8,7.5,7.5,EEUFK1V182S(),100,250
35.0,6800,12.5,40.0,3010,0.014,5000,0.8,5.0,-,EEUFK1V222L,100,-
35.0,8200,18.0,20.0,2640,0.025,5000,0.8,7.5,7.5,EEUFK1V222S(),100,250
35.0,10000,18.0,25.0,2850,0.018,5000,0.8,7.5,7.5,EEUFK1V332S(),100,250
