Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms),Impedance (Ω),Lead dia (ød),Straight,Taping ✽B,Part No.,Straight leads,Taping
25,330,10.0,16.0,945,0.075,0.6,5.0,5.0,EEUTA1E331( ),200,500
25,470,10.0,20.0,1100,0.057,0.6,5.0,5.0,EEUTA1E471( ),200,500
25,470,12.5,15.0,1085,0.07,0.6,5.0,5.0,EEUTA1E471S( ),200,500
25,1000,12.5,25.0,1750,0.033,0.6,5.0,5.0,EEUTA1E102L( ),200,500
25,1000,16.0,20.0,1985,0.032,0.8,7.5,7.5,EEUTA1E102( ),100,250
25,1000,18.0,15.0,1800,0.042,0.8,7.5,7.5,EEUTA1E102S( ),100,250
25,2200,16.0,31.5,2710,0.02,0.8,7.5,—,EEUTA1E222,100,—
25,2200,18.0,25.0,2470,0.022,0.8,7.5,7.5,EEUTA1E222S( ),100,250
25,3300,18.0,35.5,3310,0.017,0.8,7.5,—,EEUTA1E332,50,—
35,100,10.0,12.5,555,0.18,0.6,5.0,5.0,EEUTA1V101( ),200,500
35,220,10.0,16.0,765,0.13,0.6,5.0,5.0,EEUTA1V221( ),200,500
35,330,10.0,20.0,930,0.1,0.6,5.0,5.0,EEUTA1V331( ),200,500
35,470,12.5,20.0,1330,0.07,0.6,5.0,5.0,EEUTA1V471( ),200,500
35,470,16.0,15.0,1450,0.088,0.8,7.5,7.5,EEUTA1V471S( ),100,250
35,1000,16.0,25.0,2010,0.037,0.8,7.5,7.5,EEUTA1V102( ),100,250
35,1000,18.0,20.0,2180,0.046,0.8,7.5,7.5,EEUTA1V102S( ),100,250
35,2200,18.0,35.5,2790,0.025,0.8,7.5,—,EEUTA1V222,50,—
50,10,8.0,11.5,180,0.95,0.6,3.5,5.0,EEUTA1H100( ),200,1000
50,22,8.0,11.5,250,0.65,0.6,3.5,5.0,EEUTA1H220( ),200,1000
50,33,8.0,11.5,300,0.45,0.6,3.5,5.0,EEUTA1H330( ),200,1000
50,47,8.0,11.5,440,0.35,0.6,3.5,5.0,EEUTA1H470S( ),200,1000
50,100,10.0,12.5,555,0.18,0.6,5.0,5.0,EEUTA1H101( ),200,500
50,220,10.0,20.0,930,0.1,0.6,5.0,5.0,EEUTA1H221( ),200,500
50,330,12.5,20.0,1330,0.07,0.6,5.0,5.0,EEUTA1H331( ),200,500
50,330,16.0,15.0,1450,0.088,0.8,7.5,7.5,EEUTA1H331S( ),100,250
50,470,12.5,25.0,1650,0.055,0.6,5.0,5.0,EEUTA1H471L( ),200,500
50,470,16.0,20.0,1650,0.053,0.8,7.5,7.5,EEUTA1H471( ),100,250
50,470,18.0,15.0,1710,0.075,0.8,7.5,7.5,EEUTA1H471S( ),100,250
50,1000,16.0,31.5,2430,0.031,0.8,7.5,—,EEUTA1H102,100,—
50,1000,18.0,25.0,2350,0.032,0.8,7.5,7.5,EEUTA1H102S( ),100,250
63,22,8.0,11.5,310,0.47,0.6,3.5,5.0,EEUTA1J220( ),200,1000
63,33,10.0,12.5,410,0.36,0.6,5.0,5.0,EEUTA1J330( ),200,500
63,47,10.0,16.0,460,0.27,0.6,5.0,5.0,EEUTA1J470( ),200,500
63,100,10.0,20.0,680,0.205,0.6,5.0,5.0,EEUTA1J101( ),200,500
63,220,12.5,25.0,1325,0.1,0.6,5.0,5.0,EEUTA1J221L( ),200,500
63,220,16.0,20.0,1360,0.085,0.8,7.5,7.5,EEUTA1J221( ),100,250
63,220,18.0,15.0,1300,0.12,0.8,7.5,7.5,EEUTA1J221S( ),100,250
63,330,16.0,25.0,1660,0.07,0.8,7.5,7.5,EEUTA1J331( ),100,250
63,330,18.0,20.0,1760,0.077,0.8,7.5,7.5,EEUTA1J331S( ),100,250
63,470,16.0,31.5,2055,0.06,0.8,7.5,—,EEUTA1J471,100,—
63,470,18.0,25.0,1990,0.06,0.8,7.5,7.5,EEUTA1J471S( ),100,250
