ELNA PART NO.,WV (V),CAP. (µF),SIZE (φ x L) (mm),tan δ,Ripple Current (mArms) (120 Hz at 85°C)
RE2-63V470MMA,63.0,47.0,8 x 11.5,0.09,150
RE2-63V101MMA,63.0,100.0,10 x 12.5,0.09,260
RE2-63V221MMA,63.0,220.0,10 x 20,0.09,460
RE2-63V331MMA,63.0,330.0,12.5 x 20,0.09,650
RE2-63V471MMA,63.0,470.0,12.5 x 25,0.09,850
RE2-63V102MMA,63.0,1000.0,16 x 31.5,0.09,1550
RE3-100VR10M,100.0,0.1,5 x 11,0.08,5
RE3-100VR22M,100.0,0.22,5 x 11,0.08,8
RE3-100VR33M,100.0,0.33,5 x 11,0.08,10
RE3-100VR47M,100.0,0.47,5 x 11,0.08,10
RE3-100V010M,100.0,1.0,5 x 11,0.08,15
RE3-100V2R2M,100.0,2.2,5 x 11,0.08,25
RE3-100V3R3M,100.0,3.3,5 x 11,0.08,30
RE3-100V4R7M,100.0,4.7,5 x 11,0.08,35
RE2-100V100MMA,100.0,10.0,6.3 x 11,0.08,60
RE2-100V220MMA,100.0,22.0,8 x 11.5,0.08,110
RE2-100V330MMA,100.0,33.0,10 x 12.5,0.08,160
RE2-100V470MMA,100.0,47.0,10 x 16,0.08,210
RE2-100V101MMA,100.0,100.0,12.5 x 20,0.08,380
RE2-100V221MMA,100.0,220.0,16 x 25,0.08,720
RE2-100V331MMA,100.0,330.0,16 x 25,0.08,880
RE2-100V471MMA,100.0,470.0,16 x 31.5,0.08,1150
RE2-160VR47M,160.0,0.47,6.3 x 11,0.12,10
RE2-160V010M,160.0,1.0,6.3 x 11,0.12,15
RE2-160V2R2M,160.0,2.2,6.3 x 11,0.12,20
RE2-160V3R3M,160.0,3.3,8 x 11.5,0.12,35
RE2-160V4R7M,160.0,4.7,8 x 11.5,0.12,40
RE2-160V100M,160.0,10.0,10 x 12.5,0.12,70
RE2-160V220M,160.0,22.0,10 x 20,0.12,120
RE2-160V330M,160.0,33.0,12.5 x 20,0.12,180
RE2-160V470M,160.0,47.0,12.5 x 25,0.12,230
RE2-160V101M,160.0,100.0,16 x 25,0.12,400
RE2-160V221M,160.0,220.0,18 x 35.5,0.12,730
RE2-200VR47M,200.0,0.47,6.3 x 11,0.12,10
RE2-200V010M,200.0,1.0,6.3 x 11,0.12,15
RE2-200V2R2M,200.0,2.2,6.3 x 11,0.12,20
RE2-200V3R3M,200.0,3.3,8 x 11.5,0.12,35
RE2-200V4R7M,200.0,4.7,10 x 12.5,0.12,50
RE2-200V100M,200.0,10.0,10 x 16,0.12,75
RE2-200V220M,200.0,22.0,10 x 20,0.12,120
RE2-200V330M,200.0,33.0,12.5 x 25,0.12,190
RE2-200V470M,200.0,47.0,12.5 x 25,0.12,220
RE2-200V101M,200.0,100.0,16 x 31.5,0.12,430
RE2-200V221M,200.0,220.0,18 x 40,0.12,760
RE2-250VR47M,250.0,0.47,6.3 x 11,0.15,10
RE2-250V010M,250.0,1.0,6.3 x 11,0.15,15
RE2-250V2R2M,250.0,2.2,8 x 11.5,0.15,25
RE2-250V3R3M,250.0,3.3,10 x 12.5,0.15,35
RE2-250V4R7M,250.0,4.7,10 x 12.5,0.15,40
RE2-250V100M,250.0,10.0,10 x 20,0.15,75
RE2-250V220M,250.0,22.0,12.5 x 25,0.15,140
RE2-250V330M,250.0,33.0,12.5 x 25,0.15,170
RE2-250V470M,250.0,47.0,16 x 25,0.15,240
RE2-250V101M,250.0,100.0,18 x 35.5,0.15,440
RE2-350VR47M,350.0,0.47,6.3 x 11,0.15,10
RE2-350V010M,350.0,1.0,8 x 11.5,0.15,15
RE2-350V2R2M,350.0,2.2,10 x 12.5,0.15,30
RE2-350V3R3M,350.0,3.3,10 x 12.5,0.15,35
RE2-350V4R7M,350.0,4.7,10 x 16,0.15,45
RE2-350V100M,350.0,10.0,10 x 20,0.15,75
RE2-350V220M,350.0,22.0,12.5 x 25,0.15,140
RE2-350V330M,350.0,33.0,16 x 25,0.15,200
RE2-350V470M,350.0,47.0,16 x 31.5,0.15,260
RE2-400V010M,400.0,1.0,8 x 11.5,0.2,15
RE2-400V2R2M,400.0,2.2,10 x 12.5,0.2,20
RE2-400V3R3M,400.0,3.3,10 x 16,0.2,35
RE2-400V4R7M,400.0,4.7,10 x 20,0.2,45
RE2-400V100M,400.0,10.0,12.5 x 20,0.2,75
RE2-400V220M,400.0,22.0,16 x 25,0.2,140
RE2-400V330M,400.0,33.0,16 x 31.5,0.2,190
RE2-400V470M,400.0,47.0,18 x 35.5,0.2,260
RE2-450V010M,450.0,1.0,10 x 12.5,0.23,15
RE2-450V2R2M,450.0,2.2,10 x 16,0.23,25
RE2-450V3R3M,450.0,3.3,10 x 20,0.23,35
RE2-450V4R7M,450.0,4.7,12.5 x 20,0.23,45
RE2-450V100M,450.0,10.0,12.5 x 25,0.23,75
RE2-450V220M,450.0,22.0,16 x 31.5,0.23,140
RE2-450V330M,450.0,33.0,18 x 35.5,0.23,200
