Case φD×L (mm),Size code,Rated voltage (V),Rated capacitance (µF),"ESR (Ω) 20℃, 120Hz","Impedance (Ω max.) 20℃, 100kHz","Impedance (Ω max.) -10℃, 100kHz","Rated ripple current (mArms) 105℃, 100kHz"
10×25,F25,50.0,220.0,0.754,0.075,0.15,876
10×25,F25,63.0,150.0,0.885,0.1,0.3,876
10×25,F25,100.0,68.0,1.71,0.18,0.72,634
10×30,F30,6.3,2200.0,0.181,0.044,0.099,1440
10×30,F30,10.0,1500.0,0.211,0.044,0.099,1440
10×30,F30,16.0,1200.0,0.222,0.044,0.099,1440
10×30,F30,25.0,820.0,0.284,0.044,0.099,1440
10×30,F30,35.0,560.0,0.356,0.044,0.099,1440
10×30,F30,50.0,330.0,0.503,0.055,0.11,1010
10×30,F30,63.0,180.0,0.738,0.085,0.26,1020
10×30,F30,100.0,100.0,1.16,0.15,0.6,739
12.5×15,G15,6.3,1200.0,0.305,0.062,0.14,1010
12.5×15,G15,10.0,1000.0,0.316,0.062,0.14,1010
12.5×15,G15,16.0,680.0,0.391,0.062,0.14,1010
12.5×15,G15,25.0,470.0,0.495,0.062,0.14,1010
12.5×15,G15,35.0,330.0,0.604,0.062,0.14,1010
12.5×15,G15,50.0,180.0,0.922,0.095,0.19,745
12.5×15,G15,63.0,150.0,0.885,0.11,0.33,745
12.5×15,G15,100.0,68.0,1.71,0.2,0.8,613
12.5×20,G20,6.3,2200.0,0.181,0.042,0.095,1400
12.5×20,G20,10.0,1800.0,0.176,0.042,0.095,1400
12.5×20,G20,16.0,1200.0,0.222,0.042,0.095,1400
12.5×20,G20,25.0,820.0,0.284,0.042,0.095,1400
12.5×20,G20,35.0,560.0,0.356,0.042,0.095,1400
12.5×20,G20,50.0,330.0,0.503,0.06,0.12,979
12.5×20,G20,63.0,220.0,0.604,0.075,0.23,979
12.5×20,G20,100.0,100.0,1.16,0.13,0.52,805
12.5×25,G25,6.3,2700.0,0.148,0.034,0.076,1690
12.5×25,G25,10.0,2200.0,0.159,0.034,0.076,1690
12.5×25,G25,16.0,1500.0,0.177,0.034,0.076,1690
12.5×25,G25,25.0,1000.0,0.233,0.034,0.076,1690
12.5×25,G25,35.0,680.0,0.293,0.034,0.076,1690
12.5×25,G25,50.0,470.0,0.353,0.044,0.088,1180
12.5×25,G25,63.0,270.0,0.492,0.065,0.2,1180
12.5×25,G25,100.0,120.0,0.968,0.11,0.44,857
12.5×30,G30,6.3,3900.0,0.111,0.03,0.068,1950
12.5×30,G30,10.0,2700.0,0.13,0.03,0.068,1950
12.5×30,G30,16.0,2200.0,0.136,0.03,0.068,1950
12.5×30,G30,25.0,1500.0,0.155,0.03,0.068,1950
12.5×30,G30,35.0,1000.0,0.2,0.03,0.068,1950
12.5×30,G30,50.0,560.0,0.297,0.04,0.08,1310
12.5×30,G30,63.0,390.0,0.341,0.055,0.17,1310
12.5×30,G30,100.0,180.0,0.646,0.09,0.36,1120
12.5×35,G35,6.3,4700.0,0.099,0.024,0.054,2220
12.5×35,G35,10.0,3300.0,0.116,0.024,0.054,2220
12.5×35,G35,16.0,2700.0,0.111,0.024,0.054,2220
12.5×35,G35,25.0,1800.0,0.13,0.024,0.054,2220
12.5×35,G35,35.0,1200.0,0.166,0.024,0.054,2220
12.5×35,G35,50.0,680.0,0.244,0.036,0.072,1470
12.5×35,G35,63.0,470.0,0.283,0.048,0.14,1470
12.5×35,G35,100.0,220.0,0.528,0.075,0.3,1240
12.5×40,G40,6.3,5600.0,0.089,0.021,0.047,2390
12.5×40,G40,10.0,3900.0,0.098,0.021,0.047,2390
12.5×40,G40,16.0,3300.0,0.101,0.021,0.047,2390
12.5×40,G40,25.0,2200.0,0.121,0.021,0.047,2390
12.5×40,G40,35.0,1500.0,0.133,0.021,0.047,2390
12.5×40,G40,50.0,820.0,0.203,0.034,0.068,1590
12.5×40,G40,63.0,560.0,0.237,0.042,0.13,1590
12.5×40,G40,100.0,270.0,0.431,0.06,0.24,1330
16×16,J16,6.3,2700.0,0.148,0.046,0.1,1310
16×16,J16,10.0,1800.0,0.176,0.046,0.1,1310
16×16,J16,16.0,1500.0,0.177,0.046,0.1,1310
16×16,J16,25.0,820.0,0.284,0.046,0.1,1310
16×16,J16,35.0,560.0,0.356,0.046,0.1,1310
16×16,J16,50.0,330.0,0.503,0.065,0.13,982
16×16,J16,63.0,220.0,0.604,0.08,0.24,982
16×16,J16,100.0,120.0,0.968,0.13,0.52,706
16×20,J20,6.3,4700.0,0.099,0.034,0.077,1660
16×20,J20,10.0,3300.0,0.116,0.034,0.077,1660
16×20,J20,16.0,2200.0,0.136,0.034,0.077,1660
16×20,J20,25.0,1500.0,0.155,0.034,0.077,1660
16×20,J20,35.0,1000.0,0.2,0.034,0.077,1660
16×20,J20,50.0,680.0,0.244,0.045,0.09,1210
16×20,J20,63.0,390.0,0.341,0.057,0.17,1210
16×20,J20,100.0,180.0,0.646,0.11,0.44,916
16×25,J25,6.3,5600.0,0.089,0.028,0.063,2070
16×25,J25,10.0,3900.0,0.098,0.028,0.063,2070
16×25,J25,16.0,2700.0,0.111,0.028,0.063,2070
16×25,J25,25.0,1800.0,0.13,0.028,0.063,2070
16×25,J25,35.0,1200.0,0.166,0.028,0.063,2070
16×25,J25,50.0,820.0,0.203,0.038,0.076,1490
16×25,J25,63.0,470.0,0.283,0.052,0.16,1490
16×25,J25,100.0,220.0,0.528,0.081,0.32,1290
16×31.5,J31,6.3,6800.0,0.079,0.025,0.056,2350
16×31.5,J31,10.0,5600.0,0.08,0.025,0.056,2350
16×31.5,J31,16.0,3900.0,0.086,0.025,0.056,2350
16×31.5,J31,25.0,2700.0,0.099,0.025,0.056,2350
16×31.5,J31,35.0,1800.0,0.111,0.025,0.056,2350
16×31.5,J31,50.0,1000.0,0.166,0.032,0.064,1890
16×31.5,J31,63.0,680.0,0.196,0.042,0.13,1890
16×31.5,J31,100.0,330.0,0.352,0.059,0.23,1630
16×35.5,J35,6.3,8200.0,0.073,0.022,0.05,2550
16×35.5,J35,10.0,6800.0,0.071,0.022,0.05,2550
16×35.5,J35,16.0,4700.0,0.078,0.022,0.05,2550
16×35.5,J35,25.0,3300.0,0.091,0.022,0.05,2550
16×35.5,J35,35.0,2200.0,0.106,0.022,0.05,2550
16×35.5,J35,50.0,1200.0,0.139,0.028,0.056,2140
16×35.5,J35,63.0,820.0,0.162,0.036,0.11,2140
16×35.5,J35,100.0,390.0,0.298,0.052,0.21,1750
16×40,J40,6.3,12000.0,0.059,0.018,0.041,2970
16×40,J40,10.0,8200.0,0.067,0.018,0.041,2970
16×40,J40,16.0,5600.0,0.072,0.018,0.041,2970
16×40,J40,25.0,3900.0,0.077,0.018,0.041,2970
16×40,J40,35.0,2700.0,0.087,0.018,0.041,2970
16×40,J40,50.0,1500.0,0.111,0.026,0.052,2410
16×40,J40,63.0,1000.0,0.133,0.032,0.096,2410
16×40,J40,100.0,470.0,0.248,0.045,0.18,1920
18×16,K16,6.3,3300.0,0.131,0.043,0.097,1460
18×16,K16,10.0,2200.0,0.159,0.043,0.097,1460
18×16,K16,16.0,1500.0,0.177,0.043,0.097,1460
18×16,K16,25.0,1200.0,0.194,0.043,0.097,1460
18×16,K16,35.0,680.0,0.293,0.043,0.097,1460
18×16,K16,50.0,470.0,0.353,0.048,0.096,1180
18×16,K16,63.0,330.0,0.403,0.065,0.2,1200
18×16,K16,100.0,150.0,0.775,0.12,0.48,871
18×20,K20,6.3,5600.0,0.089,0.03,0.068,1850
18×20,K20,10.0,3900.0,0.098,0.03,0.068,1850
18×20,K20,16.0,2700.0,0.111,0.03,0.068,1850
18×20,K20,25.0,1800.0,0.13,0.03,0.068,1850
18×20,K20,35.0,1200.0,0.166,0.03,0.068,1850
18×20,K20,50.0,820.0,0.203,0.036,0.072,1450
18×20,K20,63.0,470.0,0.237,0.058,0.17,1460
18×20,K20,100.0,270.0,0.431,0.085,0.34,1170
18×25,K25,6.3,6800.0,0.079,0.027,0.061,2120
18×25,K25,10.0,4700.0,0.089,0.027,0.061,2120
18×25,K25,16.0,3900.0,0.086,0.027,0.061,2120
18×25,K25,25.0,2700.0,0.099,0.027,0.061,2120
18×25,K25,35.0,1800.0,0.111,0.027,0.061,2120
18×25,K25,50.0,1000.0,0.166,0.032,0.064,1720
18×25,K25,63.0,680.0,0.196,0.05,0.15,1740
18×25,K25,100.0,330.0,0.352,0.071,0.28,1500
18×31.5,K31,6.3,10000.0,0.064,0.023,0.052,2410
18×31.5,K31,10.0,6800.0,0.071,0.023,0.052,2410
18×31.5,K31,16.0,4700.0,0.078,0.023,0.052,2410
18×31.5,K31,25.0,3300.0,0.091,0.023,0.052,2410
18×31.5,K31,35.0,2200.0,0.106,0.023,0.052,2410
18×31.5,K31,50.0,1500.0,0.111,0.026,0.052,1970
18×31.5,K31,63.0,820.0,0.162,0.042,0.13,1990
18×31.5,K31,100.0,390.0,0.298,0.058,0.23,1630
18×35.5,K35,6.3,12000.0,0.059,0.019,0.043,2680
18×35.5,K35,10.0,8200.0,0.067,0.019,0.043,2680
18×35.5,K35,16.0,6800.0,0.064,0.019,0.043,2680
18×35.5,K35,25.0,3900.0,0.077,0.019,0.043,2680
18×35.5,K35,35.0,2700.0,0.087,0.019,0.043,2680
18×35.5,K35,50.0,1800.0,0.074,0.025,0.05,2310
18×35.5,K35,63.0,1000.0,0.133,0.035,0.11,2340
18×35.5,K35,100.0,560.0,0.208,0.054,0.22,1920
18×40,K40,6.3,15000.0,0.054,0.017,0.038,3010
18×40,K40,10.0,10000.0,0.059,0.017,0.038,3010
18×40,K40,16.0,8200.0,0.061,0.017,0.038,3010
18×40,K40,25.0,4700.0,0.071,0.017,0.038,3010
18×40,K40,35.0,3300.0,0.081,0.017,0.038,3010
18×40,K40,50.0,2200.0,0.073,0.024,0.048,2530
18×40,K40,63.0,1200.0,0.111,0.032,0.096,2560
18×40,K40,100.0,680.0,0.171,0.041,0.16,2100
